sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
28,c,https://i.imgur.com/lBzqfWE.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
29,c,https://i.imgur.com/iyWXvSY.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
30,d,https://i.imgur.com/M7nSCqT.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
31,b,https://i.imgur.com/XWhcO3n.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
32,a,https://i.imgur.com/5nq0Tqy.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
33,b,https://i.imgur.com/9ItJrU9.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
34,b,https://i.imgur.com/LKK1zKd.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
35,c,https://i.imgur.com/NvTkGPm.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
36,d,https://i.imgur.com/ipZHc03.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
37,a,https://i.imgur.com/o4L4a9v.png,ssc_electrical,A,B,C,D,9.1,ssc_je,bi,Compitition Times,Semiconductor Physics
38,b,https://i.imgur.com/h8e9Zzr.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
39,c,https://i.imgur.com/WQH99On.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
41,a,https://i.imgur.com/vSaZ17f.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
42,a,https://i.imgur.com/Sjn504e.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
43,b,https://i.imgur.com/4OIfAHg.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
44,a,https://i.imgur.com/BgaHLeV.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
45,c,https://i.imgur.com/nuwqonZ.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
46,b,https://i.imgur.com/3O5SMiJ.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
47,c,https://i.imgur.com/dHoOl5m.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
48,d,https://i.imgur.com/h5qPufa.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
49,c,https://i.imgur.com/fp6P3ms.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
50,c,https://i.imgur.com/NWUpcYa.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
51,c,https://i.imgur.com/mC7OKpF.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
52,b,https://i.imgur.com/4mvOkHc.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
53,b,https://i.imgur.com/742tVak.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
54,b,https://i.imgur.com/UTZRzTV.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
55,c,https://i.imgur.com/mPHrfEu.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
56,b,https://i.imgur.com/ZNwNkBA.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
57,a,https://i.imgur.com/IBgkarY.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
58,c,https://i.imgur.com/N6ZkoS0.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
59,b,https://i.imgur.com/iGYy6zr.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
60,d,https://i.imgur.com/muHCYfD.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
61,c,https://i.imgur.com/GVaGsy0.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
63,b,https://i.imgur.com/3FnsvTr.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
64,a,https://i.imgur.com/74lNQYc.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
65,c,https://i.imgur.com/mQfrYZJ.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
66,a,https://i.imgur.com/Cafxd21.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
67,a,https://i.imgur.com/Zy8YN4G.png,ssc_electrical,A,B,C,D,9.2,ssc_je,bi,Compitition Times,Semiconductor Diode
68,a,https://i.imgur.com/k8yuyxz.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
69,c,https://i.imgur.com/utmsYmm.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
70,a,https://i.imgur.com/24vgilk.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
74,b,https://i.imgur.com/ba2TUpz.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
75,d,https://i.imgur.com/lNtUkjP.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
76,d,https://i.imgur.com/xcfGM31.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
77,a,https://i.imgur.com/AGhqMef.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
78,b,https://i.imgur.com/WYpWFBF.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
79,c,https://i.imgur.com/MLEP1I1.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
81,a,https://i.imgur.com/tr5FI97.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
82,c,https://i.imgur.com/AgjgKF9.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
83,b,https://i.imgur.com/gR3DEaZ.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
84,b,https://i.imgur.com/28EoEk8.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
85,d,https://i.imgur.com/ErxAzpn.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
86,a,https://i.imgur.com/QSKSrnI.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
87,a,https://i.imgur.com/tK1pxRJ.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
88,d,https://i.imgur.com/CU7GMVg.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
89,c,https://i.imgur.com/5Cxr3AR.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
90,b,https://i.imgur.com/a6IzgRs.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
91,a,https://i.imgur.com/HBg106o.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
92,c,https://i.imgur.com/tMbI62n.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
93,c,https://i.imgur.com/5H1Owpg.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
94,b,https://i.imgur.com/UKi2wZK.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
95,a,https://i.imgur.com/JOVaQhx.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
96,c,https://i.imgur.com/TbhMk4R.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
97,d,https://i.imgur.com/D820ALS.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
98,b,https://i.imgur.com/a9EU3A8.png,ssc_electrical,A,B,C,D,9.3,ssc_je,bi,Compitition Times,Bi Polar Transistor
100,c,https://i.imgur.com/EphJeJ8.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
101,a,https://i.imgur.com/58wJVnO.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
102,b,https://i.imgur.com/sMOOqu1.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
103,c,https://i.imgur.com/w89r0z0.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
109,b,https://i.imgur.com/bNrro2p.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
110,c,https://i.imgur.com/GX8GkCl.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
111,a,https://i.imgur.com/2FIcqux.png,ssc_electrical,A,B,C,D,9.4,ssc_je,bi,Compitition Times,Basic Transistor Amplifier
112,b,https://i.imgur.com/Kudwj4L.png,ssc_electrical,A,B,C,D,9.5,ssc_je,bi,Compitition Times,Single Stage Transistor Amplifier
113,b,https://i.imgur.com/UYWLl9j.png,ssc_electrical,A,B,C,D,9.5,ssc_je,bi,Compitition Times,Single Stage Transistor Amplifier
114,c,https://i.imgur.com/zfsAn7B.png,ssc_electrical,A,B,C,D,9.5,ssc_je,bi,Compitition Times,Single Stage Transistor Amplifier
115,c,https://i.imgur.com/Ngofjgr.png,ssc_electrical,A,B,C,D,9.5,ssc_je,bi,Compitition Times,Single Stage Transistor Amplifier
116,b,https://i.imgur.com/fw9o5Lp.png,ssc_electrical,A,B,C,D,9.5,ssc_je,bi,Compitition Times,Single Stage Transistor Amplifier
117,c,https://i.imgur.com/vlQNqeX.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
118,b,https://i.imgur.com/pf1QQiI.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
119,a,https://i.imgur.com/9cpTsMH.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
120,b,https://i.imgur.com/IlUc9iw.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
121,c,https://i.imgur.com/ywr1OwG.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
122,d,https://i.imgur.com/GqYBBpO.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
123,a,https://i.imgur.com/9QYGaBI.png,ssc_electrical,A,B,C,D,9.6,ssc_je,bi,Compitition Times,Field Effect Transistors
124,a,https://i.imgur.com/mRjvL5D.png,ssc_electrical,A,B,C,D,9.7,ssc_je,bi,Compitition Times,Multi Stage And Power Amplifier
126,c,https://i.imgur.com/tsZSeAt.png,ssc_electrical,A,B,C,D,9.8,ssc_je,bi,Compitition Times,Feed Back in Amplifier
128,d,https://i.imgur.com/B84l89B.png,ssc_electrical,A,B,C,D,9.8,ssc_je,bi,Compitition Times,Feed Back in Amplifier
129,a,https://i.imgur.com/ATNxDJb.png,ssc_electrical,A,B,C,D,9.9,ssc_je,bi,Compitition Times,Oscillators
