,Correct,Questions,category,optionA,optionB,optionC,optionD
10, : A,"  Sheela walks from A to B which is 2 km away, turns right at 90° and walks for 3 kms to point C, turns right at 90° and walks to D which is 8 km away, turns 90° right and goes 3 km to point E. Then, once again she turns right, 90 and walks 4 km to point F. How far is it from A to F? शीला A से B जो कि 2 किमी. दूर है, चलकर जाती है, दाएं और  90° पर मुड़ती है तथा बिन्दु C की ओर 3 किमी. जाती है,  90° पर दाएं ओर मुड़ती है तथा D की ओर चलती है जो कि 8 किमी. दूर है,  90° पर दाएं ओर मुड़ती है तथा 3 किमी. E की ओर जाती है| उसके बाद फिर से वो दाएं ओर  90° मुड़ती है तथा F की ओर 4 किमी. जाती है| A से F तक की दूरी क्या है? ", 9.1, 2 km/किमी. , 4 km/किमी. , 6 km/किमी. , 8 km/किमी. 
11, : C,"  Pihu started walking from her house towards west. After walking a distance of 25 m, she turned right and walked 10 m. She then again turned right and walked 15 m. After this she turns her right at 135° and walked 30 m. In which direction is she going?  पिहू अपने घर में पश्चिम दिशा में चलना प्रारंभ किया |25मि. की दुरी तय करने के बाद, वह दायें मुड़ी तथा 10 मी. चली | वह फिर से दाएं मुड़ी तथा 15 मी. चली | उसके पश्चात् अपने दाएं 135° पर मुड़ी | वह किस दिशा में जा रही है? ", 9.1, West/पश्चिम  , South/दक्षिण  , South-West/ दक्षिण- पश्चिम , South-East/ दक्षिण-पूर्व    
12, : B,"  Ashok walks 10 metres towards North from his home, turns right and walks 5 metres, then again turns right and walks 10 metres, then turns left and walks 3 metres. Now he turns 180° clockwise, then which direction is Ashok facing ?  दायें मुड़कर 5 मीटर चलता है|वहाँ से बाएं घूमकर 3 मीटर चलता है |यदि वह यहाँ से 180° दक्षिणावृत घुमे तो अब उसका मुख किस दिशा में है ? ", 9.1, East/पूर्व        , West/पश्चिम  , North/उत्तर     , South/दक्षिण    
13, : C,  The length and breadth of a room are 12 m and 9 m respectively. Tom runs along all the four walls and finally along a diagonal order to catch a Jerry. How much total distance is covered by Tom? कमरे की लम्बाई और चौड़ाई क्रमश : 12मी. तथा 9 मी. है | टॉम कमरे के चारों दीवारों के तरफ दौड़ती है और अंतत:  जेरी को पकरने के लिए विकर्ण वाली दुरी तय करती है | टॉम दुवारा कुल कितने दुरी तय की गयी ? , 9.1, 40 m/मी.      , 42 m/मी. , 57 m/मी.     , 48 m/मी. 
14, : C,"  Eena walks from a certain point to Meena, meets Dika and then Amar and after this he meets Akbar and then Anthony. Find the total distance cover by Eena, if the distance between Eena and Meena is 25 m, distance between Meena and Dika is 80 m, distance between Dika and Akbar is 70 m and distance between Amar and Anthony is 60 m and all of them are standing in a straight line. ईना किसी निश्चित स्थान से चलकर मीना तक पहुँचती है,उसके पश्चात डीका से, फीर अमर से मिलती है तथा उसके बाद वह अकबर से मिलकर, फिर अन्थानी से मिलती है। ईना द्वारा तय की गई कुल दूरी ज्ञात करें, यदि ईना तथा मीना के बीच दूरी 25 मीटर, मीना और अमर के बीच की दूरी 80 मीटर है,तथा डीका और अकबर के बीच दूरी 70 मीटर तथा अमर और अन्थानी के बीच दूरी 60 मीटर है तथा वे सभी सीधी रेखा पर खड़े हैं ", 9.1, 180 m/मी. ( , 215 m/मी.  , 225 m/मी.  , 165 m/मी.   
15, : A,"  Mahi, in order to go to playground started from his house in the east and came to a crossing. The road to the left ends to a theatre, straight ahead is the hospital. In which direction is the playground? खेल के मैदान पर जाने के लिए माही अपने घर जो कि पूर्व में है, से प्रारंभ करता है तथा एक क्रॉसिंग पर आता है| बायीं ओर का रास्ता थियेटर पर समाप्त होता है, सीधे रास्ते पर अस्पताल है| खेल के मैदान किस दिशा में है? ", 9.1, North/उतर , South/दक्षिण , East/पूर्व , West/पश्चिम   
16, : A,"  Four friends A, B, C and D live in a same locality. The house of B is in the east of A's house, but in the north of C's house. The house of C is in the west of D's house. D's house is in which direction of A's house? चार मित्र A, B, C तथा D ,एक ही इलाके में रहते हैं| B का घर A के घर के पूर्व में है किन्तु C के घर के उत्तर में है|C का घर, D के घर के पश्चिम में है| D का घर, A के घर के किस दिशा में हैं? ", 9.1, South-East/दक्षिण-पूर्व , North-East/उत्तर-पूर्व , East/पूर्व , Data Inadequate/आंकड़े अपर्याप्त   
17, : A,"  Sally walks from point A 4 km towards North,then turns to the left and walks 3 km. Fromthat point, she walks straight to the startingpoint A. What is the total distance coveredby her (in km)? सैली बिन्दुA से 4किमी. उत्तर की ओर चलती है फिर बायीं ओर मुडकर 3 किमी. चलती है| उस बिन्दु से वह सीधा प्रारंभिक बिन्दु A की ओर चलती है| उसके द्वारा तय की गई कुल दूरी क्या है? ", 9.1, 12 km/किमी. , 05 km/किमी. , 10 km/किमी. , 14 km/किमी. 
18, : B,"  The questions is based on the followinginformation: दिया गया प्रश्न निम्न जानकारियों पर आधारित है| 1. A # B means, B is at 1 metre to theright of A. A # B का अर्थ है किB, A से1 मीटर दाएं पर है| 2. A $ B means, B is at 1 metre to theNorth of A. A $ B का अर्थ है किB, A से1 मीटर उत्तर में है| According to M # N $ T, T is in whichdirection with respect to M? M # N $ T के अनुसारT, M से किस दिशा में है? ", 9.1, North-West/उत्तर-पश्चिम , North-East/उत्तर-पूर्व , South-West/दक्षिण-पश्चिम , South-East/दक्षिण-पूर्व 
19, : A,"  Chahat started walking from her house towards west. After walking a distance of 30 m, she turned right and walked 25 m. She then again turned right and walked 22 m. After this she turns her right at 135° and walked 21 m. In which direction is she going? चाहत ने अपने घर से पश्चिम दिशा में चलना प्रारंभ किया।30 मी. की दूरी तय करने के बाद, वह दाएं मुड़ी तथा 25 मी. चली। वह फिर से दाएं मुड़ी तथा 22 मी. चली। उसके पश्चात् वह अपने दाएं 135° पर मुड़ी तथा 21 मी. चली। वह किस दिशा में जा रही है? ", 9.1, South-West/दक्षिण-पश्चिम  , South-East/दक्षिण-पूर्व  , South/दक्षिण  , West/पश्चिम 
20, : C,"  A is in east to B which is north to C. If D is in west to C, then A is in which directions of D ? A,B के पूर्व में है जो C के उत्तर में है| यदि D,C के पश्चिम में है,तो A,D के किस दिशा में है? ", 9.1, South-East/दक्षिण-पूर्व , South-West/दक्षिण-पश्चिम , North-East/उत्तर-पूर्व  , North/उत्तर  
21, : C,"  Ram went 20 meters to the north, then turned towards east and walked 5 meters, then he turned towards right and covered a distance of 20 meters. How far is he from the starting place? राम उत्तर दिशा में 20 मी. गया, फिर पूर्व दिशा में मुड़ता है ओर 5 मी. चलता है, फिर वह दाएं ओर मुड़ता है और 20 मी. की दूरी तय करता है| प्रारंभिक स्थान से वह कितनी दूर है? ", 9.1, 3 m/3 मी. , 4 m/4 मी.  , 5 m/5 मी. , 6 m/6 मी. 
22, : B,  The distance between two cities is 30 km. A man goes at a speed of 30 km per hour and returns at 20km per hour. What is his average speed? दो शहरों के बीच की दूरी 30 किमी. है| एक व्यक्ति 30 किमी./घंटा की गति से जाता है तथा 20 किमी./घंटा से वापस आता है| उसकी औसत गति क्या है? , 9.1, 25 km/hr/किमी./घंटा , 24 km/hr/किमी./घंटा , 10 km/hr/किमी./घंटा  , 26 km/hr/किमी./घंटा  
23, : A,"  B is in the West of A which is in the North of C. If D is in the West of C, then in which direction of B is D.  B,A के पश्चिम में है जो C के उत्तर में है यदि D, C के पश्चिम में है तो D, B से किस दिशा में है?  ", 9.1, South/दक्षिण  , North/उत्तर  , South-West/दक्षिण-पश्चिम   , West/पश्चिम  
24, : C,"  Radha moves towards South-East a distance of 7 km, then she moves towards West and travels a distance of 14 km. From here she moves towards North-West and travels a distance of 7 km. Finally she moves towards east and cover a distance of 3 km. How far is she now from the starting point? राधा दक्षिण-पूर्व की ओर 7 किमी. जाती है| उसके पश्चात् वह पश्चिम की ओर मुडती है तथा 14 किमी. की दूरी तय करती है| यहाँ से वह उत्तर पश्चिम की तरफ मुडती है तथा  7 किमी. की दूरी तय करती है| अंत में वह पूर्व में मुडती है तथा 3 किमी. की दूरी तय करती है| अपने प्रारंभिक बिन्दु से वह कितनी दूर है| ", 9.1, 3 km/किमी.     , 4 km/किमी. , 10 km/किमी.    , 11 km/किमी.   
25, : B,"  From his house, Anil goes 45 km to South. Now, he turns East and covers 30 km and again turns North and covers 15 km. Finally he turns to West, and covers 30 km. In which direction is he from his house? अपने घर से, अनिल 45 किमी. दक्षिण की ओर जाता है| अब वह पूर्व की ओर मुड़ता है तथा 30 किमी. की यात्रा करता है और दोबारा उत्तर की ओर मुड़ता है और 15 किमी. की यात्रा करता है| अंत में वह पश्चिम की ओर मुड़ता है ओर 30 किमी. की यात्रा करता है| वह अपने घर से किस दिशा में है? ", 9.1, North/उत्तर  , South/दक्षिण  , East/पूर्व  , West/पश्चिम   
26, : B,"  Lata walks 7 km towards North, turns to her left and walks 9 km, again she turns to her left and walks 7 km. How far is she from the starting point? लता 7 किमी. उत्तर की ओर चलती है, फिर अपनी बायीं ओर मुड जाती है और 9 किमी. चलती है, फिर दुबारा वह अपनी बायीं ओर मुड जाती है और 7 किमी. चलती है| आरंभिक बिन्दु से वह कितनी दूरी पर है? ", 9.1, 7 km/किमी. , 9 km/किमी. , 5 km/किमी. , 8 km/किमी. 
27, : A,"  Amisha goes 12 metres towards south then turns right and goes 5 metres. She again turns right and goes 12 metres and stops. After stopping, which direction is Amisha facing ? अमीषा 12 मीटर दक्षिण की ओर जाती है फिर दायीं ओर मुड़ कर 5 मीटर जाती है| वह पुन: दायीं ओर मुडती है ओर 12 मीटर चलकर अंतत: रुक जाती है| रुकने के पश्चात् अमीषा किस दिशा में देख रही है? ", 9.1, North/उत्तर  , West/पश्चिम  , South/दक्षिण  , East/पूर्व  
28, : A,"  Shalu walked 6m towards east, then turned left and walked 8m, again turned right and walked 5m. In which direction is she from starting point?  शालू पूर्व की ओर 6 मी. चली, फिर बाएं मुड़ी तथा 8मी. चली, फिर दाएं मुड़ी तथा 5 मी. चली| प्रारंभिक बिन्दु से अब वह किस दिशा में है?  ", 9.1, North-east/उतर-पूर्व   , South-west/दक्षिण-पश्चिम   , North-west/उत्तर-पश्चिम  , South-east/दक्षिण-पूर्व 
29, : C,"  Two cars P and Q start from the same point. P travels 9 km South, then turns to its left and travels another 11 km. Q travels 3 km East, then turns South and travels 5 km, then turns to its left and travels another 8 km. Where is Q with respect to P now? दो कारें P और Q एक ही बिंदु से शुरूआत करती हैं। P दक्षिणी की ओर 9 किमी. की यात्रा करती है, फिर अपनी बाई ओर मुड़ जाती है और 11 किमी. की यात्रा और करती है। Q पूर्व की 3 किमी. की यात्रा करता है, फिर दक्षिण की ओर मुड़ जाती है और 5 किमी. की यात्रा करती है, फिर अपनी बाई ओर मुड़ जाती है और 8 किमी. की यात्रा और करती है। Q की स्थिति से अब P कहाँ पर है?  ", 9.1, 4 km South/4 किमी. दक्षिण , 14 km North/14 किमी. उत्तर , 4 km North/4 किमी. उत्तर , 14 km South/14 किमी. दक्षिण 
30, : C,"  Two planes start from the same airport. A flies 80 km East. B 45 km South, then turns East and flies to 50 km, then turns to its left flies 45 km. Where is B with respect to A now?  दो विमान एक ही हवाई पट्टी से उड़ान भरते है। । 80 किमी. पूर्व को जाता है। B 45 किमी. दक्षिण को उड़ता है, फिर पूर्व को मुड़ जाता है और 50 किमी. उड़ता है और बाएं मुड़कर 45 किमी. उड़ता है। A के तुलना में B की स्थिति अब क्या है?  ", 9.1, 30 kms East/ किमी. पूर्व , 70 kms East/ किमी. पूर्व , 30 kms West/ किमी. पूर्व , 70 kms West/ किमी. पूर्व 
31, : C,"  A paper boy cycles 10 km East, then turns South and cycles 3 km, then turns West and cycles 6 km, then turns to his right and cycles 3 km. Where is he now with reference to his starting position? एक पेपर वाला लड़का पूर्व की ओर 10 किमी. तक साईकिल चलाता है, पिफर दक्षिण की ओर मुड़ जाता है और 3 किमी.तक साईकिल चलाता है, फिर पश्चिम की ओर मुड़ जाता है और 6 किमी. तक साईकिल चलाता है, फिर अपने दाएं ओर मुड़ जाता है और 3 किमी. तक साईकिल चलाता है। वह अपनी प्रांरभिक स्थिति से अब कहाँ हैं? ", 9.1, 4 km West/ किमी. पश्चिम , 14 km East/ किमी. पूर्व , 4 km East/ किमी. पूर्व , 14 km West/ किमी. पश्चिम  
32, : A ,"  Starting from his home, a boy rides on his bike for 8 km towards west, takes a left and travels 10 km more. From there, he turns 180° in the clockwise direction and travels another 16 km. Finally, he takes a right turn and travels 8 km more. How far and in what direction is he now from his original position? एक लड़का अपने घर से मोटर-साइकिल चलाना शुरू करता है और पश्चिम दिशा में 8 किमी. जाता है, फिर बाएं मुड़कर 10 किमी. जाता है। वहाँ से, वह फिर घड़ी की सुई के चलने की दिशा में 180° घूमकर आगे 16 किमी. जाता है। अंत में, वह दाएं मुड़कर और 8 किमी. जाता है। वह अब अपने मूल स्थान से कितनी दूरी पर और किस दिशा में है?  ", 9.1," 6 km, North/ किमी. उत्तर "," 10 km, South/ किमी. दक्षिण "," 12 km, West/ किमी. पश्चिम "," 6 km, East/ किमी. पूर्व "
33, : D,"  X and Y both start from a same point. X walks 17 m West, then turns to his right and walks 13 m. At the same time, Y walks 9 m North, then turns East and walks 7 m, then turns to his left and walks 4 m. Where is Y now with respect to the position of X? X और Y एक ही बिंदु से शुरूआत करते हैं। X पश्चिम की ओर 17 मीटर तक चलता है, फिर अपने दाहिने ओर मुड़ जाता है और 13 मीटर तक चलता है। उसी समय, ल् उत्तर की ओर 9 मीटर तक चलता है, फिर पूर्व की ओर मुड़ जाता है और 7 मीटर तक चलता है, फिर अपनी बाईं ओर मुड़ जाता है और 4 मीटर तक चलता है। X की स्थिति से अब Y कहाँ पर है? ", 9.1, 24 m West/ मीटर पश्चिम , 10 m East/ मीटर पूर्व , 10 m West/ मीटर पश्चिम , 24 m East/ मीटर पूर्व 
34, : D,"  Four bags T, S, V and W of are of different weights. T is only lighter than S. V is lighter than W and W is lighter than T. Which is the lightest bag? चार बैग T, S, V ,एवं W अलग-अलग भार के है| T केवल S से हल्का है| V, W से हल्का है और  W, T  से हल्का है| सबसे हल्का बैग कौन-सा है? ", 4.1, S  , W , T  , V 
35, : B,"  Suresh is 7 ranks ahead of Ashok in the class of 39 students. If Ashok's rank is 17th from the last, then what is Suresh's rank from the start? 39 छात्रों वाले किसी वर्ग में, स्थान के आधार पर सुरेश अशोक से 7 ऊपर है| यदि अशोक का स्थान अंत से 17वां है, तो सुरेश का प्रारंभ से कितना स्थान है? ", 4.1, 16th/वां  , 23rd/वां , 24th/वां  , 15th/वां 
36, : C,"  The total of the ages of satyam,shivam and sundram is 80 years. What will the sum of their ages three years hence? सत्यम,शिवम तथा सुन्दरम के आयु का योग 80 वर्ष है |3 वर्ष पश्चात् उनके कुल आयु का योग क्या होगा ? ", 4.1, 71 years/वर्ष      , 72 years/वर्ष   , 89 years/वर्ष      , 77 years/वर्ष    
37, : A,"  Ayush was born two years after his father's marriage. His mother is five years younger than his father, but 20 years older than Ayush, who is 10 years old. At what age did his father got married? आयुष का जन्म अपने पिता के विवाह के 2 वर्ष पश्चात् हुआ था| उसकी माँ उसके पिता से 5 वर्ष छोटी है, किन्तु आयुष से 20 वर्ष बड़ी है, जो 10 साल का है| उसके पिता का विवाह किनती आयु में हुआ था? ", 4.1, 23 years/वर्ष    , 25 years/वर्ष , 33 years/वर्ष   , 35 years/वर्ष 
38, : B,"  Ramesh ranks 13th in a class of 33 students. There are 5 students below Suresh rank wise. How many students are there between Ramesh and Suresh? कक्षा के 33 छात्रों में रमेश का स्थान 13वां है| स्थानानुसार, 5 छात्र सुरेश से नीचे है| रमेश और सुरेश के मध्य में कितने छात्र हैं? ", 4.1, 12  , 14 , 15  , 16   
39, : D,"  X is four years older than Y who is twice asold as Z. If the total ages of X, Y and Z be 34.How old is X? X, Y से चार वर्ष बड़ा है जो किZ की आयु से दोगुना है| यदि X, Y तथाZ की कुल आयु34 वर्ष है, तोX की आयु क्या है? ", 4.1, 8  , 10 , 12  , 16 
40, : C,"  Gopal is older than Mohan but younger than Ram. Mohan is older than Sohan but younger than Ram. Who is oldest among them? गोपाल, मोहन से बड़ा किन्तु राम से छोटा है| मोहन, सोहन से बड़ा किन्तु राम से छोटा है| इनमें सबसे बड़ा कौन है? ", 4.1, Gopal/गोपाल  , Mohan/मोहन   , Ram/राम  , Sohan/सोहन  
41, : B,  Sonu's age is the cube of a whole number. It was square of the same whole number four years ago. How long he must wait before his age is again the cube of a whole number ? सोनू की आयु एक पूर्ण संख्या की घन है| चार वर्ष पहले वह उसी पूर्ण संख्या का वर्ग थी| उसकी आयु को एक पूर्ण संख्या का घन होने के लिए उसे कितनी प्रतिक्षा करनी होगी? , 4.1, 12 years/वर्ष  , 19 years/वर्ष   , 17 years/वर्ष   , 23 years/वर्ष  
42, : B,   Five years ago the age of Radhe and Mohan were in the ratio 1 : 10. The sum of their current age is 43 years. What will be the difference in their age after 10 years ? पाँच वर्ष पूर्व राधे तथा मोहन की आयु का अनुपात 1:10 था| उनके वर्तमान आयु का योग 43 वर्ष है| 10 वर्ष पश्चात् उनकी आयु का अन्तर क्या होगा? , 4.1, 22 years/वर्ष  , 27 years/वर्ष   , 28 years/वर्ष   , 30 years/वर्ष  
43, : D,"  A, B, C, D, E, F and G are members of a family consisting of four adults and three children. Two of the family members, F and G are girls. A and D are brothers and A is a doctor. E is an engineer married to one of the brothers and has two children, a boy and girl. B is married to D and G is their child. Who is C? A, B, C, D, E, F तथा G किसी परिवार के सदस्य है, जिसमें चार व्यस्क तथा तीन बच्चे हैं| परिवार के दो सदस्य F तथा G लडकियाँ है| A तथा D भाई है तथा A डॉक्टर है| E एक इंजिनियर है, जो की उनमें से किसी भाई से विवाहित है तथा उनके दो बच्चे हैं, एक लड़का और एक लड़की| B, D से विवाहित है और G उनके बच्चे है| C कौन है? ", 19.1, E's daughter/E की बेटी , F's father/F का पिता , G's brother/G का भाई , A's son/A का बेटा 
44, : B,"  B is D's mother and C is D's brother. H is E's daughter whose wife is D. How are E and C related? B, D का माता है तथा C, D का भाई है |H, E की बेटी है, जिसकी पत्नी D है|E तथा C किस प्रकार संबंधित है? ", 19.1, Father-in-law/ससुर  , Brother-in-law/साला  , Uncle/चाचा  , Brother/भाई  
45, : B,"  Pointing towards a person in a photograph, Anu said, "" he is the only son of the father of my sister's brother."" How is the person related to Anu ?    एक तस्वीर में एक व्यक्ति की ओर इशारा करते हुआ अनु ने कहा .”वह मेरी बहन के भाई के पिता का इकलौटा बेटा है|”वह व्यक्ति अनु से किस प्रकार सम्बंधित है  ? ", 19.1, Anu's Father/अनु के पिता  , Anu's Brother/अनु के भाई  , Anu's Maternal Uncle/अनु के मामा , Anu's Grandfather/अनु के दादा   
46, : A,"  Pointing to a photograph Charulata says, ""He is the son of the only son of my grandfather."" How is the man in the photograph related to Charulata? एक तस्वीर की ओर इशारा करते हुये चारुलता ने कहा ,” वह मेरे दादा के इकलौते बेटे के बेटे है |’ तस्बीर वाला व्यक्ति चारुलता से किस प्रकार सम्बंधित है ? ", 19.1, Brother/भाई   , Uncle/चाचा , Cousin/चचेरा भाई  , Data is inadequate/डाटा अपर्याप्त 
47, : C,"  Pointing to a girl in photograph. Amar said, ""Her mother's brother is the only son of my mothers's father."" How the girl's mother related to Amar? तस्वीर की एक लड़की की ओर इशारा करते हुए अमर ने कहा, “उसकी माँ का भाई, मेरी माँ के पिता का इकलौता बेटा है|” लड़की माँ, अमर से किस प्रकार संबंधित है? ", 19.1, Mother/माँ , Sister/बहन , Aunt/मौसी , Grandmother/दादी 
48, : A," Pointing to a person, Raju said, “His only brother is the father of my daughter’s father”. How is Raju related to that person ? एक व्यक्ति की ओर इशारा करते हुए राजू ने कहा ‘उनका इकलौता भाई मेरी बेटी के पिता का पिता है। राजू का उस व्यक्ति से क्या संबंध् है? ", 19.1, Nephew/भतीजा , Uncle/चाचा , Grandfather/दादा , Brother-in-law/बहनोई   
49, : B,"  Pointing to a girl Sandeep said, ""She is the daughter of the only sister of my father."" How is sandeep related to the girl? एक लकड़ी की ओर इशारा करते हुए संदीप ने कहा, “वह मेरे पिता के इकलौती बहन की बेटी है|” संदीप उस लड़की से किस प्रकार संबंधित है? ", 19.1, Uncle/चाचा , Cousin/चचेरा भाई , Father/पिता , Grandfather/दादा   
50, : D,"  Pointing to Vikram, Radhika said ""His sister is my mother's only daughter"". How is Radhika related to Vikram? विक्रम की ओर इशारा करते हुए राधिका ने कहा, “उसकी बहन मेरी माँ की इकलौती पुत्री है|” राधिका, विक्रम से किस प्रकार संबंधित है? ", 19.1, Cousin/चचेरी बहन , Daughter/बेटी , Mother/माँ , Sister/बहन   
51, : B,"  Vikas said, ""That boy is the grandson of my mother's husband. I have no brother and sister."" How is the boy related to Vikas? विकास ने कहा, “वो लड़का मेरे माँ के पति के पोता है| मेरे कोई भाई बहन नही है|” लड़का विकास से किस प्रकार संबंधित है? ", 19.1, Uncle/चाचा , Son/पुत्र , Nephew/भतीजा , Cousin/चचेरा भाई   
52, : C,"  A's son B is married with C whose sister Dis married to E the brother of B. How is Crelated to E? A का पुत्रB, C से विवाहित है जिसकी बहनD, E से विवाहित है जो किB का भाई है|C, E से किस प्रकार संबंधित है| ", 19.1, Sister/बहन , Daughter's-in-law/बहु , Sister-in-law/साली , Cousin/चचेरी बहन 
53, : A,"  O is the wife of N. Q is the son of O. M is the Brother of N and father of P. How is Q related to P? O, N की पत्नी है| Q, O का बेटा है| M, N का भाई और P का पिता है| Q, P से कैसे सम्बन्धित है?  ", 19.1, Cousin/चचेरा भाई  , Uncle/चाचा  , Brother/भाई   , Maternal Uncle/मामा  
54, : D,"  If A is B’s sister. C is B’s mother. D is C’s father. E is D’s mother, then how is A related to D ? यदि A, B की बहन है| C, B की माँ है| D, C का पिता है| E, D की माँ है, तो A, D स किस प्रकार संबंधित है? ", 19.1, Grandmother/दादी  , Grandfather/दादा  , Grandson/नाती  , Granddaughter/नातिन  
55, : D,"  Neha walking with a boy meets a woman on the way and on being asked about her relationship with the boy, she says, ""My maternal uncle and his maternal uncle's maternal uncle are brothers."" How is the boy related to the Neha?  एक लड़के के साथ जा रही नेहा किसी महिला से रास्ते में मिलती है तथा लड़के से उसके संबंध के विषय में पूछे जाने पर वह कहती है कि मेरे मामा तथा इसके मामा के मामा भाई हैं| लड़का नेहा से किस प्रकार संबंधित हैं? ", 19.1, Brother-in-law/साला , Father/पिता  , Grandson/पोता   , Son/पुत्र  
56, : C,"  ‘A’ is the sister of ‘B’. ‘B’ is married to ‘D’. ‘B’ and ‘D’ have a daughter ‘G’. How is ‘G’ related to ‘A’?  A, B की बहन है| B, D से विवाहित है| B तथा D की पुत्री G है| G, A से किस प्रकार संबंधित है|  ", 19.1, Sister/बहन , Daughter/पुत्री   , Niece/भतीजी  , Cousin/चचेरी बहन  
57, : D,"  Introducing to a boy, a girl said, ‘‘ He is the son of the daughter of the father of my uncle’’. How is the boy related to the girl? एक लड़के का परिचय कराते हुए, लड़की ने कहा, “वह मेरे चाचा के पिता की बेटी का बेटा है|” लड़का लड़की से कैसे संबंधित है| ", 19.1, Nephew/भतीजा   , Son-in-law/दामाद   , Uncle/चाचा  , Brother/भाई  
58, : B,"  If A and B are children of D, then who is the father of A? To answer this question which of the statements (1) and (2) is necessary? यदि A तथा B, D के बच्चे है, तो A का पिता कौन है| इस प्रश्न का उत्तर देने के लिए (1) तथा (2) में से कौन-सा कथन आवश्यक है? 1. C is the brother of A and the son of F.    C, A का भाई तथा F का पुत्र है| 2. F is the mother B.    F, B की माता है| ", 19.1, Only (1)/केवल (1) , Only (2)/केवल (2) , Either (1) or (2)/या तो (1) या (2) , Both (1) and (2)/(1) तथा (2) दोनों   
59, : D,"  Introducing Geeta, Sita said, ""She is the only daughter of my father's only daughter"". How is Sita related to Geeta? गीता का परिचय देते हुए, सीता ने कहा कि, “वह मेरे पिता की इकलौती पुत्री की इकलौती पुत्री है|” सीता का गीता से क्या सम्बन्ध है? ", 19.1, Niece/भतीजी , Cousin/चचेरी बहन , Aunt/चाची , None of these/इनमें से कोई नहीं   
60, : C,"  Rahul pointed towards the photo of his son and said to Lata, 'Her mother is the daughter of your mother.' How is Rahul related to Lata ?  राहुल ने अपने बेटे की फोटो की ओर संकेत करते हुए लता से कहा, ‘इसकी माँ, तुम्हारी माँ की पुत्री है|’ राहुल लता से किस प्रकार संबंधित है? ", 19.1, Son/पुत्र  , Brother/भाई   , Brother-in-law/जीजा   , Maternal uncle/मौसा  
