Questions,optionA,optionB,optionC,optionD,Correct,category
"छह व्यक्ति C, D, E, F, G तथा H उत्तर दिशा की ओर मुँह करके एक सीधी रेखा में खड़े हैं (जरुरी नहीं कि उसी क्रम में) | D, F के दायें दूसरा है | C, H के बाएं चौथे स्थान पर खड़ा है | तथा H रेखा के किसी भी छोर पर नहीं खड़ा है | E, D के दायें दुसरे स्थान पर खड़ा है |   E के सम्बन्ध में G का स्थान कौन सा?",एकदम बाएं,बाएं से दूसरा, बाएं से तीसरा, दायें से तीसरा,c,20.1
"छह व्यक्ति C, D, E, F, G तथा H उत्तर दिशा की ओर मुँह करके एक सीधी रेखा में खड़े हैं (जरुरी नहीं कि उसी क्रम में) | D, F के दायें दूसरा है | C, H के बाएं चौथे स्थान पर खड़ा है | तथा H रेखा के किसी भी छोर पर नहीं खड़ा है | E, D के दायें दुसरे स्थान पर खड़ा है |   निम्न में से कौनसा युग्म दर्शाता है कि ये दोनों व्यक्ति रेखा के आखिरी छोर पर बैठे हैं?",FH, CE, DE,DH,b,20.1
"छह व्यक्ति C, D, E, F, G तथा H उत्तर दिशा की ओर मुँह करके एक सीधी रेखा में खड़े हैं (जरुरी नहीं कि उसी क्रम में) | D, F के दायें दूसरा है | C, H के बाएं चौथे स्थान पर खड़ा है | तथा H रेखा के किसी भी छोर पर नहीं खड़ा है | E, D के दायें दुसरे स्थान पर खड़ा है |    C के दायें दूसरे स्थान पर कौन बैठा है?",F,D,G,E,c,20.1
"छह व्यक्ति C, D, E, F, G तथा H उत्तर दिशा की ओर मुँह करके एक सीधी रेखा में खड़े हैं (जरुरी नहीं कि उसी क्रम में) | D, F के दायें दूसरा है | C, H के बाएं चौथे स्थान पर खड़ा है | तथा H रेखा के किसी भी छोर पर नहीं खड़ा है | E, D के दायें दुसरे स्थान पर खड़ा है |    नीचे दिये गये चार विकल्पों में से तीन, ऊपर दी गयी व्यवस्था में अपने बैठने के स्थान के अनुसार एक निश्चित तरीके से समान है तथा एक समूह बनाते हैं | निम्न से कौन सा उस समूह में नहीं आता है?",CG,GE,GH,DE,b,20.1
"छह व्यक्ति C, D, E, F, G तथा H उत्तर दिशा की ओर मुँह करके एक सीधी रेखा में खड़े हैं (जरुरी नहीं कि उसी क्रम में) | D, F के दायें दूसरा है | C, H के बाएं चौथे स्थान पर खड़ा है | तथा H रेखा के किसी भी छोर पर नहीं खड़ा है | E, D के दायें दुसरे स्थान पर खड़ा है |    यदि सभी व्यक्तियों को बाएं से दायें वर्ण माला के क्रम के अनुसार बैठाया जाये तो कितने व्यक्तियों का स्थान अपरिवर्तित रहेगा?",एक,दो, तीन,चार,a,20.1
"A, B, C, X, Y तथा Z उत्तर की ओर मुँह करके एक सीधी रेखा में बैठें हैं | C, Z के दायें तीसरे स्थान पर बैठा है तथा B, C के दायें दुसरे स्थान पर है | X, A के एकदम दायें बैठा है          निम्न से कौनसा युग्म रेखा से एकदम बीच में बैठा है?", XB,ZB, BX,XC,d,20.1
"A, B, C, X, Y तथा Z उत्तर की ओर मुँह करके एक सीधी रेखा में बैठें हैं | C, Z के दायें तीसरे स्थान पर बैठा है तथा B, C के दायें दुसरे स्थान पर है | X, A के एकदम दायें बैठा है         Z के सम्बन्ध X का स्थान कौनसा है?",Z के एकदम दायें, बाएं से दूसरा,दायें से तीसरा,दायें से दूसरा,d,20.1
"A, B, C, X, Y तथा Z उत्तर की ओर मुँह करके एक सीधी रेखा में बैठें हैं | C, Z के दायें तीसरे स्थान पर बैठा है तथा B, C के दायें दुसरे स्थान पर है | X, A के एकदम दायें बैठा है        नीचे दिये चार विकल्पों में से तीन, ऊपर दी व्यवस्था में अपने बैठने के स्थान से अनुसार एक निश्चित तरीके से समान है तथा एक समूह बनाते हैं | निम्न में कौनसा उस समूह में नहीं आता है |", ZA,XC, CY,XA,d,20.1
"A, B, C, X, Y तथा Z उत्तर की ओर मुँह करके एक सीधी रेखा में बैठें हैं | C, Z के दायें तीसरे स्थान पर बैठा है तथा B, C के दायें दुसरे स्थान पर है | X, A के एकदम दायें बैठा है         A तथा C के बीच में कितने लोग बैठें हैं?",1,2,3,4,a,20.1
"A, B, C, X, Y तथा Z उत्तर की ओर मुँह करके एक सीधी रेखा में बैठें हैं | C, Z के दायें तीसरे स्थान पर बैठा है तथा B, C के दायें दुसरे स्थान पर है | X, A के एकदम दायें बैठा है         यदि A : X तथा Z : A है तब Y : ??",Y,B,A,X,b,20.1
"नीचे दी गई जानकारी का अध्यन कीजिये और नीचे दिए गए प्रश्नों के उत्तर दीजिये::
आठ व्यक्ति A, B, C, D, E, F, G, और H एक सीधी रेखा में बैठे हैं लेकिन आवश्यक नहीं की इसी क्रम में हों. उनमें से कुछ का मुख उत्तर की ओर है जबकि कुछ का मुख दक्षिण की ओर है. उनमें से प्रत्येक को विभिन्न रंग पसंद हैं अर्थात ऑडी, टाटा, फोर्ड, रेनॉल्ट, होंडा, मारुति, डैटसन और महिंद्रा लेकिन आवश्यक नहीं की इसी क्रम में हों. उनके बारे में नीचे कुछ जानकारी दी गई है.
A उस व्यक्ति के दायें से चौथे स्थान पर बैठा है जिसे महिंद्रा कार पसंद है. H को डैटसन कार पसंद है और वह A के दायें से दूसरे स्थान पर बैठा है. H और G जिसे मारुति कार पसंद है उनके मध्य दो व्यक्ति बैठे हैं. G का कोई एक निकटतम पडोसी अंतिम छोर पर बैठा है. A और F जिसे होंडा कार पसंद है उनके मध्य चार व्यक्ति बैठे हैं. G के निकटतम पडोसी का मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि G के किसी एक निकटतम पडोसी का मुख उत्तर में है तो G के दूसरे पडोसी का मुख दक्षिण की ओर होगा या इसके विपरीत). E को रेनॉल्ट कार पसंद है और वह H के आसन्न नहीं बैठा है. वह व्यक्ति जिसे टाटा कार पसंद है वह G के दायें से दूसरे स्थान पर बैठा है. A को ऑडी कार पसंद नहीं है. वह व्यक्ति जो अंतिम छोर पर बैठा है उसका मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि एक व्यक्ति का मुख उत्तर की ओर है तो दूसरे व्यक्ति का मुख दक्षिण की ओर होगा या इसके विपरीत). B, C के ठेक बाएं बैठा है. वह व्यक्ति जिसे टाटा पसंद है वह H के ठीक दायें बैठा है जिसका मुख दक्षिण दिशा की ओर है. C और D का मुख समान दिशा की ओर है.                 A को निम्नलिखित में से कौन सी कार पसंद है?",रेनॉल्ट,मारुति,टाटा,फोर्ड,b,20.1
"नीचे दी गई जानकारी का अध्यन कीजिये और नीचे दिए गए प्रश्नों के उत्तर दीजिये::
आठ व्यक्ति A, B, C, D, E, F, G, और H एक सीधी रेखा में बैठे हैं लेकिन आवश्यक नहीं की इसी क्रम में हों. उनमें से कुछ का मुख उत्तर की ओर है जबकि कुछ का मुख दक्षिण की ओर है. उनमें से प्रत्येक को विभिन्न रंग पसंद हैं अर्थात ऑडी, टाटा, फोर्ड, रेनॉल्ट, होंडा, मारुति, डैटसन और महिंद्रा लेकिन आवश्यक नहीं की इसी क्रम में हों. उनके बारे में नीचे कुछ जानकारी दी गई है.
A उस व्यक्ति के दायें से चौथे स्थान पर बैठा है जिसे महिंद्रा कार पसंद है. H को डैटसन कार पसंद है और वह A के दायें से दूसरे स्थान पर बैठा है. H और G जिसे मारुति कार पसंद है उनके मध्य दो व्यक्ति बैठे हैं. G का कोई एक निकटतम पडोसी अंतिम छोर पर बैठा है. A और F जिसे होंडा कार पसंद है उनके मध्य चार व्यक्ति बैठे हैं. G के निकटतम पडोसी का मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि G के किसी एक निकटतम पडोसी का मुख उत्तर में है तो G के दूसरे पडोसी का मुख दक्षिण की ओर होगा या इसके विपरीत). E को रेनॉल्ट कार पसंद है और वह H के आसन्न नहीं बैठा है. वह व्यक्ति जिसे टाटा कार पसंद है वह G के दायें से दूसरे स्थान पर बैठा है. A को ऑडी कार पसंद नहीं है. वह व्यक्ति जो अंतिम छोर पर बैठा है उसका मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि एक व्यक्ति का मुख उत्तर की ओर है तो दूसरे व्यक्ति का मुख दक्षिण की ओर होगा या इसके विपरीत). B, C के ठेक बाएं बैठा है. वह व्यक्ति जिसे टाटा पसंद है वह H के ठीक दायें बैठा है जिसका मुख दक्षिण दिशा की ओर है. C और D का मुख समान दिशा की ओर है.                                    उत्तर दिशा की ओर कितने व्यक्तियों का मुख है?",2,4,5,इनमें से कोई नहीं,d,20.1
"नीचे दी गई जानकारी का अध्यन कीजिये और नीचे दिए गए प्रश्नों के उत्तर दीजिये::
आठ व्यक्ति A, B, C, D, E, F, G, और H एक सीधी रेखा में बैठे हैं लेकिन आवश्यक नहीं की इसी क्रम में हों. उनमें से कुछ का मुख उत्तर की ओर है जबकि कुछ का मुख दक्षिण की ओर है. उनमें से प्रत्येक को विभिन्न रंग पसंद हैं अर्थात ऑडी, टाटा, फोर्ड, रेनॉल्ट, होंडा, मारुति, डैटसन और महिंद्रा लेकिन आवश्यक नहीं की इसी क्रम में हों. उनके बारे में नीचे कुछ जानकारी दी गई है.
A उस व्यक्ति के दायें से चौथे स्थान पर बैठा है जिसे महिंद्रा कार पसंद है. H को डैटसन कार पसंद है और वह A के दायें से दूसरे स्थान पर बैठा है. H और G जिसे मारुति कार पसंद है उनके मध्य दो व्यक्ति बैठे हैं. G का कोई एक निकटतम पडोसी अंतिम छोर पर बैठा है. A और F जिसे होंडा कार पसंद है उनके मध्य चार व्यक्ति बैठे हैं. G के निकटतम पडोसी का मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि G के किसी एक निकटतम पडोसी का मुख उत्तर में है तो G के दूसरे पडोसी का मुख दक्षिण की ओर होगा या इसके विपरीत). E को रेनॉल्ट कार पसंद है और वह H के आसन्न नहीं बैठा है. वह व्यक्ति जिसे टाटा कार पसंद है वह G के दायें से दूसरे स्थान पर बैठा है. A को ऑडी कार पसंद नहीं है. वह व्यक्ति जो अंतिम छोर पर बैठा है उसका मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि एक व्यक्ति का मुख उत्तर की ओर है तो दूसरे व्यक्ति का मुख दक्षिण की ओर होगा या इसके विपरीत). B, C के ठेक बाएं बैठा है. वह व्यक्ति जिसे टाटा पसंद है वह H के ठीक दायें बैठा है जिसका मुख दक्षिण दिशा की ओर है. C और D का मुख समान दिशा की ओर है.                       निम्नलिखित में से कौन G के दायें से पांचवें स्थान पर बैठा है?",D,H,C,B,a,20.1
"नीचे दी गई जानकारी का अध्यन कीजिये और नीचे दिए गए प्रश्नों के उत्तर दीजिये::
आठ व्यक्ति A, B, C, D, E, F, G, और H एक सीधी रेखा में बैठे हैं लेकिन आवश्यक नहीं की इसी क्रम में हों. उनमें से कुछ का मुख उत्तर की ओर है जबकि कुछ का मुख दक्षिण की ओर है. उनमें से प्रत्येक को विभिन्न रंग पसंद हैं अर्थात ऑडी, टाटा, फोर्ड, रेनॉल्ट, होंडा, मारुति, डैटसन और महिंद्रा लेकिन आवश्यक नहीं की इसी क्रम में हों. उनके बारे में नीचे कुछ जानकारी दी गई है.
A उस व्यक्ति के दायें से चौथे स्थान पर बैठा है जिसे महिंद्रा कार पसंद है. H को डैटसन कार पसंद है और वह A के दायें से दूसरे स्थान पर बैठा है. H और G जिसे मारुति कार पसंद है उनके मध्य दो व्यक्ति बैठे हैं. G का कोई एक निकटतम पडोसी अंतिम छोर पर बैठा है. A और F जिसे होंडा कार पसंद है उनके मध्य चार व्यक्ति बैठे हैं. G के निकटतम पडोसी का मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि G के किसी एक निकटतम पडोसी का मुख उत्तर में है तो G के दूसरे पडोसी का मुख दक्षिण की ओर होगा या इसके विपरीत). E को रेनॉल्ट कार पसंद है और वह H के आसन्न नहीं बैठा है. वह व्यक्ति जिसे टाटा कार पसंद है वह G के दायें से दूसरे स्थान पर बैठा है. A को ऑडी कार पसंद नहीं है. वह व्यक्ति जो अंतिम छोर पर बैठा है उसका मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि एक व्यक्ति का मुख उत्तर की ओर है तो दूसरे व्यक्ति का मुख दक्षिण की ओर होगा या इसके विपरीत). B, C के ठेक बाएं बैठा है. वह व्यक्ति जिसे टाटा पसंद है वह H के ठीक दायें बैठा है जिसका मुख दक्षिण दिशा की ओर है. C और D का मुख समान दिशा की ओर है.                 निम्नलिखित में से किसे ऑडी कार पसंद है?",D,H,C,B,a,20.1
"नीचे दी गई जानकारी का अध्यन कीजिये और नीचे दिए गए प्रश्नों के उत्तर दीजिये::
आठ व्यक्ति A, B, C, D, E, F, G, और H एक सीधी रेखा में बैठे हैं लेकिन आवश्यक नहीं की इसी क्रम में हों. उनमें से कुछ का मुख उत्तर की ओर है जबकि कुछ का मुख दक्षिण की ओर है. उनमें से प्रत्येक को विभिन्न रंग पसंद हैं अर्थात ऑडी, टाटा, फोर्ड, रेनॉल्ट, होंडा, मारुति, डैटसन और महिंद्रा लेकिन आवश्यक नहीं की इसी क्रम में हों. उनके बारे में नीचे कुछ जानकारी दी गई है.
A उस व्यक्ति के दायें से चौथे स्थान पर बैठा है जिसे महिंद्रा कार पसंद है. H को डैटसन कार पसंद है और वह A के दायें से दूसरे स्थान पर बैठा है. H और G जिसे मारुति कार पसंद है उनके मध्य दो व्यक्ति बैठे हैं. G का कोई एक निकटतम पडोसी अंतिम छोर पर बैठा है. A और F जिसे होंडा कार पसंद है उनके मध्य चार व्यक्ति बैठे हैं. G के निकटतम पडोसी का मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि G के किसी एक निकटतम पडोसी का मुख उत्तर में है तो G के दूसरे पडोसी का मुख दक्षिण की ओर होगा या इसके विपरीत). E को रेनॉल्ट कार पसंद है और वह H के आसन्न नहीं बैठा है. वह व्यक्ति जिसे टाटा कार पसंद है वह G के दायें से दूसरे स्थान पर बैठा है. A को ऑडी कार पसंद नहीं है. वह व्यक्ति जो अंतिम छोर पर बैठा है उसका मुख विपरीत दिशा की ओर है (विपरीत दिशा का अर्थ है यदि एक व्यक्ति का मुख उत्तर की ओर है तो दूसरे व्यक्ति का मुख दक्षिण की ओर होगा या इसके विपरीत). B, C के ठेक बाएं बैठा है. वह व्यक्ति जिसे टाटा पसंद है वह H के ठीक दायें बैठा है जिसका मुख दक्षिण दिशा की ओर है. C और D का मुख समान दिशा की ओर है.                 यदि F ऑडी से संबंधित है और A रेनॉल्ट से संबंधित है उसी प्रकार H किस से संबंधित है?", फोर्ड,रेनॉल्ट,होंडा,टाटा,b,20.1
"In a row of children, Harish is eleventh from the left and Sumit is seventeenth from the right. When they exchange their places, then Harish will be thirteenth form the left. Which of the following will be the new position of Sumit form the right?
बच्चों की एक पंक्ति में, हरिश बाएं से ग्यारहवें और सुमित दाएं ओर से सतरहवां है। जब वे अपना स्थान बदलते है, तो हरिश बाएं ओर से तेरहवां होगा। निम्नलिखित में से कौन-सी सुमित की दाएं से सही स्थिति होगी? 
",Eleventh/ ग्यारहवां,Twenty-First/ इक्कीसवां,Nineteenth/ उन्नीसवां,Twenty-Ninth/ उन्नतीसवां,c,20.1
