,Correct,OptionA,OptionB,OptionC,OptionD,Questions,Category
21, d,  लकड़ी, धुँआ, गरमी, आग, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। आहार : आदमी : : ईंधन : ? ,2.1
22, c,  वजन,  जीवन, गुरुत्‍वाकर्षण,गरमाई, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। बर्फ : ठण्‍डक : : पृथ्‍वी : ? ,2.1
23, a, चोंच,  जंगल, झाड़ी, घास, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। कप : होठ : : पक्षी : ? ,2.1
24, a,  स्थिर,चलना, गिरना,चढ़ना, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। नदी : बहना : : हौज : ? ,2.1
25, a ,  पायरिया,एक्जिमा (खुजली), मोतियाबिंद,ट्रेकोमा, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। सिरदर्द : सिर : : ? : दाँत ,2.1
26, a,  बीज,स्‍वाद,टहनी,पुष्‍प, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। पुष्‍प : कली : : पौधा : ? ,2.1
27, b,  मृत्‍यु, कुपोषण, सूखा,निरक्षरता, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। निर्धनता : बेरोजगारी : : अरक्‍तता : ? ,2.1
28, a,  आवर्धन करना,तानना, जाँच पड़ताल,परीक्षण करना, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। रेडियो : आवाज : : सूक्ष्‍मदर्शी : ? ,2.1
29, d, नियोक्‍ता, मजदूर, मैनेजर,नेता, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। चिकित्‍सक : नर्स : : ? : अनुगामी ,2.1
30, d,  पांडा,हाथी, चीता,  भालू, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। भारत : मोर : : रूस : ? ,2.1
31, b,90,20,8,0, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। PRACTICE : 45 : : QUESTION : ? ,2.1
32, b,  उल्‍टा, सावधान,निश्चित,  ताला/बंद, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। सकुशल : भय रहित : सावधान : ? ,2.1
33, a,  महिमा, श्रद्धा,पूरक, सिफारिश, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। पूजा : उपासना : : प्रशंसा : ? ,2.1
34, d,  भक्‍त,  विस्‍वासी, साथी, शत्रु, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। प्रेम : घृणा : : मित्र : ? ,2.1
35, d,73,63,93,83, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 1444 : 38 : 6889 : ? ,2.1
36, b,  लाभ : सफलता, दुर्लभता : अधिशेष, हृदय : आत्‍मा, देखना : विश्‍वास करना, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। प्रोत्‍साहन करना : रोक लगाना : : ? ,2.1
37, d, घोंसला, छेद,छत्ता, खलिहान, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। खरगोश : बिल : : उल्‍लू : ? ,2.1
38, b,  हड्डियां,  पक्षी, साँप, द्वीप, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। पुरातत्त्वेत्ता : पुरातत्त्व : : पक्षी विज्ञानी : ? ,2.1
39, d,  पुखराज, मोती, गार्नेट, रूबी, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। कार्बन : हीरा : : कोरन्‍डम : ? ,2.1
40, d, NOPQ, RSTU, QRST, PQRS, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। CDEF : 42 : : ? : 614 ,2.1
41, c, उद्यान, खेत, लॉन,बगीचा, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। पेड़ : जंगल : : घास : ? ,2.1
42, c,31,12,15,13, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। 14 : 9 : : 26 : ? ,2.1
43, a,लबादा, टोपी, टाई, कोट, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। साकका : पुजारी : : ? : स्‍नातक ,2.1
44, b, पत्‍थर,  प्रतिमा, संग्रहालय, छेनी, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। वास्‍तुकार : इमारत : : मूर्तिकार : ? ,2.1
45, b,  हाथी,  गाय, शेर, मेमना, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। चीता : पंजा : : ? : खुर ,2.1
46, d, गाढ़ा,  बल, बर्फ,ठोस, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। पिघलना : द्रव : : जमना : ? ,2.1
47, b,  संवाददाता,  निर्देशक, संपादक, वितरक, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। सभा : अध्‍यक्ष : : फिल्‍म : ? ,2.1
48, a,  गंगटोक,  अमृतसर,  बड़ोदा, इलाहाबाद, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। इम्‍फाल : शिलांग : : आइजोल : ? ,2.1
49, b, भूख : प्‍यास,  कानून : अराजकता,  शिष्‍टाचार : अनुशासन,उत्तेजक : संवेदनशीलता, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। दवा : बीमारी : : ? ,2.1
50, a, दिरहम,मैड्रिड,टर्की, व्‍यापक, निम्नलिखित प्रश्न में दिए गए विकल्पों में से संबंधित संख्या को चुनिए। युआन : क्‍यात : लीरा : ? ,2.1
