,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
14, – A)New York,New York,Vienna,Geneva,Paris,None of these,UNICEF headquartered in …………………," : The United Nations Children’s Education Fund (UNICEF) is a United Nations program headquartered in New York City that provides long-term humanitarian and developmental assistance to children and mothers in developing countries.UNICEF was created by the United Nations General Assembly on December 11, 1946.",27.1
15, – A)1972,1972,1980,1952,1993,None of these,"	UNEP is an agency that coordinates its environmental activities, assisting developing countries in implementing environmentally sound policies and practices. It was founded in …………."," :United Nations Environment Programme (UNEP) is an agency that coordinates its environmental activities, assisting developing countries in implementing environmentally sound policies and practices. It was founded by Maurice Strong, its first director, as a result of the United Nations Conference on the Human Environment in June 1972 and has its headquarters in the Gigiri neighborhood of Nairobi, Kenya.",27.1
16, – C)Geneva,Kenya,Paris,Geneva,New York,None of these,World Intellectual Property Organization(WIPO) is one of the 17specialized agencies of the United Nations and is headquartered in ," :The World Intellectual Property Organization (WIPO) is one of the 17 specialized agencies of the United Nations.WIPO was created in 1967 .WIPO currently has 188 member states, administers 26 international treaties and is headquartered in Geneva, Switzerland.",27.1
17, – C)1947,1982,1956,1947,1976,None of these,The International Organization for Standardization(ISO) is Founded in," :The International Organization for Standardization (ISO) is an international standard-setting body composed of representatives from various national standards organizations.Founded on 23 February 1947.It is headquartered in Geneva, Switzerland.",27.1
18, – D)Blue and White,Red and Blue,Only Blue,Only White,Blue and White,None of these,The colour combination of UN-Flag is ……………..," :The flag of the United Nations was adopted on December 7, 1946, and consists of the official emblem of the United Nations in white on a blue background.",27.1
19, – A)IFAD,IFAD,IMF,IADB,IDB,None of these,……………………. is a specialized agency of the United Nations dedicated to eradicating rural poverty in developing countries," :The International Fund for Agricultural Development (IFAD) is a specialized agency of the United Nations dedicated to eradicating rural poverty in developing countries. It was established as an international financial institution in 1977 Its headquarters is in Rome, Italy, and is a member of the United Nations Development Group.",27.1
20, – C)The Hague,London,Montreal,The Hague,Berne,None of these,The International Court of Justice (ICJ) is the principal judicial organ of the United Nations (UN). The seat of the Court is at the Peace Palace in ………………….., :The International Court of Justice (ICJ) is the principal judicial organ of the United Nations (UN). It was established in June 1945 by the Charter of the United Nations and began work in April 1946. The seat of the Court is at the Peace Palace in The Hague (Netherlands).,27.1
21, – A)ICAO,ICAO,FAO,UPU,IAEA,None of these,"Which of the following headquarters located in the Quartier International of Montreal, Canada ?"," :The International Civil Aviation Organization (ICAO) is a specialized agency of the United Nations. It codifies the principles and techniques of international air navigation and fosters the planning and development of international air transport to ensure safe and orderly growth.Its headquarters are located in the Quartier International of Montreal, Canada.",27.1
22, – D)1894,1984,1856,1872,1894,None of these,The International Olympic Committee is formed in …………….," :The International Olympic Committee is an international, non-profit, non-governmental organization based in Lausanne, Switzerland, created by Pierre de Coubertin, on 23 June 1894 .",27.1
23, – C)Madrid,Belarus,Mecca,Madrid,Vienna,None of these,United Nations World Tourism Organization headquarters are located in ……………..," :The United Nations World Tourism Organization (UNWTO) is the United Nations agency responsible for the promotion of responsible, sustainable and universally accessible tourism. Its headquarters are located in Madrid, Spain.It was formed in 1957.",27.1
24, –  D)Iraq,Bahrain,Iran,Kuwait,Iraq,None of these,Which of the following is not a member of  GCC ?," :The Cooperation Council for the Arab States of the Gulf known as the Gulf Cooperation Council (GCC) is a regional intergovernmental political and economic union consisting of all Arab states of the Persian Gulf, except for Iraq. Its member states are  Bahrain,  Kuwait, Oman, Qatar, Saudi Arabia, and the United Arab Emirates.Its HQ in Riyadh, Saudi Arabia",27.1
25, – C)1961,1985,1972,1961,1993,None of these,The Non-Aligned Movement(NAM) was founded in Belgrade in ……………..," :The Non-Aligned Movement (NAM) is a group of states which are not formally aligned with or against any major power bloc. As of 2012, the movement has 120 members. The organization was founded in Belgrade in 196A)",27.1
26, – D)an intergovernmental organization,The United Nations agency,An Economic union,Anon-governmental organization,An intergovernmental organization,None of these,The Indian Ocean Commission(IOC) is ……………………," :The Indian Ocean Commission (IOC) is an intergovernmental organization that was created in 1982 at Port Louis, Mauritius and institutionalized in 1984 by the Victoria Agreement in Seychelles. The IOC is composed of five African Indian Ocean nations: Comoros,Réunion (a department of FrancE), Madagascar, Mauritius and Seychelles.",27.1
27, – E)All of these,Iceland,Norway,Switzerland,Liechtenstein,All of these,Which of the following is member of European Free Trade Association (EFTA) ?," :The European Free Trade Association (EFTA) is a common market consisting of four European countries that operates in parallel with and is linked to the European Union (EU)The EFTA was established on 3 May 1960 as a trade bloc-alternative for European states.HQ – Geneva, Switzerland. Members are Iceland, Liechtenstein, Norway, and Switzerland",27.1
28, – D)1933,1963,1970,1942,1933,None of these,The International Rescue Committee(IRC) was Founded in ………………," :The International Rescue Committee (IRC) is a global humanitarian aid,relief and development  non governmental organization. Founded in 1933 at the request of Albert Einstein, the IRC offers emergency aid and long-term assistance to refugees and those displaced by war, persecution or natural disaster.Its headquarters located in New York, USA",27.1
29, – A)Resolution 1 ,Resolution 1,Resolution 2,Resolution 3,Resolution 4,None of these,The United Nations Atomic Energy Commission (UNAEC) was founded on 24 January 1946 by ……………….. of the United Nations General Assembly resolution," :The United Nations Atomic Energy Commission (UNAEC) was founded on 24 January 1946 by Resolution 1 of the United Nations General Assembly resolution “to deal with the problems raised by the discovery of atomic energy. HQ – New York, USA",27.1
30, – A)Gland,Gland,New York,Vienna,Geneva,None of these,"	Wide Fund for Nature is an international non-governmental organization founded on April 29, 1961, its headquarters in …………."," :The World Wide Fund for Nature is an international non-governmental organization founded on April 29, 1961, working in the field of the biodiversity conservation, and the reduction of humanity’s footprint on the environment. Headquarters: Gland, Switzerland",27.1
31, – B)1999,1982,1999,1960,1972,None of these,The G-20 was founded in ……………….., :The G-20 was founded in 1999. The Group of Twenty is an international forum for the governments and central bank governors from 20 major economies.,27.1
32, – D)Pakistan,India,China,Indonesia,Pakistan,None of these,Which of the following country is not included in G-20 forum ?," :The members include 19 individual countries Argentina, Australia, Brazil, Canada, China,France, Germany, India, Indonesia, Italy, Japan, South Korea, Mexico, Russia, Saudi Arabia, South Africa, Turkey, the United Kingdom and the United States—along with the European Union (EU).",27.1
33, – C)Switzerland,Malaysia,France,Switzerland,India,None of these,International Hockey Federation is commonly known by the acronym FIH headquarters are located in …………………….," :International Hockey Federation is commonly known by the acronym FIH is the international governing body of field hockey and indoor field hockey. Its headquarters are located in Lausanne, Switzerland",27.1
34, – C)15,14,20,15,12,None of these,How many countries are included in the Peace and Security Council ?, :The Peace and Security Council is the organ of the African Union in charge of enforcing union decisions. It is patterned somewhat after the United Nations Security Council.It consist of 15 countries as its member. HQ – Addis Ababa,27.1
35, – D)Russia,Italy,Canada,Germany,Russia,None of these,Which country is recently suspended from G-8 forum ?," :The Group of Eight (currently known as Group of Seven) is a governmental political forum. It was originally formed by six leading industrial countries and subsequently extended with two additional members – one of which, Russia, has been suspended.Since 2014 in effect it comprises seven nations and the European Union.",27.1
36, – B)Asia and Australia.,Asia and Africa,Asia and Australia.,Asia and America,All of these,None of these,The Asian Football Confederation(AFC) is the governing body of association football in ……………………..," :The Asian Football Confederation (AFC) is the governing body of association football in Asia and Australia. It has 47 member countries, mostly located on the Asian and Australian continent but excluding all the transcontinental countries with territory in both Europe and Asia, which are members of UEFA Headquarters- Kuala Lumpur,Malaysia",27.1
37, – A)Basel,Basel,Lyon,Abu Dhabi,Manila,None of these,The Bank for International Settlements(BIS) is an international company limited by shares owned by central banks.Its HQ located in," :The Bank for International Settlements is an international company limited by shares owned by central banks which “fosters international monetary and financial cooperation and serves as a bank for central banks” Headquarters: Basel, Switzerland",27.1
38, – A)London,London,Rome,Paris,Geneva,None of these,"	The International Tennis Federation (ITF) is the governing body of world tennis,its headquarters in"," : The International Tennis Federation (ITF) is the governing body of world tennis, made up of 210 national tennis associations or corresponding organizations of independent countries or territories Headquarters-London, England, UK",27.1
39, – C)France,Russia,UK,France,China,None of these,Which country is included in the G – 7 forum ?," :The Group of 7 (G7) is a group consisting of Canada, France, Germany, Italy, Japan, the United Kingdom, and the United States. The European Union is also represented within the G7. These countries are the seven major advanced economies as reported by the International Monetary Fund",27.1
40, – A)The Hague,The Hague,Vienna,New York,Paris,None of these,"	Organisation for the Prohibition of Chemical Weapons(OPCW) is an intergovernmental organisation, located in………………."," :The Organisation for the Prohibition of Chemical Weapons (OPCW) is an intergovernmental organisation, located in The Hague,Netherlands.",27.1
41, – C)2001,1980,1998,2001,2010,None of these,World Toilet Organization was established in the year ………………………, :The World Toilet Organization is a global non-profit organization committed to improving toilet and sanitation conditions worldwide. Headquarters: Singapore,27.1
42, – D)Vienna,Washington,Paris,Rome,Vienna,None of these,International Centre for Migration Policy Development(ICMPD) headquarters are located in ……………….," :The International Centre for Migration Policy Development (ICMPD) was established by Austria and Switzerland in 1993 and has since grown to 14 member states. ICMPD was founded to carry out research, projects and activities on migration-related issues",27.1
43, – B)1993,1980,1993,1972,1966,None of these,International Centre for Migration Policy Development(ICMPD) was established in," :The International Centre for Migration Policy Development (ICMPD) was established by Austria and Switzerland in 1993 and has since grown to 14 member states. ICMPD was founded to carry out research, projects and activities on migration-related issues",27.1
44, – C)International Federation of Red Cross and Red Crescent Societies,International Centre for Migration Policy Development,International Criminal Police Organization,International Federation of Red Cross and Red Crescent Societies,International Criminal Court,None of these,Which of the following headquarters located in Geneva ?," :The International Federation of Red Cross and Red Crescent Societies reaches 160 million people each year through its 190-member National Societies. HQ – Geneva, Switzerland",27.1
45, – A)1959,1959,1962,1989,1970,None of these,Antarctic Treaty System is established in ……………………, :The Antarctic Treaty System is the whole complex of arrangements made for the purpose of regulating relations among states in the Antarctic.,27.1
46, – B)Djibouti,Vienna,Djibouti,The Hague,Geneva,None of these,Intergovernmental Authority on Development(IGAD) headquarters located in," :The Intergovernmental Authority on Development (IGAD) is an eight-country trade bloc in Africa. It includes governments from the Horn of Africa, Nile Valley, and the African Great Lakes. Its headquarters are in Djibouti City.",27.1
47, – C)1930,1958,1946,1930,1962,None of these,Commonwealth Games Federation(CGF) is established in," :The Commonwealth Games Federation (CGF) is the international organisation responsible for the direction and control of the Commonwealth Games, and is the foremost authority in matters relating to the games. Headquarters-London, England, United Kingdom",27.1
48, – A)Germany,Germany,France,USA,Italy,None of these,International Paralympic Committee headquarters located in ………………..," :The International Paralympic Committee is an international non-profit organisation and the global governing body for the Paralympic Movement. Headquarters: Bonn, Germany",27.1
49, – B)1909,1990,1909,1980,1956,None of these,International Cricket Council(ICC) is established in …………………..," :The International Cricket Council (ICC) is the international governing body of cricket. It was founded as the Imperial Cricket Conference in 1909 by representatives from England, Australia and South Africa, renamed the International Cricket Conferencein 1965 HQ – UAE",27.1
50, – A)India,India,Iraq,Iran,UAE,None of these,Which of the following is not the member of OPEC ?," :OPEC(Organization of the Petroleum Exporting Countries) has 13 members namely: Algeria, Angola, Ecuador,Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, United Arab Emirates and Venezuela. HQ : Vienna, Austria",27.1
51, – C)1985,1980,1986,1985,1987,None of these,SAARC was formed by seven states in ……………………….," :SAARC was founded by seven states in 1985 .South Asian Association for Regional Cooperation (SAARC) is an  economic  and  geopolitical organisation of eight countries that are primarily located in  South Asia or the Indian subcontinent.The SAARC Secretariat is based in Kathmandu, Nepal.The combined economy of SAARC is the 3rd largest in the world in the terms of GDP(PPP) after the United States and China Member states: Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, and Sri Lanka.",27.1
52, – B)193,192,193,190,188,None of these,How many countries are member of the United Nations ?," :The UN officially came into existence on 24 October 1945, after ratification of the United Nations Charter by the five permanentmembers of the United Nations Security Council (the Republic of China, France, the Soviet Union, the United Kingdom, and theUnited States) and a majority of the other signatories. There are currently 193 Member States of the United Nations. The latest State to join the United Nations was Montenegro in 2006.",27.1
53, – E)UAE,China,France,Russia,US,UAE,Which of the following country is not a permanent member of UN Security Council ?," :The permanent members of the United Nations Security Council, also known as thenPermanent Five, Big Five, or P5, include the following five governments: China, France, Russia, the United Kingdom, and the United States.",27.1
54," – D)Oct 24, 1945","Jan 24, 1945","Nov 5, 1940","Sept 20,1942","Oct 24, 1945",None of these ,UN security council founded on  …………………..," :The United Nations Security Council (UNSC) is one of the six principal organs of the United Nations and is charged with the maintenance of international peace and security as well as accepting new members to the United Nations and approving any changes to its United Nations Charter. HQ: New York, US",27.1
55, – A)28,28,25,22,20,None of these,The European Union is a politico'clear Lock' -e 'keycode 0x42 = Escape'conomic union of …………………member states that are located primarily in Europe.," :The European Union is a politico'clear Lock' -e 'keycode 0x42 = Escape'conomic union of 28 member states that are located primarily in Europe. Founded on November 1, 1993, HQ: City of Brussels, Belgium",27.1
56, – A)BRIC,BRIC,RBC,GATT,G4,None of these,BRICS was originally known as …………before the inclusion of South Africa in 2010.," :BRICS is the acronym for an association of five major emerging national economies: Brazil, Russia, India, China and South Africa.The grouping was originally known as BRIC before the inclusion of South Africa in 2010.",27.1
57, – C)Switzerland,France,USA,Switzerland,Brazil,None of these,World Trade Organization headquarters located in ……………………..," :HQ: Geneva, Switzerland The World Trade Organization (WTO) is an intergovernmental organization which regulates international trade. The WTO officially commenced on 1 January 1995 under the Marrakesh Agreement, signed by 123 nations on 15 April 1994, replacing the General Agreement on Tariffs and Trade (GATT), which commenced in 1948.",27.1
58, – A)GATT,GATT,GATE,G-7,GCC,None of these,World Trade Organization was earlier known as …………………," :The WTO officially commenced on 1 January 1995 replacing the General Agreement on Tariffs and Trade (GATT), which commenced in 1948",27.1
59, – B)1948,1940,1948,1935,1945,None of these,The World Health Organization was established in ……………," :The World Health Organization is a specialized agency of the United Nations (UN) that is concerned with international public health. It was established on 7 April 1948, headquartered in Geneva, Switzerland. The WHO is a member of the United Nations Development Group.",27.1
0, – D)Uttarakhand,Arunachal Pradesh,Maharashtra,Meghalaya,Uttarakhand,None of these,Rajaji Tiger Reserve is located in which state ?," :Rajaji Tiger Reserve (earlier Rajaji National Park) is located in the Shivalik range of Himalayas and spread over 820 kms. It covers a part of over three districts of Uttarakhand: Haridwar, Dehradun and Pauri Garhwal",25.1
1, –C)Uttar Pradesh,West Bengal,Tamil Nadu,Uttar Pradesh,Rajasthan,None of these,The Dudhwa Tiger Reserve is a protected area in," :The Dudhwa Tiger Reserve is a protected area in Uttar Pradesh that stretches mainly across the Lakhimpur Kheri and Bahraich districts and comprises the Dudhwa National Park, Kishanpur Wildlife Sanctuary and Katarniaghat Wildlife Sanctuary",25.1
2, – B)Sathyamangalam Tiger Reserve,Sariska Tiger Reserve,Sathyamangalam Tiger Reserve,Mukundara Hills Tiger Reserve,Pilibhit Tiger Reserve,Sunderbans Tiger Reserve, The Tiger reserve located in Tamil Nadu is, :Sathyamangalam Tiger Reserve is a protected area and tiger reserve along the Western Ghats in the Indian state of Tamil Nadu.,25.1
3, – A)Rajasthan,Rajasthan,Kerala,Karnataka,Bihar,None of these,Ranthambore Tiger Reserve lies in which state of India ?, :Ranthambore Tiger Reserve lies in the eastern part of Rajasthan state in Karauli and Sawai Madhopur districts.,25.1
4, – B)Maharashtra,Haryana,Maharashtra,Assam,Gujarat,None of these,Pench Tiger Reserve is located in which of the following state ?, :Pench National Park or Tiger Reserve is one of the premier tiger reserves of India and the only one to straddle across two states – Madhya Pradesh and  Maharashtra .,25.1
5, – C)Madhya Pradesh,Manipur,J & K,Madhya Pradesh,Bihar,None of these,Kanha Tiger Reserve is situated in," :Kanha Tiger Reserve, also called Kanha National Park, is one of the tiger reserves of India and the largest national park of Madhya Pradesh",25.1
6, – A)Kerala,Kerala,Tamil Nadu,Telangana,West Bengal,None of these,Parambikulam Tiger Reserve is in …………..," :Parambikulam Tiger Reserve, which also includes the erstwhile Parambikulam Wildlife Sanctuary, is a 391 square kilometres protected area in Chittur taluk in Palakkad district of Kerala state .",25.1
7, – D)Nagarhole Tiger Reserve,Periyar Tiger Reserve,Achanakmar Tiger Reserve,Valmiki Tiger Reserve,Nagarhole Tiger Reserve,None of these,Which Tiger reserve is located in Karnataka ? , :Nagarhole National Park also known as Rajiv Gandhi National Park is also a tiger reserve . The park is located in Karnataka .,25.1
8, – B)Chhattisgrah,Jharkhand,Chhattisgrah,Gujarat,Odisha,None of these,Indravati Tiger Reserves is located in which state ?, :Indravati Tiger Reserves is a Tiger Reserve area in Chhattisgarh,25.1
9, –A)Assam,Assam,Maharashtra,Tamil Nadu,Andhra Pradesh,None of these,Orang national park is in," :Assam’s Orang national park, a postcard-size protected area about 150 km from here, has been declared as the tiger reserve",25.1
10, D)Assam,Arunachal Pradesh,Bihar,Karnataka,Assam,None of these,Kaziranga Tiger Reserve is located in which state of India, :,25.1
11, B)Buxa Tiger Reserve,Corbett Tiger Reserve,Buxa Tiger Reserve,Dudhwa Tiger Reserve,None of these,None of these,The tiger reserve present in west bengal, :,25.1
12, C)Tamil Nadu,Kerala,Gujarat,Tamil Nadu,Haryana,None of these,Anamalai Tiger Reserve is located at, :,25.1
13, A)Mizoram,Mizoram,Karnataka,Himachal Pradesh,West Bengal,None of these,In which state Dampa Tiger Reserve is located , :,25.1
14, B)Karnataka,Andhra Pradesh,Karnataka,Assam,Maharashtra,None of these,Bandipur National Park is in which state, :,25.1
15, C)Jharkhand,Telangana,Arunachal Pradesh,Jharkhand,Kerala,None of these,In which state Palamau Tiger Reserve is located, :,25.1
16, D)Bihar,Odisha,Punjab,Gujarat,Bihar,None of these,Valmiki National Park is in which state, :,25.1
17,  A)Andhra Pradesh,Andhra Pradesh,Haryana,New Delhi,Chhattisgarh,None of these,In which state Nagarjunsagar-Srisailam Tiger Reserve is located, :,25.1
18, B)Kerala,Karnataka,Kerala,Bihar,Goa,None of these,Parambikulam Tiger Reserve is in which state, :,25.1
19, C)Uttarakhand,Jharkhand,Uttar Pradesh,Uttarakhand,Punjab,None of these,In which state Jim Corbett Tiger Reserve located, :,25.1
20, A)West Bengal,West Bengal,Andhra pradesh,Gujarat,Haryana,None of these,Sunderbans Tiger Reserve is located in , :,25.1
21, D)Arunachal Pradesh,Uttar Pradesh,Andhra Pradesh,Himachal Pradesh,Arunachal Pradesh, None of these,In which state Namdapha Tiger Reserve located, :,25.1
22, B)Chattisgarh,Karnatka,Chattisgarh,West Bengal,New Delhi,None of these,Achanakmar Tiger Reserve is in which state , :,25.1
23, C)Madhya Pradesh,Bihar,Gujarat,Madhya Pradesh,Andhra Pradesh,None of these,Satpura Tiger Reserve is in which state, :,25.1
24, B)Maharashtra,Karnataka,Maharashtra,Goa,Haryana,None of these,In which state Nawegaon-Nagzira Tiger Reserve is located, :,25.1
0, B)Uttar Pradesh,Karnataka,Uttar Pradesh,Goa,Maharashtra,None of these,UNESCO world heritage site “Fatehpur Sikri” is in which state,,26.1
1, D)Uttar Pradesh,Delhi,Rajasthan,Orissa,Uttar Pradesh,None of these,Taj Mahal is in which state of India?,,26.1
2, A)Assam,Assam,West Bengal,Tamil Nadu,Bihar,None of these,The world heritage site Kaziranga National Park is in which state of India,,26.1
3, C)West Bengal,Orissa,Assam,West Bengal,Karnataka,None of these ,Sundarbans National park is in which state ?,,26.1
4, A)Tamil Nadu,Tamil Nadu,Gujarat,Karnataka,Orissa,None of these,Group of Monuments at Mahabalipuram is in which state ?,,26.1
5, D)39,59,29,19,39,None of these,In the case of western ghats how many propeties were designated as world heritage sites in India?,,26.1
6, B)25,32,25,7,46,None of these,How many cultural sites are there in UNSECO’s world heritage sites in India?,,26.1
7, C)Maharashtra,Karnatka,Gujarat,Maharashtra,West Bengal,None of these,In which state Elephanta Caves is located ?,,26.1
8, A)Madhya Pradesh,Madhya Pradesh,Karnataka,Orissa,Bihar,None of these,Khajuraho Group of Monuments is in which state?,,26.1
9, D)Orissa,Gujarat,Arunachal Pradesh,Assam,Orissa,None of these,"	Sun Temple, Konârak is in which state ?",,26.1
10, B)Karnataka,Bihar,Karnataka,Orissa,Goa,None of these,In which state Group of Monuments at Pattadakal is located?,,26.1
11, C)Bihar,West bengal,Uttar Pradesh,Bihar,Orissa,None of these,Mahabodhi Temple Complex at Bodh Gaya is in which state,,26.1
12, A)7,7,22,9,15,None of these,How many natural sites are there in UNSECOS’s world heritage sites in India?,,26.1
13, B)Uttarakhand,Karnataka,Uttarakhand,Uttar Pradesh,Madhya Pradesh,None of these,The ‘Nanda Devi and Valley of Flowers National Parks ‘ is in which state ?,,26.1
14," D)United Nations Educational, Scientific, and Cultural Organization","Union Nations Education ,Science and Cultural Organisation","United Nations Environmental,Social and Cultural Organization.","United Nations Enterprise ,Science and Cultural Organization","United Nations Educational, Scientific, and Cultural Organization",None of these,Full form of UNESCO,,26.1
0, A)Kuchipudi,Kuchipudi,Bharathanatyam,Mohiniyattam,Kathak,None of these,Which is the state dance of Andhra Pradesh,,24.1
1, C)Great Hornbill,White Winged Wood Duck,Indian Roller,Great Hornbill,Koel,None of these,Which is the state bird of Arunachal Pradesh,,24.1
2, B)Foxtail Orchid,Marigold,Foxtail Orchid,Pink Rhododendron,Water lily,None of these,which is the State flower of Assam,,24.1
3, D)Gaur,One Horned Rhinoceros,Lion,Tiger,Gaur,None of these,which is the State animal of Bihar,,24.1
4, C)Sal,Peepal,Coconut tree,Sal,Mango tree,None of these,which of the following is Chhattisgarh’s state tree,,24.1
5, A)Mango,Mango,Orange,Apple,Jackfruit,None of these,which is the State fruit of Gujarat,,24.1
6, C)Black Francolin,Greater Flemingo,Western Tragopan ,Black Francolin,Kanikkonna,None of these,Which of the following is the State bird of Haryana,,24.1
7, D)Snow leopard,Lion,Panther,Elephant,Snow leopard,None of these,Which is Himachal Pradesh’s state animal,,24.1
8, A)Lotus,Lotus,Jasmine,Rose,Marigold,None of these,Which is the state flower of Jammu & Kashmir,,24.1
9, B)Asian Elephant,Camel,Asian Elephant,Tiger,Lion,None of these, State animal of Jharkhand,,24.1
10, D)Yakshaganam,Kuchipudi,Bharathanatyam,Kathak,Yakshaganam,None of these,Which is the State dance of karnataka,,24.1
11, A)Blue Mormon,Blue Mormon,Skipper,garden Tiger moth,Karner Blue Butterfly,None of these,Which is the State butterfly of Maharashtra,,24.1
12, A)Red Panda,Red Panda,Elephant,Deer,Sea cow,None of these,State animal of sikkim,,24.1
13, C)Tamil Nadu,Karnataka,Uttar Pradesh,Tamil Nadu,Bihar,None of these,Emerald dove is the state bird of which state,,24.1
14, C)Rajasthan,Madhya Pradesh,Bihar,Rajasthan,Karnataka,None of these,Ghoomar is the state dance of which state?,,24.1
0, – C)Prathiba Patil,Jayalaitha,Indira Gandhi,Prathiba Patil,Rani Lakshmi Bahi,Kiren Bedi,The first female president of our country was ………………………., :Prathiba Patil was the 12thPresident of India from 2007 to 2012 . She previously served as the Governor of Rajasthan from 2004 to 2007.,23.1
