,Category,Correct,OptionA,OptionB,OptionC,OptionD,Questions
20,5.1,c,125,175,225,250, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-29-Aug-2016-Morning-Shift-Reasoning-Q16.jpg  
21,5.1,d,12,18,20,30, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-28-Aug-2016-Morning-Shift-Reasoning-Q16_0.jpeg  
22,5.1,b,56,120,151,154, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-27-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg 
23,5.1,c,432,334,512,501, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-27-Aug-2016-Morning-Shift-Reasoning-Q16.jpg  
24,5.1,c,110,120,130,140, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-28-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg  
25,5.1,d,60,70,80,90, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-10-Sep-2016-Evening-Shift-Reasoning-Q-16.jpeg  
26,5.1,b,48,47,144,94, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-21-aug-2017-shift-2-reasoning-qus-116.jpg  
27,5.1,d,30,102,29,161, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-18-aug-2017-shift-2-reasoning-img16.jpg  
28,5.1,d,12,2,53,35, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-21-aug-2017-shift-1-reasoning-qus-16.jpg  
29,5.1,c,58,14,49,4, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-18-aug-2017-shift-1-reasoning-img16.jpg  
30,5.1,c,172,75,77,170, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-19-aug-2017-shift-3-reasoning-img-216.jpg  
31,5.1,b,11,31,32,37, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-16-aug-2017-shift-3-reasoning-img16.jpg  
32,5.1,b,39,76,146,333, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-19-aug-2017-shift-2-reasoning-img-116.jpg  
33,5.1,d,32,35,46,47, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-16-aug-2017-shift-2-reasoning-img16.jpg  
34,5.1,c,13,25,77,15, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-19-aug-2017-shift-1-reasoning-img-16.jpg  
35,5.1,d,48,52,55,58, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-16-aug-2017-shift-1-reasoning-img16.jpg   
36,5.1,b,120,23,55,30, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-20-aug-2017-shift-3-reasoning-img-216.jpg  
37,5.1,b,157,168,21,15, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-17-aug-2017-shift-3-reasoning-img16.jpg  
38,5.1,c,9,201,65,101, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-20-aug-2017-shift-2-reasoning-img-116.jpg  
39,5.1,b,35,47,54,78, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-17-aug-2017-shift-2-reasoning-img16.jpg  
40,5.1,d,9,1,25,2, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-17-aug-2017-shift-1-reasoning-img16.jpg  
41,5.1,c,42,56,2,5, http://sscportal.in/sites/default/files/ssc-cgl-2017-tier-1-papers-held-on-20-aug-2017-shift-1-reasoning-qus-16.jpg  
42,5.1,c,110,120,130,140, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-28-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg  
43,5.1,d,24,32,20,85, http://sscportal.in/community/sites/default/files/SSC-CHSL-Tier-1-Exam-Paper-2016-10-Jan-2016-Evening-Shift-Reasoning-17.jpg 
44,5.1,c,125,175,225,250, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-29-Aug-2016-Morning-Shift-Reasoning-Q16.jpg  
45,5.1,d,12,18,20,30, http://thepracticetest.in/challengesystem/qpimages/A7_16Q.jpg  
46,5.1,b,45,65,70,80, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-29-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg  
47,5.1,d,1,4,9,25, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-31-Aug-2016-Morning-Shift-Reasoning-Q16.jpg  
48,5.1,c,3,9,1,7, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-3-Sep-2016-Evening-Shift-Reasoning-Q16.jpg  
49,5.1,b,56,120,151,154, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-27-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg 
50,5.1,a,36,46,40,26, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Online-Exam-Paper-2016-held-on-10-September-2016-Q16.jpeg   
