,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
53,2.14,Common Errors,Seldom if ever,nature does operate,in closed an separate compartments.,No error,,B,Find the common error.
54,2.14,Common Errors,Mohan leapt,on the opportunity,that came his way.,No error,,B,Find the common error.
55,2.14,Common Errors,Water contamination has become more serious,since chemist have begun to use,new substances.,No error,,B,Find the common error.
56,2.14,Common Errors,Due to inflation,the cost of living,escalated in the last one year.,No error,,C,Find the common error.
57,2.14,Common Errors,Just as,"I was entering the room,",the family was going for a party.,No error,,C,Find the common error.
58,2.14,Common Errors,The arm was so badly injured ,that he must have,it amputated.,No error,,B,Find the common error.
59,2.14,Common Errors,You need not tell a lie,when the judge asked you where you were,when the crime was committed.,No error,,A,Find the common error.
60,2.14,Common Errors,In his book,Churchill describes,that historical first meeting with Roosevelt.,No error,,C,Find the common error.
61,2.14,Common Errors,The ant who was nearby,walked forward and bit the hunter,sharply in the ankle.,No error,,A,Find the common error.
62,2.14,Common Errors,They can promise you,an experience,you won’t never forget.,No error,,C,Find the common error.
63,2.14,Common Errors,The dress that the,girl wore was,more attractive than the other girls.,No error,,C,Find the common error.
64,2.14,Common Errors,Fifty years has passed,since man first ventured,into outer space.,No error,,A,Find the common error.
65,2.14,Common Errors,They dreamed of a society,where everyone,were equal.,No error,,C,Find the common error.
66,2.14,Common Errors,On Senegal,it is considered impolite,if you do not share your food.,No error,,A,Find the common error.
67,2.14,Common Errors,We discussed about the problem thoroughly,on the eve of the examination,that I found it very easy to work it out.,No error,,A,Find the common error.
68,2.14,Common Errors,The wise father told him,that the mangoes had gone bad as they were,in contact with the one rotten mango.,No error,,C,Find the common error.
69,2.14,Common Errors,The box of eggs,are lying,on the table.,No error,,B,Find the common error.
70,2.14,Common Errors,Part of the research program,involved interviewing teengagers,in inner-city areas.,No error,,B,Find the common error.
71,2.14,Common Errors,I could not put up at a hotel,because the board and lodging charges,were too expensive. ,No error,,D,Find the common error.
72,2.14,Common Errors,Much harassed,he left hostel,bag and baggage.,No error,,A,Find the common error.
73,2.14,Common Errors,The young man,was surprised,perhaps a shade scandalized. ,No error,,D,Find the common error.
74,2.14,Common Errors,Every boy and every girl,were given,a packet of sweets.,No error,,B,Find the common error.
75,2.14,Common Errors,After tasting both,John prefers,tea than coffee.,No error,,C,Find the common error.
76,2.14,Common Errors,I loved,the drawings,they were so real.,No error,,C,Find the common error.
77,2.14,Common Errors,Suddenly they saw a car coming,at a break neck speed.,An old man were crossing the road at the zebra crossing.,No error,,C,Find the common error.
78,2.14,Common Errors,I sprained my ankle,when I was,playing basketball.,No error,,D,Find the common error.
79,2.14,Common Errors,It is time,we should accept all our people as equals,and as partners in the task of building a strong and united nation. ,No error,,B,Find the common error.
80,2.14,Common Errors,The reporter,was unable,to illicit information from the police.,No error,,C,Find the common error.
81,2.14,Common Errors,Each of these boys,play,games.,No error,,B,Find the common error.
82,2.14,Common Errors,These all,mangoes,are ripe.,No error,,A,Find the common error.
83,2.14,Common Errors,The students were,awaiting for,the arrival of the chief guest.,No error,,B,Find the common error.
84,2.14,Common Errors,If you hear,engaged tone,replace the receiver and dial again.,No error,,B,Find the common error.
85,2.14,Common Errors,Henry asked his wife,what had she prepared,for dinner that night.,No error,,B,Find the common error.
86,2.14,Common Errors,The news,I have received,is not good.,No error,,D,Find the common error.
87,2.14,Common Errors,Who,arranged,their chair ?,No error,,D,Find the common error.
88,2.14,Common Errors,People who live on,glass houses,should not throw stones.,No error,,A,Find the common error.
89,2.14,Common Errors,The library members were asked,to return back the books,to the library. ,No error,,B,Find the common error.
90,2.14,Common Errors,Raghu come out of the bathroom,with a towel,in the hand.,No error,,C,Find the common error.
91,2.14,Common Errors,Neither the girl nor her parents,was present,to receive the award.,No error,,B,Find the common error.
92,2.14,Common Errors,College girls seldom wear,"sarees these days,",do they ?,No error,,D,Find the common error.
93,2.14,Common Errors,Scarcely had,the function started,than it began to rain.,No error,,C,Find the common error.
94,2.14,Common Errors,My friend,has invited me,for tea this Sunday.,No error,,C,Find the common error.
95,2.14,Common Errors,He discussed,the murder case,with his juniors.,No error,,D,Find the common error.
96,2.14,Common Errors,The paintings of natural sceneries,are selling,like hot cakes.,No error,,A,Find the common error.
97,2.14,Common Errors,I,go to school,by walk.,No error,,C,Find the common error.
98,2.14,Common Errors,It is a,desert,place.,No error,,B,Find the common error.
99,2.14,Common Errors,You shall get,all the informations,if you read this book carefully.,No error,,B,Find the common error.
100,2.14,Common Errors,When one hears of the incident,about the plane crash,he feels very sorry.,No error,,B,Find the common error.
101,2.14,Common Errors,I went there,with a view to survey,the entire procedure.,No error,,B,Find the common error.
102,2.14,Common Errors,It had laid,in the closet,for a week before we found it.,No error,,A,Find the common error.
103,2.14,Common Errors,He was present,in the court,to give witness.,No error,,C,Find the common error.
104,2.14,Common Errors,He laughed,on her,as she fell off the tree.,No error,,B,Find the common error.
105,2.14,Common Errors,It upset him,at seeing his son,in such pain.,No error,,B,Find the common error.
106,2.14,Common Errors,My sister and myself,are pleased to accept,your invitation to dinner.,No error,,A,Find the common error.
107,2.14,Common Errors,We have made plan,to go very recently,to Delhi and Agra.,No error,,B,Find the common error.
108,2.14,Common Errors,He is,too foolish,that he will not act.,No error,,B,Find the common error.
109,2.14,Common Errors,He is too much worried,about his friend’s reaction,to his statement.,No error,,A,Find the common error.
110,2.14,Common Errors,The new dish,that I ordered,is tasting good.,No error,,C,Find the common error.
111,2.14,Common Errors,Increasing racism and hate crimes,casted a shadow,over elections.,No error,,B,Find the common error.
112,2.14,Common Errors,I have got your letter yesterday,and felt happy to learn,of your recovery.,No error,,A,Find the common error.
113,2.14,Common Errors,Sam is working,in a bank in Chennai,for the past five years.,No error,,A,Find the common error.
114,2.14,Common Errors,People living in low-lying areas,find it difficult,to cope up with the floods.,No error,,C,Find the common error.
115,2.14,Common Errors,If I was he,I wouldn’t accept,this project.,No error,,A,Find the common error.
116,2.14,Common Errors,The teacher advised to,the students to borrow,a book from the library within three days.,No error,,A,Find the common error.
117,2.14,Common Errors,I insisted,on his going,there immediately.,No error,,D,Find the common error.
118,2.14,Common Errors,We have been knowing,each other,since we were children.,No error,,A,Find the common error.
119,2.14,Common Errors,Neither of the teams,are sensible enough,to do this task.,No error,,B,Find the common error.
120,2.14,Common Errors,Being a holiday,we went out,for a picnic.,No error,,A,Find the common error.
121,2.14,Common Errors,If we have no definite aim before us,we would only wonder about in aimless pursuits,and achieve nothing.,No error,,B,Find the common error.
122,2.14,Common Errors,He is anxious not only,to acquire knowledge,but also eager to display it.,No error,,A,Find the common error.
123,2.14,Common Errors,I went to,see the Taj Mahal,in a moonlit night.,No error,,D,Find the common error.
124,2.14,Common Errors,Having found a piece of cheese,two cats went to a dog,to divide it among them.,No error,,C,Find the common error.
125,2.14,Common Errors,Sudoku was first designed in the 1970s,by a retired architect,and freelance puzzle constructor. ,No error,,C,Find the common error.
126,2.14,Common Errors,During the last few years,the company works hard,to modernise its image.,No error,,B,Find the common error.
127,2.14,Common Errors,Each one of you,must make up their mind,as I did.,No error,,B,Find the common error.
128,2.14,Common Errors,After he had apologised to the magistrate profusely,for having broke the promise,the magistrate was happy to forgive him.,No error,,B,Find the common error.
129,2.14,Common Errors,This stamp is only one,of the design,ever printed.,No error,,B,Find the common error.
130,2.14,Common Errors,In India,working woman lead a life of dual responsibilities,if they are married and have a family.,No error,,B,Find the common error.
131,2.14,Common Errors,Greatly to our surprise,we find the ringleader,was lame.,No error,,B,Find the common error.
132,2.14,Common Errors,They have,played a game,last week.,No error,,A,Find the common error.
133,2.14,Common Errors,The teacher made the boys,to do the sum,all over again.,No error,,B,Find the common error.
134,2.14,Common Errors,Many overseas students,attend colleges,in the Great Britain.,No error,,D,Find the common error.
135,2.14,Common Errors,I whistled thrice,with full might and raise my arms,towards the sky.,No error,,B,Find the common error.
136,2.14,Common Errors,Science and religion,are both necessary for man and for their,outer and inner self respectively.,No error,,B,Find the common error.
137,2.14,Common Errors,"At certain seasons,",for some reasons Mars,is subject to strong winds.,No error,,C,Find the common error.
138,2.14,Common Errors,As an artist,"Raju is as good,",if not better than Ramesh.,No error,,C,Find the common error.
139,2.14,Common Errors,The scientists,could not hardly,completely all the experiments.,No error,,B,Find the common error.
140,2.14,Common Errors,The cruel lady made,her step-daughter to do,all the household chores.,No error,,B,Find the common error.
141,2.14,Common Errors,My sister asked me,that how long,I would stay there.,No error,,B,Find the common error.
142,2.14,Common Errors,The teacher as well as the students,have gone on an excursion,to Ooty during their summer vacation.,No error,,B,Find the common error.
143,2.14,Common Errors,The US,don’t want,India in the Security Council.,No error,,B,Find the common error.
144,2.14,Common Errors,You can eat,as much as you like,at the newly launch bar.,No error,,C,Find the common error.
145,2.14,Common Errors,Unless aid arrives,within the next few weeks,thousands are starving.,No error,,C,Find the common error.
146,2.14,Common Errors,I have been,working in this organization,since three years.,No error,,C,Find the common error.
147,2.14,Common Errors,Neither of the two,candidates have,paid his subscription.,No error,,B,Find the common error.
148,2.14,Common Errors,A well balanced diet,is essential for,good health.,No error,,D,Find the common error.
149,2.14,Common Errors,My uncle forced ,my friend and I,to stay back.,No error,,B,Find the common error.
150,2.14,Common Errors,We had scarcely,reached the place,than it started to rain heavily.,No error,,C,Find the common error.
151,2.14,Common Errors,I am really disappointed,in not having saw any friends,while I was in New Delhi on vacation this summer.,No error,,B,Find the common error.
152,2.14,Common Errors,The company have,thousands of customers,happy with its service.,No error,,A,Find the common error.
153,2.14,Common Errors,They are residing,in this city,for the last two decades.,No error,,A,Find the common error.
154,2.14,Common Errors,Our new television set come,with a 90 days warranty,on all electrical components.,No error,,A,Find the common error.
155,2.14,Common Errors,The Vice-Chancellor,wants all vacancies,to be filled up.,No error,,C,Find the common error.
156,2.14,Common Errors,In world of ours,one has to compete,for almost everything.,No error,,C,Find the common error.
157,2.14,Common Errors,Bose is,more popular than,any student in the class.,No error,,C,Find the common error.
158,2.14,Common Errors,How is Surrinder,going with,his work ? ,No error,,B,Find the common error.
159,2.14,Common Errors,It is said,that this room is not being opened,for the last fifty years.,No error,,B,Find the common error.
160,2.14,Common Errors,Having deprived of their houses,in the recent earthquake,they had no other option but to take shelter in a school.,No error,,C,Find the common error.
161,2.14,Common Errors,He,is addicted,with smoking.,No error,,C,Find the common error.
162,2.14,Common Errors,Entering the hotel,he ordered for,a drink and a sumptuous dinner.,No error,,B,Find the common error.
163,2.14,Common Errors,He is,your brother,isn’t it ?,No error,,C,Find the common error.
164,2.14,Common Errors,I have,known him,since two years.,No error,,C,Find the common error.
165,2.14,Common Errors,Instead of being,helpful he was,being hindrance.,No error,,C,Find the common error.
166,2.14,Common Errors,Where,have I,to deposit fees ?,No error,,D,Find the common error.
167,2.14,Common Errors,By the time she had finished her work,I had nearly given up,all hope of arriving at the party in time.,No error,,A,Find the common error.
168,2.14,Common Errors,Some categorically suspected,having seen the,guard and thief together.,No error,,C,Find the common error.
169,2.14,Common Errors,He was,not in a position to state,the speed the ship travelled.,No error,,C,Find the common error.
170,2.14,Common Errors,Raghav was unhappy to hear,the news of his son’s failure,in the examination.,No error,,C,Find the common error.
171,2.14,Common Errors,Either he,or his wife,are coming to attend the dinner.,No error,,C,Find the common error.
172,2.14,Common Errors,The launch of the first artificial satellite by the Russians,took the world almost entirely unawares,and provocation flood speculation about its significance.,No error,,C,Find the common error.
173,2.14,Common Errors,When an university formulates,news regulations,it must circulate its decision to the faculty.,No error,,A,Find the common error.
174,2.14,Common Errors,The office with all its modern furniture,and equipments were sold,for a meagre amount.,No error,,B,Find the common error.
175,2.14,Common Errors,I could,hardly believe,what he said.,No error,,D,Find the common error.
176,2.14,Common Errors,The Government wanted to play the role,of felicitator only and was,keen on optimal development.,No error,,B,Find the common error.
177,2.14,Common Errors,Admittance for,the inaugural ceremony was,only by special tickets.,No error,,A,Find the common error.
178,2.14,Common Errors,Pulses when well cooked,are not only appetizing,as well as nutritious.,No error,,C,Find the common error.
179,2.14,Common Errors,Martin Luther king was one of the leaders,who,has followed Mahatma Gandhi.,No error,,C,Find the common error.
180,2.14,Common Errors,"Air pollution, together with littering",are causing many problems,in our cities.,No error,,B,Find the common error.
181,2.14,Common Errors,The accused refused,to answer to the policeman,on duty.,No error,,B,Find the common error.
182,2.14,Common Errors,What is,the use of me,attending the session ?,No error,,B,Find the common error.
183,2.14,Common Errors,We met our prospective employer,for a briefing session,in the Taj Hotel.,No error,,D,Find the common error.
184,2.14,Common Errors,Because of the severe snow storm and the road blocks,the air force dropped food and,medical supplies close to the city.,No error,,D,Find the common error.
185,2.14,Common Errors,World is producing enough,for every citizen but still there is hunger and malnutrition,and it is continuing year after year.,No error,,D,Find the common error.
186,2.14,Common Errors,The NCC commandant along with his cadets,are going to Delhi,to participate in the Republic Day Parade.,No error,,B,Find the common error.
187,2.14,Common Errors,He did not succeed,to get the job,though he tried his level best.,No error,,B,Find the common error.
188,2.14,Common Errors,Many of the famous,advertising offices,are located of Madison Avenue.,No error,,A,Find the common error.
189,2.14,Common Errors,Nature had denied us,the power of closing our ears,which she gave in respect of our eyes.,No error,,C,Find the common error.
190,2.14,Common Errors,Our history can be seen as a long evolutionary dialectical development,in which there have been,a painstaking forging of rational and moral self.,No error,,B,Find the common error.
191,2.14,Common Errors,Our knowledge of history does not come to,our help and some times we even fall to,remember who invented America.,No error,,C,Find the common error.
192,2.14,Common Errors,My grandfather owns,fifty acre,of wetland.,No error,,B,Find the common error.
193,2.14,Common Errors,Belgium chocolate is considered,by many to be finer,than any others in the world.,No error,,C,Find the common error.
194,2.14,Common Errors,Indian scientists are in no way,inferior than,any other scientist in the world.,No error,,B,Find the common error.
195,2.14,Common Errors,Some of the people,were standing on the street,"watch cricket match, while others were sitting.",No error,,C,Find the common error.
196,2.14,Common Errors,I am glad,that the news,are good.,No error,,C,Find the common error.
197,2.14,Common Errors,The judge tested the accused,to see if he would,read English.,No error,,B,Find the common error.
198,2.14,Common Errors,I have neither visited,or intend,to visit hill stations.,No error,,B,Find the common error.
199,2.14,Common Errors,Kamala is not,inferior than Geetha,in her studies.,No error,,B,Find the common error.
200,2.14,Common Errors,You do not,look as,your brother.,No error,,B,Find the common error.
201,2.14,Common Errors,My elder brother,is six,foot high.,No error,,C,Find the common error.
202,2.14,Common Errors,Without no proof of your guilt,the only course open to me,is to dismiss the case.,No error,,A,Find the common error.
203,2.14,Common Errors,As we see it,she appears to be unreasonable,anxious about pleasing her husband.,No error,,B,Find the common error.
204,2.14,Common Errors,The scissor is,lying on,the table.,No error,,A,Find the common error.
205,2.14,Common Errors,Having lived,"in Kerala for ten years,",my friend is used to speak Malayalam with his friends.,No error,,C,Find the common error.
206,2.14,Common Errors,Much Water,has flown,under this bridge.,No error,,B,Find the common error.
207,2.14,Common Errors,The law should specifically,provide a clause,to protect animals from poachers.,No error,,C,Find the common error.
208,2.14,Common Errors,What kind,of a man,are you ?,No error,,B,Find the common error.
209,2.14,Common Errors,The lady approached me timidly,and trembled slightly,she sat down besides me.,No error,,C,Find the common error.
210,2.14,Common Errors,The concentration of human and material resources at a few centres,have resulted in,large scale migration of rural population to urban areas.,No error,,B,Find the common error.
211,2.14,Common Errors,Who wouldn’t be triumphant,in their success,at the examination ?,No error,,B,Find the common error.
212,2.14,Common Errors,I dared,Mohan fights,a duel.,No error,,B,Find the common error.
213,2.14,Common Errors,All of you except Sheena,have done the homework,properly. ,No error,,D,Find the common error.
214,2.14,Common Errors,The summit began,on a much voiced,optimism note.,No error,,C,Find the common error.
215,2.14,Common Errors,He caught the boy,steal,the parcel.,No error,,B,Find the common error.
216,2.14,Common Errors,I am,taller than you,aren’t I?,No error,,D,Find the common error.
217,2.14,Common Errors,A man of fifty,cannot be called,as young.,No error,,C,Find the common error.
218,2.14,Common Errors,One of my,brothers live,in USA.,No error,,B,Find the common error.
219,2.14,Common Errors,I will,meet him,when he will come.,No error,,C,Find the common error.
220,2.14,Common Errors,I will not,agree to,his proposal.,No error,,D,Find the common error.
221,2.14,Common Errors,He wanted to go,to home,as he was sick.,No error,,B,Find the common error.
222,2.14,Common Errors,Either you,or he,are happy.,No error,,C,Find the common error.
223,2.14,Common Errors,In her address,she advised us to protect,our nation.,No error,,D,Find the common error.
224,2.14,Common Errors,Besides me,many other,were present.,No error,,B,Find the common error.
225,2.14,Common Errors,I must find out,some means to balance,my budget.,No error,,B,Find the common error.
226,2.14,Common Errors,"Thank you,",I am fine,completely.,No error,,D,Find the common error.
227,2.14,Common Errors,He asked me,when could I finish,the work.,No error,,B,Find the common error.
228,2.14,Common Errors,You have been doing,your homework,regularly ?,No error,,A,Find the common error.
229,2.14,Common Errors,The same procedure,also should used,for the final assessment.,No error,,B,Find the common error.
230,2.14,Common Errors,I wasn’t,at the last meeting and,neither was you.,No error,,C,Find the common error.
231,2.14,Common Errors,The three individuals are so different,that their tastes vary,from one another.,No error,,D,Find the common error.
232,2.14,Common Errors,He remembered,that his visa,will be expired in a month.,No error,,C,Find the common error.
233,2.14,Common Errors,When I shall see him,I shall,tell him.,No error,,A,Find the common error.
234,2.14,Common Errors,In any case no disciplinary action,are required,to be taken.,No error,,B,Find the common error.
235,2.14,Common Errors,Two and two,makes,four.,No error,,D,Find the common error.
236,2.14,Common Errors,He is,best player,in India.,No error,,B,Find the common error.
237,2.14,Common Errors,He is,accused with,committing the murder.,No error,,B,Find the common error.
238,2.14,Common Errors,He said,that he cannot,find his key.,No error,,B,Find the common error.
239,2.14,Common Errors,Many a student,have passed,this examination.,No error,,B,Find the common error.
240,2.14,Common Errors,Neither,of the two brothers,are sure to pass.,No error,,C,Find the common error.
241,2.14,Common Errors,"Believe me, I",am believing,whatever you have said.,No error,,B,Find the common error.
242,2.14,Common Errors,He was suffering,from illness,when we visited him last year.,No error,,D,Find the common error.
243,2.14,Common Errors,Every morning sun,rises,in the east.,No error,,A,Find the common error.
244,2.14,Common Errors,A good friend of,me has been,in London for twenty years.,No error,,B,Find the common error.
245,2.14,Common Errors,Neither of them,are,good.,No error,,B,Find the common error.
246,2.14,Common Errors,Due to me being a new corner,I was unable,to get a good house.,No error,,A,Find the common error.
247,2.14,Common Errors,The circulation of The Statesman,is greater than,that of any newspaper.,No error,,C,Find the common error.
248,2.14,Common Errors,In the garden,were the more beautiful flowers,and silver bells.,No error,,B,Find the common error.
249,2.14,Common Errors,The poet,describes about,the spring season.,No error,,B,Find the common error.
250,2.14,Common Errors,The way to increase the production of the food,is to bring more land,under cultivation.,No error,,D,Find the common error.
251,2.14,Common Errors,The girls watched intently,as the model applied her make-up,with a practiced hand.,No error,,C,Find the common error.
252,2.14,Common Errors,If he is a millionaire,he would help,the millennium project. ,No error,,A,Find the common error.
253,2.14,Common Errors,The Prime Minister along with his Cabinet colleagues,have been welcomed by the Chief Minister,at a formal ceremony. ,No error,,B,Find the common error.
254,2.14,Common Errors,The political candidate talked,as if she has already been elected,to the presidency.,No error,,B,Find the common error.
255,2.14,Common Errors,If you had told me,I would have helped you,solve the problem.,No error,,D,Find the common error.
256,2.14,Common Errors,“The Arabian Nights”,are indeed,an interesting book.,No error,,B,Find the common error.
257,2.14,Common Errors,He,loved her,despite of himself.,No error,,C,Find the common error.
258,2.14,Common Errors,Of all the models,Jessica is,the more good looking one.,No error,,C,Find the common error.
259,2.14,Common Errors,When I went there,Charles is playing,a game of chess.,No error,,B,Find the common error.
260,2.14,Common Errors,The vaccine,when hit the Indian market,is dogged by controversy.,No error,,C,Find the common error.
261,2.14,Common Errors,His son,is working,very hardly.,No error,,C,Find the common error.
262,2.14,Common Errors,Do you know that it was,who has done,this piece of beautiful work ?,No error,,B,Find the common error.
263,2.14,Common Errors,The company has ordered,some,new equipments.,No error,,D,Find the common error.
264,2.14,Common Errors,The future of food companies,seems quite secure,owed to ever-growing demand.,No error,,C,Find the common error.
265,2.14,Common Errors,A great many student,have been declared,successful.,No error,,A,Find the common error.
266,2.14,Common Errors,We are going to launch,this three-core project,within the next few months.,No error,,D,Find the common error.
267,2.14,Common Errors,I hope to go to shopping,this weekend,if the weather permits.,No error,,A,Find the common error.
268,2.14,Common Errors,The lawyer asked,if it was worth to take,the matter to court.,No error,,B,Find the common error.
269,2.14,Common Errors,After a carefully investigation,we discovered,that the house was infested with termites.,No error,,A,Find the common error.
270,2.14,Common Errors,There are so many filths,all around,the place.,No error,,A,Find the common error.
271,2.14,Common Errors,A senior doctor,expressed concern,about physicians recommended the vaccine.,No error,,C,Find the common error.
272,2.14,Common Errors,We have discussing,all the known mechanisms,of physical growth.,No error,,A,Find the common error.
273,2.14,Common Errors,Children enjoy listening to,ghosts stories,especially on Halloween night.,No error,,A,Find the common error.
274,2.14,Common Errors,I,have,many works to do. ,No error,,C,Find the common error.
275,2.14,Common Errors,One of my eyes,were injured,when I lit crackers during Diwali.,No error,,B,Find the common error.
276,2.14,Common Errors,I have,few money,but lots of friends. ,No error,,B,Find the common error.
277,2.14,Common Errors,Supposing if,you don’t get 96% marks,will you study physics ?,No error,,A,Find the common error.
278,2.14,Common Errors,We have seen,Three Idiot at Metro,yesterday afternoon.,No error,,A,Find the common error.
279,2.14,Common Errors,I think,Sholay is preferable,than the film called Don.,No error,,C,Find the common error.
280,2.14,Common Errors,Mrs. Dorai would rather,spend quiet evening,than attending a party.,No error,,C,Find the common error.
281,2.14,Common Errors,The boss took strict measures,with a view to ensuring punctuality,on the part of his subordinates.,No error,,D,Find the common error.
282,2.14,Common Errors,"Being idle sometimes is agreeable,",but being idle all the times,might become monotonous.,No error,,B,Find the common error.
283,2.14,Common Errors,People prefer to be identified,by their caste community or religion first,rather to be known as Indians first.,No error,,C,Find the common error.
284,2.14,Common Errors,"Though there is an hourly bus service on this route,",a number of people are still suffering,as there is no bus shelter here.,No error,,C,Find the common error.
285,2.14,Common Errors,The police asked us,about our movements,on a night of the crime.,No error,,C,Find the common error.
286,2.14,Common Errors,Did he tell you,why he hasn’t,come yesterday ?,No error,,B,Find the common error.
287,2.14,Common Errors,It was a pleasant,four hours drive,from Pune to Nashik.,No error,,B,Find the common error.
288,2.14,Common Errors,Last night I dream,I was Sheikh on the 169th floor,of Burj Khalifa.,No error,,A,Find the common error.
289,2.14,Common Errors,As soon as,the lion saw the deer,he began to run after it.,No error,,D,Find the common error.
290,2.14,Common Errors,Sometimes,I get angry,on her.,No error,,C,Find the common error.
291,2.14,Common Errors,I use,to go out,to work earlier.,No error,,A,Find the common error.
292,2.14,Common Errors,The teacher,has took,the responsibility.,No error,,B,Find the common error.
293,2.14,Common Errors,After knowing truth,they took the right decision,in the matter.,No error,,A,Find the common error.
