,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
99,2.9,Non-Finites,Find the error (Non-Finites),The great danger,to ship entered the harbour,is from strong currents,and sudden storms.,No error,B
100,2.9,Non-Finites,Find the error (Non-Finites),Having work in,both public and private sector banks,Mr. Rao is the ideal choice to,take over as chairman.,No error,A
101,2.9,Non-Finites,Find the error (Non-Finites),We went there,with a view to,survey the entire procedure.,No error,Noopt,C
102,2.9,Non-Finites,Find the error (Non-Finites),My mother made,the servant to,complete the work.,No error,Noopt,B
103,2.9,Non-Finites,Find the error (Non-Finites),My teacher,did not object,to me using the calculator.,No error,Noopt,C
104,2.9,Non-Finites,Find the error (Non-Finites),People enthusiastically participated,in the ‘Run for Ganga’ programme organised to creating,awareness about the need,for a pollution free river.,No error,B
105,2.9,Non-Finites,Find the error (Non-Finites),The government has,decided to investing,one trillion dollars in,building new ports and roads.,No error,B
106,2.9,Non-Finites,Find the error (Non-Finites),His only motive,was to finding,the truth and,follow it.,No error,B
107,2.9,Non-Finites,Find the error (Non-Finites),Motivating the youth of,the nation is,the central theme,of the book.,No error,E
108,2.9,Non-Finites,Find the error (Non-Finites),The European nations have,become one of the,favourite destinations of the Indian students,seek specialised knowledge and training.,No error,D
109,2.9,Non-Finites,Find the error (Non-Finites),Athletes do various,kinds of warm,up activities before,they start to running.,No error,D
110,2.9,Non-Finites,Find the error (Non-Finites),Coaches have the advantage of,draw on their personal experiences,and providing their players,with unique inputs.,No error,B
111,2.9,Non-Finites,Find the error (Non-Finites),The actor loves to think,never enjoys stick to one kind of role,and finds it difficult to,fulfill everyone’s expectations.,No error,B
112,2.9,Non-Finites,Find the error (Non-Finites),"In about five minutes, they would",cover the distance from the road to the point,where the waves would,begin lick their feet.,No error,D
113,2.9,Non-Finites,Find the error (Non-Finites),The priest did not,want to do any,hard work but dreamt,of be rich one day.,No error,D
114,2.9,Non-Finites,Find the error (Non-Finites),A lion lives in a forest,was loyally served by,a jackal that used to accompany the lion,wherever it went.,No error,A
115,2.9,Non-Finites,Find the error (Non-Finites),Graduates have experience,in the IT industry,are in great demand,in the finance sector.,No error,A
116,2.9,Non-Finites,Find the error (Non-Finites),We have taken on,the responsibility of,arranging the required training,and supervise the new staff.,No error,D
117,2.9,Non-Finites,Find the error (Non-Finites),To be a king and,wear a crown are,more glamorous to,see than to hear.,No error,D
118,2.9,Non-Finites,Find the error (Non-Finites),"Unlike these days,",he enjoyed reading books,and spend quite some time,in the library when he was young.,No error,C
119,2.9,Non-Finites,Find the error (Non-Finites),We were forced into react,as no organisation can,afford to adhere to,these outdated regulations.,No error,A
120,2.9,Non-Finites,Find the error (Non-Finites),He has refused,not to take,the promotion although,he is eligible.,No error,B
121,2.9,Non-Finites,Find the error (Non-Finites),The Director has refused to,gave them an appointment,on Wednesday because,he has another meeting scheduled.,No error,B
122,2.9,Non-Finites,Find the error (Non-Finites),The media can,play a crucial role,ensures that ordinary,citizens get justice.,No error,C
123,2.9,Non-Finites,Find the error (Non-Finites),The government has vowed to,achieve its goal of sending,a child to school,in the next two years.,No error,B
124,2.9,Non-Finites,Find the error (Non-Finites),A customer usually,goes to a bank,to deposit or withdraw money,or applies for loans.,No error,D
125,2.9,Non-Finites,Find the error (Non-Finites),I made him,to do,the project against his wishes.,No error,Noopt,B
126,2.9,Non-Finites,Find the error (Non-Finites),You should avoid,to travel,in the rush hour.,No error,Noopt,B
127,2.9,Non-Finites,Find the error (Non-Finites),He denied,to have,been there.,No error,Noopt,B
128,2.9,Non-Finites,Find the error (Non-Finites),The university has,not spent enough,money to maintaining,it valuable library.,No error,C
129,2.9,Non-Finites,Find the error (Non-Finites),The chairman has refused,not to sanction,the required funds,for the project.,No error,B
130,2.9,Non-Finites,Find the error (Non-Finites),The scheme failed because,some states could not,manages not to raise,the necessary funds.,No error,C
131,2.9,Non-Finites,Find the error (Non-Finites),"During the course of exhibition,",the old man who was,looking unusually cheerful,kept on take notes.,No error,D
132,2.9,Non-Finites,Find the error (Non-Finites),"The policeman went away,",apparently convincing,but he did not,feel safe at all.,No error,B
133,2.9,Non-Finites,Find the error (Non-Finites),I becoming an administrator,was not liked,by my parents,and our well wishers.,No error,A
134,2.9,Non-Finites,Find the error (Non-Finites),Negotiations with the bank,are at an advanced,stage and we hope to,signed the deal soon.,No error,D
135,2.9,Non-Finites,Find the error (Non-Finites),The government is working,out a new system to compensate,those companies to sell,products below the market price.,No error,C
136,2.9,Non-Finites,Find the error (Non-Finites),The government is still in the,process of finalized new policy,guidelines for the allocation of land,to private sector organizations.,No error,B
137,2.9,Non-Finites,Find the error (Non-Finites),At present China is the,world’s leader manufacture,of environment friendly products,such as electric cars and bicycles.,No error,B
138,2.9,Non-Finites,Find the error (Non-Finites),"My sing style was unique,",but it would have been nothing,without the contribution of,the brilliant music directors.,No error,A
139,2.9,Non-Finites,Find the error (Non-Finites),The actress was ordered for,wear an alcohol monitoring bracelet and,submit the random weekly drug testing after,she failed to appear for a court date last week.,No error,A
140,2.9,Non-Finites,Find the error (Non-Finites),The doctor helps,to reducing human suffering,by curing disease,and improving health.,No error,B
141,2.9,Non-Finites,Find the error (Non-Finites),Instead of,"to buy books,",I borrow them,from the library.,No error,B
142,2.9,Non-Finites,Find the error (Non-Finites),You’d better,"gone now,",or you’ll be late.,No error,Noopt,B
143,2.9,Non-Finites,Find the error (Non-Finites),To began with,three agencies were,retained to study,and submit recommendations.,No error,A
144,2.9,Non-Finites,Find the error (Non-Finites),To clamp down on illegal mining,"that loses money for the Exchequer,",local people need to empowered,to vet and oversee operations.,No error,C
145,2.9,Non-Finites,Find the error (Non-Finites),There is no question,of my failing,in the examination.,No error,Noopt,D
146,2.9,Non-Finites,Find the error (Non-Finites),Modern youth pay more attention,to seeing films,than to read books.,No error,Noopt,C
147,2.9,Non-Finites,Find the error (Non-Finites),The children said,they would starve,rather than to surrender.,No error,Noopt,C
148,2.9,Non-Finites,Find the error (Non-Finites),We have taken on,the responsibility of,arranging the required training,and supervise the new staff.,No error,D
149,2.9,Non-Finites,Find the error (Non-Finites),Being a holiday,we went out,for a picnic.,No error,Noopt,A
150,2.9,Non-Finites,Find the error (Non-Finites),Do you remember,to meet her,at my house last year.,No error,Noopt,B
151,2.9,Non-Finites,Find the error (Non-Finites),Economics is,the subject,I am not interested.,No error,Noopt,C
152,2.9,Non-Finites,Find the error (Non-Finites),Have you started,to write the book,that you were talking about ?,No error,Noopt,B
153,2.9,Non-Finites,Find the error (Non-Finites),He believing himself,to be right,he stuck to his opinion.,No error,Noopt,A
154,2.9,Non-Finites,Find the error (Non-Finites),Having been warned,of the danger,I stayed there no longer.,No error,Noopt,D
155,2.9,Non-Finites,Find the error (Non-Finites),What is the idea of,you coming at,this odd hour.,No error,Noopt,B
156,2.9,Non-Finites,Find the error (Non-Finites),I am looking forward,to see you at,the party next week.,No error,Noopt,B
157,2.9,Non-Finites,Find the error (Non-Finites),"Trying many times,",he decided not to,appear in a competitive examination.,No error,Noopt,A
158,2.9,Non-Finites,Find the error (Non-Finites),"Having seen,",the policeman the thief,took to heels.,No error,Noopt,A
159,2.9,Non-Finites,Find the error (Non-Finites),"Being a moonlit night,",Maria suggested,to go boating.,No error,Noopt,A
160,2.9,Non-Finites,Find the error (Non-Finites),It is better,to do something,than sit idle.,No error,Noopt,D
161,2.9,Non-Finites,Find the error (Non-Finites),Alexander’s hope to conquer,the whole of India,was never realized.,No error,Noopt,A
162,2.9,Non-Finites,Find the error (Non-Finites),Being deaf,I shouted my words,in his ears.,No error,Noopt,A
163,2.9,Non-Finites,Find the error (Non-Finites),"Being a poor nation,",the World Bank has helped India,many a time.,No error,Noopt,A
164,2.9,Non-Finites,Find the error (Non-Finites),"Being a poor nation,",India cannot afford,to stage Olympic games.,No error,Noopt,D
165,2.9,Non-Finites,Find the error (Non-Finites),After having passed M.Sc.,he joined the Air Force,as an officer.,No error,Noopt,A
166,2.9,Non-Finites,Find the error (Non-Finites),The learning of grammatical rules is,better than committing them,to memory mechanically.,No error,Noopt,B
167,2.9,Non-Finites,Find the error (Non-Finites),Shane did no more,than to make,a beginning.,No error,Noopt,B
168,2.9,Non-Finites,Find the error (Non-Finites),The Indians have a,great desire,for being educated.,No error,Noopt,C
169,2.9,Non-Finites,Find the error (Non-Finites),You must try to clearly understand,that an infinitive,should not be split.,No error,Noopt,A
170,2.9,Non-Finites,Find the error (Non-Finites),Adam was obviously,surprised at me,refusing his request.,No error,Noopt,B
171,2.9,Non-Finites,Find the error (Non-Finites),I do not know what to do,with that man running away,every time I come across him.,No error,Noopt,B
172,2.9,Non-Finites,Find the error (Non-Finites),Being the last day of academic year,the students decided,to meet the principal.,No error,Noopt,A
173,2.9,Non-Finites,Find the error (Non-Finites),Even though he was,over ninety he still enjoyed,to read novels.,No error,Noopt,C
174,2.9,Non-Finites,Find the error (Non-Finites),"Returning home,",several pieces of,jewellery were missing.,No error,Noopt,B
175,2.9,Non-Finites,Find the error (Non-Finites),As a good friend Selena agreed,to write the addresses,on all the envelops.,No error,Noopt,A
176,2.9,Non-Finites,Find the error (Non-Finites),Meeting old friends,and reading of good books,keep him busy the whole day.,No error,Noopt,B
177,2.9,Non-Finites,Find the error (Non-Finites),You should avoid,to meet the people,with dubious reputation.,No error,Noopt,B
178,2.9,Non-Finites,Find the error (Non-Finites),Although he was very tired,he still kept to work,continuously for seven hours.,No error,Noopt,B
179,2.9,Non-Finites,Find the error (Non-Finites),When I have finished to explain,the circumstances I am sure,that you will understand.,No error,Noopt,A
