,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
27,1.5,Phrasal Verbs,Every man has to account _______ his action to God.,of,by,for,on,C,Fill in the blanks with phrasal verbs
28,1.5,Phrasal Verbs,I refrained _______ hurting his feelings.,to,on,by,from,D,Fill in the blanks with phrasal verbs
29,1.5,Phrasal Verbs,I am looking forward _______ meeting with him.,on,from,to,for,C,Fill in the blanks with phrasal verbs
30,1.5,Phrasal Verbs,The event came _______ just as he has predicted it.,off,about,down,on,B,Fill in the blanks with phrasal verbs
31,1.5,Phrasal Verbs,This man has had a severe illness but is coming _______ again.,about,off,for,round,D,Fill in the blanks with phrasal verbs
32,1.5,Phrasal Verbs,They forced him to comply _______ their request.,by,from,with,on,C,Fill in the blanks with phrasal verbs
33,1.5,Phrasal Verbs,The admiral counted _______ assistance from the land forces.,off,with,on,for,C,Fill in the blanks with phrasal verbs
34,1.5,Phrasal Verbs,The Desais have just now _______ their own flat from their hired apartment.,moved up,moved into,moved off,moved by,B,Fill in the blanks with phrasal verbs
35,1.5,Phrasal Verbs,The neighbours _______ over a simple issue of a wind-fall coconut.,fell out,fell up,fell in,fell down,A,Fill in the blanks with phrasal verbs
36,1.5,Phrasal Verbs,"If this fellow was imprisoned for only one week for so grave an offence, he got _______ very cheap.",of,off,by,over,B,Fill in the blanks with phrasal verbs
37,1.5,Phrasal Verbs,This room goes _______ the name of The Study.,at,for,on,by,D,Fill in the blanks with phrasal verbs
38,1.5,Phrasal Verbs,Is this the principle you always go _______ ?,by,at,on,for,A,Fill in the blanks with phrasal verbs
39,1.5,Phrasal Verbs,The discussion of the case can easily hang _______ till next meeting.,by,on,over,at,B,Fill in the blanks with phrasal verbs
40,1.5,Phrasal Verbs,"Only when the persuasions failed, the police resorted _______ firing.",with,to,at,on,B,Fill in the blanks with phrasal verbs
41,1.5,Phrasal Verbs,The ultimate decision rests _______ the board of directors.,at,by,for,on,D,Fill in the blanks with phrasal verbs
42,1.5,Phrasal Verbs,The man has run _______ his whole fortune and today he lives by begging.,out,down,through,after,C,Fill in the blanks with phrasal verbs
44,1.5,Phrasal Verbs,The battle resulted _______ a victory for the Allies.,in,for,with,at,A,Fill in the blanks with phrasal verbs
45,1.5,Phrasal Verbs,Robin takes _______ his father in height.,on,about,after,for,C,Fill in the blanks with phrasal verbs
46,1.5,Phrasal Verbs,A child was run _______ by a speeding car.,above,at,over,down,C,Fill in the blanks with phrasal verbs
48,1.5,Phrasal Verbs,The fear that AIDS has broken _______ in India is not unfounded.,about,out,down,with,B,Fill in the blanks with phrasal verbs
49,1.5,Phrasal Verbs,"While roaming in the streets of Delhi, I ran _______ my old friend.",by,down,along,into,D,Fill in the blanks with phrasal verbs
