num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
31,2,https://i.imgur.com/6qqzxYQ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
32,1,https://i.imgur.com/8vuZiIV.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
33,2,https://i.imgur.com/CV16FEz.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
34,3,https://i.imgur.com/5pnAyMQ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
35,1,https://i.imgur.com/xHm5Zaf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
36,1,https://i.imgur.com/z9NGkbn.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
37,4,https://i.imgur.com/rCkx1aW.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
38,4,https://i.imgur.com/jrFwLSS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
39,1,https://i.imgur.com/T4fzR0N.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
40,1,https://i.imgur.com/13HjAiY.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
41,3,https://i.imgur.com/LSzHogX.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
42,4,https://i.imgur.com/GfAmAQ6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
43,3,https://i.imgur.com/tg2M405.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
44,2,https://i.imgur.com/l6u9qhN.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
45,3,https://i.imgur.com/klwpL4H.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
46,1,https://i.imgur.com/TEsGbRW.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
47,3,https://i.imgur.com/7CAbVwl.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
48,3,https://i.imgur.com/L1EkIyo.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
49,1,https://i.imgur.com/eLsYJlA.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
50,2,https://i.imgur.com/Ccqgwvs.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
51,2,https://i.imgur.com/RNgapcx.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
52,2,https://i.imgur.com/7MGnd8Q.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
53,3,https://i.imgur.com/47hKM9z.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
54,4,https://i.imgur.com/x5A8YME.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
55,4,https://i.imgur.com/8md2r7V.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
56,2,https://i.imgur.com/3d8AZ3C.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
57,2,https://i.imgur.com/r8c7Di0.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
58,2,https://i.imgur.com/D4b7Zk6.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
59,3,https://i.imgur.com/kSrSf2M.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
60,4,https://i.imgur.com/Slqd4j9.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
61,3,https://i.imgur.com/2sBwODS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
62,4,https://i.imgur.com/WOirljK.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
63,3,https://i.imgur.com/TeFZ7ae.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
64,4,https://i.imgur.com/1FdGy17.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
65,2,https://i.imgur.com/LsrSs0S.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
66,3,https://i.imgur.com/xBxYVXA.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
67,4,https://i.imgur.com/dPcdetj.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
68,1,https://i.imgur.com/lOVg0nX.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
69,4,https://i.imgur.com/1qmc4lf.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
70,2,https://i.imgur.com/TwG7H3y.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
71,2,https://i.imgur.com/g3fi7XM.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
72,4,https://i.imgur.com/dEm0p4g.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
73,3,https://i.imgur.com/IiBSnhs.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
74,4,https://i.imgur.com/1koWFB1.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
75,2,https://i.imgur.com/WkZZYlS.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
76,2,https://i.imgur.com/pGnPEKr.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
77,4,https://i.imgur.com/rHRvPrU.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
78,1,https://i.imgur.com/qQiDHn3.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
79,2,https://i.imgur.com/Wk7OtpT.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
80,3,https://i.imgur.com/pTjv19k.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
81,2,https://i.imgur.com/QSPIdRh.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
82,2,https://i.imgur.com/nBKdlwK.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
83,1,https://i.imgur.com/inTliMp.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
84,3,https://i.imgur.com/2jUnGQg.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
85,4,https://i.imgur.com/3LijYLJ.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
86,4,https://i.imgur.com/xj9irNc.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
87,1,https://i.imgur.com/T7Pgp6B.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
88,3,https://i.imgur.com/ZeYQryP.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
89,4,https://i.imgur.com/wmSEcyk.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
90,3,https://i.imgur.com/4gcAwSy.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
91,3,https://i.imgur.com/H47D9Fa.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
92,4,https://i.imgur.com/sECtzhe.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
93,4,https://i.imgur.com/y7R6GkE.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
94,1,https://i.imgur.com/yuFZhqh.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
95,4,https://i.imgur.com/9hXnrUc.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
96,3,https://i.imgur.com/KKRoeDO.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
97,4,https://i.imgur.com/LHjE0E1.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
98,4,https://i.imgur.com/hlBeRF3.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
99,3,https://i.imgur.com/Ynskotu.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
100,2,https://i.imgur.com/PIS2fVp.png,jeeChemistry10,English,A,B,C,D,JITO,IITJEE10,1.1
