num,correct,QuestionLink,lang,optionA,optionB,optionC,optionD,source,usedFor,category,sectionType
34,4,https://i.imgur.com/D0wBzpy.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
35,3,https://i.imgur.com/NoKgu23.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
36,4,https://i.imgur.com/bs6BrFh.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
37,3,https://i.imgur.com/I2Ar8zT.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
38,1,https://i.imgur.com/UKrMSKJ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
39,4,https://i.imgur.com/qSeFHAo.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
40,3,https://i.imgur.com/7xUDQxJ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
41,4,https://i.imgur.com/WIrsOsc.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
42,4,https://i.imgur.com/cPxbrsZ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
43,4,https://i.imgur.com/Y2VA5Lg.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
44,4,https://i.imgur.com/gv7WmpF.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
45,2,https://i.imgur.com/ofNM2sa.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
46,2,https://i.imgur.com/AkW4Wff.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
47,4,https://i.imgur.com/TJ40oeD.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
48,3,https://i.imgur.com/x61tc4h.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
49,1,https://i.imgur.com/zuU5dtx.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
50,1,https://i.imgur.com/qiFanX3.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
51,1,https://i.imgur.com/nrwvzi6.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
52,3,https://i.imgur.com/9y7aVDV.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
53,1,https://i.imgur.com/ZGCQ1LO.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
54,3,https://i.imgur.com/lsa8ROR.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
55,1,https://i.imgur.com/kcyB1D8.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
56,1,https://i.imgur.com/OhGlRtw.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
57,3,https://i.imgur.com/iMUY3yo.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
58,1,https://i.imgur.com/xPTDUcd.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
59,2,https://i.imgur.com/QLPBjGj.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
60,1,https://i.imgur.com/9aDIZxq.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
61,2,https://i.imgur.com/DEJ6aV2.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
62,2,https://i.imgur.com/wK3l1gl.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
63,2,https://i.imgur.com/RLCayfq.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
64,3,https://i.imgur.com/jqDNM4k.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
65,1,https://i.imgur.com/1QUuViA.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
66,3,https://i.imgur.com/5R7fPa3.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
67,3,https://i.imgur.com/GuFO9rh.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
68,2,https://i.imgur.com/qE0AP7a.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
69,2,https://i.imgur.com/4YPGHPV.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
70,4,https://i.imgur.com/f06T3Fb.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
71,2,https://i.imgur.com/Bp6rZGH.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
72,4,https://i.imgur.com/4yQQs2D.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
73,3,https://i.imgur.com/QjabmJ7.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
74,1,https://i.imgur.com/co13SNp.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
75,1,https://i.imgur.com/9EUhL4i.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
76,4,https://i.imgur.com/f780rKg.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
77,3,https://i.imgur.com/m0OomDZ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
78,3,https://i.imgur.com/9zz8ajG.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
79,1,https://i.imgur.com/JfR1lmM.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
80,4,https://i.imgur.com/IpDbbN8.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
81,1,https://i.imgur.com/C1gLZI2.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
82,3,https://i.imgur.com/d5jjekw.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
83,4,https://i.imgur.com/lNnRMEx.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
84,1,https://i.imgur.com/8dqKG9U.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
85,4,https://i.imgur.com/0HW8Ttm.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
86,3,https://i.imgur.com/udQvZAR.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
87,1,https://i.imgur.com/ezrDxtE.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
88,3,https://i.imgur.com/JigXJOj.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
89,2,https://i.imgur.com/IGvIsXP.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
90,2,https://i.imgur.com/hhEY1f4.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
91,1,https://i.imgur.com/ofZMdnB.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
92,3,https://i.imgur.com/b50AExD.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
93,1,https://i.imgur.com/ZyaMVg7.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
94,3,https://i.imgur.com/7bN0xwO.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
95,2,https://i.imgur.com/08fHiqz.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
96,2,https://i.imgur.com/aXwbZbt.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
97,3,https://i.imgur.com/tS26RI7.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
98,2,https://i.imgur.com/QVhARvI.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
99,4,https://i.imgur.com/xNvOrdv.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
100,4,https://i.imgur.com/H31bsYD.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
