num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
39,1,https://i.imgur.com/vpSW6HT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
40,1,https://i.imgur.com/DDu8492.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
41,2,https://i.imgur.com/TimG0jX.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
42,2,https://i.imgur.com/WfJDN3O.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
43,3,https://i.imgur.com/7EvslVZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
44,2,https://i.imgur.com/tyoAmz5.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
45,1,https://i.imgur.com/9Hda9UK.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
46,2,https://i.imgur.com/PFUvWWr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
47,4,https://i.imgur.com/uM3ROXt.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
48,1,https://i.imgur.com/3nUBAUZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
49,4,https://i.imgur.com/KPBzCUx.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
50,4,https://i.imgur.com/1i6udbv.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
51,1,https://i.imgur.com/Sa3gDIr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
52,4,https://i.imgur.com/ZlrLLF0.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
53,4,https://i.imgur.com/Kkv6XuV.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
54,1,https://i.imgur.com/C21P29g.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
55,2,https://i.imgur.com/wZUjNyA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
56,4,https://i.imgur.com/ECZyIzd.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
57,2,https://i.imgur.com/Nignqym.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
58,1,https://i.imgur.com/UQcrDL6.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
59,1,https://i.imgur.com/EgTi1rQ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
60,3,https://i.imgur.com/qMgbt7w.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
61,2,https://i.imgur.com/dUBHeQr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
62,3,https://i.imgur.com/TFqL8oA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
63,3,https://i.imgur.com/r00FH5m.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
64,4,https://i.imgur.com/mAxHXWj.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
65,4,https://i.imgur.com/G3BR78b.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
66,1,https://i.imgur.com/jLjjDeU.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
67,2,https://i.imgur.com/Zjz0Bky.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
68,3,https://i.imgur.com/m6bKArR.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
69,3,https://i.imgur.com/FGQfV5c.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
70,3,https://i.imgur.com/DgAmwSN.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
71,1,https://i.imgur.com/FUC7s2Q.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
72,4,https://i.imgur.com/d3Hp98j.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
73,2,https://i.imgur.com/j8lTRfl.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
74,3,https://i.imgur.com/YpBbc8k.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
75,3,https://i.imgur.com/PzGDi6e.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
76,1,https://i.imgur.com/btetE45.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
77,4,https://i.imgur.com/COyCrrO.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
78,3,https://i.imgur.com/TKRm8qu.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
79,3,https://i.imgur.com/CmuVlls.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
80,3,https://i.imgur.com/QItSLLc.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
81,4,https://i.imgur.com/7DQhEeV.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
82,2,https://i.imgur.com/mGy5ffs.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
83,2,https://i.imgur.com/LHR4nXv.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
84,4,https://i.imgur.com/uqlfqn7.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
85,1,https://i.imgur.com/rmbSEOH.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
86,3,https://i.imgur.com/u7aGMLi.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
87,4,https://i.imgur.com/UBXDxqX.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
88,2,https://i.imgur.com/XxWTKtn.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
89,2,https://i.imgur.com/WKmIh7a.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
90,4,https://i.imgur.com/DNCiek1.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
91,4,https://i.imgur.com/8BqialZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
92,4,https://i.imgur.com/J74chYI.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
93,2,https://i.imgur.com/bMHLj2T.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
94,4,https://i.imgur.com/b9b8jOi.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
95,1,https://i.imgur.com/6kFi4ZM.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
96,3,https://i.imgur.com/kgMU4TR.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
97,4,https://i.imgur.com/cKVMxEq.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
98,1,https://i.imgur.com/s0CPVti.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
99,4,https://i.imgur.com/5R7K411.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
100,1,https://i.imgur.com/NaXwoWS.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
