num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
46,3,https://i.imgur.com/WOeEXgP.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
47,4,https://i.imgur.com/jwhgpUR.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
48,1,https://i.imgur.com/4y8382R.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
49,1,https://i.imgur.com/DK7WA8m.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
50,4,https://i.imgur.com/uuqAGpr.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
51,3,https://i.imgur.com/93yhq3N.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
52,3,https://i.imgur.com/S37So7W.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
53,4,https://i.imgur.com/4yAkPCk.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
54,4,https://i.imgur.com/knPxjKr.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
55,3,https://i.imgur.com/ExVl5rK.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
56,4,https://i.imgur.com/ibnC17b.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
57,3,https://i.imgur.com/xCBlH8w.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
58,3,https://i.imgur.com/umaFyCn.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
59,4,https://i.imgur.com/mk14Rin.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
60,1,https://i.imgur.com/TGe7QVz.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
61,4,https://i.imgur.com/oPT3R8Q.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
62,2,https://i.imgur.com/gGSYxMK.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
63,1,https://i.imgur.com/PZPIPhD.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
64,2,https://i.imgur.com/36V4NNB.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
65,3,https://i.imgur.com/ELI7iQz.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
66,3,https://i.imgur.com/3DDpsBN.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
67,4,https://i.imgur.com/Ih2SI9M.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
68,3,https://i.imgur.com/Ua7wO3l.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
69,2,https://i.imgur.com/YAwembL.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
70,2,https://i.imgur.com/vz8Tpfc.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
71,3,https://i.imgur.com/zbbwWOJ.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
72,4,https://i.imgur.com/QfKQiQ0.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
73,1,https://i.imgur.com/M510Ugi.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
74,3,https://i.imgur.com/7e9qvRj.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
75,4,https://i.imgur.com/wtXYKVK.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
76,3,https://i.imgur.com/M617zxz.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
77,1,https://i.imgur.com/UOrYJwW.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
78,1,https://i.imgur.com/3XSB317.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
79,1,https://i.imgur.com/kHC0XPa.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
80,1,https://i.imgur.com/vTbBa0i.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
81,1,https://i.imgur.com/CipmSts.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
82,1,https://i.imgur.com/tDwh2y3.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
83,4,https://i.imgur.com/XQ9cMsb.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
84,1,https://i.imgur.com/epuft0z.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
85,2,https://i.imgur.com/dYTVUox.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
86,3,https://i.imgur.com/lQxTATo.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
87,4,https://i.imgur.com/McgFkOg.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
88,4,https://i.imgur.com/deSGLFT.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
89,4,https://i.imgur.com/F7Knq6E.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
90,2,https://i.imgur.com/MhaUF0Q.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
91,2,https://i.imgur.com/ZM4QZd5.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
92,3,https://i.imgur.com/7r6GeTu.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
93,2,https://i.imgur.com/HuBbsW0.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
94,4,https://i.imgur.com/AW13hzY.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
95,1,https://i.imgur.com/U96dR2D.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
96,2,https://i.imgur.com/L2A3HUb.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
97,2,https://i.imgur.com/8BQ9xal.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
98,4,https://i.imgur.com/m3qgLtW.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
99,1,https://i.imgur.com/GqpjBg5.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
100,2,https://i.imgur.com/2m5cq3m.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
