num,correct,QuestionLink3,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
9,a,https://imgur.com/KFQlyfc,https://imgur.com/KFQlyfc.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,c,https://imgur.com/PVl5NI8,https://imgur.com/PVl5NI8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,a,https://imgur.com/ij1ZvpW,https://imgur.com/ij1ZvpW.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,a,https://imgur.com/616ur1D,https://imgur.com/616ur1D.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,b,https://imgur.com/XgoxpRo,https://imgur.com/XgoxpRo.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,b,https://imgur.com/HfZb9cd,https://imgur.com/HfZb9cd.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,c,https://imgur.com/ITYgaoZ,https://imgur.com/ITYgaoZ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,c,https://imgur.com/YLY52GT,https://imgur.com/YLY52GT.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,c,https://imgur.com/K8rILg8,https://imgur.com/K8rILg8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,b,https://imgur.com/ZVls6QM,https://imgur.com/ZVls6QM.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,b,https://imgur.com/MMX7tgn,https://imgur.com/MMX7tgn.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,c,https://imgur.com/Upm1x8x,https://imgur.com/Upm1x8x.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,a,https://imgur.com/HW4eUFC,https://imgur.com/HW4eUFC.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,b,https://imgur.com/4ggComE,https://imgur.com/4ggComE.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,a,https://imgur.com/IQr4GYN,https://imgur.com/IQr4GYN.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,a,https://imgur.com/dCNrgRy,https://imgur.com/dCNrgRy.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,c,https://imgur.com/nMwLAKJ,https://imgur.com/nMwLAKJ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,c,https://imgur.com/dQHJxE4,https://imgur.com/dQHJxE4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,b,https://imgur.com/gQJ7Fi2,https://imgur.com/gQJ7Fi2.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,a,https://imgur.com/I7sbeLw,https://imgur.com/I7sbeLw.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,b,https://imgur.com/Bs8j1of,https://imgur.com/Bs8j1of.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,c,https://imgur.com/gB8T6sG,https://imgur.com/gB8T6sG.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,a,https://imgur.com/CNfhk9W,https://imgur.com/CNfhk9W.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,b,https://imgur.com/BtDWrGH,https://imgur.com/BtDWrGH.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,b,https://imgur.com/D9aVYIq,https://imgur.com/D9aVYIq.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,d,https://imgur.com/heo9m9M,https://imgur.com/heo9m9M.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,a,https://imgur.com/lWCIKpz,https://imgur.com/lWCIKpz.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,c,https://imgur.com/rcGtiWd,https://imgur.com/rcGtiWd.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,a,https://imgur.com/DLXp7Kb,https://imgur.com/DLXp7Kb.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,b,https://imgur.com/Nf0JVnM,https://imgur.com/Nf0JVnM.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,b,https://imgur.com/WvWs5Vn,https://imgur.com/WvWs5Vn.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,b,https://imgur.com/MP3ny7n,https://imgur.com/MP3ny7n.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,a,https://imgur.com/2WQVoe2,https://imgur.com/2WQVoe2.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,a,https://imgur.com/Hy9xGJz,https://imgur.com/Hy9xGJz.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,b,https://imgur.com/iKqsFk7,https://imgur.com/iKqsFk7.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/j1NF79Y,https://imgur.com/j1NF79Y.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,b,https://imgur.com/O2t9UKb,https://imgur.com/O2t9UKb.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,c,https://imgur.com/cJqJ3KC,https://imgur.com/cJqJ3KC.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,a,https://imgur.com/NI3DyKH,https://imgur.com/NI3DyKH.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,d,https://imgur.com/bxobm6C,https://imgur.com/bxobm6C.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,a,https://imgur.com/ynhmRgD,https://imgur.com/ynhmRgD.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,d,https://imgur.com/WUN40Sf,https://imgur.com/WUN40Sf.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,d,https://imgur.com/3Ifbf05,https://imgur.com/3Ifbf05.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,b,https://imgur.com/KuPBq2w,https://imgur.com/KuPBq2w.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,d,https://imgur.com/1ZukHcK,https://imgur.com/1ZukHcK.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,a,https://imgur.com/OXwftRx,https://imgur.com/OXwftRx.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,c,https://imgur.com/qK3XVBi,https://imgur.com/qK3XVBi.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,a,https://imgur.com/F3qTNCN,https://imgur.com/F3qTNCN.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,a,https://imgur.com/fMo4tGW,https://imgur.com/fMo4tGW.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,c,https://imgur.com/5fLHwPV,https://imgur.com/5fLHwPV.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,d,https://imgur.com/j3Vv6sY,https://imgur.com/j3Vv6sY.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,a,https://imgur.com/5pGlRNw,https://imgur.com/5pGlRNw.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,a,https://imgur.com/znzTQSr,https://imgur.com/znzTQSr.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,b,https://imgur.com/mOdudTf,https://imgur.com/mOdudTf.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,a,https://imgur.com/kN03z58,https://imgur.com/kN03z58.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,c,https://imgur.com/vUul0cW,https://imgur.com/vUul0cW.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,b,https://imgur.com/zOOcGM4,https://imgur.com/zOOcGM4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,b,https://imgur.com/fmKjylQ,https://imgur.com/fmKjylQ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,b,https://imgur.com/FSRQ6J4,https://imgur.com/FSRQ6J4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,c,https://imgur.com/061fOYc,https://imgur.com/061fOYc.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,b,https://imgur.com/NPkUGj4,https://imgur.com/NPkUGj4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,b,https://imgur.com/PmS9Mmd,https://imgur.com/PmS9Mmd.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,a,https://imgur.com/YiqmKvq,https://imgur.com/YiqmKvq.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,a,https://imgur.com/S0JmcvY,https://imgur.com/S0JmcvY.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/iEKZSm1,https://imgur.com/iEKZSm1.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,a,https://imgur.com/IXa0lpt,https://imgur.com/IXa0lpt.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,b,https://imgur.com/BPKyxRq,https://imgur.com/BPKyxRq.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,a,https://imgur.com/HaNCNI7,https://imgur.com/HaNCNI7.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,d,https://imgur.com/lyWoLNb,https://imgur.com/lyWoLNb.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,c,https://imgur.com/WYyjNsy,https://imgur.com/WYyjNsy.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,c,https://imgur.com/57jt5Ef,https://imgur.com/57jt5Ef.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,b,https://imgur.com/fZRlNQ7,https://imgur.com/fZRlNQ7.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,a,https://imgur.com/Brxccm0,https://imgur.com/Brxccm0.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,b,https://imgur.com/g7rVgD5,https://imgur.com/g7rVgD5.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,c,https://imgur.com/dTGgf8U,https://imgur.com/dTGgf8U.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,d,https://imgur.com/bAFi20i,https://imgur.com/bAFi20i.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,a,https://imgur.com/00y25Rw,https://imgur.com/00y25Rw.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,b,https://imgur.com/v9p68x8,https://imgur.com/v9p68x8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,c,https://imgur.com/rv7EXS0,https://imgur.com/rv7EXS0.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,c,https://imgur.com/EZIF7vR,https://imgur.com/EZIF7vR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,a,https://imgur.com/NtUKGRE,https://imgur.com/NtUKGRE.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,c,https://imgur.com/HnMqdwT,https://imgur.com/HnMqdwT.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,a,https://imgur.com/C6WJ4qu,https://imgur.com/C6WJ4qu.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,c,https://imgur.com/8ByToRw,https://imgur.com/8ByToRw.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,d,https://imgur.com/RweVN2k,https://imgur.com/RweVN2k.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,b,https://imgur.com/giVD8I3,https://imgur.com/giVD8I3.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,d,https://imgur.com/yc32Ikt,https://imgur.com/yc32Ikt.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,d,https://imgur.com/IOf1a17,https://imgur.com/IOf1a17.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,d,https://imgur.com/zX1UWJk,https://imgur.com/zX1UWJk.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,a,https://imgur.com/ACzXn1p,https://imgur.com/ACzXn1p.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,c,https://imgur.com/bJjaiec,https://imgur.com/bJjaiec.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,d,https://imgur.com/i3sW3tL,https://imgur.com/i3sW3tL.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,c,https://imgur.com/UZRgoWe,https://imgur.com/UZRgoWe.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/MzF9eJo,https://imgur.com/MzF9eJo.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,d,https://imgur.com/Y1GZXH5,https://imgur.com/Y1GZXH5.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,a,https://imgur.com/n2xLbbU,https://imgur.com/n2xLbbU.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,a,https://imgur.com/jEdCttM,https://imgur.com/jEdCttM.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,c,https://imgur.com/iOhzr2S,https://imgur.com/iOhzr2S.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,b,https://imgur.com/EadW32J,https://imgur.com/EadW32J.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,c,https://imgur.com/DdJv0q0,https://imgur.com/DdJv0q0.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,b,https://imgur.com/PFao9zt,https://imgur.com/PFao9zt.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,b,https://imgur.com/o5lYFKA,https://imgur.com/o5lYFKA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,d,https://imgur.com/RFvTrUE,https://imgur.com/RFvTrUE.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,b,https://imgur.com/mo5ZEu8,https://imgur.com/mo5ZEu8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,b,https://imgur.com/54gTKZG,https://imgur.com/54gTKZG.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,d,https://imgur.com/V1RvvlT,https://imgur.com/V1RvvlT.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,d,https://imgur.com/Z9m6JDu,https://imgur.com/Z9m6JDu.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,d,https://imgur.com/0GqRS41,https://imgur.com/0GqRS41.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,c,https://imgur.com/Mn0LKzC,https://imgur.com/Mn0LKzC.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,b,https://imgur.com/anaKayH,https://imgur.com/anaKayH.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,d,https://imgur.com/witQ3dy,https://imgur.com/witQ3dy.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,c,https://imgur.com/jHVjZxn,https://imgur.com/jHVjZxn.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,b,https://imgur.com/qAkD5it,https://imgur.com/qAkD5it.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,d,https://imgur.com/hF4r6y4,https://imgur.com/hF4r6y4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,a,https://imgur.com/r0L19w7,https://imgur.com/r0L19w7.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,d,https://imgur.com/tYhMeIj,https://imgur.com/tYhMeIj.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,d,https://imgur.com/cWa1NWk,https://imgur.com/cWa1NWk.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,a,https://imgur.com/DSBDJVx,https://imgur.com/DSBDJVx.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,d,https://imgur.com/odn0tR2,https://imgur.com/odn0tR2.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,a,https://imgur.com/f73zjff,https://imgur.com/f73zjff.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,b,https://imgur.com/wk2GbRr,https://imgur.com/wk2GbRr.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/Qega5Ro,https://imgur.com/Qega5Ro.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,a,https://imgur.com/2LD5MCA,https://imgur.com/2LD5MCA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,c,https://imgur.com/XnIJMoi,https://imgur.com/XnIJMoi.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,b,https://imgur.com/IMcM4IT,https://imgur.com/IMcM4IT.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,b,https://imgur.com/dc4ptN9,https://imgur.com/dc4ptN9.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,b,https://imgur.com/WrDi5sR,https://imgur.com/WrDi5sR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,b,https://imgur.com/FAqpV4C,https://imgur.com/FAqpV4C.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,c,https://imgur.com/X2OMhPt,https://imgur.com/X2OMhPt.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,b,https://imgur.com/285HpHs,https://imgur.com/285HpHs.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,b,https://imgur.com/Tr9S81Y,https://imgur.com/Tr9S81Y.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,b,https://imgur.com/0vXl44f,https://imgur.com/0vXl44f.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,b,https://imgur.com/RKp4VnX,https://imgur.com/RKp4VnX.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,b,https://imgur.com/ekybKD7,https://imgur.com/ekybKD7.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,a,https://imgur.com/GLIg3ei,https://imgur.com/GLIg3ei.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,c,https://imgur.com/gIr6Mxl,https://imgur.com/gIr6Mxl.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,a,https://imgur.com/xUpZqft,https://imgur.com/xUpZqft.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,a,https://imgur.com/5plSyjJ,https://imgur.com/5plSyjJ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,a,https://imgur.com/M5ozQMf,https://imgur.com/M5ozQMf.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,b,https://imgur.com/1S8pSkY,https://imgur.com/1S8pSkY.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,b,https://imgur.com/GEr2aD5,https://imgur.com/GEr2aD5.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,a,https://imgur.com/TRudD8t,https://imgur.com/TRudD8t.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,d,https://imgur.com/ekwH4qA,https://imgur.com/ekwH4qA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,c,https://imgur.com/gv6iLe5,https://imgur.com/gv6iLe5.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,b,https://imgur.com/y6sJtWR,https://imgur.com/y6sJtWR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,a,https://imgur.com/rWlw9ED,https://imgur.com/rWlw9ED.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,c,https://imgur.com/mYguZb8,https://imgur.com/mYguZb8.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,d,https://imgur.com/sLQHs9d,https://imgur.com/sLQHs9d.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,d,https://imgur.com/8kLwbcS,https://imgur.com/8kLwbcS.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,c,https://imgur.com/OJFyAtZ,https://imgur.com/OJFyAtZ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,b,https://imgur.com/LojIMLu,https://imgur.com/LojIMLu.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,b,https://imgur.com/1DxG5EB,https://imgur.com/1DxG5EB.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,a,https://imgur.com/Rj0NypH,https://imgur.com/Rj0NypH.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,d,https://imgur.com/iY3UUXA,https://imgur.com/iY3UUXA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,c,https://imgur.com/4Cam5Y2,https://imgur.com/4Cam5Y2.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,a,https://imgur.com/obm0jmf,https://imgur.com/obm0jmf.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,a,https://imgur.com/DnqviG6,https://imgur.com/DnqviG6.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,b,https://imgur.com/ZVBw5K3,https://imgur.com/ZVBw5K3.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
