sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
23,d,https://i.imgur.com/rCynkCf.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
24,c,https://i.imgur.com/EPnFqQC.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
25,a,https://i.imgur.com/U144xJh.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
26,d,https://i.imgur.com/lefzpef.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
27,d,https://i.imgur.com/p6x9LYX.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
28,d,https://i.imgur.com/uIbLxvG.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
29,d,https://i.imgur.com/5RXXDGq.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
30,d,https://i.imgur.com/DbUUaG4.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
31,d,https://i.imgur.com/yq5xTJC.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
32,b,https://i.imgur.com/k99hjmf.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
34,c,https://i.imgur.com/qLI59bJ.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
35,c,https://i.imgur.com/8CvAQkx.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
36,b,https://i.imgur.com/qiE6deR.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
37,a,https://i.imgur.com/dlzG2OA.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
38,b,https://i.imgur.com/WFxJPen.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
39,d,https://i.imgur.com/GcPoZo5.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
40,b,https://i.imgur.com/pKo2qeb.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
42,a,https://i.imgur.com/VhH61CQ.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
43,b,https://i.imgur.com/6lU3Gfz.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
44,d,https://i.imgur.com/x7kqo6e.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
45,b,https://i.imgur.com/xXh0M1U.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
46,d,https://i.imgur.com/X0EnSfV.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
47,b,https://i.imgur.com/9xkYQ2e.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
48,a,https://i.imgur.com/5zGf8op.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
49,a,https://i.imgur.com/2B2I42N.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
51,c,https://i.imgur.com/REZ43jp.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
52,a,https://i.imgur.com/fOt2uHZ.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
53,a,https://i.imgur.com/Ihc5aY9.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
54,d,https://i.imgur.com/MM1wvw8.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
55,a,https://i.imgur.com/zexyPDs.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
56,c,https://i.imgur.com/YfGUqDX.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
57,d,https://i.imgur.com/3T9Z69t.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
58,d,https://i.imgur.com/n8kx7Zd.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
59,a,https://i.imgur.com/rSXFmNS.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
61,a,https://i.imgur.com/I6Xeycs.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
62,b,https://i.imgur.com/rO56Lzf.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
63,d,https://i.imgur.com/nQqN6Is.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
64,a,https://i.imgur.com/I6RxMnV.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
65,d,https://i.imgur.com/XfYVZzx.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
66,b,https://i.imgur.com/bDepby5.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
67,d,https://i.imgur.com/Ul4uxgF.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
69,a,https://i.imgur.com/YoFu7cp.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
70,d,https://i.imgur.com/r569cRl.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
71,a,https://i.imgur.com/WZV4V4S.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
72,b,https://i.imgur.com/hUg6pUh.png,locopilot_diesel,A,B,C,D,4.1,locopilot_diesel,Hindi,JEN
