sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
54,b,https://i.imgur.com/J4hWQte.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
55,a,https://i.imgur.com/sDETzU3.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
57,b,https://i.imgur.com/FWQJolo.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
58,a,https://i.imgur.com/y9PTzDx.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
59,b,https://i.imgur.com/nTdAmM7.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
60,a,https://i.imgur.com/7vDYS14.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
61,c,https://i.imgur.com/UyKJCme.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
62,b,https://i.imgur.com/Ig80Mou.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
63,d,https://i.imgur.com/CZE4IRK.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
64,c,https://i.imgur.com/E1tOo1U.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
66,b,https://i.imgur.com/1JW6G3T.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
67,c,https://i.imgur.com/P5ZHZMg.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
68,a,https://i.imgur.com/3SuAZnY.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
69,a,https://i.imgur.com/Y5YSRfD.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
70,b,https://i.imgur.com/4rgwziG.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
71,c,https://i.imgur.com/QtlMGmW.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
72,d,https://i.imgur.com/3BshIsQ.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
74,d,https://i.imgur.com/PGhvFys.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
75,a,https://i.imgur.com/X1pr8eR.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
76,c,https://i.imgur.com/ihDNDKm.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
77,b,https://i.imgur.com/rSXyFtr.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
78,b,https://i.imgur.com/KsFHqJF.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
79,d,https://i.imgur.com/pPjfYmp.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
80,b,https://i.imgur.com/FjdZ9Di.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
81,a,https://i.imgur.com/aGwgKul.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
83,d,https://i.imgur.com/m46gzkN.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
84,d,https://i.imgur.com/YvqhK8Y.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
85,c,https://i.imgur.com/cXjyNx0.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
86,b,https://i.imgur.com/N9QcCbk.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
87,d,https://i.imgur.com/brkBxRR.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
88,b,https://i.imgur.com/IcbQH3s.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
89,b,https://i.imgur.com/flTeZPL.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
90,b,https://i.imgur.com/nvFPFNE.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
92,d,https://i.imgur.com/Y8drCuP.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
93,a,https://i.imgur.com/a4Qsimf.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
94,d,https://i.imgur.com/xdzWDBx.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
95,b,https://i.imgur.com/fMF5Twd.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
96,c,https://i.imgur.com/PgHNdn9.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
97,c,https://i.imgur.com/Y56cucO.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
98,a,https://i.imgur.com/9J9By8o.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
99,d,https://i.imgur.com/SGl7T2d.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
101,a,https://i.imgur.com/Sce507g.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
102,a,https://i.imgur.com/GXT2uBN.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
103,c,https://i.imgur.com/y97MnLT.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
104,b,https://i.imgur.com/lYHyAN5.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
105,a,https://i.imgur.com/L4h50kS.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
106,a,https://i.imgur.com/lPvUJHa.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
107,d,https://i.imgur.com/PaS9a9D.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
108,c,https://i.imgur.com/8KEGCxG.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
109,a,https://i.imgur.com/8b0yhmS.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
111,b,https://i.imgur.com/jBBtTms.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
112,c,https://i.imgur.com/nFGXP8H.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
113,c,https://i.imgur.com/4IeRHkE.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
114,c,https://i.imgur.com/h1sKpxg.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
115,c,https://i.imgur.com/qXEyRxu.png,locopilot_diesel,A,B,C,D,6.1,locopilot_diesel,Hindi,JEN
