sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
60,b,https://i.imgur.com/oeFxx8Z.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
61,b,https://i.imgur.com/t7CylY3.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
62,d,https://i.imgur.com/stNhpVm.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
63,b,https://i.imgur.com/5X0Pqic.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
64,b,https://i.imgur.com/m62kLC2.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
66,d,https://i.imgur.com/Spne5rE.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
67,c,https://i.imgur.com/MuwjGYZ.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
68,a,https://i.imgur.com/dfWpNXt.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
69,b,https://i.imgur.com/n7IWydQ.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
70,b,https://i.imgur.com/ahfzLP4.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
71,c,https://i.imgur.com/I2H0Jas.png,locopilot_diesel,A,B,C,D,7.1,locopilot_diesel,Hindi,JEN
