sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
38,a,https://i.imgur.com/xzYMZ86.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
39,d,https://i.imgur.com/St7hjj0.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
40,a,https://i.imgur.com/xFPrzwO.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
41,a,https://i.imgur.com/alJdrv7.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
42,b,https://i.imgur.com/2z3ALDb.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
43,d,https://i.imgur.com/ZJ7sWyK.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
44,a,https://i.imgur.com/iwNRgDy.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
45,a,https://i.imgur.com/oThBqit.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
46,b,https://i.imgur.com/IP6xKfI.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
47,d,https://i.imgur.com/AGu10AI.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
48,c,https://i.imgur.com/YDLT1OU.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
49,b,https://i.imgur.com/BLPGrsv.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
50,c,https://i.imgur.com/uWNbNea.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
51,c,https://i.imgur.com/DNWRUTw.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
52,c,https://i.imgur.com/b8eOAt5.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
54,b,https://i.imgur.com/TG9HPUr.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
55,c,https://i.imgur.com/oNj63lh.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
56,a,https://i.imgur.com/CnDEaoL.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
57,b,https://i.imgur.com/VSjkElt.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
58,d,https://i.imgur.com/HYVhmN5.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
59,b,https://i.imgur.com/1u2e9aK.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
60,b,https://i.imgur.com/EwsOCan.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
61,a,https://i.imgur.com/zEIDVdU.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
63,b,https://i.imgur.com/tsWEU1P.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
64,a,https://i.imgur.com/EXJUMvI.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
65,c,https://i.imgur.com/eNjOtAd.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
66,b,https://i.imgur.com/QwPNz6X.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
67,d,https://i.imgur.com/vGZZ6Qb.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
68,c,https://i.imgur.com/dr4UEMD.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
69,a,https://i.imgur.com/l8ZQbiT.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
70,d,https://i.imgur.com/mWICnUJ.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
71,b,https://i.imgur.com/Lv11wzr.png,locopilot_diesel,A,B,C,D,3.1,locopilot_diesel,Hindi,JEN
