sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
50,d,https://i.imgur.com/PC44iAS.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
51,d,https://i.imgur.com/VkQAtNw.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
52,b,https://i.imgur.com/T6UYsbw.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
53,c,https://i.imgur.com/0eoSvq8.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
54,d,https://i.imgur.com/Fa8xWnw.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
55,a,https://i.imgur.com/n079vwc.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
56,b,https://i.imgur.com/Mo9oZcb.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
57,c,https://i.imgur.com/FIlr5ZA.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
58,a,https://i.imgur.com/ii6KGGM.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
59,d,https://i.imgur.com/yViXhKM.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
61,d,https://i.imgur.com/zMFtNnw.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
62,b,https://i.imgur.com/08NBdpu.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
63,c,https://i.imgur.com/NSWLbOE.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
64,d,https://i.imgur.com/8z5V008.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
65,d,https://i.imgur.com/B2bNlBf.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
66,d,https://i.imgur.com/0gcyAoT.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
67,c,https://i.imgur.com/iR3UzDa.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
68,a,https://i.imgur.com/Mci1Xgl.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
69,b,https://i.imgur.com/UsVxAtf.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
70,d,https://i.imgur.com/xBwQ2hS.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
72,c,https://i.imgur.com/sLW1gWR.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
73,a,https://i.imgur.com/M35DIHO.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
74,d,https://i.imgur.com/gMJMjDy.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
75,c,https://i.imgur.com/uAr4vN6.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
76,c,https://i.imgur.com/p2IvMdS.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
77,c,https://i.imgur.com/R7HmFZt.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
78,d,https://i.imgur.com/w1A6VfW.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
79,a,https://i.imgur.com/96dUWIS.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
81,a,https://i.imgur.com/IU18VsR.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
82,d,https://i.imgur.com/gBMTah7.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
83,a,https://i.imgur.com/t1p06Vn.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
84,b,https://i.imgur.com/DoLBMpB.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
85,b,https://i.imgur.com/3URVh4U.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
86,b,https://i.imgur.com/0cqa00X.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
87,a,https://i.imgur.com/hGm6evF.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
88,b,https://i.imgur.com/cUGovd6.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
89,d,https://i.imgur.com/pg4kFhJ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
90,b,https://i.imgur.com/3qeLzrb.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
91,c,https://i.imgur.com/SQf35cZ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
92,d,https://i.imgur.com/4tWKBno.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
93,c,https://i.imgur.com/JzaJKh4.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
94,b,https://i.imgur.com/BdaSdE0.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
95,a,https://i.imgur.com/DiAWTtw.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
96,d,https://i.imgur.com/4jfSGMW.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
97,c,https://i.imgur.com/WtxAT6o.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
98,b,https://i.imgur.com/1XHJUCI.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
99,c,https://i.imgur.com/ITSkDP2.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
100,a,https://i.imgur.com/qDG4qtl.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
101,b,https://i.imgur.com/b9Sy4Fq.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
102,a,https://i.imgur.com/a4LvFFi.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
103,b,https://i.imgur.com/I128gFD.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
104,d,https://i.imgur.com/aiUhF2o.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
105,b,https://i.imgur.com/8rY86BK.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
106,b,https://i.imgur.com/SNHNNyj.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
107,b,https://i.imgur.com/qhU8SAJ.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
108,b,https://i.imgur.com/fmZPpnl.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
109,d,https://i.imgur.com/vsgu0LF.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
110,d,https://i.imgur.com/lw8e3EC.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
111,c,https://i.imgur.com/YFGTMaO.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
112,b,https://i.imgur.com/Q0pNn2O.png,locopilot_diesel,A,B,C,D,8.1,locopilot_diesel,Hindi,JEN
