,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
57,a,https://i.imgur.com/Pori9Z0undefined.png,A,B,C,D,SSC,Bi,21.1
59,c,https://i.imgur.com/azLFBzNundefined.png,A,B,C,D,SSC,Bi,21.1
60,d,https://i.imgur.com/KSwFlGMundefined.png,A,B,C,D,SSC,Bi,21.1
61,c,https://i.imgur.com/yQ5kiKoundefined.png,A,B,C,D,SSC,Bi,21.1
62,a,https://i.imgur.com/TRfdmsLundefined.png,A,B,C,D,SSC,Bi,21.1
64,d,https://i.imgur.com/txI6WYdundefined.png,A,B,C,D,SSC,Bi,21.1
65,b,https://i.imgur.com/SYmXw2Nundefined.png,A,B,C,D,SSC,Bi,21.1
66,b,https://i.imgur.com/BfgbYrIundefined.png,A,B,C,D,SSC,Bi,21.1
67,d,https://i.imgur.com/RQgugb9undefined.png,A,B,C,D,SSC,Bi,21.1
68,c,https://i.imgur.com/rk7x9u6undefined.png,A,B,C,D,SSC,Bi,21.1
70,a,https://i.imgur.com/y6AHlr8undefined.png,A,B,C,D,SSC,Bi,21.1
71,c,https://i.imgur.com/d4hbZBSundefined.png,A,B,C,D,SSC,Bi,21.1
72,a,https://i.imgur.com/GLy4S62undefined.png,A,B,C,D,SSC,Bi,21.1
73,d,https://i.imgur.com/wO47b7hundefined.png,A,B,C,D,SSC,Bi,21.1
74,d,https://i.imgur.com/jbLmq2Bundefined.png,A,B,C,D,SSC,Bi,21.1
76,c,https://i.imgur.com/nlLYLPrundefined.png,A,B,C,D,SSC,Bi,21.1
77,c,https://i.imgur.com/PFZ4OSxundefined.png,A,B,C,D,SSC,Bi,21.1
78,d,https://i.imgur.com/n3GM1Riundefined.png,A,B,C,D,SSC,Bi,21.1
80,b,https://i.imgur.com/vAMu6Meundefined.png,A,B,C,D,SSC,Bi,21.1
81,c,https://i.imgur.com/AiJPE7zundefined.png,A,B,C,D,SSC,Bi,21.1
82,c,https://i.imgur.com/ovnzFzDundefined.png,A,B,C,D,SSC,Bi,21.1
84,c,https://i.imgur.com/TCKrYEkundefined.png,A,B,C,D,SSC,Bi,21.1
85,a,https://i.imgur.com/NwZYSyfundefined.png,A,B,C,D,SSC,Bi,21.1
86,d,https://i.imgur.com/VsdmOebundefined.png,A,B,C,D,SSC,Bi,21.1
87,d,https://i.imgur.com/riJGZmeundefined.png,A,B,C,D,SSC,Bi,21.1
88,a,https://i.imgur.com/g6bvzMvundefined.png,A,B,C,D,SSC,Bi,21.1
89,c,https://i.imgur.com/9hFDpABundefined.png,A,B,C,D,SSC,Bi,21.1
91,d,https://i.imgur.com/8hmFoIlundefined.png,A,B,C,D,SSC,Bi,21.1
92,b,https://i.imgur.com/NQvLNuDundefined.png,A,B,C,D,SSC,Bi,21.1
93,d,https://i.imgur.com/OFYsJgLundefined.png,A,B,C,D,SSC,Bi,21.1
94,a,https://i.imgur.com/fgn2OX7undefined.png,A,B,C,D,SSC,Bi,21.1
96,a,https://i.imgur.com/Ep6Wiykundefined.png,A,B,C,D,SSC,Bi,21.1
97,a,https://i.imgur.com/O6gcDbyundefined.png,A,B,C,D,SSC,Bi,21.1
98,a,https://i.imgur.com/MhGKqqvundefined.png,A,B,C,D,SSC,Bi,21.1
99,b,https://i.imgur.com/3C1q9Rsundefined.png,A,B,C,D,SSC,Bi,21.1
