,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
43,b,https://i.imgur.com/tgsrN6K.png,A,B,C,D,SSC,Bi,19.1
44,a,https://i.imgur.com/2hfRuwi.png,A,B,C,D,SSC,Bi,19.1
45,c,https://i.imgur.com/GWJoWut.png,A,B,C,D,SSC,Bi,19.1
46,a,https://i.imgur.com/koksIQq.png,A,B,C,D,SSC,Bi,19.1
47,b,https://i.imgur.com/B2ooFIZ.png,A,B,C,D,SSC,Bi,19.1
48,b,https://i.imgur.com/XdeEILX.png,A,B,C,D,SSC,Bi,19.1
49,c,https://i.imgur.com/O2pWGgT.png,A,B,C,D,SSC,Bi,19.1
50,c,https://i.imgur.com/iQ88lBQ.png,A,B,C,D,SSC,Bi,19.1
72,c,https://i.imgur.com/nhzG2hJ.png,A,B,C,D,SSC,Bi,19.1
73,a,https://i.imgur.com/zERf2lv.png,A,B,C,D,SSC,Bi,19.1
74,a,https://i.imgur.com/yEJAOUM.png,A,B,C,D,SSC,Bi,19.1
75,c,https://i.imgur.com/qEqJyKU.png,A,B,C,D,SSC,Bi,19.1
77,d,https://i.imgur.com/sxzcuI8.png,A,B,C,D,SSC,Bi,19.1
78,c,https://i.imgur.com/K83Dx8U.png,A,B,C,D,SSC,Bi,19.1
79,b,https://i.imgur.com/CM4Y2ms.png,A,B,C,D,SSC,Bi,19.1
80,d,https://i.imgur.com/utPYymY.png,A,B,C,D,SSC,Bi,19.1
82,c,https://i.imgur.com/tDyl47P.png,A,B,C,D,SSC,Bi,19.1
83,b,https://i.imgur.com/uJgDBbV.png,A,B,C,D,SSC,Bi,19.1
84,b,https://i.imgur.com/nONPSmt.png,A,B,C,D,SSC,Bi,19.1
85,a,https://i.imgur.com/zD1u91L.png,A,B,C,D,SSC,Bi,19.1
87,c,https://i.imgur.com/Ei2basj.png,A,B,C,D,SSC,Bi,19.1
88,b,https://i.imgur.com/JyFMQsV.png,A,B,C,D,SSC,Bi,19.1
89,c,https://i.imgur.com/Bz3I8fM.png,A,B,C,D,SSC,Bi,19.1
90,c,https://i.imgur.com/VsCodT9.png,A,B,C,D,SSC,Bi,19.1
91,b,https://i.imgur.com/M9Q2tSX.png,A,B,C,D,SSC,Bi,19.1
93,c,https://i.imgur.com/LU138nY.png,A,B,C,D,SSC,Bi,19.1
94,b,https://i.imgur.com/FEnM1UJ.png,A,B,C,D,SSC,Bi,19.1
95,b,https://i.imgur.com/xpsCRTg.png,A,B,C,D,SSC,Bi,19.1
97,d,https://i.imgur.com/einAeZm.png,A,B,C,D,SSC,Bi,19.1
98,b,https://i.imgur.com/hs0mih5.png,A,B,C,D,SSC,Bi,19.1
99,d,https://i.imgur.com/nhGny1s.png,A,B,C,D,SSC,Bi,19.1
100,c,https://i.imgur.com/CkqXcTZ.png,A,B,C,D,SSC,Bi,19.1
101,a,https://i.imgur.com/BOesgOg.png,A,B,C,D,SSC,Bi,19.1
102,c,https://i.imgur.com/11iswJm.png,A,B,C,D,SSC,Bi,19.1
103,b,https://i.imgur.com/L9kiWDG.png,A,B,C,D,SSC,Bi,19.1
104,c,https://i.imgur.com/dFvKMqC.png,A,B,C,D,SSC,Bi,19.1
105,a,https://i.imgur.com/Y5ckwcm.png,A,B,C,D,SSC,Bi,19.1
107,a,https://i.imgur.com/dKOIEPy.png,A,B,C,D,SSC,Bi,19.1
108,c,https://i.imgur.com/teCYQrW.png,A,B,C,D,SSC,Bi,19.1
109,d,https://i.imgur.com/JG6pDfq.png,A,B,C,D,SSC,Bi,19.1
110,c,https://i.imgur.com/NuwQEem.png,A,B,C,D,SSC,Bi,19.1
112,c,https://i.imgur.com/x1oJuA6.png,A,B,C,D,SSC,Bi,19.1
113,b,https://i.imgur.com/LZYeIFo.png,A,B,C,D,SSC,Bi,19.1
114,c,https://i.imgur.com/tNkn1gX.png,A,B,C,D,SSC,Bi,19.1
116,b,https://i.imgur.com/GXH4sAY.png,A,B,C,D,SSC,Bi,19.1
117,c,https://i.imgur.com/vXWtlCa.png,A,B,C,D,SSC,Bi,19.1
118,d,https://i.imgur.com/j45elYY.png,A,B,C,D,SSC,Bi,19.1
119,b,https://i.imgur.com/LAaoNJm.png,A,B,C,D,SSC,Bi,19.1
122,d,https://i.imgur.com/YXUevsp.png,A,B,C,D,SSC,Bi,19.1
