,sl.no.,correct,QuestionLink,direction,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
15,17,a,https://i.imgur.com/mZmifur.png,,https://i.imgur.com/BAMPJN7.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
16,18,c,https://i.imgur.com/5b3xwQf.png,,https://i.imgur.com/rxC0fRt.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
17,19,c,https://i.imgur.com/7HUjBmk.png,,https://i.imgur.com/lAOddmk.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
18,20,c,https://i.imgur.com/aepvvcK.png,,https://i.imgur.com/Z2A2Fxq.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
19,21,c,https://i.imgur.com/KlVVSAu.png,,https://i.imgur.com/45NYS6D.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
20,22,a,https://i.imgur.com/fO7AVYd.png,,https://i.imgur.com/MrjXQWg.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
21,23,b,https://i.imgur.com/hndkcFW.png,,https://i.imgur.com/v1fZuSh.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
22,24,b,https://i.imgur.com/Jh5PolF.png,,https://i.imgur.com/6dIsyTd.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
23,26,a,https://i.imgur.com/55gDDc1.png,,https://i.imgur.com/Wv5EVMe.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
24,27,a,https://i.imgur.com/8jxAC8B.png,,https://i.imgur.com/RDGZKx4.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
25,28,c,https://i.imgur.com/W1mBo3c.png,,https://i.imgur.com/Cejm44B.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
26,30,a,https://i.imgur.com/Je5PHIG.png,,https://i.imgur.com/K2l1jzB.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
27,31,a,https://i.imgur.com/LTswVBu.png,,https://i.imgur.com/eW8oKQt.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
28,32,c,https://i.imgur.com/zbUBJjT.png,,https://i.imgur.com/kRHxWNY.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
29,33,c,https://i.imgur.com/N8GuOkM.png,,https://i.imgur.com/J2j8ZPx.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
30,34,c,https://i.imgur.com/4LCyYuR.png,,https://i.imgur.com/Y17x6VU.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
31,35,b,https://i.imgur.com/JNRh0LD.png,,https://i.imgur.com/X1XZ9YE.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
32,36,c,https://i.imgur.com/rdsCS0Y.png,,https://i.imgur.com/9dfUzyh.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
33,37,b,https://i.imgur.com/AlCgGvu.png,,https://i.imgur.com/RGTtVEC.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
34,38,d,https://i.imgur.com/QoRyuKu.png,,https://i.imgur.com/CqomFUr.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
35,39,b,https://i.imgur.com/OjAKLpi.png,,https://i.imgur.com/cSgcP9U.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
36,40,d,https://i.imgur.com/wv9Cnxl.png,,https://i.imgur.com/6QS73lB.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
37,41,c,https://i.imgur.com/L9FSY6w.png,,https://i.imgur.com/lqRQ3FF.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
38,42,a,https://i.imgur.com/6fGKcDV.png,,https://i.imgur.com/Dn1q11m.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
39,43,c,https://i.imgur.com/JsWiFgE.png,,https://i.imgur.com/vt11sC4.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
40,44,d,https://i.imgur.com/8OQTsvt.png,,https://i.imgur.com/MT16WuJ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
41,45,c,https://i.imgur.com/AXjJiSO.png,,https://i.imgur.com/fIolLSu.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
42,46,b,https://i.imgur.com/kEiCP2a.png,,https://i.imgur.com/1mLtGv7.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
43,47,b,https://i.imgur.com/f4bsIfe.png,,https://i.imgur.com/vPYFRId.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
44,49,c,https://i.imgur.com/oMLzpBw.png,,https://i.imgur.com/XD8eYwl.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
45,50,a,https://i.imgur.com/C6QzFMz.png,,https://i.imgur.com/BWruOhT.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
46,51,c,https://i.imgur.com/0tYLKXo.png,,https://i.imgur.com/jcFRpJU.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
47,52,b,https://i.imgur.com/shSypXE.png,,https://i.imgur.com/YdmuhfY.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
48,53,c,https://i.imgur.com/vjkiCFu.png,,https://i.imgur.com/Z40QlG2.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
49,55,b,https://i.imgur.com/miw0y7a.png,,https://i.imgur.com/6rXfPMc.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
50,56,b,https://i.imgur.com/vbsXSOb.png,,https://i.imgur.com/leKQqn4.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
51,57,b,https://i.imgur.com/ngFnKEA.png,,https://i.imgur.com/gBN4uB1.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
52,58,d,https://i.imgur.com/WPG15QJ.png,,https://i.imgur.com/QOTrwgS.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
53,59,c,https://i.imgur.com/jyJU6QI.png,,https://i.imgur.com/B6oXe2H.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
54,61,b,https://i.imgur.com/Qw4zJmC.png,,https://i.imgur.com/GoKHvJ1.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
55,62,b,https://i.imgur.com/DEGpKa7.png,,https://i.imgur.com/wYYyqpT.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
56,63,c,https://i.imgur.com/1r1HuXD.png,,https://i.imgur.com/TFNCYwA.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
57,64,a,https://i.imgur.com/s7l3CfK.png,,https://i.imgur.com/GJxr8V3.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
58,65,d,https://i.imgur.com/Uv2NgFA.png,,https://i.imgur.com/NmDe0iJ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
59,66,b,https://i.imgur.com/4l9JipS.png,,https://i.imgur.com/OeoZIt2.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
60,67,d,https://i.imgur.com/bZtW52N.png,,https://i.imgur.com/LId83s3.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
61,68,a,https://i.imgur.com/OwwzIC7.png,,https://i.imgur.com/wWXgNrc.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
62,69,d,https://i.imgur.com/jLKmGTW.png,,https://i.imgur.com/AEV8xm2.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
63,70,c,https://i.imgur.com/Xj8rUdc.png,,https://i.imgur.com/AHRJsJx.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
64,71,d,https://i.imgur.com/DqPpYzY.png,,https://i.imgur.com/wzNCu6G.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
65,72,c,https://i.imgur.com/P45hpuF.png,,https://i.imgur.com/SFMPVlX.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
66,73,b,https://i.imgur.com/7Lm1jTU.png,,https://i.imgur.com/8UUYnHk.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
67,74,b,https://i.imgur.com/Kn84UjY.png,,https://i.imgur.com/KT2ZA7P.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
68,75,d,https://i.imgur.com/oNCJZzD.png,,https://i.imgur.com/OllSq8k.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
69,76,d,https://i.imgur.com/UebKFWb.png,,https://i.imgur.com/YuGHYCG.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
70,77,a,https://i.imgur.com/6tvxnBS.png,,https://i.imgur.com/xf4VfBF.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
71,78,b,https://i.imgur.com/UImkd6n.png,,https://i.imgur.com/1VwJMSS.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
72,79,c,https://i.imgur.com/DGGMpLN.png,,https://i.imgur.com/tL74goL.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
73,80,d,https://i.imgur.com/o5qmtIS.png,,https://i.imgur.com/IhHavtu.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
74,81,a,https://i.imgur.com/h3i0VxB.png,,https://i.imgur.com/yk7TUgc.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
75,82,c,https://i.imgur.com/d7z3D3N.png,,https://i.imgur.com/68ohztJ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
76,84,c,https://i.imgur.com/W5smSp6.png,,https://i.imgur.com/pSVppUH.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
77,85,d,https://i.imgur.com/yjn7VQ1.png,,https://i.imgur.com/K1SnG8z.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
78,86,c,https://i.imgur.com/TNliEsv.png,,https://i.imgur.com/Af6WqpH.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
79,87,c,https://i.imgur.com/RHci3q4.png,,https://i.imgur.com/27mGSZv.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
80,88,a,https://i.imgur.com/EuH4kDw.png,,https://i.imgur.com/NBlxyCj.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
81,89,c,https://i.imgur.com/kvYdGQX.png,,https://i.imgur.com/eNPD0Z7.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
82,90,b,https://i.imgur.com/brinBy7.png,,https://i.imgur.com/QT7UGaJ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
83,91,c,https://i.imgur.com/lw7Wt5E.png,,https://i.imgur.com/NLroEAQ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
84,92,b,https://i.imgur.com/1oubdlh.png,,https://i.imgur.com/RIdgyUa.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
85,94,a,https://i.imgur.com/AaTJLwl.png,,https://i.imgur.com/jI9jza2.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
86,95,d,https://i.imgur.com/9pvO8Tq.png,,https://i.imgur.com/n8JgLrI.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
87,96,c,https://i.imgur.com/PxYNl5n.png,,https://i.imgur.com/b0GEdov.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
88,97,b,https://i.imgur.com/dnqPg1O.png,,https://i.imgur.com/oWO9pCk.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
89,98,b,https://i.imgur.com/8DWI397.png,,https://i.imgur.com/acdcZHG.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
90,99,a,https://i.imgur.com/ZHHFwyD.png,,https://i.imgur.com/eQ5XDzy.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
91,100,a,https://i.imgur.com/jcW696G.png,,https://i.imgur.com/nCev7Li.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
92,101,c,https://i.imgur.com/dZEevnX.png,,https://i.imgur.com/JiqIDRm.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
93,102,b,https://i.imgur.com/fAzistQ.png,,https://i.imgur.com/sHoWdgo.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
94,103,b,https://i.imgur.com/kwLaZmi.png,,https://i.imgur.com/RTKPoB3.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
95,104,a,https://i.imgur.com/NwxtAx6.png,,https://i.imgur.com/LAIIeFX.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
96,105,b,https://i.imgur.com/GDXnJAv.png,,https://i.imgur.com/xA3J18K.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
97,106,a,https://i.imgur.com/KCX9GKP.png,,https://i.imgur.com/lZOYWiT.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
98,107,b,https://i.imgur.com/I8RYKzQ.png,,https://i.imgur.com/D920Vlx.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
99,108,c,https://i.imgur.com/uiETORY.png,,https://i.imgur.com/iWI5ajJ.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
100,109,b,https://i.imgur.com/YS7Tgl6.png,,https://i.imgur.com/vWDVp2M.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
101,110,c,https://i.imgur.com/GA5AHTV.png,,https://i.imgur.com/XeY4gQ2.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
102,111,b,https://i.imgur.com/AvdVJbG.png,,https://i.imgur.com/78UO1EY.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
103,112,a,https://i.imgur.com/7zTLto9.png,,https://i.imgur.com/iknwQO0.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
104,113,d,https://i.imgur.com/gO0Uj91.png,,https://i.imgur.com/C2P4YUG.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
105,114,a,https://i.imgur.com/vjoJ6WY.png,,https://i.imgur.com/BEd2R1B.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
106,115,d,https://i.imgur.com/KIvq4n2.png,,https://i.imgur.com/m3JfKvu.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
107,116,c,https://i.imgur.com/6A3mWvt.png,,https://i.imgur.com/WJ1QUb9.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
108,117,a,https://i.imgur.com/fnU7HhR.png,,https://i.imgur.com/FZ3sk8b.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
109,118,c,https://i.imgur.com/xEiGTVT.png,,https://i.imgur.com/bKIKguh.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
110,119,c,https://i.imgur.com/bo2Ol4O.png,,https://i.imgur.com/zQXTGx5.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
111,120,c,https://i.imgur.com/MTuqNRk.png,,https://i.imgur.com/yCplt4c.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
112,122,c,https://i.imgur.com/F7cf5r6.png,,https://i.imgur.com/ta34LrR.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
113,123,c,https://i.imgur.com/5Og0ZXD.png,,https://i.imgur.com/J3X2TJC.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
114,124,a,https://i.imgur.com/cZqO16n.png,,https://i.imgur.com/70eNHUq.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
115,125,c,https://i.imgur.com/O9k2jn4.png,,https://i.imgur.com/UcdENXz.png,BasicScienceLocopilot,A,B,C,D,1.1,ALP,Hindi,RRB,Basic Electricity
116,1,b,https://i.imgur.com/PJz2CnU.png,,https://i.imgur.com/AVpTYoa.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
117,2,a,https://i.imgur.com/nuqgcTc.png,,https://i.imgur.com/76wEGOo.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
118,3,c,https://i.imgur.com/ePKcX3e.png,,https://i.imgur.com/YyykL8z.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
119,4,c,https://i.imgur.com/9lmv4YK.png,,https://i.imgur.com/qXBgF94.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
120,5,c,https://i.imgur.com/q2yAu6a.png,,https://i.imgur.com/YQkvPX8.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
121,6,a,https://i.imgur.com/Y0u7L1X.png,,https://i.imgur.com/hTestEG.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
122,7,a,https://i.imgur.com/ZEp1EQv.png,,https://i.imgur.com/2ywmMzU.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
123,9,a,https://i.imgur.com/ReNrFBN.png,,https://i.imgur.com/nQAq5lN.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
124,10,d,https://i.imgur.com/9I9iOaH.png,,https://i.imgur.com/MWr3pim.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
125,11,b,https://i.imgur.com/Vzn85WB.png,,https://i.imgur.com/JQGvxRx.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
126,13,b,https://i.imgur.com/euyzJl6.png,,https://i.imgur.com/zOYtU9B.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
127,14,d,https://i.imgur.com/VydfIJ8.png,,https://i.imgur.com/dE6aHMX.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
128,16,b,https://i.imgur.com/fxXohtR.png,,https://i.imgur.com/970ZfdD.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
129,17,b,https://i.imgur.com/a12PgUK.png,,https://i.imgur.com/BMdsZyB.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
130,18,c,https://i.imgur.com/IjXxBlZ.png,,https://i.imgur.com/gx3Xbeb.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
131,19,a,https://i.imgur.com/AJQRT7B.png,,https://i.imgur.com/3QnVQ4h.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
132,20,c,https://i.imgur.com/Xbx18eR.png,,https://i.imgur.com/kHjD0Yu.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
133,21,c,https://i.imgur.com/8FKbplq.png,,https://i.imgur.com/d8f6uC0.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
134,22,c,https://i.imgur.com/VtwQQJR.png,,https://i.imgur.com/J3RwpMH.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
135,23,c,https://i.imgur.com/TQIJ1yB.png,,https://i.imgur.com/yg7tR2Z.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
136,24,b,https://i.imgur.com/C76fcrl.png,,https://i.imgur.com/TEZsQsX.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
137,25,c,https://i.imgur.com/xiq7hEi.png,,https://i.imgur.com/vkF5xfd.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
138,26,d,https://i.imgur.com/2x8RpXI.png,,https://i.imgur.com/TeKePvJ.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
139,28,a,https://i.imgur.com/wWHLn0e.png,,https://i.imgur.com/TWQiErO.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
140,29,c,https://i.imgur.com/7ZAsJVJ.png,,https://i.imgur.com/aIyJZiD.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
141,30,c,https://i.imgur.com/jP5x2c0.png,,https://i.imgur.com/qtqgNcs.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
142,31,b,https://i.imgur.com/xWIefIG.png,,https://i.imgur.com/WFOf8hA.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
143,32,d,https://i.imgur.com/GtU3LnQ.png,,https://i.imgur.com/jRN3A3d.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
144,33,d,https://i.imgur.com/YCYjE6D.png,,https://i.imgur.com/7U5h2AM.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
145,34,b,https://i.imgur.com/z2ChM2g.png,,https://i.imgur.com/zcWnUm0.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
146,35,c,https://i.imgur.com/1O61XaJ.png,,https://i.imgur.com/KbkoOjX.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
147,36,b,https://i.imgur.com/QdOl7Oo.png,,https://i.imgur.com/TgiK8GL.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
148,38,a,https://i.imgur.com/Rf2ksxz.png,,https://i.imgur.com/LVdaYQ5.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
149,39,a,https://i.imgur.com/KWOA69h.png,,https://i.imgur.com/1JVWiYI.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
150,41,c,https://i.imgur.com/zJ9MGMf.png,,https://i.imgur.com/jJbVrPP.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
151,42,b,https://i.imgur.com/OEcJWm5.png,,https://i.imgur.com/H3x50Gb.png,BasicScienceLocopilot,A,B,C,D,2.1,ALP,Hindi,RRB,General Physics
