sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
12,1,https://i.imgur.com/TbxkzXa.png,,2,https://i.imgur.com/SvVpbcy.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,1,https://i.imgur.com/LS9jB05.png,,"4, 1",https://i.imgur.com/JOEkywS.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,4,https://i.imgur.com/z87JD3h.png,,"4, 3",https://i.imgur.com/zrxq1md.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,3,https://i.imgur.com/c4YMsox.png,,"4, 3",https://i.imgur.com/Ds5kZSO.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,3,https://i.imgur.com/pGPh53a.png,,"4, 3",https://i.imgur.com/ri3VgW2.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/ohIevfN.png,,"4, 3",https://i.imgur.com/GLsp1lY.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/JqxBkZn.png,,"4, 3",https://i.imgur.com/T1WfbCE.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,4,https://i.imgur.com/zXhNhmQ.png,,"4, 3",https://i.imgur.com/EzTexyy.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,4,https://i.imgur.com/KjEplCM.png,,3,https://i.imgur.com/Hkqr3QI.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,2,https://i.imgur.com/RDwib1L.png,,"4, 3",https://i.imgur.com/4RHCqZh.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,1,https://i.imgur.com/axP3WiO.png,,3,https://i.imgur.com/ENC0GuZ.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,3,https://i.imgur.com/XAV4Uwk.png,,"4, 3",https://i.imgur.com/18YGhyK.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/CTVI6AL.png,,3,https://i.imgur.com/9RaeC2a.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,3,https://i.imgur.com/pK1JNUU.png,,"4, 3",https://i.imgur.com/9BiKTkB.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,2,https://i.imgur.com/T4xVnRe.png,,solve equations,https://i.imgur.com/FS29xJ4.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,2,https://i.imgur.com/MQK0MHl.png,,"4, 3",https://i.imgur.com/h3PuSEV.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,3,https://i.imgur.com/UxOkfGO.png,,3,https://i.imgur.com/6vAcq72.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,3,https://i.imgur.com/Q27Jz7l.png,,3,https://i.imgur.com/hpnupGy.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,1,https://i.imgur.com/HEBEFPn.png,,3,https://i.imgur.com/f5rc9Fs.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,4,https://i.imgur.com/k7qlUwt.png,,"4, 3",https://i.imgur.com/wheQsrq.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,2,https://i.imgur.com/tn9b1q5.png,,3,https://i.imgur.com/HTOrRzO.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/h9pMwX0.png,,1,https://i.imgur.com/jfXsrhc.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/FxgNgdr.png,,5(b),https://i.imgur.com/DZob6Oi.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,3,https://i.imgur.com/xXBdXfJ.png,,1,https://i.imgur.com/7VidhV8.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
9,1,https://i.imgur.com/gpQNTtz.png,,"4, 1",https://i.imgur.com/2pu6KPN.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
10,1,https://i.imgur.com/PD2zl0X.png,,"4, 3",https://i.imgur.com/4Dsx1Ft.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
11,3,https://i.imgur.com/t4eyPxI.png,,"4, 3",https://i.imgur.com/L0VWtzV.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
12,1,https://i.imgur.com/35h0or2.png,,4,https://i.imgur.com/9mH83nQ.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
13,4,https://i.imgur.com/gL3K0t3.png,,4,https://i.imgur.com/EFMuOQj.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
14,4,https://i.imgur.com/WYlSC5J.png,,from options,https://i.imgur.com/qqSGWem.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
16,3,https://i.imgur.com/UyGNrKr.png,,4,https://i.imgur.com/AlesPJG.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
17,1,https://i.imgur.com/uJgD0OJ.png,,1,https://i.imgur.com/GlvI7IB.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
18,3,https://i.imgur.com/Z55DAoM.png,,2,https://i.imgur.com/0X8QU93.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
19,1,https://i.imgur.com/vBDklkG.png,,1,https://i.imgur.com/sKCsyYk.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
20,2,https://i.imgur.com/RbCWom5.png,,1,https://i.imgur.com/xSwKZMs.png,Maths,A,B,C,D,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
