,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
48,d,https://i.imgur.com/NOnHaY1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
49,b,https://i.imgur.com/VTIqnFK.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
50,d,https://i.imgur.com/eWQ1NFQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
51,b,https://i.imgur.com/qfiO1Yq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
52,a,https://i.imgur.com/U41SlOd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
53,c,https://i.imgur.com/LMfbkAN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
54,c,https://i.imgur.com/nZLqufk.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
55,c,https://i.imgur.com/qi0ekSQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
56,c,https://i.imgur.com/gWEYA9s.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
57,a,https://i.imgur.com/DYvxt17.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
58,a,https://i.imgur.com/XQOPqQb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
59,d,https://i.imgur.com/Rl9nYEc.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
60,b,https://i.imgur.com/270HYmb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
61,b,https://i.imgur.com/Kakav6s.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
62,a,https://i.imgur.com/99DrSTN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
63,d,https://i.imgur.com/hDVwdA0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
64,b,https://i.imgur.com/F23xdHa.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
65,b,https://i.imgur.com/MpyJuEs.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
66,a,https://i.imgur.com/ZLscsXH.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
67,c,https://i.imgur.com/kHtio01.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
1,b,https://i.imgur.com/hz7HzXQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
2,d,https://i.imgur.com/3V97nTo.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
3,a,https://i.imgur.com/thcxOj7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
4,b,https://i.imgur.com/TD64bOt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
5,c,https://i.imgur.com/h25SsAO.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
6,a,https://i.imgur.com/7FZHTCn.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
7,c,https://i.imgur.com/vV6TG8N.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
8,c,https://i.imgur.com/FOdgH44.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
9,b,https://i.imgur.com/LoVSwcz.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
10,a,https://i.imgur.com/Jxm4VPW.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
11,d,https://i.imgur.com/pOuwJsN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
12,b,https://i.imgur.com/mG5Nst6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
13,b,https://i.imgur.com/5qnEGrB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
14,c,https://i.imgur.com/T3hsVXq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
15,d,https://i.imgur.com/ZU7DlVt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
16,a,https://i.imgur.com/2ektloi.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
17,b,https://i.imgur.com/koFmGiJ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
18,c,https://i.imgur.com/1bRIGMy.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
19,d,https://i.imgur.com/9HMQzui.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
20,d,https://i.imgur.com/IAzSHoX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
21,d,https://i.imgur.com/jGNBOz3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
22,d,https://i.imgur.com/wzn1Zoq.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
23,b,https://i.imgur.com/gP5DrH8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
24,b,https://i.imgur.com/sI8LsAS.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
25,c,https://i.imgur.com/1bjHTXi.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
26,a,https://i.imgur.com/nDsWRmt.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
27,c,https://i.imgur.com/mhBTKhR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
28,c,https://i.imgur.com/d4TVBxR.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
29,c,https://i.imgur.com/EKThwAv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
30,d,https://i.imgur.com/6oTfSA9.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
31,b,https://i.imgur.com/KrF91Ws.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
32,d,https://i.imgur.com/TJP41U3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
34,d,https://i.imgur.com/7oeoaYF.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
35,b,https://i.imgur.com/fuMh0qb.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
36,b,https://i.imgur.com/GnxgYBQ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
37,a,https://i.imgur.com/OtvQPIL.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
38,d,https://i.imgur.com/K2YtNa7.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
39,d,https://i.imgur.com/1sjDvGC.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
40,b,https://i.imgur.com/9vxmyYr.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
41,d,https://i.imgur.com/BZ7xwab.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
42,b,https://i.imgur.com/gnY80L8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
43,b,https://i.imgur.com/0JPRwR1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
44,b,https://i.imgur.com/NQBgU3r.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
45,b,https://i.imgur.com/D0sfbbv.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
46,a,https://i.imgur.com/vdTbIpz.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
47,c,https://i.imgur.com/973cbLd.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
48,a,https://i.imgur.com/VAe6xqW.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
49,a,https://i.imgur.com/2VViFF1.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
51,a,https://i.imgur.com/mj7luCF.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
52,d,https://i.imgur.com/kL5IXjh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
53,b,https://i.imgur.com/w8H0BbZ.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
54,b,https://i.imgur.com/sOpnL4e.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
55,a,https://i.imgur.com/6A2eZ0d.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
56,c,https://i.imgur.com/Lbbb3kp.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
57,d,https://i.imgur.com/4hPA33b.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
58,d,https://i.imgur.com/eTmoyE8.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
59,b,https://i.imgur.com/Y9Ngxeg.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
60,c,https://i.imgur.com/37FAXsX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
61,b,https://i.imgur.com/Ucjo6x3.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
62,b,https://i.imgur.com/WUiu6Bw.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
63,c,https://i.imgur.com/uJzqZpP.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
64,b,https://i.imgur.com/f3ZaSyh.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
65,c,https://i.imgur.com/nsPydET.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
66,d,https://i.imgur.com/E0Z0FiX.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
67,d,https://i.imgur.com/v8VNHUA.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
69,b,https://i.imgur.com/AEly9ki.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
70,a,https://i.imgur.com/X4mWxqB.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
71,c,https://i.imgur.com/C63ozJa.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
72,b,https://i.imgur.com/kRXCgg6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
73,a,https://i.imgur.com/ZZYpN1y.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
74,c,https://i.imgur.com/mqJxN0H.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
75,a,https://i.imgur.com/Id92CI6.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
76,c,https://i.imgur.com/J3hQ3ct.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
77,b,https://i.imgur.com/4GzJJYD.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
78,a,https://i.imgur.com/HQ65iT0.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
79,c,https://i.imgur.com/RvB2odl.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
80,d,https://i.imgur.com/dwJNoOI.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
81,d,https://i.imgur.com/Owuf7AN.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
82,a,https://i.imgur.com/cySuO7x.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
83,d,https://i.imgur.com/jJC6SbT.png,17.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,"Find the next number in series/ 
श्रृंखला में अगला नंबर खोजें"
