,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
111,a,https://i.imgur.com/IcEBOai.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
112,a,https://i.imgur.com/Ov1enbd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
113,d,https://i.imgur.com/RscK9gx.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
114,a,https://i.imgur.com/4rN0YDJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
115,c,https://i.imgur.com/44T0vXd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
116,c,https://i.imgur.com/nkEFu4r.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
117,c,https://i.imgur.com/R23MIqd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
118,a,https://i.imgur.com/RfJDoxp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
119,c,https://i.imgur.com/Fst3oa3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
120,b,https://i.imgur.com/L7NHYaV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
121,a,https://i.imgur.com/FCFMepL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
122,b,https://i.imgur.com/iIzgggi.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
124,a,https://i.imgur.com/hOaG8co.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
125,b,https://i.imgur.com/EMhYG7t.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
126,b,https://i.imgur.com/b2y9BUA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
127,d,https://i.imgur.com/tLrHTMp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
128,d,https://i.imgur.com/HoiN4Jp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
129,b,https://i.imgur.com/Wf4sRV5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
130,c,https://i.imgur.com/AHpXfQU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
131,c,https://i.imgur.com/h3VXleF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
132,a,https://i.imgur.com/b6lCLDg.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
133,d,https://i.imgur.com/sviArHq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
134,c,https://i.imgur.com/ILO3Fbb.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
135,c,https://i.imgur.com/B7SlLYu.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
136,d,https://i.imgur.com/xrPpj1w.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
137,b,https://i.imgur.com/PBVJYuD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
138,c,https://i.imgur.com/F1AIG9g.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
139,b,https://i.imgur.com/QthWmCP.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
140,a,https://i.imgur.com/tqM2jLX.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
141,a,https://i.imgur.com/OJKU6wz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
142,c,https://i.imgur.com/nZD18kP.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
143,b,https://i.imgur.com/2gXLJwK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
144,b,https://i.imgur.com/daFUPns.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
145,a,https://i.imgur.com/DfNgtyk.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
146,c,https://i.imgur.com/gdvysNH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
147,d,https://i.imgur.com/XnjaDU3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
148,c,https://i.imgur.com/iU2q7qF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
149,a,https://i.imgur.com/RTXEZe0.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
150,a,https://i.imgur.com/JnmW9KO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
151,b,https://i.imgur.com/KSCf6pL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
152,c,https://i.imgur.com/W3mW6ej.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
153,d,https://i.imgur.com/1VMclkA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
154,d,https://i.imgur.com/YUKe1PR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
155,d,https://i.imgur.com/HZsQHlk.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
156,b,https://i.imgur.com/9gX0WaL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
157,c,https://i.imgur.com/9BQ8GMt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
158,c,https://i.imgur.com/Hp6nxI4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
159,d,https://i.imgur.com/Zfo4bhc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
160,b,https://i.imgur.com/dUXu9CD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
161,c,https://i.imgur.com/Xzjq3dY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
162,c,https://i.imgur.com/YayBQbL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
163,b,https://i.imgur.com/XHsYud1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
164,b,https://i.imgur.com/IdGsw33.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
165,a,https://i.imgur.com/oVYgkmV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
166,b,https://i.imgur.com/7aW3sHO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
167,b,https://i.imgur.com/kg7vgig.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
168,b,https://i.imgur.com/iObElls.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
169,b,https://i.imgur.com/fQo3NZC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
170,b,https://i.imgur.com/7nc8nsU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
171,b,https://i.imgur.com/N6j1tjf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
172,a,https://i.imgur.com/fxm9Ey8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
173,b,https://i.imgur.com/2q3ptKK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
174,d,https://i.imgur.com/U23AMhA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
175,c,https://i.imgur.com/c4XOcwM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
176,c,https://i.imgur.com/H5FCrN3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
177,b,https://i.imgur.com/IPU9D0u.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
178,b,https://i.imgur.com/YOpickg.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
179,d,https://i.imgur.com/MLVAhWz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
180,b,https://i.imgur.com/YMZZKf9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
181,c,https://i.imgur.com/u2PIXSF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
182,d,https://i.imgur.com/wd6BlBy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
183,b,https://i.imgur.com/Kh8ytxw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
184,a,https://i.imgur.com/6LTuKjj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
185,b,https://i.imgur.com/DQO9rju.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
186,c,https://i.imgur.com/IN34cM8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
187,c,https://i.imgur.com/lfZDR8h.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
188,d,https://i.imgur.com/Gc7u18Q.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
189,b,https://i.imgur.com/UZ7jAKL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
190,b,https://i.imgur.com/M0Lwj36.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
191,c,https://i.imgur.com/BuD60Er.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
192,b,https://i.imgur.com/WO6gaeQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
193,a,https://i.imgur.com/2AnCku8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
194,c,https://i.imgur.com/JLn4qz9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
195,b,https://i.imgur.com/V2JB9Ca.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
197,c,https://i.imgur.com/6Q8aUth.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
198,d,https://i.imgur.com/A7VUZQI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
199,c,https://i.imgur.com/i4iMGgc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
200,b ,https://i.imgur.com/A8Po1pI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
201,c,https://i.imgur.com/8chMj4o.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
202,b,https://i.imgur.com/wflvcLu.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
203,b,https://i.imgur.com/zx2qoFH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
204,b,https://i.imgur.com/DKzalDb.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
205,c,https://i.imgur.com/oZYQSli.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
206,d,https://i.imgur.com/vHvGBL9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
207,b,https://i.imgur.com/DyBB1LD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
208,c,https://i.imgur.com/kZoN3Zj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
209,a,https://i.imgur.com/RpIO62S.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
210,d,https://i.imgur.com/yV3DpbZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
211,d,https://i.imgur.com/3JkzX8w.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
212,a,https://i.imgur.com/FiZ11Jy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
213,d,https://i.imgur.com/fAp82Sq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
214,c,https://i.imgur.com/6uLKAbL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
215,a,https://i.imgur.com/Dssho70.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
216,b,https://i.imgur.com/4Zk24R5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
217,c,https://i.imgur.com/QIilAZu.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
218,c,https://i.imgur.com/5arInAw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
219,c,https://i.imgur.com/hL3lCCM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
220,a,https://i.imgur.com/jedutCy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
221,c,https://i.imgur.com/0C4hmeJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
222,b,https://i.imgur.com/ZLDq4m6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
223,b,https://i.imgur.com/Z291WjS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
224,d,https://i.imgur.com/yXI7wsP.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
225,a,https://i.imgur.com/fY7WMfG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
226,c,https://i.imgur.com/MwAOcXA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
227,b,https://i.imgur.com/wNJTrCQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
228,b,https://i.imgur.com/UXDTr0F.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
229,c,https://i.imgur.com/zIdNPRl.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
230,b,https://i.imgur.com/BACtFSZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
231,b,https://i.imgur.com/MA4eJ3R.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
232,c,https://i.imgur.com/yej2CEv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
234,d,https://i.imgur.com/FYzCL9W.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
235,d,https://i.imgur.com/EidSL32.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
236,c,https://i.imgur.com/8NbTpJn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
237,a,https://i.imgur.com/ls5xi6s.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
238,d,https://i.imgur.com/tdWje4z.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
239,c,https://i.imgur.com/AVJzarK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
240,c,https://i.imgur.com/fEVQhhs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
241,d,https://i.imgur.com/Udkg0dK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
242,d,https://i.imgur.com/OlAmH4F.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
243,a,https://i.imgur.com/JwcKJgf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
244,d,https://i.imgur.com/IvwJQjp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
245,d,https://i.imgur.com/NX8AG5L.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
246,b,https://i.imgur.com/lBgTvhI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
247,d,https://i.imgur.com/GgbWlgO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
248,c,https://i.imgur.com/MRreulr.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
249,b,https://i.imgur.com/ge2ePGe.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
250,a,https://i.imgur.com/d5lzkfu.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
252,d,https://i.imgur.com/NzdHn6j.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
253,d,https://i.imgur.com/JgtZD4k.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
254,c,https://i.imgur.com/ao0nGkX.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
255,b,https://i.imgur.com/hG8GRaC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
256,b,https://i.imgur.com/LYD3fFx.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
257,b,https://i.imgur.com/k1OmpKK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
258,c,https://i.imgur.com/savJJds.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
259,b,https://i.imgur.com/okWxq2p.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
261,d,https://i.imgur.com/eB2JmsL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
262,b,https://i.imgur.com/DIBN69U.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
263,b,https://i.imgur.com/Ff6mKyf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
265,d,https://i.imgur.com/Z9NY7aS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
266,b,https://i.imgur.com/xL9yzk2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
267,b,https://i.imgur.com/ivZ32Jj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
268,a,https://i.imgur.com/LC5kXXu.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
269,a,https://i.imgur.com/7WkDXpz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
271,a,https://i.imgur.com/dZSXBlA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
272,c,https://i.imgur.com/XGK5gY3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
