,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
88,b,https://i.imgur.com/HToWz94.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,c,https://i.imgur.com/orPc6nd.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,c,https://i.imgur.com/RteIDGG.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
91,d,https://i.imgur.com/X13eSKz.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,a,https://i.imgur.com/IMmJ0Z0.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,c,https://i.imgur.com/JHsBnxd.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,d,https://i.imgur.com/3oPdMFv.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,d,https://i.imgur.com/ohRxHI3.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
96,c,https://i.imgur.com/ihl0fvK.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,a,https://i.imgur.com/bWrUiHy.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,a,https://i.imgur.com/bLc62Vp.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,d,https://i.imgur.com/859hd8G.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
100,a,https://i.imgur.com/al6RaVj.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
101,d,https://i.imgur.com/Hl5re6l.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,d,https://i.imgur.com/1qDl27c.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,c,https://i.imgur.com/dgwHZo3.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,d,https://i.imgur.com/57iYYa8.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,b,https://i.imgur.com/Loe7Ecl.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
106,c,https://i.imgur.com/zGXNkyc.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,b,https://i.imgur.com/UWlJCAm.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
108,d,https://i.imgur.com/gfIPbMQ.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,b,https://i.imgur.com/m0ekzA9.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,c,https://i.imgur.com/iUddGIb.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
112,c,https://i.imgur.com/oyzjLbg.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,d,https://i.imgur.com/9GpwHXH.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
114,b,https://i.imgur.com/aNAVfes.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
115,a,https://i.imgur.com/7BzoIR2.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
116,b,https://i.imgur.com/fbTgL8m.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
117,c,https://i.imgur.com/qbh9ym2.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
118,c,https://i.imgur.com/k0AjeUK.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
119,d,https://i.imgur.com/sbEyNvo.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
120,a,https://i.imgur.com/5GwjvaX.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
121,c,https://i.imgur.com/IdIz4ur.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
122,d,https://i.imgur.com/KxMaGuN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
123,b,https://i.imgur.com/fG0t5H1.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
124,b,https://i.imgur.com/Kc6IFso.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
125,b,https://i.imgur.com/G6LZEFC.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
126,a,https://i.imgur.com/0k8LaWn.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
127,a,https://i.imgur.com/6hxAk4D.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
129,b,https://i.imgur.com/bgfgFw0.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
130,b,https://i.imgur.com/lhwqe5M.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
131,c,https://i.imgur.com/YTCNZAE.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
132,a,https://i.imgur.com/ehzEyhi.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
133,d,https://i.imgur.com/MV9CI7i.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
135,a,https://i.imgur.com/9QAO7NN.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
136,b,https://i.imgur.com/s4FfYhL.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
137,d,https://i.imgur.com/KdosCLH.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
138,d,https://i.imgur.com/UuOyYmd.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
140,d,https://i.imgur.com/pBDzHfB.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
141,a,https://i.imgur.com/smKka4W.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
143,d,https://i.imgur.com/F9XZlny.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
144,a,https://i.imgur.com/C1U3irH.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
145,b,https://i.imgur.com/ktUQEkV.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
146,c,https://i.imgur.com/2vrf3jk.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
147,b,https://i.imgur.com/OlXeNl9.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
148,d,https://i.imgur.com/3rNV51B.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
149,d,https://i.imgur.com/bibbDrf.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
150,c,https://i.imgur.com/TN48XPt.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
151,a,https://i.imgur.com/QIOyNyu.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
152,c,https://i.imgur.com/qYqaAQW.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
153,c,https://i.imgur.com/4FBAbNE.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
154,d,https://i.imgur.com/T3uTFCb.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
155,a,https://i.imgur.com/ZMhR9yB.png,6.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
