,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
47,b,https://i.imgur.com/Fbn5xmT.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,c,https://i.imgur.com/AY2lVOt.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,a,https://i.imgur.com/opt6KSf.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,a,https://i.imgur.com/uyKcF3p.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,a,https://i.imgur.com/LDPOQdZ.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,c,https://i.imgur.com/q0S4xsz.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,c,https://i.imgur.com/tGyRdUx.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,c,https://i.imgur.com/5PBKFDo.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,c,https://i.imgur.com/xDxUWtv.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,a,https://i.imgur.com/3UXhXEk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,a,https://i.imgur.com/YdJ1RDz.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,c,https://i.imgur.com/t6xHBuU.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,a,https://i.imgur.com/Jdvq31i.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,d,https://i.imgur.com/Z5oYaX2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
63,c,https://i.imgur.com/3zytlHL.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,c,https://i.imgur.com/Z4kXIHc.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,a,https://i.imgur.com/pnstPEs.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,b,https://i.imgur.com/4nHe0pR.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,c,https://i.imgur.com/2GlrD1O.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
68,d,https://i.imgur.com/SwlhPcG.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,a,https://i.imgur.com/PuYZynY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,a,https://i.imgur.com/fhIniaK.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
71,d,https://i.imgur.com/tXSGWn6.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,c,https://i.imgur.com/Nkb3oCI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,b,https://i.imgur.com/AMgyYPN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,a,https://i.imgur.com/V3BwU4G.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
75,a,https://i.imgur.com/8naB60P.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,c,https://i.imgur.com/ZTBFZCq.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,c,https://i.imgur.com/Px6Tnx2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,b,https://i.imgur.com/KTt93kg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,d,https://i.imgur.com/e1pMqr0.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,d,https://i.imgur.com/eQSN9H6.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,c,https://i.imgur.com/mBLFpey.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,d,https://i.imgur.com/EQeFi7g.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,c,https://i.imgur.com/xTIZKbZ.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,d,https://i.imgur.com/YazAMiN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,d,https://i.imgur.com/dLr50Av.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,c,https://i.imgur.com/BnNJHhi.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,c,https://i.imgur.com/7uLhHG4.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,a,https://i.imgur.com/sJREqTf.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,d,https://i.imgur.com/LEssxqu.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/HP5jf2U.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,c,https://i.imgur.com/hzSa1uK.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,b,https://i.imgur.com/HmDsorI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,b,https://i.imgur.com/Ng8cMDk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,c,https://i.imgur.com/8BYSHPv.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/eXLQLO3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/hZvnhx7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/yGXwtYH.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/P2mJtZJ.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/xlsaJ4f.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/qXs6hS7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,d,https://i.imgur.com/sB3vY2E.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/B4h5n2l.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,c,https://i.imgur.com/9g7ODNO.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,a,https://i.imgur.com/joZWMkj.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,d,https://i.imgur.com/IqwyFJt.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://i.imgur.com/B4bCztN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/uHebmBi.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/fs9goZb.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://i.imgur.com/n6VRgl2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/iDLt19e.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,b,https://i.imgur.com/six0bhr.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://i.imgur.com/6W9yG03.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/VnuYRKo.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
28,b,https://i.imgur.com/6Mjbv5t.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,d,https://i.imgur.com/NHuICCF.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,d,https://i.imgur.com/yBe6nRp.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,c,https://i.imgur.com/prVgeSF.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/5aMMkjf.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,c,https://i.imgur.com/L3TVTtD.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://i.imgur.com/imblBei.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,b,https://i.imgur.com/TzkJtgD.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/Gwvuodg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,d,https://i.imgur.com/ES0zAy7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,b,https://i.imgur.com/jSekBo8.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,d,https://i.imgur.com/0yiB5fG.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,c,https://i.imgur.com/5YZq6KE.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
43,b,https://i.imgur.com/WZq640I.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,d,https://i.imgur.com/39ouDd7.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,d,https://i.imgur.com/wsDGJgN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,c,https://i.imgur.com/NWNjnzR.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,a,https://i.imgur.com/5DUza5t.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
48,b,https://i.imgur.com/EBwOcdf.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,d,https://i.imgur.com/GN6gbiI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/9lPVkZ9.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,d,https://i.imgur.com/pkPmZfy.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,b,https://i.imgur.com/LDiIMhY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/P0eahVC.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/gYnM4YE.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,c,https://i.imgur.com/XPRlPed.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,a,https://i.imgur.com/g65dhLI.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/0lTbtAy.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/PJ1nuBP.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/zg5V0NX.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,a,https://i.imgur.com/Br39BR3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/VwrjnnN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://i.imgur.com/bf0vHIW.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,b,https://i.imgur.com/9pXEwur.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/K2fkI51.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/4gdgUgP.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,d,https://i.imgur.com/eFOlt4d.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,c,https://i.imgur.com/kqo6RLf.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/BWBZR3W.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://i.imgur.com/MO1ePNo.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/bUS6co8.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,a,https://i.imgur.com/BDnCWWh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/wwmJey9.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/lXg4ETg.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://i.imgur.com/8ge4hdk.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,b,https://i.imgur.com/1LpUQC9.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,c,https://i.imgur.com/XZuiEaY.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/iIU5Sgm.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,d,https://i.imgur.com/mjVRjOm.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,d,https://i.imgur.com/mPiyG1q.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/PvdiT4N.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,d,https://i.imgur.com/JmOsNzW.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/W6MJBMM.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,a,https://i.imgur.com/xTAfKRU.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,c,https://i.imgur.com/hAC3ijr.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,b,https://i.imgur.com/GlXCw4S.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,c,https://i.imgur.com/RmNHETD.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,d,https://i.imgur.com/7h5M8wZ.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://i.imgur.com/xCIsBV3.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,d,https://i.imgur.com/ogT3suB.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/zGoELPx.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,c,https://i.imgur.com/TeKYXhN.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/PMADCHG.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://i.imgur.com/zahoko1.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/yYeblU2.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,c,https://i.imgur.com/9VTU3S8.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://i.imgur.com/Eha1mCB.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/wx9FPYd.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,d,https://i.imgur.com/9EZz4bL.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,a,https://i.imgur.com/oi5yUvv.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,c,https://i.imgur.com/nru8KQh.png,Find the odd one out/ विषम चुने ,7.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
