,correct,QuestionLink,Direction,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
30,a,https://i.imgur.com/USXuh6Y.png,https://i.imgur.com/ijcNgsK.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/bUGNvLB.png,https://i.imgur.com/JLevGuJ.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
32,d,https://i.imgur.com/8Zc0GUN.png,https://i.imgur.com/JLevGuJ.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,a,https://i.imgur.com/FnFi7pA.png,https://i.imgur.com/JLevGuJ.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,d,https://i.imgur.com/9MreaTI.png,https://i.imgur.com/JLevGuJ.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,a,https://i.imgur.com/09Flm7f.png,https://i.imgur.com/JLevGuJ.png,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,b,https://i.imgur.com/Nrq1rKG.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,a,https://i.imgur.com/FY917eP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,a,https://i.imgur.com/yKmm3vh.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,b,https://i.imgur.com/ErBJ8tL.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,c,https://i.imgur.com/hE3dLCM.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,b,https://i.imgur.com/lZVZSaS.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,c,https://i.imgur.com/RdTLHey.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,c,https://i.imgur.com/nRV9idm.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,d,https://i.imgur.com/P2pgLBK.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/zwDduxa.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/vu1x33H.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,c,https://i.imgur.com/5NUN729.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,c,https://i.imgur.com/VMaadc0.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,a,https://i.imgur.com/f8FXbiP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,c,https://i.imgur.com/G1X2KIf.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,d,https://i.imgur.com/7Bpht6I.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/c3q7P3i.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
1,d,https://i.imgur.com/3OSzXFe.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
2,d,https://i.imgur.com/jp73DbR.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
3,c,https://i.imgur.com/FEMKiWX.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
4,c,https://i.imgur.com/k4fiVQx.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
5,a,https://i.imgur.com/r6FueDt.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
6,a,https://i.imgur.com/9NotXRT.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
7,a,https://i.imgur.com/eVspeAs.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
8,b,https://i.imgur.com/Qj4DFa5.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
9,c,https://i.imgur.com/w8nrDX1.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
10,d,https://i.imgur.com/8ttnESA.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
11,d,https://i.imgur.com/HZgLW9F.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
12,d,https://i.imgur.com/0FPUGM4.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/pXWfKEZ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
14,b,https://i.imgur.com/zaqDOLK.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
15,c,https://i.imgur.com/djn85F7.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
16,a,https://i.imgur.com/GwlOmH6.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
17,a,https://i.imgur.com/ncBQdNt.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://i.imgur.com/PnWKUhV.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
20,c,https://i.imgur.com/DppJGQU.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/QVo15mq.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
22,d,https://i.imgur.com/X8S9xoD.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
23,c,https://i.imgur.com/S2lqtRz.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/U02rvNV.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
25,d,https://i.imgur.com/3RNUFys.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
26,d,https://i.imgur.com/tdagMkm.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/mvNv1Pw.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
29,b,https://i.imgur.com/3FBax27.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
30,b,https://i.imgur.com/ZCeXz36.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
31,d,https://i.imgur.com/PF98DVv.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
33,c,https://i.imgur.com/nAALAWW.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
34,b,https://i.imgur.com/QUdJWjB.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
35,c,https://i.imgur.com/Qyhnlvv.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
36,c,https://i.imgur.com/WsiHOJR.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
38,c,https://i.imgur.com/xijeG6Z.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
39,c,https://i.imgur.com/f982tDP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
40,a,https://i.imgur.com/3eGRdpm.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
41,d,https://i.imgur.com/QxmPB2Q.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
42,a,https://i.imgur.com/3d6bXRn.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
44,b,https://i.imgur.com/YXduVUa.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
45,a,https://i.imgur.com/lcfL9AP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
46,a,https://i.imgur.com/HEQwcc2.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
47,b,https://i.imgur.com/7W8hju7.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
49,c,https://i.imgur.com/2Gn8ZVw.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
50,b,https://i.imgur.com/ubowgIc.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/QtgRiqB.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
52,b,https://i.imgur.com/WkdtQzN.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
53,b,https://i.imgur.com/7jL7YV1.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
54,a,https://i.imgur.com/NPHiL0i.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
55,d,https://i.imgur.com/GOfgXfW.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
56,b,https://i.imgur.com/VuWhsmd.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
57,c,https://i.imgur.com/R7RRdls.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
58,d,https://i.imgur.com/T4q5ckl.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
59,a,https://i.imgur.com/3bDFizv.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
60,a,https://i.imgur.com/Oxg5eU6.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
61,c,https://i.imgur.com/9ctwS8f.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
62,d,https://i.imgur.com/39HZGEZ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
64,a,https://i.imgur.com/QsVtebO.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
65,c,https://i.imgur.com/Ag63vKO.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
66,c,https://i.imgur.com/177yuea.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
67,b,https://i.imgur.com/h4fPyNz.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
69,c,https://i.imgur.com/6rHYerJ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
70,c,https://i.imgur.com/nhdE8V4.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
72,b,https://i.imgur.com/ly0ApEj.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
73,d,https://i.imgur.com/ei5X1Fd.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
74,c,https://i.imgur.com/xYnqYxQ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
76,b,https://i.imgur.com/brO02DG.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
77,a,https://i.imgur.com/Hnt7KHA.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
78,b,https://i.imgur.com/tUVL3Qn.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
79,b,https://i.imgur.com/ft0Pj7B.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
80,a,https://i.imgur.com/fymeWO8.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
81,b,https://i.imgur.com/k8JePk4.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
82,a,https://i.imgur.com/t0BkvGo.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
83,d,https://i.imgur.com/GwJuxnO.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
84,a,https://i.imgur.com/2b1646G.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
85,c,https://i.imgur.com/NAM3STy.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
86,d,https://i.imgur.com/Mze0WFG.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
87,d,https://i.imgur.com/weu24WN.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
88,b,https://i.imgur.com/6Y4SFYP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
89,a,https://i.imgur.com/0tvt5Nz.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
90,c,https://i.imgur.com/6LwigKY.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
92,d,https://i.imgur.com/HcecYPe.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
93,d,https://i.imgur.com/0gniSeU.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
94,a,https://i.imgur.com/zknYDwe.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
95,c,https://i.imgur.com/aRrQGA5.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
97,b,https://i.imgur.com/htwgKyn.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
98,a,https://i.imgur.com/rjn08L5.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
99,c,https://i.imgur.com/S19t3KD.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
101,b,https://i.imgur.com/USVHVrG.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
102,b,https://i.imgur.com/vcqIyUD.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
103,b,https://i.imgur.com/YgT2mH0.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
104,d,https://i.imgur.com/qyYq6fz.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
105,a,https://i.imgur.com/hG9591q.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
106,a,https://i.imgur.com/Ba6HFTx.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
107,c,https://i.imgur.com/tRiVJtf.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
108,a,https://i.imgur.com/Wdzh17P.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
109,b,https://i.imgur.com/H6FVO0k.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
110,b,https://i.imgur.com/C3wjOdZ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
111,b,https://i.imgur.com/FOaVmC5.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
112,b,https://i.imgur.com/TPKtQDw.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
113,d,https://i.imgur.com/npVDmFP.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
115,b,https://i.imgur.com/0Mx7Lr3.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
116,c,https://i.imgur.com/LpsLTtt.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
117,a,https://i.imgur.com/kB82SRe.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
118,c,https://i.imgur.com/h54eK6i.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
120,b,https://i.imgur.com/oojEZcZ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
121,b,https://i.imgur.com/RHmXcJj.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
122,a,https://i.imgur.com/zxM2u0o.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
123,b,https://i.imgur.com/dS23jZN.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
125,a,https://i.imgur.com/kG3ZBrh.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
126,c,https://i.imgur.com/QlGivRE.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
127,c,https://i.imgur.com/JVzIAn4.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
128,b,https://i.imgur.com/xEnC9e6.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
130,a,https://i.imgur.com/bGeqp2Z.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
131,d,https://i.imgur.com/EYgWyrf.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
132,b,https://i.imgur.com/bDQjAXC.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
133,c,https://i.imgur.com/7smu2Vu.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
134,b,https://i.imgur.com/PfosRVJ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
136,c,https://i.imgur.com/JdIDn5W.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
137,c,https://i.imgur.com/hcnY29c.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
138,a,https://i.imgur.com/1dAOF80.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
139,d,https://i.imgur.com/DIdMFb3.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
140,b,https://i.imgur.com/HzCv6J1.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
141,c,https://i.imgur.com/x5pkEqM.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
142,d,https://i.imgur.com/wPJxDED.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
143,a,https://i.imgur.com/3thtalw.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
144,b,https://i.imgur.com/nQxlgSo.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
146,c,https://i.imgur.com/NYebIMn.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
147,b,https://i.imgur.com/YLIWpv4.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
148,c,https://i.imgur.com/XOrnjli.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
149,a,https://i.imgur.com/BDI0jnZ.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
150,d,https://i.imgur.com/MfRwC8U.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
152,d,https://i.imgur.com/h0SbGOD.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
153,d,https://i.imgur.com/RxR4Sfk.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
155,b,https://i.imgur.com/zY1zPrK.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
156,c,https://i.imgur.com/YTL3ALc.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
157,a,https://i.imgur.com/asCgNV0.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
158,d,https://i.imgur.com/BPsl548.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
159,c,https://i.imgur.com/154GGHj.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
160,b,https://i.imgur.com/PNmQ0AE.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
161,d,https://i.imgur.com/pzo5vuI.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
163,d,https://i.imgur.com/5adDodN.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
164,a,https://i.imgur.com/QU1j346.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
165,b,https://i.imgur.com/qzKezbD.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
167,d,https://i.imgur.com/THsZzrO.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
168,d,https://i.imgur.com/BppzK9n.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
169,c,https://i.imgur.com/UPEZSns.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
170,c,https://i.imgur.com/VTrZm3l.png,,28.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
