,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
40,d,https://i.imgur.com/Dsx9bqG.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,d,https://i.imgur.com/jJUk6nL.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
42,a,https://i.imgur.com/SaJ9LqG.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,a,https://i.imgur.com/RqQtWaW.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,d,https://i.imgur.com/V9EFKah.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,b,https://i.imgur.com/KV0rO25.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,c,https://i.imgur.com/SkWhwwq.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,a,https://i.imgur.com/m21hXgO.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,b,https://i.imgur.com/JUwz3Nq.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,b,https://i.imgur.com/5WC7vqS.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,d,https://i.imgur.com/rNwf8En.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
52,a,https://i.imgur.com/dehT5Vj.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,d,https://i.imgur.com/uWFKAvn.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,c,https://i.imgur.com/OXaWLsu.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,d,https://i.imgur.com/rkRw5r2.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
56,b,https://i.imgur.com/Dvc2Spf.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
57,b,https://i.imgur.com/N4hUTU7.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,a,https://i.imgur.com/ZYqZpym.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,d,https://i.imgur.com/NKXeBnx.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
60,d,https://i.imgur.com/Uad3mfK.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
61,c,https://i.imgur.com/e7LEm6g.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
62,a,https://i.imgur.com/Irjr267.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
63,c,https://i.imgur.com/BFUSBzg.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
65,a,https://i.imgur.com/H6H2zGU.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
66,d,https://i.imgur.com/Ocip8tN.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
67,a,https://i.imgur.com/N7sRHai.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
68,d,https://i.imgur.com/FEyN4za.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
69,b,https://i.imgur.com/lRDTyIk.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
70,d,https://i.imgur.com/SUFlTjN.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
71,a,https://i.imgur.com/9X2PEUN.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
72,a,https://i.imgur.com/AEiAaig.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
73,b,https://i.imgur.com/PJ9K0mk.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
74,a,https://i.imgur.com/KPdPO5L.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
75,c,https://i.imgur.com/ygMzFmh.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
77,d,https://i.imgur.com/HjmNbrZ.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
78,d,https://i.imgur.com/GPEeJA1.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
79,c,https://i.imgur.com/FxeZwmq.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
80,d,https://i.imgur.com/gsPapRc.png,1.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
