,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
31,b,https://i.imgur.com/NYD0vPZ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
32,c,https://i.imgur.com/ftdzfNS.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
33,b,https://i.imgur.com/dL4im9R.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
34,d,https://i.imgur.com/vaklFor.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
35,a,https://i.imgur.com/Qq51dPd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
36,b,https://i.imgur.com/FWsF3yp.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
37,b,https://i.imgur.com/J3S8S1I.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
39,c,https://i.imgur.com/G8HqEzz.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
40,d,https://i.imgur.com/XuTce1u.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
41,b,https://i.imgur.com/hyKS19R.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
42,b,https://i.imgur.com/f0dgkC8.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
43,c,https://i.imgur.com/IpvzPmL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
44,d,https://i.imgur.com/PVJaGZL.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
45,c,https://i.imgur.com/1Qz1NyM.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
46,d,https://i.imgur.com/Xjf7hNX.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
47,b,https://i.imgur.com/Qyqprh0.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
48,c,https://i.imgur.com/iormOip.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
49,a,https://i.imgur.com/v295sEk.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
50,d,https://i.imgur.com/Tc5yzUc.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
51,a,https://i.imgur.com/gSV1bSD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
52,b,https://i.imgur.com/bB3d51s.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
53,b,https://i.imgur.com/ehNeA8q.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
54,a,https://i.imgur.com/eTb2iZC.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
55,b,https://i.imgur.com/pRaKdHR.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
56,d,https://i.imgur.com/R94w90Y.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
58,a,https://i.imgur.com/DGBPz7C.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
59,d,https://i.imgur.com/ub5rCPU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
60,d,https://i.imgur.com/Lt8ZhsM.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
61,a,https://i.imgur.com/eRacQFU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
62,c,https://i.imgur.com/sxN9Fya.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
63,c,https://i.imgur.com/mBjzQM2.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
65,c,https://i.imgur.com/7IqFaJf.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
66,a,https://i.imgur.com/LjKeYET.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
67,b,https://i.imgur.com/IeP7QZJ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
68,b,https://i.imgur.com/5f7kLZU.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
69,c,https://i.imgur.com/mHhzOBg.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
70,c,https://i.imgur.com/ArUrqTY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
71,d,https://i.imgur.com/8xI2YWn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
72,d,https://i.imgur.com/k6pvE10.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
73,d,https://i.imgur.com/RYUDuj3.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
74,b,https://i.imgur.com/IsdFv3K.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
75,d,https://i.imgur.com/WO4olsw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
76,c,https://i.imgur.com/pyJht67.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
77,c,https://i.imgur.com/9tEZq1F.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
78,b,https://i.imgur.com/FXHZSH1.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
79,c,https://i.imgur.com/0Jnck6g.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
80,a,https://i.imgur.com/Zk9iTlW.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
81,a,https://i.imgur.com/cHq4JTl.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
82,d,https://i.imgur.com/xb0bdYD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
83,a,https://i.imgur.com/gp6nEYY.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
84,a,https://i.imgur.com/sOlg5OE.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
85,c,https://i.imgur.com/DOP8pZh.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
86,a,https://i.imgur.com/xW6V8k6.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
87,b,https://i.imgur.com/zNsfQzd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
88,b,https://i.imgur.com/OINdw02.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
89,b,https://i.imgur.com/LsHpMM6.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
90,d,https://i.imgur.com/LnA1rnH.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
91,b,https://i.imgur.com/eZ7cYho.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
92,c,https://i.imgur.com/uNyF80h.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
93,a,https://i.imgur.com/ueciQvI.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
94,b,https://i.imgur.com/0Y4LiiD.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
95,b,https://i.imgur.com/qE9Mtts.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
96,d,https://i.imgur.com/BwqADTv.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
97,c,https://i.imgur.com/AhVGEIO.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
98,a,https://i.imgur.com/HhLhSk3.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
99,d,https://i.imgur.com/G0zZ8Nk.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
100,d,https://i.imgur.com/GIEbfkw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
101,c,https://i.imgur.com/R6wgolE.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
102,a,https://i.imgur.com/3dZzhAz.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
103,c,https://i.imgur.com/sKRrswF.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
106,c,https://i.imgur.com/5XqHllq.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
107,c,https://i.imgur.com/EOCLbzn.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
108,c,https://i.imgur.com/7kWNLT4.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
109,d,https://i.imgur.com/eUeWBRA.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
110,b,https://i.imgur.com/sLtqsXa.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
112,c,https://i.imgur.com/8fkVbPw.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
113,d,https://i.imgur.com/aHKRZdJ.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
114,b,https://i.imgur.com/oZOZpYN.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
115,c,https://i.imgur.com/ucff1Q7.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
116,c,https://i.imgur.com/VBWaSOd.png,12.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Find the missing number /गायब संख्या खोजें 
