,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
57,c,https://i.imgur.com/mcctsXi.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Figure counting / आकृतियों की गिनती 
58,a,https://i.imgur.com/qHPGXXt.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Figure counting / आकृतियों की गिनती 
59,b,https://i.imgur.com/wEDDM5z.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Figure counting / आकृतियों की गिनती 
60,c,https://i.imgur.com/IPVMTvP.png,1.5,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Figure counting / आकृतियों की गिनती 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,c
