correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source
b,https://i.imgur.com/VyjOLPi.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/1m1wOlf.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/KsPbDjM.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/mwjRcGW.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/cjy61PD.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/IESZekc.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/IvRMQZa.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/p5WA9Cr.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/CkikwO3.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/YSmcRwp.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/aavEJRV.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/B2Sgx0U.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
b,https://i.imgur.com/n7BgUPI.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/Qw7HAtJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
a,https://i.imgur.com/paK1Zyh.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
d,https://i.imgur.com/SRvlmPJ.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/0g2qMXY.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/ANc7Qdz.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
c,https://i.imgur.com/4Ix4UdE.png,11.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav
