,correct,QuestionLink,Direction,category,optA,optB,optC,optD,optE,sectionType,usedFor,lang,source
18,a,https://i.imgur.com/yJAt57e.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
19,a,https://i.imgur.com/3Wqg3Ux.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/kNtxcT3.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
21,b,https://i.imgur.com/26wYqyg.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
22,c,https://i.imgur.com/UV86iao.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
23,b,https://i.imgur.com/G09FAdT.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
24,b,https://i.imgur.com/ViX1gdG.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
25,b,https://i.imgur.com/4NZtHik.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
26,b,https://i.imgur.com/m8efwQ2.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
27,b,https://i.imgur.com/vHaHB2B.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
29,a,https://i.imgur.com/vVMM9tE.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
30,e,https://i.imgur.com/fVDBoXK.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/aX8MG3E.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
32,a,https://i.imgur.com/dfki335.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
33,a,https://i.imgur.com/jNlJnDx.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
34,b,https://i.imgur.com/9hqki7w.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
35,d,https://i.imgur.com/qKhn2zZ.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
36,d,https://i.imgur.com/nrpxvMP.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
37,e,https://i.imgur.com/UhmvchF.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
38,b,https://i.imgur.com/p5W8zOk.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
39,d,https://i.imgur.com/SvIIuny.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
40,a,https://i.imgur.com/8FdXYw7.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
42,a,https://i.imgur.com/WYaYI2X.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
43,e,https://i.imgur.com/RxtmrSy.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
45,b,https://i.imgur.com/kjTRe3M.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
46,a,https://i.imgur.com/gHY4TkA.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
47,a,https://i.imgur.com/89fhA4t.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
48,b,https://i.imgur.com/dze0GXS.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
49,a,https://i.imgur.com/8YGVcmN.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
50,a,https://i.imgur.com/RqFSEZK.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
51,b,https://i.imgur.com/OiRnYJr.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
52,a,https://i.imgur.com/Wh0fN8V.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
53,a,https://i.imgur.com/UpFRX0Y.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
55,d,https://i.imgur.com/ck03uar.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
56,d,https://i.imgur.com/oGOuYLJ.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
57,e,https://i.imgur.com/LLgDkkJ.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
58,b,https://i.imgur.com/GU5Wa9I.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
59,d,https://i.imgur.com/3dzpWAq.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
60,b,https://i.imgur.com/OSpIHqB.png,https://i.imgur.com/ARLbfS1.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
61,a,https://i.imgur.com/VG0g7hE.png,,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
62,a,https://i.imgur.com/xP3iooS.png,,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
65,d,https://i.imgur.com/zs82y6L.png,,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
1,b,https://i.imgur.com/Nz0J3dA.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
2,b,https://i.imgur.com/BXgSMnB.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
3,c,https://i.imgur.com/8InEg40.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
4,a,https://i.imgur.com/thH3v6L.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
6,e,https://i.imgur.com/S9xAD5V.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
7,b,https://i.imgur.com/sNnPUfZ.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
8,d,https://i.imgur.com/5XHlZ6H.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
9,e,https://i.imgur.com/ZezwVvR.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
10,a,https://i.imgur.com/cGWWaLZ.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
11,a,https://i.imgur.com/OGQQhh7.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
12,c,https://i.imgur.com/EYhCnJ8.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
13,b,https://i.imgur.com/sWmJtMv.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
14,b,https://i.imgur.com/aBqS8YP.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
15,c,https://i.imgur.com/EObsC00.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
16,b,https://i.imgur.com/u9UTnQz.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
17,b,https://i.imgur.com/UQbUGib.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
18,a,https://i.imgur.com/6qVaZBK.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
19,b,https://i.imgur.com/sTi75CD.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
20,a,https://i.imgur.com/knEJRJl.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
21,e,https://i.imgur.com/uzchqi2.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
22,a,https://i.imgur.com/sDjiF7L.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
23,e,https://i.imgur.com/tpinKJ7.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
24,e,https://i.imgur.com/wYezy6T.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
25,e,https://i.imgur.com/PXxGP3i.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
26,a,https://i.imgur.com/QWCwSje.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
27,a,https://i.imgur.com/A1fouHl.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
28,d,https://i.imgur.com/niklVa8.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
29,a,https://i.imgur.com/D3XtpA0.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
30,b,https://i.imgur.com/nROJvrr.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
31,b,https://i.imgur.com/t5vpO9g.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
32,e,https://i.imgur.com/YHvfq1q.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
33,e,https://i.imgur.com/lhVRYqU.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
34,e,https://i.imgur.com/lLvMscL.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
35,b,https://i.imgur.com/ZLVuItc.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
36,a,https://i.imgur.com/WM0aaEo.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
37,a,https://i.imgur.com/uDx0nVM.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
38,a,https://i.imgur.com/p18NqfO.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
39,a,https://i.imgur.com/Jw1DPlf.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
40,b,https://i.imgur.com/y5n5BN7.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
41,e,https://i.imgur.com/a0lPCO4.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
42,b,https://i.imgur.com/FtMgVb0.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
43,e,https://i.imgur.com/jmz4sG2.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
44,e,https://i.imgur.com/v700EiT.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
46,a,https://i.imgur.com/q5pzuSz.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
47,b,https://i.imgur.com/SRFZHIz.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
48,a,https://i.imgur.com/DwkAZxF.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
49,e,https://i.imgur.com/C0Ur2Ds.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
51,a,https://i.imgur.com/sn4WQ07.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
52,a,https://i.imgur.com/dKWE9lK.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
53,e,https://i.imgur.com/GykjKA2.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
54,b,https://i.imgur.com/OSJot57.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
56,e,https://i.imgur.com/7eYNhKJ.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
57,a,https://i.imgur.com/9XAiV6v.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
58,b,https://i.imgur.com/5TDUk6M.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
59,b,https://i.imgur.com/l93JgCz.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
60,a,https://i.imgur.com/g49gcb3.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
61,e,https://i.imgur.com/Cp1B3y0.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
62,b,https://i.imgur.com/YwDyUoH.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
63,e,https://i.imgur.com/Hyd3kSs.png,https://i.imgur.com/T2DItPe.png,10.1,A,B,C,D,E,Reasoning,sscReasoning,Bi,Rakesh yadav
