,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
30,b,https://i.imgur.com/rvR50Ez.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
31,d,https://i.imgur.com/6dpHTr3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
33,b,https://i.imgur.com/MRARPLK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
34,a,https://i.imgur.com/B4zDE9s.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
35,d,https://i.imgur.com/W48zHfD.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
36,a,https://i.imgur.com/0Kx2EpG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
37,b,https://i.imgur.com/BeafZxs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
38,c,https://i.imgur.com/93y9Z2B.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
39,a,https://i.imgur.com/iSbIxVy.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
41,b,https://i.imgur.com/j3aAJm8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
42,d,https://i.imgur.com/oF3ZT20.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
43,d,https://i.imgur.com/H2gO3Mj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
44,c,https://i.imgur.com/SsQbJjo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
45,c,https://i.imgur.com/CnPh4Un.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
46,a,https://i.imgur.com/WizRozN.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
48,b,https://i.imgur.com/VEqgDGf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
49,b,https://i.imgur.com/TlNsDO9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
50,d,https://i.imgur.com/Lxb0cLl.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
51,d,https://i.imgur.com/NbI1hp4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
52,d,https://i.imgur.com/ID9xge3.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
53,b,https://i.imgur.com/jFLEMFr.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
54,c,https://i.imgur.com/tkpnqV7.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
56,b,https://i.imgur.com/eZatR6V.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
57,b,https://i.imgur.com/IeLiOqd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
58,b,https://i.imgur.com/5LWUnND.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
59,a,https://i.imgur.com/aQw6nrv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
60,c,https://i.imgur.com/gCSrkHO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
61,b,https://i.imgur.com/QrPJ5bc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
62,d,https://i.imgur.com/8owY9bd.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
63,c,https://i.imgur.com/1rkuWtw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
64,d,https://i.imgur.com/ZB6XXkU.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
65,c,https://i.imgur.com/90zN9wv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
66,a,https://i.imgur.com/k7bBMEY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
67,c,https://i.imgur.com/1IQye3u.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
68,b,https://i.imgur.com/y7XMZj5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
69,a,https://i.imgur.com/7HPMtzZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
70,b,https://i.imgur.com/5Cdbt8J.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
71,d,https://i.imgur.com/LCzhIk2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
72,b,https://i.imgur.com/NgNpZ8v.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
73,a,https://i.imgur.com/3UfbFuM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
74,a,https://i.imgur.com/k633R4N.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
75,c,https://i.imgur.com/JUXwmze.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
76,c,https://i.imgur.com/8hN6xpB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
77,c,https://i.imgur.com/hY3Lmuj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
78,b,https://i.imgur.com/3H4cje6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
79,c,https://i.imgur.com/0eRm9YI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
80,d,https://i.imgur.com/9wPQzOK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
81,a,https://i.imgur.com/jsytdqZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
82,a,https://i.imgur.com/K8n19fM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
83,c,https://i.imgur.com/m4rL3oO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
84,c,https://i.imgur.com/EOoTGEe.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
85,d,https://i.imgur.com/fhCSV1j.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
86,d,https://i.imgur.com/XyiG74q.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
87,c,https://i.imgur.com/nL4bUB4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
88,d,https://i.imgur.com/nkzskOf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
89,b,https://i.imgur.com/nbbhAVG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
90,c,https://i.imgur.com/JJY1HyG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
91,a,https://i.imgur.com/W6kYQNR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
92,d,https://i.imgur.com/KUvtSln.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
93,b,https://i.imgur.com/eAgtieW.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
94,d,https://i.imgur.com/i3kOL6c.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
95,b,https://i.imgur.com/5A1sblc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
96,d,https://i.imgur.com/eFc21fz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
97,d,https://i.imgur.com/nDVv5QE.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
98,b,https://i.imgur.com/CXqLCSv.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
99,b,https://i.imgur.com/gnmQBim.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
100,d,https://i.imgur.com/HxsIpGg.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
101,c,https://i.imgur.com/TUEnT6d.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
102,d,https://i.imgur.com/nAvdzQI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
103,c,https://i.imgur.com/AcCotd0.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
104,a,https://i.imgur.com/Ds0eVmT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
1,b,https://i.imgur.com/rMQn6Lj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
2,b,https://i.imgur.com/tcdNmVC.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
3,a,https://i.imgur.com/BA9NOIF.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
4,c,https://i.imgur.com/h3CDwPw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
5,a,https://i.imgur.com/Y7c3HAJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
6,c,https://i.imgur.com/mUVIWcG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
7,a,https://i.imgur.com/jh808UK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
8,c,https://i.imgur.com/8gH4MGT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
9,b,https://i.imgur.com/zgkSs7D.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
10,b,https://i.imgur.com/V2BkCy9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
11,a,https://i.imgur.com/Nvvoec2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
12,a,https://i.imgur.com/S9vrlED.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
13,d,https://i.imgur.com/64TXo5D.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
14,b,https://i.imgur.com/wiig76R.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
15,d,https://i.imgur.com/zSbP9Ne.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
16,b,https://i.imgur.com/kUv5tES.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
17,b,https://i.imgur.com/KwN9upS.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
18,b,https://i.imgur.com/Tw6KkWX.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
19,d,https://i.imgur.com/4KXFyFw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
20,b,https://i.imgur.com/q2bgB5v.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
21,d,https://i.imgur.com/5yTKuKn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
22,c,https://i.imgur.com/t9ZyIWH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
23,c,https://i.imgur.com/OZHIUsA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
24,c,https://i.imgur.com/h2V1d4a.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
25,d,https://i.imgur.com/ZK8zP3m.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
26,a,https://i.imgur.com/7NgMZOp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
27,d,https://i.imgur.com/RyFcbn8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
1,d,https://i.imgur.com/wicLjMT.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
2,b,https://i.imgur.com/gNbQnie.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
3,b,https://i.imgur.com/Y5MWq0N.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
4,a,https://i.imgur.com/EcOBJF2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
5,d,https://i.imgur.com/6ZRAD9A.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
6,c,https://i.imgur.com/w1oitfj.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
7,b,https://i.imgur.com/s5Su6D0.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
8,d,https://i.imgur.com/SDEAkZQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
9,a,https://i.imgur.com/bvknuaY.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
10,b,https://i.imgur.com/tlz6w2P.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
11,a,https://i.imgur.com/xa4UzO6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
12,b,https://i.imgur.com/YjBbnc5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
13,c,https://i.imgur.com/byLJI4t.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
14,c,https://i.imgur.com/P4Fl3r8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
15,c,https://i.imgur.com/T7HrOgw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
16,c,https://i.imgur.com/fDlRLHn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
17,a,https://i.imgur.com/wKZsf7u.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
18,a,https://i.imgur.com/iVGmfd9.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
19,c,https://i.imgur.com/KqnQWwc.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
20,b,https://i.imgur.com/cWbJkOf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
21,d,https://i.imgur.com/DwINJat.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
22,a,https://i.imgur.com/JWhG66q.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
23,b,https://i.imgur.com/bBwsoG1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
24,d,https://i.imgur.com/VDUBPxo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
25,d,https://i.imgur.com/xeGHXDG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
26,d,https://i.imgur.com/RCoeO5b.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
27,a,https://i.imgur.com/Y3KUsaL.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
28,b,https://i.imgur.com/I52BJjZ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
29,a,https://i.imgur.com/7tD1UwB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
30,c,https://i.imgur.com/x6HUoy8.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
31,a,https://i.imgur.com/lg3Vdch.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
32,d,https://i.imgur.com/NrpzACk.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
33,c,https://i.imgur.com/ZbHvJvO.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
34,a,https://i.imgur.com/qX6X3B2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
35,b,https://i.imgur.com/EsIX6Zs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
36,b,https://i.imgur.com/ejo8166.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
37,a,https://i.imgur.com/1cgiaTG.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
38,d,https://i.imgur.com/6qKfz3z.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
39,b,https://i.imgur.com/oMnbEoo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
40,a,https://i.imgur.com/Df4ym62.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
41,c,https://i.imgur.com/OBbrokB.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
42,a,https://i.imgur.com/WJAhTOE.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
43,d,https://i.imgur.com/C0ApH8E.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
1,c,https://i.imgur.com/969fFWM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
2,a,https://i.imgur.com/1jkLHvb.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
3,b,https://i.imgur.com/SUWuuMQ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
4,c,https://i.imgur.com/X8DEmVw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
5,a,https://i.imgur.com/P14pwBR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
6,b,https://i.imgur.com/oHw1IQz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
7,d,https://i.imgur.com/hFtXIQ6.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
8,a,https://i.imgur.com/24dj9cK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
9,c,https://i.imgur.com/jpBqvJ2.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
10,c,https://i.imgur.com/YS4nfwJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
11,d,https://i.imgur.com/dS7sNun.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
12,b,https://i.imgur.com/oryjTmf.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
13,c,https://i.imgur.com/qTfCgjo.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
14,c,https://i.imgur.com/0fPFJZn.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
15,b,https://i.imgur.com/qnxE3nM.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
16,c,https://i.imgur.com/9q7vtbI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
17,a,https://i.imgur.com/lONw6LJ.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
18,b,https://i.imgur.com/GdObZpt.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
19,b,https://i.imgur.com/I19f8Vs.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
20,a,https://i.imgur.com/Xswlh5R.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
21,a,https://i.imgur.com/WJXIX5H.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
22,d,https://i.imgur.com/Aj0xEPw.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
23,c,https://i.imgur.com/7hBHcHR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
24,d,https://i.imgur.com/MZI5YpI.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
25,d,https://i.imgur.com/ctBF54k.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
26,d,https://i.imgur.com/lTTPUiA.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
27,b,https://i.imgur.com/vwyPre5.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
28,c,https://i.imgur.com/IZPEJeV.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
29,a,https://i.imgur.com/YcDUfWp.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
30,a,https://i.imgur.com/mx6DRyK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
31,a,https://i.imgur.com/DW6aGHH.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
32,a,https://i.imgur.com/QhOrZ6g.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
33,b,https://i.imgur.com/VN7snVz.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
34,c,https://i.imgur.com/FoDLwQi.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
35,d,https://i.imgur.com/dnEnNsq.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
36,b,https://i.imgur.com/aUWmgn1.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
37,b,https://i.imgur.com/a5sBWry.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
38,b,https://i.imgur.com/jznGqBR.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
39,c,https://i.imgur.com/ExMg4G4.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
40,a,https://i.imgur.com/Olc1nZK.png,2.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Analogy
