,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
42,c,https://i.imgur.com/dMiRfL8.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,d,https://i.imgur.com/PH98j28.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
44,c,https://i.imgur.com/cujmzXL.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,c,https://i.imgur.com/arg05ry.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,a,https://i.imgur.com/c5roWvc.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,d,https://i.imgur.com/cy3OpzE.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,c,https://i.imgur.com/n5fHay5.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,d,https://i.imgur.com/sXukGgr.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,a,https://i.imgur.com/nDf9BkW.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,a,https://i.imgur.com/5lDPpN4.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,c,https://i.imgur.com/LQspe6i.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,c,https://i.imgur.com/apvX5D5.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,b,https://i.imgur.com/p9Ulv5J.png,22.1,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
