,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,
33,b,https://i.imgur.com/GLXy19P.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
34,b,https://i.imgur.com/swe8Jhn.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
35,b,https://i.imgur.com/Yr9TcJL.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
36,a,https://i.imgur.com/PW4TXzZ.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
37,a,https://i.imgur.com/6REXfLE.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
38,b,https://i.imgur.com/s9vK4OC.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
39,a,https://i.imgur.com/lLhmySY.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
40,c,https://i.imgur.com/TO5Gz8r.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
41,c,https://i.imgur.com/NbpBXU6.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
42,c,https://i.imgur.com/wwQbZWf.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
43,b,https://i.imgur.com/qKwdShr.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
45,b,https://i.imgur.com/ecOQvCs.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
46,c,https://i.imgur.com/2VjVclZ.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
47,c,https://i.imgur.com/UvvPQsS.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
48,c,https://i.imgur.com/HdFuMU6.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
49,b,https://i.imgur.com/nUhTdfN.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
50,c,https://i.imgur.com/OZMHoGY.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
51,d,https://i.imgur.com/yMG8i2h.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
52,a,https://i.imgur.com/E0ajicb.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
53,b,https://i.imgur.com/gN8aLl0.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
54,b,https://i.imgur.com/qKKG8AM.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
55,b,https://i.imgur.com/Ec2Bljv.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
56,b,https://i.imgur.com/25wbcE7.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
57,a,https://i.imgur.com/DMqpwkd.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
58,c,https://i.imgur.com/H0Yz78I.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
59,a,https://i.imgur.com/STc32yZ.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
60,c,https://i.imgur.com/6otMah8.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
61,c,https://i.imgur.com/zDfyAyF.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
62,c,https://i.imgur.com/K5LUdO9.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
64,c,https://i.imgur.com/dYEWI9C.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
65,d,https://i.imgur.com/ZoyEfzP.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
66,b,https://i.imgur.com/sqbGD76.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
67,b,https://i.imgur.com/WS3SbTz.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
68,c,https://i.imgur.com/MRBrV88.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
69,d,https://i.imgur.com/XJquvRn.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,c
70,b,https://i.imgur.com/9RWMWiG.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
71,c,https://i.imgur.com/HGsSTzL.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
73,d,https://i.imgur.com/5bro1z0.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
74,b,https://i.imgur.com/okdyuRE.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
75,a,https://i.imgur.com/kjSGR6H.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
76,a,https://i.imgur.com/9k1eLix.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
77,a,https://i.imgur.com/AC9mBhp.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
78,a,https://i.imgur.com/2Qz4jgB.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
79,c,https://i.imgur.com/qEmqlaV.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
80,b,https://i.imgur.com/2Lym1jq.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
81,b,https://i.imgur.com/si50Gbh.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
82,b,https://i.imgur.com/M1Rh4Rb.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
83,b,https://i.imgur.com/THl8rnY.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
84,a,https://i.imgur.com/3RhU3dn.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
86,d,https://i.imgur.com/8VVg4jr.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
87,a,https://i.imgur.com/GYoDItv.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
88,a,https://i.imgur.com/3wBcZBu.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
89,a,https://i.imgur.com/cNXVIws.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
90,c,https://i.imgur.com/nBeEeHx.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
91,a,https://i.imgur.com/uuVcEN4.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
92,b,https://i.imgur.com/l3ctu6i.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
94,d,https://i.imgur.com/0PJCSpu.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
95,d,https://i.imgur.com/t1Do6O3.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
96,b,https://i.imgur.com/gBUVeeu.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
97,a,https://i.imgur.com/UB3c3aU.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
99,c,https://i.imgur.com/XYmgs7Y.png,1.2,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,
