,correct,QuestionLink,category
89,a,https://i.imgur.com/VfV8g6P.png,28.1
90,c,https://i.imgur.com/hvKftJZ.png,28.1
92,d,https://i.imgur.com/Z7Xvtsl.png,28.1
93,d,https://i.imgur.com/UKqrylj.png,28.1
94,a,https://i.imgur.com/97VW8Qp.png,28.1
95,c,https://i.imgur.com/rfAte6k.png,28.1
97,b,https://i.imgur.com/otrEINh.png,28.1
98,a,https://i.imgur.com/T75qd6l.png,28.1
99,c,https://i.imgur.com/tJUctYH.png,28.1
101,b,https://i.imgur.com/es2op60.png,28.1
102,b,https://i.imgur.com/u9CdCws.png,28.1
103,b,https://i.imgur.com/HWZHNy0.png,28.1
104,d,https://i.imgur.com/IUFTAoj.png,28.1
105,a,https://i.imgur.com/c01x8TO.png,28.1
106,a,https://i.imgur.com/Y82z2vz.png,28.1
107,c,https://i.imgur.com/mmnpjrQ.png,28.1
108,a,https://i.imgur.com/wLa32WG.png,28.1
109,b,https://i.imgur.com/MH0Q8Ga.png,28.1
110,b,https://i.imgur.com/2lE2x49.png,28.1
111,b,https://i.imgur.com/brgNlnx.png,28.1
112,b,https://i.imgur.com/T6cBsSi.png,28.1
113,d,https://i.imgur.com/jm4AIYe.png,28.1
115,b,https://i.imgur.com/ZOJJSzS.png,28.1
116,c,https://i.imgur.com/DXyLhRi.png,28.1
117,a,https://i.imgur.com/fV9va5D.png,28.1
118,c,https://i.imgur.com/BMo0fFh.png,28.1
120,b,https://i.imgur.com/HTI6Olc.png,28.1
121,b,https://i.imgur.com/wfOH0xx.png,28.1
122,a,https://i.imgur.com/7SnCHOz.png,28.1
123,b,https://i.imgur.com/dLqnu3Q.png,28.1
125,a,https://i.imgur.com/PrmHpYY.png,28.1
126,c,https://i.imgur.com/bUkOFDP.png,28.1
127,c,https://i.imgur.com/cv0Pk2i.png,28.1
128,b,https://i.imgur.com/q4Q2kxf.png,28.1
130,a,https://i.imgur.com/a8m2Qh0.png,28.1
131,d,https://i.imgur.com/uUNim97.png,28.1
132,b,https://i.imgur.com/xVAZbiZ.png,28.1
133,c,https://i.imgur.com/Gpxj5Ky.png,28.1
134,b,https://i.imgur.com/y7LwLRA.png,28.1
136,c,https://i.imgur.com/xPBQ5CP.png,28.1
137,c,https://i.imgur.com/DOMZb0M.png,28.1
138,d,https://i.imgur.com/CMlICTC.png,28.1
139,a,https://i.imgur.com/vXnE4ZN.png,28.1
140,b,https://i.imgur.com/WHrJFin.png,28.1
141,c,https://i.imgur.com/moAF4dw.png,28.1
142,d,https://i.imgur.com/Jnk6DvR.png,28.1
143,a,https://i.imgur.com/Lzemvr3.png,28.1
144,b,https://i.imgur.com/LAGdqiJ.png,28.1
146,c,https://i.imgur.com/iY9YaVL.png,28.1
147,b,https://i.imgur.com/4BDB1X1.png,28.1
148,c,https://i.imgur.com/9lI2Bqz.png,28.1
149,a,https://i.imgur.com/vy04kjX.png,28.1
150,d,https://i.imgur.com/F71hgIF.png,28.1
152,d,https://i.imgur.com/bEjdWRz.png,28.1
153,d,https://i.imgur.com/pyuKALV.png,28.1
155,b,https://i.imgur.com/rmNTHE7.png,28.1
156,c,https://i.imgur.com/W1T5HTG.png,28.1
157,a,https://i.imgur.com/0658myE.png,28.1
158,d,https://i.imgur.com/fh84bLZ.png,28.1
159,c,https://i.imgur.com/97CzrfX.png,28.1
160,b,https://i.imgur.com/gJ7eCfa.png,28.1
161,d,https://i.imgur.com/FccQbWW.png,28.1
163,d,https://i.imgur.com/SfyyXBs.png,28.1
164,a,https://i.imgur.com/ck8w2ml.png,28.1
165,b,https://i.imgur.com/YwB58HW.png,28.1
167,d,https://i.imgur.com/GpcXDvM.png,28.1
168,d,https://i.imgur.com/kyWMbha.png,28.1
169,c,https://i.imgur.com/8xHyebt.png,28.1
170,c,https://i.imgur.com/HWjUT1Y.png,28.1
