sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
44,c,https://i.imgur.com/M5hGWtp.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
45,d,https://i.imgur.com/iv276Wt.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
46,c,https://i.imgur.com/N8BKpVO.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
47,a,https://i.imgur.com/kJZzUCx.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
48,d,https://i.imgur.com/Gg9hXor.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
49,c,https://i.imgur.com/yWW3Ebt.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
51,b,https://i.imgur.com/f9dtyEv.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
52,c,https://i.imgur.com/nnLtVCs.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
53,d,https://i.imgur.com/f8rWzZP.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
54,d,https://i.imgur.com/Nl57faS.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
55,d,https://i.imgur.com/c7uTcfG.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
56,b,https://i.imgur.com/f8QmZ4g.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
57,b,https://i.imgur.com/1d6RM4v.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
58,d,https://i.imgur.com/CnGsi40.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
59,a,https://i.imgur.com/oxW7Gwj.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
61,b,https://i.imgur.com/ImgSEsh.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
62,b,https://i.imgur.com/OWAmwXc.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
1,d,https://i.imgur.com/K4IiMT8.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
2,b,https://i.imgur.com/Nh7cDH0.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
3,b,https://i.imgur.com/fJjlzpN.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
4,a,https://i.imgur.com/wasPQHv.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
5,b,https://i.imgur.com/HA8ipev.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
6,b,https://i.imgur.com/BCdlw1X.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
7,b,https://i.imgur.com/rJXeQdK.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
8,a,https://i.imgur.com/BjjNZLG.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
9,d,https://i.imgur.com/CIUplgu.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
10,c,https://i.imgur.com/F0h9m9H.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
11,d,https://i.imgur.com/2S8z0Hr.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
12,a,https://i.imgur.com/Hdb02FF.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
13,a,https://i.imgur.com/kDrR556.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
14,d,https://i.imgur.com/XxmcJmy.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
