sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
36,c,https://i.imgur.com/XVoorx8.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
37,d,https://i.imgur.com/FaZqYqj.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
38,d,https://i.imgur.com/Cm9bm7Z.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
39,c,https://i.imgur.com/dmUBY4P.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
40,a,https://i.imgur.com/Uolv71R.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
41,c,https://i.imgur.com/wNs4dHb.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
42,d,https://i.imgur.com/APY2TXX.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
43,a,https://i.imgur.com/uhbMAtB.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
44,a,https://i.imgur.com/IaM4aos.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
45,c,https://i.imgur.com/Qz3SH4M.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
46,d,https://i.imgur.com/aJXgjfg.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
47,b,https://i.imgur.com/fLOTuYD.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
48,b,https://i.imgur.com/hvVsMUz.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
49,d,https://i.imgur.com/kgSCVLv.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
50,a,https://i.imgur.com/JsG2R2r.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
51,d,https://i.imgur.com/9Js3XpZ.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
52,c,https://i.imgur.com/nbKAR0C.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
53,c,https://i.imgur.com/1djsyT8.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
54,d,https://i.imgur.com/j2l5Rc7.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
55,b,https://i.imgur.com/Aq7x45x.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
56,b,https://i.imgur.com/7tl3SHH.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
57,a,https://i.imgur.com/VQfPkbw.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
58,d,https://i.imgur.com/OSecrCl.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
59,b,https://i.imgur.com/WcR48cR.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
60,d,https://i.imgur.com/8WjhzDZ.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
61,c,https://i.imgur.com/DwxMMvx.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
62,b,https://i.imgur.com/Ybgb1cJ.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
63,c,https://i.imgur.com/lIlgNVR.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
64,a,https://i.imgur.com/IJzMmeT.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
65,a,https://i.imgur.com/NpvE9mL.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
66,b,https://i.imgur.com/9Qcknfj.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
67,b,https://i.imgur.com/qhgdSod.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
68,c,https://i.imgur.com/nLjbrin.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
1,c,https://i.imgur.com/xLZ4BWN.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
2,b,https://i.imgur.com/7aVt83I.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
3,a,https://i.imgur.com/eT4HfdU.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
4,d,https://i.imgur.com/2vZhMcz.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
5,c,https://i.imgur.com/JqlV5Cc.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
6,d,https://i.imgur.com/AvbaIjA.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
7,d,https://i.imgur.com/itosIDs.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
8,a,https://i.imgur.com/n52NXGS.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
9,c,https://i.imgur.com/Dkpkfb8.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
10,c,https://i.imgur.com/rAM4V0h.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
11,c,https://i.imgur.com/v90HmQa.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
12,a,https://i.imgur.com/WodwSS5.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
13,b,https://i.imgur.com/KzIg8ee.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
14,d,https://i.imgur.com/VFSEWbn.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
