,sl.no.,correct,Question_link,direction,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,sources,name
27,29,a,https://i.imgur.com/VUvKUZ2.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
28,30,b,https://i.imgur.com/gcxeDuF.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
29,31,a,https://i.imgur.com/hiIersi.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
30,32,a,https://i.imgur.com/Ob5Wbu6.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
31,33,d,https://i.imgur.com/w0JqyMM.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
32,34,d,https://i.imgur.com/9mmnF7N.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
33,36,b,https://i.imgur.com/Eaacqxd.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
34,37,d,https://i.imgur.com/PldmVvd.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
35,38,b,https://i.imgur.com/BLP2wVo.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
36,39,a,https://i.imgur.com/4O9i3Gi.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
37,40,b,https://i.imgur.com/er4wwRW.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
38,41,a,https://i.imgur.com/iMde5gL.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
39,42,a,https://i.imgur.com/vGFJuB2.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
40,43,d,https://i.imgur.com/oP19vbl.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
41,44,c,https://i.imgur.com/fxfBZWP.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
42,45,a,https://i.imgur.com/tawaWLB.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
43,46,d,https://i.imgur.com/ro1Sne8.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
44,47,a,https://i.imgur.com/ucHEQdh.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
45,48,d,https://i.imgur.com/cw6Ims9.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
46,50,c,https://i.imgur.com/6sBW2yv.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
47,51,d,https://i.imgur.com/M6Gf9pb.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
48,52,d,https://i.imgur.com/7mYWsk9.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
49,53,b,https://i.imgur.com/Hidomld.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
50,54,c,https://i.imgur.com/BcpD6JV.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
51,55,b,https://i.imgur.com/chb29Lk.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
52,56,b,https://i.imgur.com/vxF68Kr.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
53,57,d,https://i.imgur.com/ROIvBjX.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
54,58,b,https://i.imgur.com/6p2X1X7.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
55,59,d,https://i.imgur.com/4fiEVMD.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
56,60,b,https://i.imgur.com/GzW75iU.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
57,61,a,https://i.imgur.com/CH9i5ae.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
58,62,c,https://i.imgur.com/iPlcps7.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
59,64,d,https://i.imgur.com/h6ZjaOJ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
60,65,b,https://i.imgur.com/yEZZFLD.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
61,66,a,https://i.imgur.com/wG1Qsan.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
62,67,a,https://i.imgur.com/GxgjzU4.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
63,68,b,https://i.imgur.com/nKcti0b.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
64,69,d,https://i.imgur.com/HWWkjJN.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
65,70,d,https://i.imgur.com/gGNMPdw.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
66,71,d,https://i.imgur.com/OkwtFez.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
67,72,b,https://i.imgur.com/KtDws7I.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
68,73,d,https://i.imgur.com/H4d2FfG.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
69,74,d,https://i.imgur.com/T7sfAbs.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
70,75,a,https://i.imgur.com/3phXuS6.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
71,76,a,https://i.imgur.com/F0So0CZ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
72,77,a,https://i.imgur.com/EgM5uEY.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
73,78,a,https://i.imgur.com/hRMerD2.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
74,79,c,https://i.imgur.com/OMRN2Q6.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
75,80,d,https://i.imgur.com/321XiR8.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
76,81,d,https://i.imgur.com/GV8qhI1.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
77,82,b,https://i.imgur.com/28Sxs0f.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
78,83,c,https://i.imgur.com/D7GmlYk.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
79,84,d,https://i.imgur.com/PFQRAFX.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
80,85,d,https://i.imgur.com/YJQlUlO.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
81,86,a,https://i.imgur.com/f8k7UvF.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
82,88,a,https://i.imgur.com/BtH8Yo5.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
83,89,b,https://i.imgur.com/Qg7zeai.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
84,90,d,https://i.imgur.com/bG70sRx.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
85,91,d,https://i.imgur.com/k73WxD6.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
86,92,d,https://i.imgur.com/odvvFVc.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
87,93,d,https://i.imgur.com/NMQa8j4.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
88,94,d,https://i.imgur.com/jXCJDmY.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
89,95,b,https://i.imgur.com/UKiiR1B.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
90,96,d,https://i.imgur.com/MsECsdb.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
91,97,b,https://i.imgur.com/DochNrs.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
92,99,b,https://i.imgur.com/EWO9a8C.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
93,100,b,https://i.imgur.com/3f1c7pY.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
94,101,a,https://i.imgur.com/ZzOLbgA.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
95,102,b,https://i.imgur.com/RbM9dqF.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
96,103,c,https://i.imgur.com/pyRLjPe.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
97,104,b,https://i.imgur.com/vNbDrh7.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
98,105,c,https://i.imgur.com/00SE8U3.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
99,106,a,https://i.imgur.com/0iWMb1F.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
100,107,b,https://i.imgur.com/Yks6eBe.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
101,108,b,https://i.imgur.com/VMX8n5G.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
102,109,c,https://i.imgur.com/XGzIxE8.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
103,110,e,https://i.imgur.com/hs49n9f.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
104,111,a,https://i.imgur.com/1QNjT6j.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
105,112,b,https://i.imgur.com/WmyebvB.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
106,113,d,https://i.imgur.com/H1HFrI2.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
107,114,c,https://i.imgur.com/75kuk3U.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
108,115,a,https://i.imgur.com/FdX09du.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
109,116,a,https://i.imgur.com/RlgN4Kr.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
110,117,c,https://i.imgur.com/anKPP81.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
111,118,a,https://i.imgur.com/E5vQe9m.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
112,119,a,https://i.imgur.com/eD99SpC.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
113,121,d,https://i.imgur.com/2lt39y7.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
114,122,a,https://i.imgur.com/PlaC2Yz.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
115,123,c,https://i.imgur.com/vkZHGDy.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
116,124,a,https://i.imgur.com/MtcI0bE.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
117,125,c,https://i.imgur.com/TdfnS8x.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
118,126,d,https://i.imgur.com/B0vpmHG.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
119,128,b,https://i.imgur.com/ILCdLEm.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
120,129,d,https://i.imgur.com/eSNrDfH.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
121,130,c,https://i.imgur.com/sRgGzIo.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
122,131,b,https://i.imgur.com/8xbp9bQ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
123,132,a,https://i.imgur.com/uMyM5ST.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
124,133,a,https://i.imgur.com/YTgJcSm.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
125,134,d,https://i.imgur.com/vWOFTqC.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
126,135,c,https://i.imgur.com/HIa6k3K.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
127,137,d,https://i.imgur.com/h2gjWcn.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
128,138,b,https://i.imgur.com/FTM3SFe.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
129,139,c,https://i.imgur.com/0YGBjVz.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
130,140,e,https://i.imgur.com/T8eJfJl.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
131,141,d,https://i.imgur.com/nKTTsyI.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
132,142,c,https://i.imgur.com/zXyqMZB.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
133,143,a,https://i.imgur.com/CLXmhPE.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
134,144,b,https://i.imgur.com/ZRujaVi.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
135,145,a,https://i.imgur.com/8xY0N1M.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
136,146,b,https://i.imgur.com/vHyKGyD.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
137,147,c,https://i.imgur.com/EQbROAc.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
138,148,b,https://i.imgur.com/vrCLEDI.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
139,149,b,https://i.imgur.com/kGEAZyv.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
140,150,b,https://i.imgur.com/qPgsDiV.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
141,151,a,https://i.imgur.com/0YenjmE.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
142,153,d,https://i.imgur.com/neiaDiZ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
143,154,c,https://i.imgur.com/x6UQFKP.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
144,155,d,https://i.imgur.com/nCjhP8n.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
145,156,d,https://i.imgur.com/b4hn6qt.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
146,157,c,https://i.imgur.com/AAuKzGM.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
147,158,a,https://i.imgur.com/Z5bTT5l.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
148,159,c,https://i.imgur.com/5Tn0wdq.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
149,160,c,https://i.imgur.com/IJVAYG3.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
150,161,b,https://i.imgur.com/nbOV7ri.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
151,162,a,https://i.imgur.com/EtE0dsh.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
152,163,d,https://i.imgur.com/8Q8fy3y.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
153,164,b,https://i.imgur.com/YPAFwf1.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
154,165,a,https://i.imgur.com/ZPdGr8A.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
155,166,a,https://i.imgur.com/j4aMbOG.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
156,167,b,https://i.imgur.com/5bX3cDJ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
157,168,d,https://i.imgur.com/NRzmoht.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
158,169,d,https://i.imgur.com/iAQpZMS.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
159,170,d,https://i.imgur.com/Hsqna6z.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
160,171,a,https://i.imgur.com/KVbnyLh.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
161,173,c,https://i.imgur.com/teGSIdN.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
162,174,b,https://i.imgur.com/kgW3uQw.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
163,175,c,https://i.imgur.com/6XJXByA.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
164,176,b,https://i.imgur.com/WZYp7yk.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
165,177,d,https://i.imgur.com/5cNthyr.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
166,178,b,https://i.imgur.com/lHvy8RU.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
167,180,c,https://i.imgur.com/GGa8oui.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
168,181,d,https://i.imgur.com/K9xSNBV.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
169,182,d,https://i.imgur.com/Ody4JQx.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
170,183,a,https://i.imgur.com/7TvvCvP.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
171,184,b,https://i.imgur.com/gfkRLoy.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
172,185,c,https://i.imgur.com/8NI1GWS.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
173,186,c,https://i.imgur.com/YaNkm19.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
174,187,c,https://i.imgur.com/ku76mTr.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
175,188,d,https://i.imgur.com/ltyY4Ex.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
176,189,a,https://i.imgur.com/rsNoqqZ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
177,190,a,https://i.imgur.com/nWcmjCX.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
178,191,d,https://i.imgur.com/iUqbBtI.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
179,192,d,https://i.imgur.com/nHEirAl.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
180,193,b,https://i.imgur.com/DqCuAWx.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
181,194,b,https://i.imgur.com/wW46BjQ.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
182,195,a,https://i.imgur.com/AfckgnU.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
183,196,d,https://i.imgur.com/yYa5Kgz.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
184,197,b,https://i.imgur.com/sj8BGy9.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
185,198,d,https://i.imgur.com/7Eo5ChI.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
186,199,c,https://i.imgur.com/4omN3bF.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
187,200,b,https://i.imgur.com/ebXm7Y1.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
188,201,c,https://i.imgur.com/Y6FZYPc.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
189,202,a,https://i.imgur.com/RFI9WD3.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
190,203,d,https://i.imgur.com/RRZ8IHm.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
191,204,b,https://i.imgur.com/5HcsRvp.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
192,205,c,https://i.imgur.com/ieuccSx.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
193,206,a,https://i.imgur.com/zhFS99N.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
194,207,d,https://i.imgur.com/ocia8Wq.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
195,208,d,https://i.imgur.com/lagh01q.png,,,locopilot_electrical,A,B,C,D,E,8.1,ALP,Hindi,RBD,AC Theory 
