sl.no.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
82,C,https://i.imgur.com/pgKw8a2.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,B,https://i.imgur.com/XiiKaaY.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,B,https://i.imgur.com/k6MsRX4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,B,https://i.imgur.com/QuB1rnC.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,A,https://i.imgur.com/r6DusLX.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,D,https://i.imgur.com/qnctqgS.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,C,https://i.imgur.com/lWq4FUV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,B,https://i.imgur.com/cPZjlpe.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,C,https://i.imgur.com/dxImkeN.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,C,https://i.imgur.com/BjDIZBx.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,A,https://i.imgur.com/aak0SSZ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,B,https://i.imgur.com/ZB4I6hL.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,A,https://i.imgur.com/UoGcXLg.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,C,https://i.imgur.com/49lW9Zj.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,B,https://i.imgur.com/gh7GwRZ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,A,https://i.imgur.com/Ue9wr1o.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,B,https://i.imgur.com/6toIRJd.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,C,https://i.imgur.com/hWCcSV4.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,B,https://i.imgur.com/MzQBYDz.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,D,https://i.imgur.com/TILRtbM.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,C,https://i.imgur.com/8jlknK8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,B,https://i.imgur.com/rYBpc0u.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,B,https://i.imgur.com/pci1poc.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,D,https://i.imgur.com/vYZn2q1.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
108,A,https://i.imgur.com/jjhItqu.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
109,D,https://i.imgur.com/Vpfxcex.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
110,A,https://i.imgur.com/00HmTxV.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
111,B,https://i.imgur.com/KZpNlO7.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
112,D,https://i.imgur.com/UHe7o2r.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
113,A,https://i.imgur.com/Jn1w4NZ.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
115,A,https://i.imgur.com/DomQptG.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
116,A,https://i.imgur.com/DZD6oIo.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
117,A,https://i.imgur.com/qd1SDbI.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
119,B,https://i.imgur.com/HDaYeas.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
120,B,https://i.imgur.com/tJHScGg.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
121,B,https://i.imgur.com/hQoR98P.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
122,A,https://i.imgur.com/Ol8J6Ct.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
123,B,https://i.imgur.com/Pok2DG0.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
124,C,https://i.imgur.com/qXxZuHn.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
125,D,https://i.imgur.com/aslczEP.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
126,D,https://i.imgur.com/hAODLcB.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
127,D,https://i.imgur.com/OYoqnes.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
128,D,https://i.imgur.com/WatkpQ8.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
129,C,https://i.imgur.com/6hWFH2w.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
130,C,https://i.imgur.com/ca0SvMk.png,locopilot_electrical,A,B,C,D,7.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
