,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
33,c,https://i.imgur.com/qmjOunX.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,d,https://i.imgur.com/Mi6mDbc.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,c,https://i.imgur.com/ryaSu6f.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,c,https://i.imgur.com/PwVM5MN.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,c,https://i.imgur.com/HluAuvk.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,c,https://i.imgur.com/5PKJmzV.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,b,https://i.imgur.com/ThDIBFX.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,c,https://i.imgur.com/t2CLnLq.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,b,https://i.imgur.com/I4v0DNv.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,b,https://i.imgur.com/ZgAzWOn.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,b,https://i.imgur.com/qQPQ8bp.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,b,https://i.imgur.com/l0GEgr0.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,b,https://i.imgur.com/NnfpqSi.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,c,https://i.imgur.com/oCeqXDq.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,b,https://i.imgur.com/Jql0Cf8.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,b,https://i.imgur.com/RyjTOsB.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,d,https://i.imgur.com/dsGqhcK.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,d,https://i.imgur.com/QNCR9ty.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,a,https://i.imgur.com/31KaF6P.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,b,https://i.imgur.com/qffA1dV.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,a,https://i.imgur.com/CFLAXy5.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,a,https://i.imgur.com/7BbKg6N.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/4B72cOV.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,d,https://i.imgur.com/7YMnhas.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,a,https://i.imgur.com/dUVjS3f.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,c,https://i.imgur.com/CXRRkFv.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,a,https://i.imgur.com/R6I42d1.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,b,https://i.imgur.com/eh7AUpU.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,a,https://i.imgur.com/OVN5gaL.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,c,https://i.imgur.com/oEMmJCA.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,b,https://i.imgur.com/lHMWUBG.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,a,https://i.imgur.com/J3UFQuB.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,c,https://i.imgur.com/5W2Q8wC.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,c,https://i.imgur.com/3j2uBiJ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,b,https://i.imgur.com/6l01A2j.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,b,https://i.imgur.com/HimcenQ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,b,https://i.imgur.com/BmOf6ym.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,a,https://i.imgur.com/IDG0hS1.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,c,https://i.imgur.com/x5O9aO1.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,a,https://i.imgur.com/dbMb0zR.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,d,https://i.imgur.com/yRpptvZ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,c,https://i.imgur.com/MVLAMii.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,c,https://i.imgur.com/WeabTY2.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,c,https://i.imgur.com/qu5SEpI.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,b,https://i.imgur.com/LVm0JUS.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,c,https://i.imgur.com/hglHB2H.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,c,https://i.imgur.com/RVtkNV8.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,a,https://i.imgur.com/fZMqNoe.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,c,https://i.imgur.com/dfHca6U.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,c,https://i.imgur.com/ji4fWTu.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,c,https://i.imgur.com/sgIYxnj.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,d,https://i.imgur.com/a1fz3C7.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,d,https://i.imgur.com/dl8jEDk.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,d,https://i.imgur.com/rBwtPOL.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,b,https://i.imgur.com/xrVJpUD.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,a,https://i.imgur.com/G19Iv9Q.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,c,https://i.imgur.com/h2qqMtQ.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,d,https://i.imgur.com/YkGUK28.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,b,https://i.imgur.com/ebj7ELR.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,a,https://i.imgur.com/4cVXx8r.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,c,https://i.imgur.com/F8D84tb.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,d,https://i.imgur.com/pLJVnK5.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,c,https://i.imgur.com/Dy1PrPu.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,d,https://i.imgur.com/0UxE9VK.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,b,https://i.imgur.com/LN64jSC.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,d,https://i.imgur.com/IuhqNvY.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,a,https://i.imgur.com/CDLrnDG.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,a,https://i.imgur.com/HTxaHKt.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
106,d,https://i.imgur.com/jHsbixI.png,locopilot_electrical,A,B,C,D,15.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
