SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
16,A,https://i.imgur.com/7Y8r4G9.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,C,https://i.imgur.com/owh0G1N.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,B,https://i.imgur.com/1woCOOx.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,A,https://i.imgur.com/bsekURn.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,A,https://i.imgur.com/razr66j.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/UJc5fvX.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,B,https://i.imgur.com/916i6YB.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,A,https://i.imgur.com/Dpd3Cio.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,D,https://i.imgur.com/w4SDbx7.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/5Wl10LK.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,C,https://i.imgur.com/qu7d2Fg.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/aCjdf7x.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,B,https://i.imgur.com/0Abx2Qq.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,A,https://i.imgur.com/V46Huw4.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,B,https://i.imgur.com/HixLjwO.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,B,https://i.imgur.com/aELoUD3.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,A,https://i.imgur.com/QzIj4g5.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,B,https://i.imgur.com/lAIwSY4.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,D,https://i.imgur.com/KN1Iuzh.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/oQ19vHP.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,C,https://i.imgur.com/OtZJItf.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,B,https://i.imgur.com/zjANcjs.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/4R7QoRq.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,B,https://i.imgur.com/jZJVZg7.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,B,https://i.imgur.com/8f1QCvr.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,C,https://i.imgur.com/pmsmfCw.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,B,https://i.imgur.com/jeOvdbE.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,C,https://i.imgur.com/odLoDtK.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,B,https://i.imgur.com/zRBSMEL.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,B,https://i.imgur.com/SL1LlyG.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,B,https://i.imgur.com/Y39i4gh.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,B,https://i.imgur.com/SVSAQZR.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,D,https://i.imgur.com/XetC9Y0.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,D,https://i.imgur.com/b91uKf5.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,C,https://i.imgur.com/BHnQsPX.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,A,https://i.imgur.com/SmXFD2M.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,C,https://i.imgur.com/yVXX1U0.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,A,https://i.imgur.com/J2iIiqB.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,B,https://i.imgur.com/hd6H1IF.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,C,https://i.imgur.com/gxh2N4F.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,D,https://i.imgur.com/MxoHsYF.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,B,https://i.imgur.com/ljb5GnT.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,D,https://i.imgur.com/oN10s7l.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,C,https://i.imgur.com/lNp4hpW.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,A,https://i.imgur.com/ItCXuHA.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,A,https://i.imgur.com/hRDcoHW.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,D,https://i.imgur.com/ejzewUQ.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,B,https://i.imgur.com/BxEkm33.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,A,https://i.imgur.com/JsNQRr7.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,A,https://i.imgur.com/ov8KFLd.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/4NCSWiH.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,C,https://i.imgur.com/pryzNyV.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,B,https://i.imgur.com/8HsYqNn.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,A,https://i.imgur.com/owhdraU.png,locopilot_electrical,A,B,C,D,5.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
