,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
39,a,https://i.imgur.com/ITqaC9Y.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,a,https://i.imgur.com/4Am0XFg.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,b,https://i.imgur.com/gboV12u.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,a,https://i.imgur.com/9KFSgzD.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,a,https://i.imgur.com/dHj6mTI.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,d,https://i.imgur.com/dqgEmcB.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,a,https://i.imgur.com/IlBPhei.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,b,https://i.imgur.com/CrNnEL7.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,a,https://i.imgur.com/Nr69M69.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,d,https://i.imgur.com/SM3ZUJk.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,a,https://i.imgur.com/UajDH0h.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,d,https://i.imgur.com/5nyfI5T.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,a,https://i.imgur.com/FyEv3ck.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,c,https://i.imgur.com/ThwMHCl.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,b,https://i.imgur.com/Gvbk4gZ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,b,https://i.imgur.com/uBky7c4.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,d,https://i.imgur.com/OEdEW5B.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/c8ijslp.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,a,https://i.imgur.com/APkeuUi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,d,https://i.imgur.com/db1hmp7.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,b,https://i.imgur.com/DJSP4XY.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,b,https://i.imgur.com/llqoCCc.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,a,https://i.imgur.com/Ab3VhRf.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,d,https://i.imgur.com/CluYWKJ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,c,https://i.imgur.com/lacuTEE.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,c,https://i.imgur.com/7Yv89TB.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,c,https://i.imgur.com/Eutzaqo.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,d,https://i.imgur.com/1nmh7me.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,a,https://i.imgur.com/1xPa3zM.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,a,https://i.imgur.com/U1JHbA9.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,a,https://i.imgur.com/U8y3jEZ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,d,https://i.imgur.com/KtZdOID.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,d,https://i.imgur.com/MLjvOGi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,d,https://i.imgur.com/eeICouL.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,d,https://i.imgur.com/wPT8URE.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,c,https://i.imgur.com/vHLyrBd.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,a,https://i.imgur.com/mt3eVnV.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,c,https://i.imgur.com/YxEQgMU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,a,https://i.imgur.com/Ydz0fYP.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,b,https://i.imgur.com/huLBG43.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,a,https://i.imgur.com/sNWjZzf.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,a,https://i.imgur.com/DKXXjJb.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,a,https://i.imgur.com/YoU2hj9.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,c,https://i.imgur.com/AqMkUCu.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,a,https://i.imgur.com/5hbzoci.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,c,https://i.imgur.com/YAau4yy.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,a,https://i.imgur.com/1Nr5lZO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,a,https://i.imgur.com/qii2M6P.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,c,https://i.imgur.com/xzXk2q1.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,d,https://i.imgur.com/sfMAZVI.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,a,https://i.imgur.com/Xa6RtJW.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,b,https://i.imgur.com/pERuzqO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,b,https://i.imgur.com/mm9NlPc.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,a,https://i.imgur.com/6xWhtXi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,d,https://i.imgur.com/4LdzAGK.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,b,https://i.imgur.com/JQzGZN9.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,a,https://i.imgur.com/YcwKfgN.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,c,https://i.imgur.com/IvSIPBw.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,a,https://i.imgur.com/wnO5mr6.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,c,https://i.imgur.com/tIXVVdt.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,d,https://i.imgur.com/Yoz7Zph.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,d,https://i.imgur.com/UOKM15U.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
106,c,https://i.imgur.com/fI2lKjC.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,a,https://i.imgur.com/KzZse47.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
108,a,https://i.imgur.com/LGcjN3G.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
109,c,https://i.imgur.com/wnlw9gs.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
110,d,https://i.imgur.com/YAG9xJ6.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
111,d,https://i.imgur.com/h1h8c7X.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
112,a,https://i.imgur.com/kJxuNYU.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
113,c,https://i.imgur.com/c6vmc7u.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
114,a,https://i.imgur.com/h0usbHM.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
116,c,https://i.imgur.com/4I6Zljy.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
117,d,https://i.imgur.com/FIv3SvY.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
118,a,https://i.imgur.com/8sELk2Q.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
119,d,https://i.imgur.com/Z0lhv0v.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
120,d,https://i.imgur.com/G2MLigq.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
121,b,https://i.imgur.com/HhJ4UFZ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
122,c,https://i.imgur.com/hjbvuOO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
123,b,https://i.imgur.com/cAQJ0R5.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
124,c,https://i.imgur.com/2wzt9ZL.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
125,d,https://i.imgur.com/or4XYLW.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
126,c,https://i.imgur.com/FQGtbfy.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
127,c,https://i.imgur.com/0bpX534.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
128,b,https://i.imgur.com/quxjEx5.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
129,c,https://i.imgur.com/jJveKAO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
130,b,https://i.imgur.com/KJIHyPT.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
132,c,https://i.imgur.com/yNotCG4.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
133,a,https://i.imgur.com/yBMzESL.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
134,a,https://i.imgur.com/3D4Cf04.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
135,d,https://i.imgur.com/agSia0l.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
136,a,https://i.imgur.com/GJvvC3R.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
137,d,https://i.imgur.com/5YfhxHo.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
138,c,https://i.imgur.com/A2GMQBO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
139,d,https://i.imgur.com/SAwtola.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
140,a,https://i.imgur.com/8OxVpOC.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
141,a,https://i.imgur.com/UfEQiZr.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
142,b,https://i.imgur.com/rsTN6i0.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
143,a,https://i.imgur.com/jrP70XO.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
144,d,https://i.imgur.com/MKurIVM.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
145,a,https://i.imgur.com/97LnHDX.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
146,a,https://i.imgur.com/OPFpMud.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
147,a,https://i.imgur.com/UYNMOgT.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
148,d,https://i.imgur.com/UJNKTeT.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
149,a,https://i.imgur.com/AU5ox4z.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
150,d,https://i.imgur.com/TwxgErA.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
151,d,https://i.imgur.com/thKapEh.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
152,c,https://i.imgur.com/uD1wgRo.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
153,b,https://i.imgur.com/VHfJMVN.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
154,d,https://i.imgur.com/ePNNpgC.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
155,a,https://i.imgur.com/lXD9uTs.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
156,d,https://i.imgur.com/ioY1Ofo.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
157,d,https://i.imgur.com/2OTR2w8.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
158,b,https://i.imgur.com/Nb6OW4L.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
159,b,https://i.imgur.com/PXLAUvq.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
160,b,https://i.imgur.com/Y3xaluF.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
162,c,https://i.imgur.com/GtywOHz.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
163,d,https://i.imgur.com/hvnQqMh.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
164,a,https://i.imgur.com/V3gYPkA.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
165,d,https://i.imgur.com/fZffW6J.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
166,c,https://i.imgur.com/V5oVmOu.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
167,b,https://i.imgur.com/neqZozv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
168,b,https://i.imgur.com/778i0ZE.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
169,b,https://i.imgur.com/w42E8aR.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
170,b,https://i.imgur.com/qXMBrpD.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
175,d,https://i.imgur.com/WcvxaKL.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
176,d,https://i.imgur.com/S4dyAez.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
177,b,https://i.imgur.com/GrBpfmc.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
178,a,https://i.imgur.com/ZaUOoRI.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
179,c,https://i.imgur.com/j76FKa6.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
180,b,https://i.imgur.com/JVAXy1L.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
181,c,https://i.imgur.com/oFuRU7k.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
182,b,https://i.imgur.com/ToYprmj.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
183,b,https://i.imgur.com/wToTPcY.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
184,b,https://i.imgur.com/zEPJWu6.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
185,b,https://i.imgur.com/iWBE1vi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
186,c,https://i.imgur.com/1y7Rdo1.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
187,a,https://i.imgur.com/ZP2KTj2.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
188,c,https://i.imgur.com/8h4A7m9.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
189,a,https://i.imgur.com/RqhZpJq.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
190,a,https://i.imgur.com/RWmIBhT.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
191,d,https://i.imgur.com/EeSZcBZ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
192,d,https://i.imgur.com/VVSmes0.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
193,d,https://i.imgur.com/nvL6IRi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
195,a,https://i.imgur.com/qk0WjCi.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
196,a,https://i.imgur.com/xrGYpcL.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
197,a,https://i.imgur.com/Wmk8YsH.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
198,b,https://i.imgur.com/YdwcTGk.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
199,b,https://i.imgur.com/CCkYnLe.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
200,a,https://i.imgur.com/rdtTpUs.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
201,c,https://i.imgur.com/wREjjgH.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
202,c,https://i.imgur.com/YWWyPyx.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
203,a,https://i.imgur.com/Pns8YRK.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
227,c,https://i.imgur.com/bcqWZDb.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
228,a,https://i.imgur.com/Lz9D6Pq.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
229,d,https://i.imgur.com/kuTAp39.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
230,b,https://i.imgur.com/8A6KY1o.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
231,a,https://i.imgur.com/rKW7pFF.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
232,a,https://i.imgur.com/U5dFrKA.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
233,c,https://i.imgur.com/jEiauCv.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
234,b,https://i.imgur.com/6ChjbSQ.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
235,b,https://i.imgur.com/IGAEV0o.png,locopilot_electrical,A,B,C,D,19.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
