SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
16,C,https://i.imgur.com/aSCuvHG.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
17,B,https://i.imgur.com/GH3SUHN.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,A,https://i.imgur.com/c6DLLYD.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,B,https://i.imgur.com/n9d2IRs.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
20,C,https://i.imgur.com/Itaog17.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,B,https://i.imgur.com/1ODJfez.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,D,https://i.imgur.com/MI4PZrF.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,A,https://i.imgur.com/IvBJPft.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,A,https://i.imgur.com/xsvfQQj.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,B,https://i.imgur.com/oIZL9mW.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/w2ZCasZ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,C,https://i.imgur.com/WvGofoP.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,B,https://i.imgur.com/CCARzEJ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,C,https://i.imgur.com/RCfm4UL.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/MTbIKY7.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,B,https://i.imgur.com/nvUavQg.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,B,https://i.imgur.com/ujibN4S.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,C,https://i.imgur.com/OMExvy1.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
34,D,https://i.imgur.com/N6Uro4x.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,B,https://i.imgur.com/Uu2FN0q.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,A,https://i.imgur.com/3ecD4Dw.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,A,https://i.imgur.com/j4BW7Zx.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,A,https://i.imgur.com/F3I86Nh.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,A,https://i.imgur.com/fPoirMJ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,A,https://i.imgur.com/RLAyzJh.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,B,https://i.imgur.com/fpGfSo1.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
42,B,https://i.imgur.com/fOJOpg6.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,A,https://i.imgur.com/0Tg3vD2.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,D,https://i.imgur.com/9EAzLWF.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,A,https://i.imgur.com/3myEOav.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,B,https://i.imgur.com/wcSB4WF.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,A,https://i.imgur.com/XVwsG5E.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,B,https://i.imgur.com/R5e7PEB.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,D,https://i.imgur.com/2RMeNS7.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,C,https://i.imgur.com/gVZzijR.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,A,https://i.imgur.com/n3ZAYGB.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,B,https://i.imgur.com/qBSIpiB.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,A,https://i.imgur.com/vn3i6IM.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,C,https://i.imgur.com/aHL2qMO.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,D,https://i.imgur.com/34Yupow.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,B,https://i.imgur.com/FyF3NuA.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,D,https://i.imgur.com/916MwQZ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,B,https://i.imgur.com/AmAhn0o.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,B,https://i.imgur.com/4DZjITi.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,B,https://i.imgur.com/e13SWBx.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,C,https://i.imgur.com/nkZDwJ9.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,C,https://i.imgur.com/rziGXEn.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,B,https://i.imgur.com/JxKLoez.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,D,https://i.imgur.com/Qm4U91D.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,B,https://i.imgur.com/evleL5o.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,D,https://i.imgur.com/w7yVpDL.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/sWAGtRU.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,A,https://i.imgur.com/gPvgyUV.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,A,https://i.imgur.com/5Xw6s61.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,C,https://i.imgur.com/Q34kCBo.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,B,https://i.imgur.com/QVegVnp.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,A,https://i.imgur.com/Gq8s1rV.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,B,https://i.imgur.com/72GI2Ky.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,B,https://i.imgur.com/xHVKdaQ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,D,https://i.imgur.com/qw1Tpqd.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,D,https://i.imgur.com/8hsoZzF.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,C,https://i.imgur.com/ADH7LE5.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,A,https://i.imgur.com/kTxi4A2.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,C,https://i.imgur.com/tQnrnq4.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,C,https://i.imgur.com/pOhKPjV.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,B,https://i.imgur.com/jEuUKMQ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,A,https://i.imgur.com/eURMBdQ.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,B,https://i.imgur.com/zU1SEOt.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,D,https://i.imgur.com/Ucg0sN7.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,B,https://i.imgur.com/8H9gKbR.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,D,https://i.imgur.com/2WlwXHc.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,A,https://i.imgur.com/T0tTJ6m.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,A,https://i.imgur.com/mwIAXid.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,C,https://i.imgur.com/kHBRC83.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,C,https://i.imgur.com/JgFGy3y.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,B,https://i.imgur.com/nleHwhG.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,C,https://i.imgur.com/Fv1UUIa.png,locopilot_electrical,A,B,C,D,3.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
