,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
17,b,https://i.imgur.com/WC6slLM.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
18,c,https://i.imgur.com/QTN2PZ9.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
19,d,https://i.imgur.com/bewPfTa.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
21,d,https://i.imgur.com/980OpWA.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
22,c,https://i.imgur.com/GUL9DLi.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
23,c,https://i.imgur.com/brBfTXC.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,a,https://i.imgur.com/VuoqLc6.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,b,https://i.imgur.com/WsMnVqq.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,b,https://i.imgur.com/ArCoMb1.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,a,https://i.imgur.com/d9luDf9.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,c,https://i.imgur.com/QLvHWj6.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,c,https://i.imgur.com/NN1clM7.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,a,https://i.imgur.com/A6udnbO.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,c,https://i.imgur.com/FFv7XM7.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,b,https://i.imgur.com/9116Jqn.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,d,https://i.imgur.com/mYDcXHK.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,a,https://i.imgur.com/QruGSxN.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,d,https://i.imgur.com/fg2HUQB.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,b,https://i.imgur.com/vx3XLqb.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,c,https://i.imgur.com/moCnnOT.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,c,https://i.imgur.com/XzAqgXb.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,c,https://i.imgur.com/CV9l49i.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
52,b,https://i.imgur.com/vNJVY8D.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,d,https://i.imgur.com/92spDt3.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,b,https://i.imgur.com/zpjrbhd.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,b,https://i.imgur.com/DGCL9IN.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,a,https://i.imgur.com/4wa9Db0.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,a,https://i.imgur.com/L0uEMNe.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,b,https://i.imgur.com/YAbJ0mF.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,d,https://i.imgur.com/bYJoWW8.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,a,https://i.imgur.com/wfbd3u2.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,a,https://i.imgur.com/X4w2Wjb.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,a,https://i.imgur.com/07eA8Dt.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,c,https://i.imgur.com/4yJbMjC.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,a,https://i.imgur.com/GRFa4N9.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,d,https://i.imgur.com/LjuoIjs.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,b,https://i.imgur.com/uxCDrjq.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,b,https://i.imgur.com/X06UK7d.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,c,https://i.imgur.com/D9Sn33f.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,d,https://i.imgur.com/XGxQw6u.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,b,https://i.imgur.com/QmZSn3P.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,b,https://i.imgur.com/bqOCGYZ.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,b,https://i.imgur.com/0TtYl5n.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,c,https://i.imgur.com/2Ah2GT7.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,c,https://i.imgur.com/xmSzXPy.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,a,https://i.imgur.com/xtpxW9Q.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,d,https://i.imgur.com/LhtXlSX.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,c,https://i.imgur.com/DC0Tpl1.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,a,https://i.imgur.com/AyVdmFK.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,d,https://i.imgur.com/iHl9NKU.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,a,https://i.imgur.com/A8h41YS.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,b,https://i.imgur.com/6HgxhMX.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,a,https://i.imgur.com/Rrn6Xh5.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,b,https://i.imgur.com/L8npuCA.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,c,https://i.imgur.com/NhtVAx8.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,a,https://i.imgur.com/ivDcyjs.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,d,https://i.imgur.com/OyV017D.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,d,https://i.imgur.com/yDu46os.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,a,https://i.imgur.com/S7RQmjt.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,a,https://i.imgur.com/TWk8ukV.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,b,https://i.imgur.com/l28GfPl.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,d,https://i.imgur.com/oY7rL3S.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,a,https://i.imgur.com/wvdZyW5.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,d,https://i.imgur.com/Fw9HuE0.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,c,https://i.imgur.com/ThWSMvA.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,b,https://i.imgur.com/6GybZJP.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,a,https://i.imgur.com/nXadYH4.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,d,https://i.imgur.com/numZ4dd.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,a,https://i.imgur.com/frBClbQ.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
106,a,https://i.imgur.com/cWtH8BE.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,b,https://i.imgur.com/uhBGurO.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
108,c,https://i.imgur.com/ofySLVy.png,locopilot_electrical,A,B,C,D,11.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
