SL.NO.,correct,QuestionLink,sectionType,optA,optB,optC,optD,category,usedFor,lang,source
23,D,https://i.imgur.com/AGE3B8T.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
24,B,https://i.imgur.com/HYpC4Rb.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
25,C,https://i.imgur.com/FNdDnBu.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
26,B,https://i.imgur.com/tEEkzJG.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
27,A,https://i.imgur.com/znfX3WK.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
28,D,https://i.imgur.com/wX1uQv0.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
29,C,https://i.imgur.com/k5UZXkF.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
30,A,https://i.imgur.com/lpbjwXe.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
31,A,https://i.imgur.com/3sppyao.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
32,C,https://i.imgur.com/XNieBjq.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
33,A,https://i.imgur.com/sdEunY4.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
35,A,https://i.imgur.com/QNl07GT.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
36,A,https://i.imgur.com/guOmC7W.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
37,B,https://i.imgur.com/YFLJyTZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
38,C,https://i.imgur.com/YaWXqin.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
39,B,https://i.imgur.com/IdNHhtY.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
40,C,https://i.imgur.com/ZcJ73pH.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
41,A,https://i.imgur.com/bTWbJZj.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
43,C,https://i.imgur.com/iCtsyjZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
44,D,https://i.imgur.com/CR8JvKq.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
45,C,https://i.imgur.com/77Uujor.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
46,B,https://i.imgur.com/J3uE7pU.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
47,C,https://i.imgur.com/9Qqho9c.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
48,B,https://i.imgur.com/1MS3Yah.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
49,B,https://i.imgur.com/LQy1AU6.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
50,B,https://i.imgur.com/4OVVRtP.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
51,C,https://i.imgur.com/bJyg571.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
53,D,https://i.imgur.com/sdQlyp2.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
54,A,https://i.imgur.com/LizgQLL.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
55,B,https://i.imgur.com/qZG0qaj.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
56,B,https://i.imgur.com/5vecEdj.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
57,D,https://i.imgur.com/hV5T74C.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
58,D,https://i.imgur.com/VuXHSNR.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
59,B,https://i.imgur.com/Rkm5GNd.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
60,C,https://i.imgur.com/VUy7EBR.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
61,D,https://i.imgur.com/5BYonEN.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
62,B,https://i.imgur.com/lKIKQgv.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
63,B,https://i.imgur.com/2bdF35d.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
64,B,https://i.imgur.com/SzasSy1.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
65,A,https://i.imgur.com/hVBEvbb.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
66,A,https://i.imgur.com/gqJLpMo.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
67,B,https://i.imgur.com/MMNS8O9.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
68,C,https://i.imgur.com/sD2RrSZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
69,A,https://i.imgur.com/EMokfg7.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
70,B,https://i.imgur.com/A78XyRW.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
71,D,https://i.imgur.com/UDDcOPa.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
72,B,https://i.imgur.com/wD6AVi3.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
73,A,https://i.imgur.com/hQ7Zopa.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
74,C,https://i.imgur.com/3BB85pm.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
75,B,https://i.imgur.com/1becF5I.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
76,D,https://i.imgur.com/BLXwn6l.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
77,D,https://i.imgur.com/48W45Qe.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
78,A,https://i.imgur.com/reBQoGv.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
79,B,https://i.imgur.com/4xJCe38.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
80,B,https://i.imgur.com/W0a8Ee4.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
81,A,https://i.imgur.com/fVF6a1a.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
82,B,https://i.imgur.com/rJQnghy.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
83,D,https://i.imgur.com/Wm9iQTg.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
84,C,https://i.imgur.com/W6gTXrL.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
85,A,https://i.imgur.com/Lz8AY2w.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
86,C,https://i.imgur.com/qymE6cI.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
87,A,https://i.imgur.com/FRs4Xyp.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
88,B,https://i.imgur.com/nxw9RqE.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
89,A,https://i.imgur.com/xvKniqm.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
90,B,https://i.imgur.com/xABvncj.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
91,C,https://i.imgur.com/MhKxqgZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
92,A,https://i.imgur.com/ppxaseN.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
93,C,https://i.imgur.com/JtjQne9.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
94,A,https://i.imgur.com/eUb1K1n.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
95,B,https://i.imgur.com/z6vghix.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
96,B,https://i.imgur.com/HDtsHEK.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
97,D,https://i.imgur.com/5xlI6HV.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
98,A,https://i.imgur.com/J8cY3Ul.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
99,B,https://i.imgur.com/WSpoJ6R.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
100,D,https://i.imgur.com/sHMdQYu.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
101,A,https://i.imgur.com/kJf3MTA.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
102,D,https://i.imgur.com/oL7BJbP.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
103,D,https://i.imgur.com/2C3gJqv.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
104,D,https://i.imgur.com/xKqNFr5.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
105,B,https://i.imgur.com/XwrX1Oy.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
106,A,https://i.imgur.com/dha9TqC.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
107,C,https://i.imgur.com/8s6LKTg.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
108,B,https://i.imgur.com/nBWn34l.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
109,C,https://i.imgur.com/XN7s8rB.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
111,A,https://i.imgur.com/QpZlZya.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
112,B,https://i.imgur.com/dNaLg5e.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
113,B,https://i.imgur.com/3GMGQ5m.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
114,A,https://i.imgur.com/QO0zrcb.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
115,B,https://i.imgur.com/P0mlfX2.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
116,C,https://i.imgur.com/YKNG4Wb.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
117,D,https://i.imgur.com/fUN0p4m.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
118,B,https://i.imgur.com/Lhz7QGU.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
119,B,https://i.imgur.com/Uwsrd7g.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
120,B,https://i.imgur.com/1yzsw2Y.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
121,A,https://i.imgur.com/s8d7EE8.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
122,B,https://i.imgur.com/gI5a7nE.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
123,B,https://i.imgur.com/8amwUXg.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
124,D,https://i.imgur.com/JA2q3V1.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
125,B,https://i.imgur.com/V9wXpDF.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
126,C,https://i.imgur.com/gAt6Amy.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
127,B,https://i.imgur.com/GpVoItj.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
129,B,https://i.imgur.com/xp9TDBN.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
130,C,https://i.imgur.com/ArAd256.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
131,D,https://i.imgur.com/KXOT6HV.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
132,B,https://i.imgur.com/X6LA0wF.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
133,A,https://i.imgur.com/77UZ4MI.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
134,D,https://i.imgur.com/4NLr3Eh.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
135,B,https://i.imgur.com/HpmC7aZ.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
136,C,https://i.imgur.com/ZhIZhjc.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
137,C,https://i.imgur.com/gYkdZWM.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
138,A,https://i.imgur.com/fgsKvJk.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
139,A,https://i.imgur.com/dTdLOef.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
141,A,https://i.imgur.com/CVYYcSk.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
142,D,https://i.imgur.com/vvHPkiE.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
143,B,https://i.imgur.com/PmybxhG.png,locopilot_electrical,A,B,C,D,6.1,LOCOPILOT_ELECTRICAL,Hindi,JEN
