sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
30,d,https://i.imgur.com/68hUJoI.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
31,d,https://i.imgur.com/QNQtNtV.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
32,d,https://i.imgur.com/Wr8sDDm.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
33,b,https://i.imgur.com/XYlmOig.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
34,a,https://i.imgur.com/fMEhvuW.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
35,a,https://i.imgur.com/F91cUkS.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
36,c,https://i.imgur.com/OnF4AqU.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
37,d,https://i.imgur.com/TTX1qki.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
38,c,https://i.imgur.com/GjG2S0X.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
40,d,https://i.imgur.com/5ULqprq.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
41,b,https://i.imgur.com/tMAOB4F.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
42,a,https://i.imgur.com/uYRruBd.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
43,b,https://i.imgur.com/wmutFAu.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
44,a,https://i.imgur.com/QohhlD8.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
45,c,https://i.imgur.com/0nac08J.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
46,c,https://i.imgur.com/BrNsFvu.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
47,b,https://i.imgur.com/YwWmnOM.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
48,b,https://i.imgur.com/YYyI2jB.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
49,a,https://i.imgur.com/S87Czsi.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
50,a,https://i.imgur.com/n4XQ74j.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
51,d,https://i.imgur.com/0zR2Brk.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
52,b,https://i.imgur.com/A9sNP8o.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
53,a,https://i.imgur.com/9jppi3Z.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
54,a,https://i.imgur.com/1N251vd.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
55,a,https://i.imgur.com/Q6qZUYY.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
57,d,https://i.imgur.com/3thQQWu.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
58,a,https://i.imgur.com/p73ErlI.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
59,c,https://i.imgur.com/9TCkggy.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
60,b,https://i.imgur.com/kmc8pQr.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
61,b,https://i.imgur.com/5SuyvHL.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
62,c,https://i.imgur.com/IQFupm9.png,loco_civil,A,B,C,D,2.2,loco_civil,bi,JEN
