sl.no.,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
27,d,https://i.imgur.com/qUa9qop.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
28,c,https://i.imgur.com/E7Njpqk.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
30,b,https://i.imgur.com/b7rQJlc.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
31,d,https://i.imgur.com/kKFejqg.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
32,a,https://i.imgur.com/rAF9CpS.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
33,b,https://i.imgur.com/KV5ENVc.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
34,c,https://i.imgur.com/MOFRZcE.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
35,c,https://i.imgur.com/6F2RqVA.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
36,c,https://i.imgur.com/2GnEhu2.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
37,b,https://i.imgur.com/gOi445n.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
39,c,https://i.imgur.com/w5Z5JHb.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
40,d,https://i.imgur.com/AsqXcJD.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
42,a,https://i.imgur.com/8o3uPZM.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
43,a,https://i.imgur.com/ogyTbb4.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
44,a,https://i.imgur.com/MtmUoq7.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
45,a,https://i.imgur.com/o87CepI.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
46,c,https://i.imgur.com/kteJYKz.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
47,a,https://i.imgur.com/O1p70z6.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
48,d,https://i.imgur.com/8FxyQjz.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
49,c,https://i.imgur.com/OaS2yTl.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
50,a,https://i.imgur.com/UkwH3em.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
51,c,https://i.imgur.com/8IBhNpZ.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
52,b,https://i.imgur.com/w0LzjWX.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
53,c,https://i.imgur.com/nrx9Npq.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
54,d,https://i.imgur.com/P80lszH.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
55,a,https://i.imgur.com/jGCz3Ie.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
56,c,https://i.imgur.com/1TDD6Zu.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
57,b,https://i.imgur.com/4ZB4SaF.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
58,b,https://i.imgur.com/lFbciWL.png,loco_civil,A,B,C,D,2.4,loco_civil,bi,JEN
