sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,source,name
12,1,https://i.imgur.com/TbxkzXa.png,,2,https://i.imgur.com/SvVpbcy.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,1,https://i.imgur.com/LS9jB05.png,,"4, 1",https://i.imgur.com/JOEkywS.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,4,https://i.imgur.com/z87JD3h.png,,"4, 3",https://i.imgur.com/zrxq1md.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,3,https://i.imgur.com/c4YMsox.png,,"4, 3",https://i.imgur.com/Ds5kZSO.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,3,https://i.imgur.com/pGPh53a.png,,"4, 3",https://i.imgur.com/ri3VgW2.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/ohIevfN.png,,"4, 3",https://i.imgur.com/GLsp1lY.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/JqxBkZn.png,,"4, 3",https://i.imgur.com/T1WfbCE.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,4,https://i.imgur.com/zXhNhmQ.png,,"4, 3",https://i.imgur.com/EzTexyy.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,4,https://i.imgur.com/KjEplCM.png,,3,https://i.imgur.com/Hkqr3QI.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,2,https://i.imgur.com/RDwib1L.png,,"4, 3",https://i.imgur.com/4RHCqZh.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,1,https://i.imgur.com/axP3WiO.png,,3,https://i.imgur.com/ENC0GuZ.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,3,https://i.imgur.com/XAV4Uwk.png,,"4, 3",https://i.imgur.com/18YGhyK.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/CTVI6AL.png,,3,https://i.imgur.com/9RaeC2a.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,3,https://i.imgur.com/pK1JNUU.png,,"4, 3",https://i.imgur.com/9BiKTkB.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,2,https://i.imgur.com/T4xVnRe.png,,solve equations,https://i.imgur.com/FS29xJ4.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,2,https://i.imgur.com/MQK0MHl.png,,"4, 3",https://i.imgur.com/h3PuSEV.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,3,https://i.imgur.com/UxOkfGO.png,,3,https://i.imgur.com/6vAcq72.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,3,https://i.imgur.com/Q27Jz7l.png,,3,https://i.imgur.com/hpnupGy.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
2,1,https://i.imgur.com/HEBEFPn.png,,3,https://i.imgur.com/f5rc9Fs.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
3,4,https://i.imgur.com/k7qlUwt.png,,"4, 3",https://i.imgur.com/wheQsrq.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
4,2,https://i.imgur.com/tn9b1q5.png,,3,https://i.imgur.com/HTOrRzO.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
5,1,https://i.imgur.com/h9pMwX0.png,,1,https://i.imgur.com/jfXsrhc.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
6,2,https://i.imgur.com/FxgNgdr.png,,5(b),https://i.imgur.com/DZob6Oi.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
7,3,https://i.imgur.com/xXBdXfJ.png,,1,https://i.imgur.com/7VidhV8.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
9,1,https://i.imgur.com/gpQNTtz.png,,"4, 1",https://i.imgur.com/2pu6KPN.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
10,1,https://i.imgur.com/PD2zl0X.png,,"4, 3",https://i.imgur.com/4Dsx1Ft.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
11,3,https://i.imgur.com/t4eyPxI.png,,"4, 3",https://i.imgur.com/L0VWtzV.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
12,1,https://i.imgur.com/35h0or2.png,,4,https://i.imgur.com/9mH83nQ.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
13,4,https://i.imgur.com/gL3K0t3.png,,4,https://i.imgur.com/EFMuOQj.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
14,4,https://i.imgur.com/WYlSC5J.png,,from options,https://i.imgur.com/qqSGWem.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
16,3,https://i.imgur.com/UyGNrKr.png,,4,https://i.imgur.com/AlesPJG.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
17,1,https://i.imgur.com/uJgD0OJ.png,,1,https://i.imgur.com/GlvI7IB.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
18,3,https://i.imgur.com/Z55DAoM.png,,2,https://i.imgur.com/0X8QU93.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
19,1,https://i.imgur.com/vBDklkG.png,,1,https://i.imgur.com/sKCsyYk.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
20,2,https://i.imgur.com/RbCWom5.png,,1,https://i.imgur.com/xSwKZMs.png,Maths,A,B,C,D,,8.1,ssc,Bi ,Kiran Maths,LCM And HCF
1,1,https://i.imgur.com/4vFBqbR.png,,2,https://i.imgur.com/fbYWuGq.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,4,https://i.imgur.com/m4ElgfG.png,,2,https://i.imgur.com/ueFc8Wu.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,2,https://i.imgur.com/iUB88KQ.png,,"3, 10",https://i.imgur.com/JvcnTOt.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,4,https://i.imgur.com/TQzmDcC.png,,1,https://i.imgur.com/7cDDxSr.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,4,https://i.imgur.com/JU2hjBr.png,,2,https://i.imgur.com/p3ciouG.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,2,https://i.imgur.com/WUVw2Xd.png,,4,https://i.imgur.com/DJ8JvV4.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,2,https://i.imgur.com/xaGlDvY.png,,1,https://i.imgur.com/ZSCE79Z.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,2,https://i.imgur.com/TyKtQor.png,,1,https://i.imgur.com/k3WMNG9.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,3,https://i.imgur.com/JbpKDbw.png,,1,https://i.imgur.com/DaOKpgw.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,2,https://i.imgur.com/zdnvXuU.png,,1,https://i.imgur.com/2LkSRW4.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,4,https://i.imgur.com/pDrk0ZV.png,,1,https://i.imgur.com/44JXoeX.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,1,https://i.imgur.com/cww1KyC.png,,5,https://i.imgur.com/m7rPRL2.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,4,https://i.imgur.com/2iu8nNy.png,,1,https://i.imgur.com/VnZHn2P.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,4,https://i.imgur.com/XKha03g.png,,1,https://i.imgur.com/esK9Z2b.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,4,https://i.imgur.com/m9Pjft1.png,,1,https://i.imgur.com/kGmM98U.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
10,3,https://i.imgur.com/cl2mgq1.png,,1,https://i.imgur.com/CM3pURx.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
11,2,https://i.imgur.com/0yS0y9h.png,,1,https://i.imgur.com/3YuTeuX.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
12,4,https://i.imgur.com/RHWVyV1.png,,1,https://i.imgur.com/SCCZBxM.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
13,1,https://i.imgur.com/cGmSCdJ.png,,1,https://i.imgur.com/XsICnAh.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
14,1,https://i.imgur.com/yVFLzMZ.png,,1,https://i.imgur.com/yUYKuZn.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
15,4,https://i.imgur.com/VpJFaIk.png,,1,https://i.imgur.com/rsrHPbi.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
16,2,https://i.imgur.com/8kSWIei.png,,1,https://i.imgur.com/iqIQOYL.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
17,4,https://i.imgur.com/tiYrL6Z.png,,6,https://i.imgur.com/N1TEO1k.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
18,1,https://i.imgur.com/7AsbBfw.png,,6,https://i.imgur.com/tMera86.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
19,3,https://i.imgur.com/93QJJMi.png,,5,https://i.imgur.com/74sgD2r.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
20,1,https://i.imgur.com/TLR4me8.png,,1,https://i.imgur.com/sweG9Ol.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
21,2,https://i.imgur.com/6uofJyb.png,,6,https://i.imgur.com/nWQApDk.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
22,1,https://i.imgur.com/jQKzlqa.png,,1,https://i.imgur.com/TqUhe8p.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
24,3,https://i.imgur.com/RGRv7oY.png,,1,https://i.imgur.com/U2yKTSy.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
25,3,https://i.imgur.com/OkOuh3q.png,,5,https://i.imgur.com/FFsvFug.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
26,4,https://i.imgur.com/qDWCZrG.png,,5,https://i.imgur.com/8yQkNYA.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
27,1,https://i.imgur.com/lKyQEgG.png,,6,https://i.imgur.com/il5HSBx.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
28,4,https://i.imgur.com/wZXbTyq.png,,1,https://i.imgur.com/0flKGN2.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
29,2,https://i.imgur.com/24rYChT.png,,4,https://i.imgur.com/TFy2gVl.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
30,3,https://i.imgur.com/VTvxwN6.png,,6,https://i.imgur.com/JX8PPmU.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
31,2,https://i.imgur.com/jtdk4Xk.png,,5,https://i.imgur.com/HEb0gwu.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
32,4,https://i.imgur.com/WUTuWtC.png,,1,https://i.imgur.com/FSy9R87.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
33,3,https://i.imgur.com/28nH1vF.png,,1,https://i.imgur.com/S4h8oZk.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
34,1,https://i.imgur.com/3Da7cB0.png,,1,https://i.imgur.com/g4UW8mm.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
35,2,https://i.imgur.com/ss6M5uj.png,,1,https://i.imgur.com/xlKYu6B.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
36,3,https://i.imgur.com/dSTZnWQ.png,,5,https://i.imgur.com/r7UE9PK.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
37,2,https://i.imgur.com/6HqpRug.png,,1,https://i.imgur.com/SrIdIiG.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,3,https://i.imgur.com/Lbm5UM3.png,,1,https://i.imgur.com/SiYinBX.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,1,https://i.imgur.com/Lg6Yr0T.png,,1,https://i.imgur.com/WaDxXEf.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,2,https://i.imgur.com/6EK2M4r.png,,1,https://i.imgur.com/zXzoNwj.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,1,https://i.imgur.com/PLeMJLK.png,,1,https://i.imgur.com/iu54PfB.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,2,https://i.imgur.com/fyM1SFh.png,,1,https://i.imgur.com/A9DxmZx.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,2,https://i.imgur.com/HxTVqvy.png,,2,https://i.imgur.com/lxCDg40.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,3,https://i.imgur.com/qHFr89W.png,,1,https://i.imgur.com/8YOiYsp.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,2,https://i.imgur.com/iA3Amfb.png,,1,https://i.imgur.com/M7T9mAQ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
10,1,https://i.imgur.com/licu1Qv.png,,1,https://i.imgur.com/VYLee6g.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
11,4,https://i.imgur.com/lOKGc6E.png,,1,https://i.imgur.com/gNJZZZ0.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
12,1,https://i.imgur.com/RtQMGul.png,,1,https://i.imgur.com/VVRepQj.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
13,2,https://i.imgur.com/QkqrPC7.png,,1,https://i.imgur.com/37al6Rv.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
14,2,https://i.imgur.com/tRomhNY.png,,1,https://i.imgur.com/s1L0vvw.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
15,2,https://i.imgur.com/ELxwO9J.png,,1,https://i.imgur.com/oFNPIb9.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
16,2,https://i.imgur.com/MvNoK3K.png,,1,https://i.imgur.com/ClnLSyc.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
17,2,https://i.imgur.com/11XylL9.png,,1,https://i.imgur.com/RnYzaT9.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
18,2,https://i.imgur.com/RMJ7oNA.png,,1,https://i.imgur.com/7R1mjNJ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
19,2,https://i.imgur.com/Ym9kUP0.png,,1,https://i.imgur.com/NT3fE3Z.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
21,4,https://i.imgur.com/jh36Skt.png,,1,https://i.imgur.com/VHLeqsr.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,3,https://i.imgur.com/tCKq1Ei.png,,2,https://i.imgur.com/WRzLpPB.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,3,https://i.imgur.com/IRqTMVS.png,,2,https://i.imgur.com/SBz9EHL.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,1,https://i.imgur.com/WZOPLCR.png,,2,https://i.imgur.com/pkVVzeS.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,1,https://i.imgur.com/Eyr0OEr.png,,1,https://i.imgur.com/YQXdFIQ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,2,https://i.imgur.com/kEo6C0r.png,,1,https://i.imgur.com/4h8ykUS.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,2,https://i.imgur.com/c5YSYJz.png,,1,https://i.imgur.com/iKuxLfn.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,2,https://i.imgur.com/p97kWJA.png,,1,https://i.imgur.com/5wd9W32.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,3,https://i.imgur.com/5r6pcXO.png,,1,https://i.imgur.com/8xIbGpy.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,4,https://i.imgur.com/iudcah5.png,,5,https://i.imgur.com/dZ7Av4F.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,1,https://i.imgur.com/e9Qw6Yn.png,,1,https://i.imgur.com/N2M4mRA.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,2,https://i.imgur.com/fucsgCZ.png,,1,https://i.imgur.com/VwVLuLQ.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,3,https://i.imgur.com/Pzwj7Wa.png,,5,https://i.imgur.com/vPEVkgk.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
10,2,https://i.imgur.com/YK3EbmX.png,,5,https://i.imgur.com/fOKFN6t.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
11,3,https://i.imgur.com/idyIWNb.png,,1,https://i.imgur.com/078AEer.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
12,2,https://i.imgur.com/o4lHnjE.png,,1,https://i.imgur.com/Szh7eU6.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
13,4,https://i.imgur.com/mzuCtcb.png,,1,https://i.imgur.com/tZvl9Kn.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,3,https://i.imgur.com/8bsE4oi.png,,9,https://i.imgur.com/SDmLm5P.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,3,https://i.imgur.com/LzbSzI7.png,,9,https://i.imgur.com/lCX7Lju.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,4,https://i.imgur.com/QwP3MjE.png,,8,https://i.imgur.com/2o5jqJN.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
4,3,https://i.imgur.com/kAGUPrD.png,,8,https://i.imgur.com/GdZznk2.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
5,4,https://i.imgur.com/lrhmF3C.png,,7,https://i.imgur.com/gAb58EG.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
6,3,https://i.imgur.com/T2LyUHz.png,,1,https://i.imgur.com/fFrlcHk.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
7,4,https://i.imgur.com/ESMTAdf.png,,7,https://i.imgur.com/kUYbc35.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
8,2,https://i.imgur.com/OGt6M9U.png,,7,https://i.imgur.com/vcp1gJ6.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
9,4,https://i.imgur.com/I75hD2Y.png,,1,https://i.imgur.com/MN1HANW.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
1,2,https://i.imgur.com/Lb3fjhm.png,,1,https://i.imgur.com/2ZtSvwC.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
2,1,https://i.imgur.com/Dn9ZrXF.png,,1,https://i.imgur.com/2BbMMuf.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
3,2,https://i.imgur.com/7VGQfsy.png,,1,https://i.imgur.com/8JrzMvl.png,Maths,A,B,C,D,,9.1,ssc,Bi,Kiran Maths,Number System
