sl.no.,correct,QuestionLink,direction,explanation,sectionType,optA,optB,optC,optD,category,usedFor,lang,sources
22,a,https://i.imgur.com/6Zlss5i.png,,https://i.imgur.com/8JrhndU.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
23,b,https://i.imgur.com/YiErLNf.png,https://i.imgur.com/SsUor40.png,https://i.imgur.com/RTslGkD.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
24,c,https://i.imgur.com/qfcfG1f.png,https://i.imgur.com/SsUor40.png,https://i.imgur.com/dc9DJcX.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
25,d,https://i.imgur.com/NjVBHTP.png,https://i.imgur.com/SsUor40.png,https://i.imgur.com/eRGIcIn.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
26,d,https://i.imgur.com/Nxc6hKd.png,,https://i.imgur.com/up9xyoK.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
27,c,https://i.imgur.com/nGBT8CO.png,,https://i.imgur.com/LYuvhdQ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
29,b,https://i.imgur.com/PlKnFmH.png,,https://i.imgur.com/z68nSJr.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
30,d,https://i.imgur.com/h6OIpp1.png,,https://i.imgur.com/EpQHjC5.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
31,a,https://i.imgur.com/S8HcvOZ.png,,https://i.imgur.com/Ix26CyA.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
32,b,https://i.imgur.com/aE8s2Ru.png,,https://i.imgur.com/oUXi6r1.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
33,c,https://i.imgur.com/trexOPp.png,,https://i.imgur.com/e8iE8GF.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
34,d,https://i.imgur.com/byFet4h.png,,https://i.imgur.com/B9GCjr2.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
35,c,https://i.imgur.com/ttxcMI1.png,,https://i.imgur.com/RlZbGrT.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
36,b,https://i.imgur.com/IhCxrJr.png,,https://i.imgur.com/V7QjiXY.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
37,d,https://i.imgur.com/MvglX2P.png,,https://i.imgur.com/0npwoIP.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
39,b,https://i.imgur.com/ah2Xxbg.png,,https://i.imgur.com/xzQdRlj.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
40,b,https://i.imgur.com/EZe6cLb.png,,https://i.imgur.com/bzyHnTY.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
41,a,https://i.imgur.com/git6p4F.png,,https://i.imgur.com/KOqeBl8.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
42,a,https://i.imgur.com/zhELNkN.png,,https://i.imgur.com/yB9EjwS.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
43,a,https://i.imgur.com/gl9Rxqa.png,,https://i.imgur.com/EzLouJX.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
44,d,https://i.imgur.com/izREC3H.png,,https://i.imgur.com/z8TvnOb.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
45,c,https://i.imgur.com/LFwMb4e.png,,https://i.imgur.com/I6sLzqe.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
46,d,https://i.imgur.com/2fD4FVl.png,,https://i.imgur.com/Gg5Jh6c.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
47,b,https://i.imgur.com/s2gRVHE.png,,https://i.imgur.com/Sywvk1O.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
48,c,https://i.imgur.com/too5oCp.png,,https://i.imgur.com/SMAH0Dc.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
49,c,https://i.imgur.com/EXUpqFJ.png,,https://i.imgur.com/yliASqd.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
50,d,https://i.imgur.com/hX6tAgm.png,,https://i.imgur.com/SDcfVQP.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
52,a,https://i.imgur.com/0pLnOsF.png,,https://i.imgur.com/Op0zlic.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
53,b,https://i.imgur.com/FTvmd1E.png,,https://i.imgur.com/DpPDL2A.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
54,c,https://i.imgur.com/Od2ndHW.png,,https://i.imgur.com/iNQVThy.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
55,d,https://i.imgur.com/8oUfF5y.png,,https://i.imgur.com/d98znnJ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
56,b,https://i.imgur.com/SnU2C1j.png,,https://i.imgur.com/kVCbjQC.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
57,a,https://i.imgur.com/QO6vvxQ.png,,https://i.imgur.com/h67gypj.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
58,b,https://i.imgur.com/ShWKPys.png,,https://i.imgur.com/eDpMxXO.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
59,d,https://i.imgur.com/3Tc1Ap3.png,,https://i.imgur.com/K2bd2HG.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
60,d,https://i.imgur.com/MVMu4Gm.png,,https://i.imgur.com/vrFwgjU.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
61,a,https://i.imgur.com/N1Zq8PB.png,,https://i.imgur.com/NDWMfP4.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
66,b,https://i.imgur.com/3KLRBPb.png,,https://i.imgur.com/WyykRwh.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
67,a,https://i.imgur.com/iju1yxI.png,https://i.imgur.com/Wnp3BIw.png,https://i.imgur.com/nhEuzVG.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
68,c,https://i.imgur.com/QZsYR8g.png,https://i.imgur.com/Wnp3BIw.png,https://i.imgur.com/1CvtEXQ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
69,c,https://i.imgur.com/ooQhrIH.png,,https://i.imgur.com/W9ntHIN.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
71,a,https://i.imgur.com/SLlb2c8.png,,https://i.imgur.com/Vc2VV3x.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
72,d,https://i.imgur.com/ClxgZx5.png,,https://i.imgur.com/GKioatl.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
74,b,https://i.imgur.com/uKyCOHz.png,,https://i.imgur.com/thk6k4G.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
75,a,https://i.imgur.com/fJTPGER.png,,https://i.imgur.com/mGYDIez.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
76,b,https://i.imgur.com/1b7x7fc.png,,https://i.imgur.com/wND8Gar.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
77,d,https://i.imgur.com/WINeiUs.png,,https://i.imgur.com/jgNhEeM.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
78,a,https://i.imgur.com/MFkPNnX.png,,https://i.imgur.com/aOjurn8.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
79,a,https://i.imgur.com/JCaiHgW.png,,https://i.imgur.com/xX9A4tr.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
80,b,https://i.imgur.com/K7Oay1s.png,,https://i.imgur.com/csj9YOW.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
81,c,https://i.imgur.com/7YodouO.png,,https://i.imgur.com/MTuAEhJ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
82,b,https://i.imgur.com/vrSjgbA.png,,https://i.imgur.com/UPDf3lv.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
83,c,https://i.imgur.com/v0Er4B1.png,,https://i.imgur.com/QaMS3DY.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
84,c,https://i.imgur.com/4uPFVjy.png,,https://i.imgur.com/QZmHkCG.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
85,c,https://i.imgur.com/dtOKLqE.png,,https://i.imgur.com/PdVor9t.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
86,a,https://i.imgur.com/bQv3hN1.png,,https://i.imgur.com/UcJTolB.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
87,c,https://i.imgur.com/113cUiN.png,,https://i.imgur.com/Yx9ERbh.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
88,b,https://i.imgur.com/tcmlUUU.png,,https://i.imgur.com/6XcNKHe.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
89,b,https://i.imgur.com/sWW8t9t.png,,https://i.imgur.com/7fS5GSN.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
90,c,https://i.imgur.com/gomQjJN.png,,https://i.imgur.com/p0pO5jk.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
92,d,https://i.imgur.com/hAVGYcj.png,,https://i.imgur.com/TCWdFIE.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
93,a,https://i.imgur.com/zbjKXhp.png,,https://i.imgur.com/1JreHcW.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
94,c,https://i.imgur.com/6qE004U.png,,https://i.imgur.com/gNmX8gS.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
95,c,https://i.imgur.com/t28ImXU.png,,https://i.imgur.com/noVf6zg.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
96,b,https://i.imgur.com/hHJQlNn.png,,https://i.imgur.com/g12GGpI.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
100,d,https://i.imgur.com/yudEdLm.png,,https://i.imgur.com/DZUXQ2K.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
101,d,https://i.imgur.com/RtQ9ZKS.png,,https://i.imgur.com/LQG5yeh.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
102,a,https://i.imgur.com/FjQxHZK.png,,https://i.imgur.com/PB5JaFB.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
103,c,https://i.imgur.com/cJt6SdD.png,,https://i.imgur.com/GgwBwwZ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
104,b,https://i.imgur.com/GZYrTH8.png,,https://i.imgur.com/uPavNUh.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
106,d,https://i.imgur.com/fZ34yi4.png,,https://i.imgur.com/TnKPPkB.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
107,b,https://i.imgur.com/3CXisWt.png,,https://i.imgur.com/Q2VpUML.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
108,c,https://i.imgur.com/dN0hg8T.png,,https://i.imgur.com/aS55cTL.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
109,d,https://i.imgur.com/4QxQrnk.png,,https://i.imgur.com/zVoVdHW.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
110,c,https://i.imgur.com/gOzjrHb.png,,https://i.imgur.com/F2ktY9P.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
111,c,https://i.imgur.com/lkGkdgf.png,,https://i.imgur.com/fJIQaaR.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
112,c,https://i.imgur.com/coKE5SN.png,,https://i.imgur.com/bolFeXu.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
113,a,https://i.imgur.com/zE3JjRF.png,,https://i.imgur.com/NiwytGg.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
114,c,https://i.imgur.com/syIe6hb.png,,https://i.imgur.com/i14ic2p.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
116,d,https://i.imgur.com/QPFcfYb.png,,https://i.imgur.com/BpEDLdy.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
118,b,https://i.imgur.com/BGo5f1V.png,,https://i.imgur.com/rnpIaTQ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
119,b,https://i.imgur.com/Ahubhq8.png,,https://i.imgur.com/YjjnXWb.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
120,c,https://i.imgur.com/7J6gNMu.png,,https://i.imgur.com/Zf96l0i.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
121,b,https://i.imgur.com/KsiIS4X.png,,https://i.imgur.com/cf012ee.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
122,b,https://i.imgur.com/Mb5g7fd.png,,https://i.imgur.com/DatThwW.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
123,d,https://i.imgur.com/oo4CIyn.png,,https://i.imgur.com/mPWmjkN.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
125,d,https://i.imgur.com/4ShCGnX.png,,https://i.imgur.com/16AubfM.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
126,a,https://i.imgur.com/5M4gCz4.png,,https://i.imgur.com/zIO5M1o.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
127,b,https://i.imgur.com/K4SWS5W.png,,https://i.imgur.com/f5rTuqZ.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
128,d,https://i.imgur.com/SiIkSzu.png,,https://i.imgur.com/iBTHm4Q.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
129,c,https://i.imgur.com/89jthdd.png,,https://i.imgur.com/KRIHKH5.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
130,b,https://i.imgur.com/faU8Rpm.png,,https://i.imgur.com/tDKMfR8.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
131,b,https://i.imgur.com/dD9lqT5.png,,https://i.imgur.com/lDi7Sem.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
132,a,https://i.imgur.com/7ZF5xRP.png,,https://i.imgur.com/Il6OOkC.png,cat_quant,A,B,C,D,1.1,cat,Eng,arun sharma
1,a,https://i.imgur.com/4qx4IcW.png,,https://i.imgur.com/zU6sCA0.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
3,c,https://i.imgur.com/ujEFiAE.png,,https://i.imgur.com/kQ3Ctcf.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
4,b,https://i.imgur.com/HF0PFS4.png,,https://i.imgur.com/Q5txJFs.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
5,b,https://i.imgur.com/drma46l.png,,https://i.imgur.com/OB9Aszb.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
6,b,https://i.imgur.com/jL7t9cJ.png,,https://i.imgur.com/qPNsdHy.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
7,b,https://i.imgur.com/67gZr3A.png,,https://i.imgur.com/xKT09jt.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
8,d,https://i.imgur.com/uKEGE77.png,,https://i.imgur.com/Zju0zqb.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
10,c,https://i.imgur.com/YEqhpVw.png,,https://i.imgur.com/HynxKJs.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
11,d,https://i.imgur.com/FzdkF4M.png,,https://i.imgur.com/FVubIrs.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
13,d,https://i.imgur.com/5QP4Kmg.png,,https://i.imgur.com/XUDRTqF.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
14,c,https://i.imgur.com/UK946pV.png,,https://i.imgur.com/MTg1N0H.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
15,b,https://i.imgur.com/rayh8UR.png,,https://i.imgur.com/1E4E14D.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
16,d,https://i.imgur.com/4Yj3e47.png,,https://i.imgur.com/26N4SsB.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
17,a,https://i.imgur.com/Zsi1zMg.png,,https://i.imgur.com/QCkiL9O.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
18,d,https://i.imgur.com/cNaHu8o.png,,https://i.imgur.com/0CDh1QW.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
20,a,https://i.imgur.com/DczPXqL.png,,https://i.imgur.com/KJXW6pZ.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
21,a,https://i.imgur.com/9qwt9oM.png,,https://i.imgur.com/KuvJSuz.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
22,c,https://i.imgur.com/3lv7on7.png,,https://i.imgur.com/OHnv19z.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
23,b,https://i.imgur.com/KdVTQvc.png,,https://i.imgur.com/cf2bSyT.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
25,d,https://i.imgur.com/VejP2N3.png,,https://i.imgur.com/5H6zrzK.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
26,c,https://i.imgur.com/VzwYJOE.png,,https://i.imgur.com/GsUr9Tm.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
27,c,https://i.imgur.com/8fgordm.png,,https://i.imgur.com/rpxh2mS.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
29,b,https://i.imgur.com/lxRdqyD.png,,https://i.imgur.com/attRIEW.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
30,b,https://i.imgur.com/cbXlqKM.png,,https://i.imgur.com/ELeJPkE.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
31,a,https://i.imgur.com/kDPjKkj.png,,https://i.imgur.com/J4cHupx.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
32,b,https://i.imgur.com/XeJn4vq.png,,https://i.imgur.com/Eve2dQc.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
33,a,https://i.imgur.com/uKRNXJ8.png,,https://i.imgur.com/aVrvi3G.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
34,a,https://i.imgur.com/iApmmYf.png,,https://i.imgur.com/kqt8VlR.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
36,b,https://i.imgur.com/faU7UzH.png,,https://i.imgur.com/OWDHvkO.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
37,a,https://i.imgur.com/rsYsMTM.png,,https://i.imgur.com/cC3tQR2.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
38,d,https://i.imgur.com/vc47lhp.png,,https://i.imgur.com/aGxwb83.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
40,a,https://i.imgur.com/Kn0XlFU.png,,https://i.imgur.com/GGdhsw6.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
61,c,https://i.imgur.com/52BJD3G.png,,https://i.imgur.com/PhPSWg9.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
62,c,https://i.imgur.com/R4Vb11w.png,,https://i.imgur.com/eeZLbSy.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
64,a,https://i.imgur.com/0oPuUV7.png,,https://i.imgur.com/pvWwU5A.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
65,d,https://i.imgur.com/Vny4X0H.png,,https://i.imgur.com/8KTu7m6.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
66,c,https://i.imgur.com/SULlmdz.png,,https://i.imgur.com/bVwZV2p.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
67,b,https://i.imgur.com/EBx20e4.png,,https://i.imgur.com/djl2ihC.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
69,a,https://i.imgur.com/hUqYY59.png,,https://i.imgur.com/bTG3CEg.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
70,b,https://i.imgur.com/zsyyqhR.png,,https://i.imgur.com/goslii3.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
71,c,https://i.imgur.com/cVGZ2LM.png,,https://i.imgur.com/Y7BWO4P.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
72,c,https://i.imgur.com/EdpA8gu.png,,https://i.imgur.com/nvZD9V7.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
73,d,https://i.imgur.com/Dkb4Fll.png,,https://i.imgur.com/Lk2XrAN.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
74,a,https://i.imgur.com/vXKvC2L.png,,https://i.imgur.com/X07T0xm.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
75,b,https://i.imgur.com/3PrwIIv.png,,https://i.imgur.com/ijScXE5.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
76,d,https://i.imgur.com/Zb4uHQf.png,,https://i.imgur.com/sRQurrZ.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
78,b,https://i.imgur.com/0T4oEYZ.png,,https://i.imgur.com/71kTLt4.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
79,b,https://i.imgur.com/9CFba3N.png,,https://i.imgur.com/vqG0ihH.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
80,c,https://i.imgur.com/PnAkZN6.png,,https://i.imgur.com/49uJPl5.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
81,b,https://i.imgur.com/XW06kS3.png,,https://i.imgur.com/x7Pl0mi.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
82,c,https://i.imgur.com/dbXMJaB.png,,https://i.imgur.com/x4fFIaX.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
83,d,https://i.imgur.com/SEfJLFv.png,,https://i.imgur.com/CQfnZe4.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
84,a,https://i.imgur.com/4pmzc5j.png,,https://i.imgur.com/TzZ54Io.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
85,c,https://i.imgur.com/SNmVy1E.png,,https://i.imgur.com/tgnqA65.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
86,b,https://i.imgur.com/8wTZpDO.png,,https://i.imgur.com/HKTQM2U.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
87,d,https://i.imgur.com/I5Jje9H.png,,https://i.imgur.com/oPu80sy.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
88,b,https://i.imgur.com/jaXvCdR.png,,https://i.imgur.com/H6OXx3G.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
89,d,https://i.imgur.com/dK1116i.png,,https://i.imgur.com/1mg1irD.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
90,d,https://i.imgur.com/B1Rpe5I.png,,https://i.imgur.com/m5COKox.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
91,a,https://i.imgur.com/dBq9wjD.png,,https://i.imgur.com/F44QiYL.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
92,b,https://i.imgur.com/E7JOLfo.png,,https://i.imgur.com/5UG5UAK.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
93,c,https://i.imgur.com/NCMtf8H.png,,https://i.imgur.com/xvkTTFj.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
94,a,https://i.imgur.com/DmnuBVy.png,,https://i.imgur.com/IoHPT4b.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
96,c,https://i.imgur.com/KWVlYtb.png,,https://i.imgur.com/bJknWT4.png,cat_quant,A,B,C,D,1.2,cat,Eng,arun sharma
1,a,https://i.imgur.com/fMtuBph.png,,https://i.imgur.com/9GsDZI1.png,cat_quant,A,B,C,D,1.3,cat,Eng,arun sharma
2,b,https://i.imgur.com/RLYy9FB.png,,https://i.imgur.com/m9sPDFr.png,cat_quant,A,B,C,D,1.3,cat,Eng,arun sharma
3,d,https://i.imgur.com/weQdKxD.png,,https://i.imgur.com/WT8WiTx.png,cat_quant,A,B,C,D,1.3,cat,Eng,arun sharma
4,a,https://i.imgur.com/OpuTvkC.png,,https://i.imgur.com/eIF61Lk.png,cat_quant,A,B,C,D,1.3,cat,Eng,arun sharma
5,b,https://i.imgur.com/G6XyOug.png,,https://i.imgur.com/7XYO4q3.png,cat_quant,A,B,C,D,1.3,cat,Eng,arun sharma
