,QuestionLink,category,chp_name,correct,difficulty_level,direction,explanation,lang,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,topic_category,usedFor
10,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(11).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(11).png,Eng,A,B,C,D,E,chemistry,11,Cengage,2,JEE
11,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(12).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(12).png,Eng,A,B,C,D,E,chemistry,12,Cengage,2,JEE
12,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(13).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(13).png,Eng,A,B,C,D,E,chemistry,13,Cengage,2,JEE
13,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(14).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(14).png,Eng,A,B,C,D,E,chemistry,14,Cengage,2,JEE
14,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(15).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(15).png,Eng,A,B,C,D,E,chemistry,15,Cengage,2,JEE
15,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(16).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(16).png,Eng,A,B,C,D,E,chemistry,16,Cengage,2,JEE
16,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(17).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(17).png,Eng,A,B,C,D,E,chemistry,17,Cengage,2,JEE
17,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(18).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(18).png,Eng,A,B,C,D,E,chemistry,18,Cengage,2,JEE
18,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(19).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(19).png,Eng,A,B,C,D,E,chemistry,19,Cengage,1,JEE
19,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(20).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(20).png,Eng,A,B,C,D,E,chemistry,20,Cengage,1,JEE
20,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(21).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(21).png,Eng,A,B,C,D,E,chemistry,21,Cengage,1,JEE
21,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(22).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(22).png,Eng,A,B,C,D,E,chemistry,22,Cengage,2,JEE
22,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(23).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(23).png,Eng,A,B,C,D,E,chemistry,23,Cengage,2,JEE
23,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(24).png,12.1,Chemical Bonding,a,D,,,Eng,A,B,C,D,E,chemistry,24,Cengage,2,JEE
24,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(25).png,12.1,Chemical Bonding,b,M,,,Eng,A,B,C,D,E,chemistry,25,Cengage,5,JEE
25,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(26).png,12.1,Chemical Bonding,b,M,,,Eng,A,B,C,D,E,chemistry,26,Cengage,5,JEE
26,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(27).png,12.1,Chemical Bonding,a,D,,,Eng,A,B,C,D,E,chemistry,27,Cengage,5,JEE
27,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(28).png,12.1,Chemical Bonding,b,E,,,Eng,A,B,C,D,E,chemistry,28,Cengage,5,JEE
28,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(29).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(29).png,Eng,A,B,C,D,E,chemistry,29,Cengage,5,JEE
29,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(30).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(30).png,Eng,A,B,C,D,E,chemistry,30,Cengage,5,JEE
30,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(31).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(31).png,Eng,A,B,C,D,E,chemistry,31,Cengage,2,JEE
31,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(32).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(32).png,Eng,A,B,C,D,E,chemistry,32,Cengage,3,JEE
32,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(33).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(33).png,Eng,A,B,C,D,E,chemistry,33,Cengage,5,JEE
33,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(34).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(34).png,Eng,A,B,C,D,E,chemistry,34,Cengage,5,JEE
34,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(35).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(35).png,Eng,A,B,C,D,E,chemistry,35,Cengage,5,JEE
35,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(36).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(36).png,Eng,A,B,C,D,E,chemistry,36,Cengage,3,JEE
36,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(37).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(37).png,Eng,A,B,C,D,E,chemistry,37,Cengage,3,JEE
37,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(38).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(38).png,Eng,A,B,C,D,E,chemistry,38,Cengage,2,JEE
38,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(39).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(39).png,Eng,A,B,C,D,E,chemistry,39,Cengage,3,JEE
39,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(40).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(40).png,Eng,A,B,C,D,E,chemistry,40,Cengage,2,JEE
40,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(41).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(41).png,Eng,A,B,C,D,E,chemistry,41,Cengage,3,JEE
41,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(42).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(42).png,Eng,A,B,C,D,E,chemistry,42,Cengage,2,JEE
42,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(43).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(43).png,Eng,A,B,C,D,E,chemistry,43,Cengage,2,JEE
43,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(44).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(44).png,Eng,A,B,C,D,E,chemistry,44,Cengage,2,JEE
44,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(45).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(45).png,Eng,A,B,C,D,E,chemistry,45,Cengage,2,JEE
45,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(46).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(46).png,Eng,A,B,C,D,E,chemistry,46,Cengage,3,JEE
46,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(47).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(47).png,Eng,A,B,C,D,E,chemistry,47,Cengage,3,JEE
47,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(48).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(48).png,Eng,A,B,C,D,E,chemistry,48,Cengage,2,JEE
48,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(49).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(49).png,Eng,A,B,C,D,E,chemistry,49,Cengage,3,JEE
49,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(50).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(50).png,Eng,A,B,C,D,E,chemistry,50,Cengage,3,JEE
50,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(51).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(51).png,Eng,A,B,C,D,E,chemistry,51,Cengage,2,JEE
51,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(52).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(52).png,Eng,A,B,C,D,E,chemistry,52,Cengage,5,JEE
52,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(53).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(53).png,Eng,A,B,C,D,E,chemistry,53,Cengage,5,JEE
53,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(54).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(54).png,Eng,A,B,C,D,E,chemistry,54,Cengage,5,JEE
54,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(55).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(55).png,Eng,A,B,C,D,E,chemistry,55,Cengage,3,JEE
55,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(56).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(56).png,Eng,A,B,C,D,E,chemistry,56,Cengage,3,JEE
56,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(57).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(57).png,Eng,A,B,C,D,E,chemistry,57,Cengage,3,JEE
57,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(58).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(58).png,Eng,A,B,C,D,E,chemistry,58,Cengage,3,JEE
58,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(59).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(59).png,Eng,A,B,C,D,E,chemistry,59,Cengage,5,JEE
59,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(60).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(60).png,Eng,A,B,C,D,E,chemistry,60,Cengage,5,JEE
60,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(61).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(61).png,Eng,A,B,C,D,E,chemistry,61,Cengage,5,JEE
61,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(62).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(62).png,Eng,A,B,C,D,E,chemistry,62,Cengage,5,JEE
62,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(63).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(63).png,Eng,A,B,C,D,E,chemistry,63,Cengage,5,JEE
63,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(64).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(64).png,Eng,A,B,C,D,E,chemistry,64,Cengage,5,JEE
64,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(65).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(65).png,Eng,A,B,C,D,E,chemistry,65,Cengage,5,JEE
65,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(66).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(66).png,Eng,A,B,C,D,E,chemistry,66,Cengage,4,JEE
66,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(67).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(67).png,Eng,A,B,C,D,E,chemistry,67,Cengage,4,JEE
67,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(68).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(68).png,Eng,A,B,C,D,E,chemistry,68,Cengage,4,JEE
68,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(69).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(69).png,Eng,A,B,C,D,E,chemistry,69,Cengage,4,JEE
69,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(70).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(70).png,Eng,A,B,C,D,E,chemistry,70,Cengage,4,JEE
70,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(01).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(01).png,Eng,A,B,C,D,E,chemistry,71,Cengage,5,JEE
71,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(02).png,12.1,Chemical Bonding,b,,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(02).png,Eng,A,B,C,D,E,chemistry,72,Cengage,,JEE
72,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(03).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(03).png,Eng,A,B,C,D,E,chemistry,73,Cengage,2,JEE
73,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(04).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(04).png,Eng,A,B,C,D,E,chemistry,74,Cengage,5,JEE
74,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(05).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(05).png,Eng,A,B,C,D,E,chemistry,75,Cengage,3,JEE
75,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(06).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(06).png,Eng,A,B,C,D,E,chemistry,76,Cengage,3,JEE
76,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(07).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(07).png,Eng,A,B,C,D,E,chemistry,77,Cengage,4,JEE
77,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(08).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(08).png,Eng,A,B,C,D,E,chemistry,78,Cengage,2,JEE
78,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(09).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(09).png,Eng,A,B,C,D,E,chemistry,79,Cengage,5,JEE
79,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(10).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(10).png,Eng,A,B,C,D,E,chemistry,80,Cengage,5,JEE
80,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(11).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(11).png,Eng,A,B,C,D,E,chemistry,81,Cengage,5,JEE
81,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(12).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(12).png,Eng,A,B,C,D,E,chemistry,82,Cengage,3,JEE
82,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(13).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(13).png,Eng,A,B,C,D,E,chemistry,83,Cengage,2,JEE
83,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(14).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(14).png,Eng,A,B,C,D,E,chemistry,84,Cengage,2,JEE
84,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(15).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(15).png,Eng,A,B,C,D,E,chemistry,85,Cengage,4,JEE
85,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(16).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(16).png,Eng,A,B,C,D,E,chemistry,86,Cengage,4,JEE
86,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(17).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(17).png,Eng,A,B,C,D,E,chemistry,87,Cengage,2,JEE
87,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(18).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(18).PNG,Eng,A,B,C,D,E,chemistry,88,Cengage,2,JEE
88,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(19).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(19).png,Eng,A,B,C,D,E,chemistry,89,Cengage,2,JEE
89,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(20).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(20).png,Eng,A,B,C,D,E,chemistry,90,Cengage,4,JEE
90,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(21).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(21).png,Eng,A,B,C,D,E,chemistry,91,Cengage,4,JEE
91,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(22).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(22).png,Eng,A,B,C,D,E,chemistry,92,Cengage,3,JEE
92,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(23).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(23).png,Eng,A,B,C,D,E,chemistry,93,Cengage,1,JEE
0,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(01).png,11.1,Periodic Clasifications Of Elements,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(01).png,Eng,A,B,C,D,E,chemistry,1,Cengage,1,JEE
1,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(02).png,11.1,Periodic Clasifications Of Elements,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(02).png,Eng,A,B,C,D,E,chemistry,2,Cengage,1,JEE
2,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(03).png,11.1,Periodic Clasifications Of Elements,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(03).png,Eng,A,B,C,D,E,chemistry,3,Cengage,1,JEE
3,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(04).png,11.1,Periodic Clasifications Of Elements,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(04).png,Eng,A,B,C,D,E,chemistry,4,Cengage,1,JEE
4,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(05).png,11.1,Periodic Clasifications Of Elements,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(05).png,Eng,A,B,C,D,E,chemistry,5,Cengage,1,JEE
5,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(06).png,11.1,Periodic Clasifications Of Elements,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(06).png,Eng,A,B,C,D,E,chemistry,6,Cengage,1,JEE
6,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(07).png,11.1,Periodic Clasifications Of Elements,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(07).png,Eng,A,B,C,D,E,chemistry,7,Cengage,1,JEE
7,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(08).png,11.1,Periodic Clasifications Of Elements,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(08).png,Eng,A,B,C,D,E,chemistry,8,Cengage,1,JEE
8,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(09).png,11.1,Periodic Clasifications Of Elements,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(09).png,Eng,A,B,C,D,E,chemistry,9,Cengage,1,JEE
9,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(10).png,11.1,Periodic Clasifications Of Elements,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(10).png,Eng,A,B,C,D,E,chemistry,10,Cengage,1,JEE
10,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(11).png,11.1,Periodic Clasifications Of Elements,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(11).png,Eng,A,B,C,D,E,chemistry,11,Cengage,1,JEE
