sl.no.,correct,QuestionLink,direction,explanation,section_type,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,sl. No.
13,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (13).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
14,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (14).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
15,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (15).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
16,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (16).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
17,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (17).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
18,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (18).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
20,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (19).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
21,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (20).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
22,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (21).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
23,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (22).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
24,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (23).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
25,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (24).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
26,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (25).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
27,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (26).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
28,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (27).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
29,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (28).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
30,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (29).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
31,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (30).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
32,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (31).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
33,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (32).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
34,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (33).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
35,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (34).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
36,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (35).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
37,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (36).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
38,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (37).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
39,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (38).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
40,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (39).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
41,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (40).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
42,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (41).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
43,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (42).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
44,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (43).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
45,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (44).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
46,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (45).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
47,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (46).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
48,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (47).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
49,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (48).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
50,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (49).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
51,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (50).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
52,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (51).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
56,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (52).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
57,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (53).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
58,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/1 (54).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
1,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (01).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
2,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (02).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
3,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (03).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
4,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (04).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
5,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (05).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
7,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (07).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
8,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (08).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
9,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (09).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
10,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (10).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
11,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (11).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
12,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (12).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
13,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (13).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
14,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (14).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
15,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (15).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
16,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (16).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
17,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (17).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
18,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (18).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
19,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (19).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
20,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (20).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
21,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (21).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
22,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (22).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
23,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (23).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
24,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (24).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
25,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (25).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
26,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (26).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
27,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (27).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
28,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (28).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
29,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (29).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
30,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (30).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
31,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (31).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
32,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (32).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
33,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (33).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
34,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (34).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
35,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (35).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
36,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (36).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
37,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (37).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
38,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (38).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
39,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (39).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
40,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (40).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
41,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (41).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
42,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (42).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
43,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (43).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
46,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (44).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
47,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (45).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
48,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (46).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
49,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (47).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
50,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (48).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
51,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (49).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
52,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/2 (50).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
1,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (01).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
2,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (02).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
3,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (03).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
4,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (04).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
5,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (05).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
6,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (06).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
7,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (07).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
8,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (08).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
9,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (09).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
10,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (10).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
12,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (11).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
13,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (12).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
14,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (13).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
15,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (14).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
16,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (15).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
17,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (16).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
18,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (17).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
19,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (18).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
20,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (19).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
21,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (20).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
22,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (21).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
23,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (22).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
24,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (23).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
25,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (24).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
26,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (25).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
27,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (26).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
28,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (27).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
29,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (28).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
30,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (29).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
31,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (30).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
32,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (31).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
33,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (32).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
34,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (33).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
35,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (34).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
36,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (35).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
37,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (36).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
38,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (37).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
39,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (38).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
40,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (39).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
41,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (40).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
42,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (41).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
43,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (42).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
44,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (43).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
45,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch1.1 ques/3 (44).png,,,GK,1.1,,,A,B,C,D,,RRB,Bi,Kiran,Ancient Indian History,
