sl.no.,correct,Question_link,direction,explanation,section_type,optA,optB,optC,optD,optE,category,usedFor,lang,sources,name
30,3,https://i.imgur.com/3NJBzrX.png,,https://i.imgur.com/XgIyz7d.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
31,3,https://i.imgur.com/7iDXQSp.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
32,3,https://i.imgur.com/30JyLKy.png,,https://i.imgur.com/y4lddSz.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
33,3,https://i.imgur.com/eBA8X7G.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
34,4,https://i.imgur.com/dYHcgY5.png,,https://i.imgur.com/6HTKpg0.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
35,3,https://i.imgur.com/kAzYsvI.png,,https://i.imgur.com/Vst4t1u.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
36,3,https://i.imgur.com/W3so6yH.png,,https://i.imgur.com/FRGEnzU.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
37,3,https://i.imgur.com/7cRVwjV.png,,https://i.imgur.com/iyANhyl.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
38,2,https://i.imgur.com/NcFpU6K.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
40,1,https://i.imgur.com/wxpsXTz.png,,https://i.imgur.com/IU7aQn4.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
41,4,https://i.imgur.com/SVVhOI4.png,,https://i.imgur.com/PJsd3qr.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
44,2,https://i.imgur.com/pu13kpx.png,,https://i.imgur.com/wH7TVff.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
45,1,https://i.imgur.com/pgCTLH2.png,,https://i.imgur.com/9XV29VE.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
46,3,https://i.imgur.com/pWHdJoQ.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
47,3,https://i.imgur.com/kFKThbc.png,,https://i.imgur.com/uI85hHx.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
48,3,https://i.imgur.com/Pl9Evgz.png,,https://i.imgur.com/APhB6H5.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
49,3,https://i.imgur.com/o0KCLoj.png,,https://i.imgur.com/P7ukI5D.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
51,2,https://i.imgur.com/fv6KpLi.png,,https://i.imgur.com/D64KAv3.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
52,2,https://i.imgur.com/jXowdUe.png,,,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
53,3,https://i.imgur.com/6SIZsZx.png,,https://i.imgur.com/yU3Mxcl.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
54,1,https://i.imgur.com/QjbNXTK.png,,https://i.imgur.com/QoYsqBn.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
55,2,https://i.imgur.com/GUjk7o0.png,,https://i.imgur.com/6yB4iKU.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
56,3,https://i.imgur.com/fcdIs17.png,,https://i.imgur.com/JF01oJb.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
58,1,https://i.imgur.com/PAc1EgY.png,,https://i.imgur.com/GximN2i.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
59,2,https://i.imgur.com/mLrldlI.png,,https://i.imgur.com/61qu19d.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
60,2,https://i.imgur.com/5OiSCAZ.png,,https://i.imgur.com/FNU13ZO.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
61,3,https://i.imgur.com/zktsFjb.png,,https://i.imgur.com/XreDD1B.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
62,3,https://i.imgur.com/Vz3RCdn.png,,https://i.imgur.com/tV1DM9Y.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
63,4,https://i.imgur.com/T2bh5Jn.png,,https://i.imgur.com/joLV5dh.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
65,1,https://i.imgur.com/SjnBF9u.png,,https://i.imgur.com/4ZjbmfA.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
66,1,https://i.imgur.com/li6x9ic.png,,https://i.imgur.com/a2dYQT1.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
67,1,https://i.imgur.com/1Cnrcac.png,,https://i.imgur.com/EZcS4ST.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
69,4,https://i.imgur.com/3DBm8C2.png,,https://i.imgur.com/JDauhtJ.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
70,2,https://i.imgur.com/W1i5riG.png,,https://i.imgur.com/6FoSpeq.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
71,2,https://i.imgur.com/vwVvTZm.png,,https://i.imgur.com/ZTkL2tR.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
72,4,https://i.imgur.com/P712BAd.png,,https://i.imgur.com/kECMF6M.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
74,4,https://i.imgur.com/Ltzs2Cn.png,,https://i.imgur.com/4f6HP8d.png,Reasoning,A,B,C,D,,16.1,ssc,Bi,Vidya,Coding Decoding
1,4,https://i.imgur.com/CIPtLiu.png,,https://i.imgur.com/ZgYqO6B.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
2,2,https://i.imgur.com/OuEd2xD.png,,https://i.imgur.com/LdoPsbp.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
4,2,https://i.imgur.com/nr5Oe4v.png,,https://i.imgur.com/6yizH6g.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
6,3,https://i.imgur.com/7QKkqTd.png,,https://i.imgur.com/WF6R9Wg.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
8,3,https://i.imgur.com/bu2R9Nf.png,,https://i.imgur.com/LBpbgsN.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
9,2,https://i.imgur.com/dZTx4vP.png,,https://i.imgur.com/hzcT5Zj.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
10,4,https://i.imgur.com/6i6bnUM.png,,https://i.imgur.com/5Z11EBL.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
11,2,https://i.imgur.com/Ohfqdz8.png,,https://i.imgur.com/Xav7PBV.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
13,2,https://i.imgur.com/41UE98j.png,,https://i.imgur.com/F6ZL1Zo.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
15,4,https://i.imgur.com/MOeiIre.png,,https://i.imgur.com/AuWuqyl.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
16,3,https://i.imgur.com/SDULpyd.png,,https://i.imgur.com/ab5JooA.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
17,2,https://i.imgur.com/zwahxbD.png,,https://i.imgur.com/WobHrS9.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
18,3,https://i.imgur.com/g6EFRhg.png,,https://i.imgur.com/c0YRx0V.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
19,4,https://i.imgur.com/2e6YIpk.png,,https://i.imgur.com/3yesicH.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
20,2,https://i.imgur.com/6qJZi2v.png,,https://i.imgur.com/whBWTys.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
21,2,https://i.imgur.com/ewBivdR.png,,https://i.imgur.com/oM9Gh5v.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
22,4,https://i.imgur.com/xcaFhd4.png,,https://i.imgur.com/ypSkQgP.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
23,1,https://i.imgur.com/euBk1Kw.png,,https://i.imgur.com/6P2qdxs.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
24,3,https://i.imgur.com/2MF5HdI.png,,https://i.imgur.com/Ey4kcEO.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
26,1,https://i.imgur.com/gBp3CG4.png,,https://i.imgur.com/myibfMT.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
28,2,https://i.imgur.com/YVdXzds.png,,https://i.imgur.com/M0ptRec.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
29,2,https://i.imgur.com/2HLSC2Z.png,,https://i.imgur.com/0rTtXYP.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
30,2,https://i.imgur.com/h7I5BZh.png,,https://i.imgur.com/8vTWhnZ.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
31,3,https://i.imgur.com/FsdbrpU.png,,https://i.imgur.com/x3IOA8Y.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
33,2,https://i.imgur.com/xnrA2nZ.png,,https://i.imgur.com/Ec694Ac.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
34,1,https://i.imgur.com/JfTPpps.png,,https://i.imgur.com/dOnHVkY.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
35,4,https://i.imgur.com/0xhIBdL.png,,https://i.imgur.com/AUJlTkq.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
36,1,https://i.imgur.com/jGqcI0j.png,,https://i.imgur.com/EvC2Ku3.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
37,3,https://i.imgur.com/mTb3DEy.png,,https://i.imgur.com/QHVcTgj.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
38,3,https://i.imgur.com/Z0Ki0qI.png,,https://i.imgur.com/nYS9K05.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
39,4,https://i.imgur.com/In29Wqq.png,,https://i.imgur.com/urcacAP.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
40,1,https://i.imgur.com/YqqeRCB.png,,https://i.imgur.com/lkBvJDZ.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
41,1,https://i.imgur.com/q45Zj2L.png,,https://i.imgur.com/HGqz9CP.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
42,2,https://i.imgur.com/vkxvYeV.png,,https://i.imgur.com/IynQBjt.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
43,2,https://i.imgur.com/h4aTW1R.png,,https://i.imgur.com/30psnEC.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
44,2,https://i.imgur.com/Mms9xSc.png,,https://i.imgur.com/J122SRc.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
45,4,https://i.imgur.com/MhZJPRh.png,,https://i.imgur.com/mYzINwW.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
47,4,https://i.imgur.com/0sa5zvD.png,,https://i.imgur.com/PiE0WLW.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
49,2,https://i.imgur.com/ZzdUeGM.png,,https://i.imgur.com/pcs0umb.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
51,2,https://i.imgur.com/VMAzaxT.png,,https://i.imgur.com/BFcirNS.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
52,4,https://i.imgur.com/s8LGNZK.png,,https://i.imgur.com/wub9eYe.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
53,1,https://i.imgur.com/T9aFynr.png,,https://i.imgur.com/yQQelfh.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
54,2,https://i.imgur.com/P7Xbjhf.png,,https://i.imgur.com/J9BtlqS.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
55,1,https://i.imgur.com/q8KgiJz.png,,https://i.imgur.com/SAiGjFU.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
56,2,https://i.imgur.com/6B2s9kp.png,,https://i.imgur.com/I0srG18.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
57,2,https://i.imgur.com/0aGGdwJ.png,,https://i.imgur.com/y3gLIdE.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
58,1,https://i.imgur.com/9JsPthL.png,,https://i.imgur.com/FPi4uj0.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
60,1,https://i.imgur.com/fZiwKiO.png,,https://i.imgur.com/1K4NsoJ.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
61,1,https://i.imgur.com/2080ehP.png,,https://i.imgur.com/h5Hq1u8.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
62,1,https://i.imgur.com/yRvnFPf.png,,https://i.imgur.com/xnF8f4l.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
63,2,https://i.imgur.com/K749clr.png,,https://i.imgur.com/RP6cSxV.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
64,2,https://i.imgur.com/QGenNZs.png,,https://i.imgur.com/tSoV7Na.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
65,2,https://i.imgur.com/WeNqvgT.png,,https://i.imgur.com/obQlncM.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
66,1,https://i.imgur.com/urtgTfR.png,,https://i.imgur.com/RM90aDe.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
67,3,https://i.imgur.com/uLmr5p7.png,,https://i.imgur.com/XIyTpJA.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
69,2,https://i.imgur.com/lfJL4oj.png,,https://i.imgur.com/rOr2AC3.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
70,2,https://i.imgur.com/bFBuFFo.png,,https://i.imgur.com/zzWSRs4.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
71,3,https://i.imgur.com/jPrZvPo.png,,https://i.imgur.com/89SNSgj.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
73,1,https://i.imgur.com/Q44kAdc.png,,https://i.imgur.com/5A5LKSR.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
74,4,https://i.imgur.com/GeSjW7n.png,,https://i.imgur.com/SICjnUt.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
75,3,https://i.imgur.com/DfOtP9f.png,,https://i.imgur.com/CldRn8q.png,Reasoning,A,B,C,D,,9.1,ssc,Bi,Vidya,Direction
