sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
26,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (26).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (26).png,Maths_IIT,10.1,4,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
27,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (27).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (27).png,Maths_IIT,10.1,4,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
28,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (28).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (28).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
29,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (29).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (29).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
30,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (30).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (30).png,Maths_IIT,10.1,,,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
31,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (31).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (31).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
32,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (32).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (32).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
33,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (33).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (33).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
34,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (34).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (34).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
35,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (35).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (35).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
36,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (36).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (36).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
37,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (37).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (37).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
38,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (38).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (38).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
39,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (39).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (39).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
40,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (40).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (40).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
41,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (41).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (41).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
42,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (42).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (42).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
43,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (43).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (43).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
44,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (44).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (44).png,Maths_IIT,10.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
45,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (45).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (45).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
46,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (46).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (46).png,Maths_IIT,10.1,9,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
47,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (47).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (47).png,Maths_IIT,10.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
48,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (48).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (48).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
50,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (50).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (50).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
51,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (51).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (51).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
52,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (52).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (52).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
53,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (53).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (53).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
54,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (54).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (54).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
55,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (55).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (55).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
56,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (56).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (56).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
57,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (57).png,,,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
58,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (58).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (58).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
59,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (59).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (59).png,Maths_IIT,10.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
60,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (60).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (60).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
61,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (61).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (61).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
62,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (62).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (62).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
63,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (63).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (63).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
64,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (64).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (64).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
65,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (65).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (65).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
66,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (66).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (66).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
67,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (67).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (67).png,Maths_IIT,10.1,3,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
68,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (68).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (68).png,Maths_IIT,10.1,1,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
69,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (69).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (69).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
70,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (70).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (70).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
71,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (71).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (71).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
72,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (72).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (72).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
73,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (73).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (73).png,Maths_IIT,10.1,3,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
74,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (74).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (74).png,Maths_IIT,10.1,4,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
75,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (75).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (75).png,Maths_IIT,10.1,2,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
76,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (76).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (76).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
77,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (77).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (77).png,Maths_IIT,10.1,2,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
78,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (78).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (78).png,Maths_IIT,10.1,6,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
79,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (79).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (79).png,Maths_IIT,10.1,4,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
80,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (80).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (80).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
81,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (81).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (81).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
82,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (82).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (82).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
83,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (83).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (83).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
84,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (84).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (84).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
85,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (85).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (85).png,Maths_IIT,10.1,9,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
86,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (86).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (86).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
87,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (87).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (87).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
88,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (88).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (88).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
89,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (89).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (89).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
90,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (90).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (90).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
91,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (91).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (91).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
92,a,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (92).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (92).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
93,d,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (93).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (93).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
94,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (94).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (94).png,Maths_IIT,10.1,7,E,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
95,c,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (95).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (95).png,Maths_IIT,10.1,7,D,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
96,b,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 Ques/1 (96).png,,https://s3.amazonaws.com/trialgeometry2/IIT_Maths chp 10 sol/1 (96).png,Maths_IIT,10.1,7,M,A,B,C,D,,JEE,Eng,Wiley Brand,Matrices And Determinants,,
