,sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
59,17,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (17).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
60,18,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (18).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
61,19,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (19).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
62,20,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (20).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
63,21,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (21).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
64,23,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (22).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
65,24,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (23).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
66,25,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (24).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
67,26,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (25).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
68,27,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (26).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
69,28,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (27).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
70,29,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (28).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
71,30,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (29).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
72,31,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (30).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
73,32,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (31).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
74,33,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (32).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
75,34,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (33).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
76,35,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (34).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
77,36,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (35).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
78,37,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (36).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
79,38,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (37).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
80,39,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (38).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
81,41,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (39).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
82,42,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (40).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
83,43,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (41).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
84,44,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (42).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
85,45,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (43).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
86,46,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (44).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
87,47,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (45).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
88,48,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (46).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
89,49,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (47).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
90,50,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (48).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
91,51,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (49).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
92,52,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (50).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
93,53,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (51).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
94,54,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (52).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
95,55,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (53).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
96,56,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (54).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
97,57,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (55).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
98,59,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (56).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
99,60,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (57).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
100,61,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (58).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
101,62,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (59).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
102,63,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (60).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
103,64,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (61).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
104,65,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (62).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
105,66,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (63).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
106,67,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (64).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
107,68,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (65).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
108,69,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (66).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
109,70,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (67).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
110,71,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (68).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
111,72,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (69).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
112,73,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (70).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
113,74,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (71).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
114,75,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (72).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
115,76,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (73).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
116,78,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (74).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
117,79,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (75).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
118,80,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (76).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
119,81,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (77).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
120,82,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (78).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
121,83,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (79).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
122,84,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (80).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
123,85,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (81).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
124,86,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (82).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
125,87,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (83).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
126,88,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (84).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
127,89,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (85).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
128,90,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (86).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
129,91,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (87).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
130,92,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (88).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
131,93,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (89).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
132,94,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (90).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
133,95,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (91).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
134,97,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (92).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
135,98,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (93).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
136,99,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (94).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
137,100,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (95).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
138,101,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (96).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
139,102,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (97).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
140,103,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (98).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
141,104,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/1  (99).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
142,105,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (01).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
143,106,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (02).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
144,107,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (03).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
145,108,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (04).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
146,109,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (05).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
147,110,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (06).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
148,111,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (07).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
149,112,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (08).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
150,113,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (09).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
151,114,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (10).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
152,115,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (11).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
153,116,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (12).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
154,117,1,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (13).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
155,118,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (14).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
156,119,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (15).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
157,120,3,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (16).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
158,121,4,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (17).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
159,122,2,https://s3.amazonaws.com/rrbbodhi/rrb pyh ch 10/2 (18).png,,,general_science,10.1,,,A,B,C,D,E,RRB,Hindi,Lucent,Light
