sl.no.,correct,QuestionLink,direction,explanation,sectionType,optA,optB,optC,optD,category,usedFor,lang,source,name
26,a,https://i.imgur.com/6pOpYNF.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
27,a,https://i.imgur.com/HxYApik.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
28,d,https://i.imgur.com/obNN2xb.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
29,d,https://i.imgur.com/yS0BjFp.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
30,c,https://i.imgur.com/YTphEsM.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
31,a,https://i.imgur.com/LZcSZQR.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
32,b,https://i.imgur.com/626SQza.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
33,d,https://i.imgur.com/mKfDmtE.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
35,a,https://i.imgur.com/0nEKoVV.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
36,b,https://i.imgur.com/bzyJlPZ.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
37,a,https://i.imgur.com/ceqe8UE.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
38,b,https://i.imgur.com/muyCZvO.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
39,d,https://i.imgur.com/IqOREOK.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
40,c,https://i.imgur.com/ncBuz8W.png,,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
41,d,https://i.imgur.com/bJRFIvL.png,https://i.imgur.com/5prkqZC.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
42,a,https://i.imgur.com/oQhASBV.png,https://i.imgur.com/5prkqZC.png,,Reasoning,A,B,C,D,2.1,SSC,Hindi,JEN,
1,2,https://i.imgur.com/cfVj3Hz.png,,https://i.imgur.com/l2fPO7I.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
4,1,https://i.imgur.com/T8FXMBr.png,,https://i.imgur.com/i9sJlZQ.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
6,1,https://i.imgur.com/2EgpV00.png,,https://i.imgur.com/dV5Vfv5.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
7,1,https://i.imgur.com/wKH02JR.png,,https://i.imgur.com/PJzipBp.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
8,1,https://i.imgur.com/dhXbqNw.png,,https://i.imgur.com/t7dwXsA.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
9,2,https://i.imgur.com/OZgFT4C.png,,https://i.imgur.com/ZpqGDS1.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
10,4,https://i.imgur.com/5j1RJEN.png,,https://i.imgur.com/09sYBWe.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
11,1,https://i.imgur.com/qiukzqt.png,,https://i.imgur.com/fdE5rk1.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
13,2,https://i.imgur.com/o1bmrsZ.png,,https://i.imgur.com/3qCI6gT.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
14,1,https://i.imgur.com/emS2wv5.png,,https://i.imgur.com/6AykZ15.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
15,2,https://i.imgur.com/OKWUGn9.png,,https://i.imgur.com/2ic6G23.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
16,4,https://i.imgur.com/eGZco4d.png,,https://i.imgur.com/2G5OlXP.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
17,1,https://i.imgur.com/ZpyyIUB.png,,https://i.imgur.com/bljHXjO.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
18,1,https://i.imgur.com/KaDShgc.png,,https://i.imgur.com/f0fnnGs.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
19,4,https://i.imgur.com/SMQkd9J.png,,https://i.imgur.com/4aBojU2.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
20,4,https://i.imgur.com/jfPSOyZ.png,,https://i.imgur.com/0JuMUQ5.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
21,3,https://i.imgur.com/hykNJqw.png,,https://i.imgur.com/dwwUjCS.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
22,1,https://i.imgur.com/RrW2myQ.png,,https://i.imgur.com/iDbUesH.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
23,2,https://i.imgur.com/4ZuDW22.png,,https://i.imgur.com/bTsyMXK.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
24,2,https://i.imgur.com/mQik2p1.png,,https://i.imgur.com/qGxwHrz.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
25,3,https://i.imgur.com/DvD10sS.png,,https://i.imgur.com/3AZ5fsX.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
26,2,https://i.imgur.com/d2gLEF3.png,,https://i.imgur.com/cDAyX1w.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
27,2,https://i.imgur.com/29S6Ab7.png,,https://i.imgur.com/CFLJ21z.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
28,1,https://i.imgur.com/r2ZLCYj.png,,https://i.imgur.com/oeHUEL0.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
29,2,https://i.imgur.com/JrcwjTf.png,,https://i.imgur.com/Sr67urF.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
30,3,https://i.imgur.com/FIlqdxI.png,,https://i.imgur.com/FAhLyzS.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
32,1,https://i.imgur.com/J8wM0Ig.png,,https://i.imgur.com/zoWBYzb.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
33,3,https://i.imgur.com/hSsOd5R.png,,https://i.imgur.com/vP3rV1e.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
34,4,https://i.imgur.com/HTeFHgT.png,,https://i.imgur.com/ErTyG9n.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
35,4,https://i.imgur.com/0qiwKp1.png,,https://i.imgur.com/Z0FwLdR.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
36,4,https://i.imgur.com/VPyaOZn.png,,https://i.imgur.com/UauftRs.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
37,4,https://i.imgur.com/nSd8jrj.png,,https://i.imgur.com/EVNly4W.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
38,1,https://i.imgur.com/bVK4jod.png,,https://i.imgur.com/UruPPAh.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
39,3,https://i.imgur.com/Z8MbvnJ.png,,https://i.imgur.com/aXDksm7.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
40,1,https://i.imgur.com/Srqkpuk.png,,https://i.imgur.com/S0Dzz65.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
41,1,https://i.imgur.com/FPAXAgS.png,,https://i.imgur.com/MAIGuaj.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
42,3,https://i.imgur.com/PNIuoa4.png,,https://i.imgur.com/8gRfUOC.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
43,3,https://i.imgur.com/cpVXOns.png,,https://i.imgur.com/0DATI49.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
44,4,https://i.imgur.com/xIya3Ic.png,,https://i.imgur.com/0vIp3p7.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
45,4,https://i.imgur.com/5wocsul.png,,https://i.imgur.com/cNDhWCg.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
46,3,https://i.imgur.com/bU3VkXJ.png,,https://i.imgur.com/tjVgZ8S.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
47,2,https://i.imgur.com/YCj9DyS.png,,https://i.imgur.com/kL7hgsO.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
48,3,https://i.imgur.com/fl1ErZj.png,,https://i.imgur.com/z6JrLhq.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
49,4,https://i.imgur.com/HN6qQR9.png,,https://i.imgur.com/lOXYIyP.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
51,1,https://i.imgur.com/niiS8Lr.png,,https://i.imgur.com/lSXKrFt.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
52,2,https://i.imgur.com/EoqrgbJ.png,,https://i.imgur.com/UScPkG8.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
53,2,https://i.imgur.com/CWRZccg.png,,https://i.imgur.com/q8qGHt8.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
54,3,https://i.imgur.com/jGx8qLW.png,,https://i.imgur.com/u6Ve4tY.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
55,3,https://i.imgur.com/gQ7u3BK.png,,https://i.imgur.com/FrbgVav.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
56,3,https://i.imgur.com/qoz7S2f.png,,https://i.imgur.com/4pg1mdM.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
57,4,https://i.imgur.com/67ElOyb.png,,https://i.imgur.com/WQcsl8C.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
58,1,https://i.imgur.com/1rS8Liy.png,,https://i.imgur.com/9FKtNVr.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
59,4,https://i.imgur.com/6QT6kEf.png,,https://i.imgur.com/j2vxedV.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
60,3,https://i.imgur.com/L9eB2Q9.png,,https://i.imgur.com/vAqR8Bh.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
61,4,https://i.imgur.com/FRUGEbr.png,,https://i.imgur.com/ZGmX5JP.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
63,3,https://i.imgur.com/0fewlps.png,,https://i.imgur.com/Itd9AIj.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
64,2,https://i.imgur.com/NHHILiV.png,,https://i.imgur.com/Cux0fPJ.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
65,1,https://i.imgur.com/GuJWfdh.png,,https://i.imgur.com/XsyU9xD.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
66,4,https://i.imgur.com/0ySrDKz.png,,https://i.imgur.com/B2vJhfe.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
67,3,https://i.imgur.com/r20axXh.png,,https://i.imgur.com/LmPuRTr.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
68,2,https://i.imgur.com/BXrc6Gq.png,,https://i.imgur.com/U2xnpUk.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
69,3,https://i.imgur.com/7eBEkQX.png,,https://i.imgur.com/jzd7PAl.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
70,1,https://i.imgur.com/jywHJyk.png,,https://i.imgur.com/RtaWVmx.png,Reasoning,A,B,C,D,19.1,ssc,Bi,Vidya,Blood Relation
1,a,https://i.imgur.com/zhr4tN0.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
2,c,https://i.imgur.com/6NKQCIB.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
3,d,https://i.imgur.com/F0K1I7V.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
4,b,https://i.imgur.com/lJSTeR4.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
5,b,https://i.imgur.com/NwJXinQ.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
6,a,https://i.imgur.com/PYHOEAH.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
7,a,https://i.imgur.com/e5SmZVA.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
8,d,https://i.imgur.com/TP8O6IT.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
9,d,https://i.imgur.com/25ZV0bk.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
10,c,https://i.imgur.com/54l8XxS.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
11,a,https://i.imgur.com/f2hhpcA.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
12,c,https://i.imgur.com/rPpdb1i.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
13,d,https://i.imgur.com/Z7qb8e4.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
14,b,https://i.imgur.com/DNYJUhy.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
15,d,https://i.imgur.com/rj30eDg.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
16,a,https://i.imgur.com/hIEmXS1.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
17,b,https://i.imgur.com/Emkx0Xr.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
18,b,https://i.imgur.com/Adbx5zN.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
19,b,https://i.imgur.com/YjlKyO6.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
20,b,https://i.imgur.com/gnSYBMw.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
21,a,https://i.imgur.com/ZLBq2cr.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
22,a,https://i.imgur.com/IH3eMpN.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
23,d,https://i.imgur.com/25mMgJw.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
24,a,https://i.imgur.com/8ACT34B.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
25,b,https://i.imgur.com/c6k9BQR.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
27,b,https://i.imgur.com/TQ357F5.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
28,d,https://i.imgur.com/QcLnd1U.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
29,a,https://i.imgur.com/s2gp7cM.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
30,b,https://i.imgur.com/WRyJtk6.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
31,c,https://i.imgur.com/tbG2TjR.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
32,c,https://i.imgur.com/O5k6niJ.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
33,a,https://i.imgur.com/7PMp7dd.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
34,b,https://i.imgur.com/aWxQCUC.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
35,c,https://i.imgur.com/KeGjqQS.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
36,b,https://i.imgur.com/HyCobYJ.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
37,c,https://i.imgur.com/ickaMxG.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
38,d,https://i.imgur.com/8Y9xyLj.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
39,b,https://i.imgur.com/zec0aUO.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
40,d,https://i.imgur.com/U1qX4Tm.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
41,d,https://i.imgur.com/9vSfbwX.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
43,b,https://i.imgur.com/pKpcjKj.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
44,a,https://i.imgur.com/KOW0I1r.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
45,b,https://i.imgur.com/Ys7ETOy.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
46,d,https://i.imgur.com/sgXznfZ.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
47,b,https://i.imgur.com/S0tWBpA.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
48,a,https://i.imgur.com/zRyHn4S.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
49,d,https://i.imgur.com/CXDbw1r.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
50,a,https://i.imgur.com/0d6OYHI.png,,,Reasoning,A,B,C,D,14.1,SSC,Hindi,JEN,
1,b,https://i.imgur.com/lzwLzko.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
2,d,https://i.imgur.com/2JaEyNj.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
3,b,https://i.imgur.com/nayDEoD.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
4,c,https://i.imgur.com/r0exLcM.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
5,a,https://i.imgur.com/Drrbiwg.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
6,c,https://i.imgur.com/BQCFSal.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
7,d,https://i.imgur.com/d3alSvY.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
8,c,https://i.imgur.com/WnABIqi.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
9,c,https://i.imgur.com/tindD74.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
10,b,https://i.imgur.com/vw9ZMHT.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
11,d,https://i.imgur.com/hW2iN2p.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
12,b,https://i.imgur.com/OQJBPgW.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
13,a,https://i.imgur.com/iiPsP0f.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
14,d,https://i.imgur.com/T2KuVA5.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
15,c,https://i.imgur.com/PfgN4jE.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
16,b,https://i.imgur.com/ae7BpPz.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
17,b,https://i.imgur.com/VCeAdo8.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
18,b,https://i.imgur.com/69YVjhS.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
19,b,https://i.imgur.com/IxfQ3cb.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
20,a,https://i.imgur.com/kByxbq6.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
21,b,https://i.imgur.com/UvxJdp0.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
22,a,https://i.imgur.com/AgBMqYw.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
23,a,https://i.imgur.com/FWiB7CV.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
25,b,https://i.imgur.com/n0X5GcE.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
26,a,https://i.imgur.com/LthxOnx.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
27,b,https://i.imgur.com/VTQkJYs.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
28,c,https://i.imgur.com/9pHPa4P.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
29,d,https://i.imgur.com/3tBVSWQ.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
30,c,https://i.imgur.com/P5YLhN1.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
31,c,https://i.imgur.com/NH3MGvg.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
32,b,https://i.imgur.com/xKvLiGp.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
33,b,https://i.imgur.com/SemgOV0.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
35,c,https://i.imgur.com/RrC4FWl.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
36,d,https://i.imgur.com/ekYGpDk.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
37,b,https://i.imgur.com/JLQycRr.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
38,c,https://i.imgur.com/FkR6HCs.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
39,d,https://i.imgur.com/fjrMaBF.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
40,d,https://i.imgur.com/UIePieV.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
41,d,https://i.imgur.com/aX3PNRi.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
42,c,https://i.imgur.com/Ede2KX6.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
43,a,https://i.imgur.com/k6bwVTM.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
44,c,https://i.imgur.com/UdFRcjp.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
45,b,https://i.imgur.com/VCwvgYS.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
46,b,https://i.imgur.com/2VWXWYx.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
47,b,https://i.imgur.com/PxYRr5r.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
48,a,https://i.imgur.com/RvzbCQr.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
49,b,https://i.imgur.com/OpfFcbU.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
50,a,https://i.imgur.com/VSAUR4O.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
51,c,https://i.imgur.com/nS15lXQ.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
52,c,https://i.imgur.com/fX6Agy8.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
53,a,https://i.imgur.com/w0BiEx1.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
54,b,https://i.imgur.com/3MeWlla.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
55,b,https://i.imgur.com/4cqTylX.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
56,c,https://i.imgur.com/gLeSCvz.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
57,a,https://i.imgur.com/6fQLW5B.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
58,c,https://i.imgur.com/qQzPirL.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
59,c,https://i.imgur.com/HafcYJN.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
60,a,https://i.imgur.com/ODc3VAy.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
61,b,https://i.imgur.com/PUp3ua8.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
62,b,https://i.imgur.com/z6M1ffA.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
63,b,https://i.imgur.com/m5Oybki.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
64,b,https://i.imgur.com/pqn8mLP.png,,,Reasoning,A,B,C,D,22.1,SSC,Hindi,JEN,
