sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name
11,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (05).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(05).png,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
12,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan02 (06).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(06).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
13,a,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan03 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(07).png,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
14,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan03 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(08).png,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
15,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan03 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(09).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
16,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan03 (04).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan01(10).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
17,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan04 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan02(01).png,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
18,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan04 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan02(02).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
19,a,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(01).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
20,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(02).png,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
21,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(03).png,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
22,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (04).png,,,Chemistry_NEET,2.1,1,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
23,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (05).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(04).png,Chemistry_NEET,2.1,1,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
24,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan10 (06).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(05).png,Chemistry_NEET,2.1,1,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
25,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan11 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(06).png,Chemistry_NEET,2.1,4,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
26,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan11 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan04(07).png,Chemistry_NEET,2.1,4,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
27,a,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan11 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan05(01).png,Chemistry_NEET,2.1,4,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
28,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan11 (04).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan05(02).png,Chemistry_NEET,2.1,4,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
29,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan13 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan05(03).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
30,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan13 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan05(04).png,Chemistry_NEET,2.1,6,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
31,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan14 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan06(01).png,Chemistry_NEET,2.1,6,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
32,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan14 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan06(02).png,Chemistry_NEET,2.1,6,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
33,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan17.png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan06(03).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
34,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan18 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan07(01).png,Chemistry_NEET,2.1,5,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
35,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan18 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan07(02).png,Chemistry_NEET,2.1,6,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
36,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan19.png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan07(03).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
37,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan20 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan07(04).png,Chemistry_NEET,2.1,6,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
38,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan20 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan07(05).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
39,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan20 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(01).png,Chemistry_NEET,2.1,6,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
40,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan20 (04).png,,,Chemistry_NEET,2.1,5,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
41,c,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (01).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(02).png,Chemistry_NEET,2.1,6,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
42,a,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (02).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(03).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
43,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (03).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(04).png,Chemistry_NEET,2.1,6,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
44,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (04).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(05).png,Chemistry_NEET,2.1,6,M,A,B,C,D,,JEE,Eng,LL,Atomic Structure
45,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (05).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(06).png,Chemistry_NEET,2.1,6,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
46,d,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan21 (06).png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan08(07).png,Chemistry_NEET,2.1,6,D,A,B,C,D,,JEE,Eng,LL,Atomic Structure
47,b,https://s3.amazonaws.com/chemistryiit/atomicpdftiny/scan23.png,,https://s3.amazonaws.com/atomicstructurepdfsolutionfinal/scan09.png,Chemistry_NEET,2.1,5,E,A,B,C,D,,JEE,Eng,LL,Atomic Structure
1,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan483.png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (01).png,Chemistry_NEET,10.1,1,E,A,B,C,D,,JEE,Eng,LL,Solid State
2,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (02).png,Chemistry_NEET,10.1,1,M,A,B,C,D,,JEE,Eng,LL,Solid State
3,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (03).png,Chemistry_NEET,10.1,1,M,A,B,C,D,,JEE,Eng,LL,Solid State
4,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (04).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
5,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (05).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
6,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (06).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
7,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (07).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
8,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (08).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
9,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (09).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
10,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (09).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (10).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
11,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (10).png,,,Chemistry_NEET,10.1,3,E,A,B,C,D,,JEE,Eng,LL,Solid State
12,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan484 (11).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (11).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
13,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (12).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
14,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (13).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
15,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (14).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
16,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (15).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
17,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (16).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
18,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (17).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
19,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (18).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
20,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan485 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (19).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
21,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_23 (20).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
22,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (01).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
23,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (02).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
24,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (03).png,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
25,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (04).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
26,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (05).png,Chemistry_NEET,10.1,2,E,A,B,C,D,,JEE,Eng,LL,Solid State
27,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (06).png,Chemistry_NEET,10.1,2,D,A,B,C,D,,JEE,Eng,LL,Solid State
28,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan486 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (07).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
29,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan487 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (08).png,Chemistry_NEET,10.1,1,M,A,B,C,D,,JEE,Eng,LL,Solid State
30,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan487 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (09).png,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
31,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan487 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (10).png,Chemistry_NEET,10.1,3,E,A,B,C,D,,JEE,Eng,LL,Solid State
32,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan487 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (11).png,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
33,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (12).png,Chemistry_NEET,10.1,3,E,A,B,C,D,,JEE,Eng,LL,Solid State
34,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (13).png,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
35,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (14).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
36,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (15).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
37,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (16).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
38,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (17).png,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
39,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan488 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (18).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
40,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (20).png,Chemistry_NEET,10.1,3,D,A,B,C,D,,JEE,Eng,LL,Solid State
41,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (21).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
42,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (22).png,Chemistry_NEET,10.1,1,M,A,B,C,D,,JEE,Eng,LL,Solid State
43,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (23).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
44,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (24).png,Chemistry_NEET,10.1,5,D,A,B,C,D,,JEE,Eng,LL,Solid State
45,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_25 (25).png,Chemistry_NEET,10.1,1,D,A,B,C,D,,JEE,Eng,LL,Solid State
46,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (07).png,,,Chemistry_NEET,10.1,3,M,A,B,C,D,,JEE,Eng,LL,Solid State
47,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (01).png,Chemistry_NEET,10.1,2,M,A,B,C,D,,JEE,Eng,LL,Solid State
48,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan489 (09).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (02).png,Chemistry_NEET,10.1,3,E,A,B,C,D,,JEE,Eng,LL,Solid State
49,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (03).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
50,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (04).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
51,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (05).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
52,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (06).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
53,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (07).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
54,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (08).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
55,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (09).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
56,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (08).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (10).png,Chemistry_NEET,10.1,5,D,A,B,C,D,,JEE,Eng,LL,Solid State
57,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan490 (09).png,,,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
58,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (01).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (11).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
59,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (02).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (12).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
60,b,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (03).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (13).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
61,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (04).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (14).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
62,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (05).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (15).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
63,c,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (06).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (16).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
64,a,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan491 (07).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (17).png,Chemistry_NEET,10.1,5,E,A,B,C,D,,JEE,Eng,LL,Solid State
65,d,https://s3.amazonaws.com/chemistryiit/solidstatetiny/scan492 (1).png,,https://s3.amazonaws.com/chemistryiit/solidstatesolutiontiny/scan84_26 (18).png,Chemistry_NEET,10.1,5,M,A,B,C,D,,JEE,Eng,LL,Solid State
