,direction,QuestionLink,category,correct,lang,optA,optB,optC,optD,sl.no.,sources,usedFor,sectionType
41,,https://i.imgur.com/aXtf2VP.png,3.1,d,Hindi,A,B,C,D,45,manohar pandey,gkSsc,GK
42,,https://i.imgur.com/tZ5Xv7D.png,3.1,d,Hindi,A,B,C,D,46,manohar pandey,gkSsc,GK
43,,https://i.imgur.com/thvCzUR.png,3.1,b,Hindi,A,B,C,D,47,manohar pandey,gkSsc,GK
44,,https://i.imgur.com/mwpRERg.png,3.1,b,Hindi,A,B,C,D,48,manohar pandey,gkSsc,GK
45,,https://i.imgur.com/O1LeYPl.png,3.1,c,Hindi,A,B,C,D,49,manohar pandey,gkSsc,GK
46,,https://i.imgur.com/XOA9lzq.png,3.1,c,Hindi,A,B,C,D,50,manohar pandey,gkSsc,GK
47,,https://i.imgur.com/AMYUiDT.png,3.1,d,Hindi,A,B,C,D,51,manohar pandey,gkSsc,GK
48,,https://i.imgur.com/Xq8ce4v.png,3.1,a,Hindi,A,B,C,D,52,manohar pandey,gkSsc,GK
49,,https://i.imgur.com/YxMfakn.png,3.1,c,Hindi,A,B,C,D,53,manohar pandey,gkSsc,GK
50,,https://i.imgur.com/gOXaB3i.png,3.1,a,Hindi,A,B,C,D,54,manohar pandey,gkSsc,GK
51,,https://i.imgur.com/ecpp4yF.png,3.1,b,Hindi,A,B,C,D,55,manohar pandey,gkSsc,GK
52,,https://i.imgur.com/O94BE0J.png,3.1,c,Hindi,A,B,C,D,56,manohar pandey,gkSsc,GK
53,,https://i.imgur.com/OqXV4z8.png,3.1,c,Hindi,A,B,C,D,57,manohar pandey,gkSsc,GK
54,,https://i.imgur.com/tAVIPvZ.png,3.1,a,Hindi,A,B,C,D,58,manohar pandey,gkSsc,GK
55,,https://i.imgur.com/Wu30ic1.png,3.1,b,Hindi,A,B,C,D,59,manohar pandey,gkSsc,GK
56,,https://i.imgur.com/oFdJWcd.png,3.1,b,Hindi,A,B,C,D,60,manohar pandey,gkSsc,GK
57,,https://i.imgur.com/kvDmhAq.png,3.1,d,Hindi,A,B,C,D,61,manohar pandey,gkSsc,GK
58,,https://i.imgur.com/5IiyFHc.png,3.1,d,Hindi,A,B,C,D,62,manohar pandey,gkSsc,GK
59,,https://i.imgur.com/us0WzUe.png,3.1,a,Hindi,A,B,C,D,63,manohar pandey,gkSsc,GK
60,,https://i.imgur.com/H0kblnX.png,3.1,c,Hindi,A,B,C,D,64,manohar pandey,gkSsc,GK
61,,https://i.imgur.com/V1KDLm7.png,3.1,a,Hindi,A,B,C,D,66,manohar pandey,gkSsc,GK
62,,https://i.imgur.com/CEpq8Xl.png,3.1,b,Hindi,A,B,C,D,67,manohar pandey,gkSsc,GK
63,,https://i.imgur.com/5wUhJhP.png,3.1,b,Hindi,A,B,C,D,68,manohar pandey,gkSsc,GK
64,,https://i.imgur.com/iOtTnaa.png,3.1,c,Hindi,A,B,C,D,69,manohar pandey,gkSsc,GK
65,,https://i.imgur.com/Fh52m8F.png,3.1,a,Hindi,A,B,C,D,70,manohar pandey,gkSsc,GK
66,,https://i.imgur.com/vECM92q.png,3.1,b,Hindi,A,B,C,D,71,manohar pandey,gkSsc,GK
67,,https://i.imgur.com/LlD3rwV.png,3.1,c,Hindi,A,B,C,D,72,manohar pandey,gkSsc,GK
68,,https://i.imgur.com/iTn5S5k.png,3.1,d,Hindi,A,B,C,D,73,manohar pandey,gkSsc,GK
69,,https://i.imgur.com/SEYKX2E.png,3.1,c,Hindi,A,B,C,D,74,manohar pandey,gkSsc,GK
70,,https://i.imgur.com/tLXbFk6.png,3.1,a,Hindi,A,B,C,D,75,manohar pandey,gkSsc,GK
71,,https://i.imgur.com/uCtlNZp.png,3.1,c,Hindi,A,B,C,D,76,manohar pandey,gkSsc,GK
72,,https://i.imgur.com/jVBCN72.png,3.1,d,Hindi,A,B,C,D,77,manohar pandey,gkSsc,GK
73,,https://i.imgur.com/sxiOuyE.png,3.1,c,Hindi,A,B,C,D,78,manohar pandey,gkSsc,GK
74,,https://i.imgur.com/OYHqbg7.png,3.1,d,Hindi,A,B,C,D,79,manohar pandey,gkSsc,GK
75,,https://i.imgur.com/Ce1USHa.png,3.1,d,Hindi,A,B,C,D,80,manohar pandey,gkSsc,GK
76,,https://i.imgur.com/6SrWqaK.png,3.1,b,Hindi,A,B,C,D,81,manohar pandey,gkSsc,GK
77,,https://i.imgur.com/x38WLbc.png,3.1,c,Hindi,A,B,C,D,82,manohar pandey,gkSsc,GK
78,,https://i.imgur.com/U4NgNdQ.png,3.1,d,Hindi,A,B,C,D,83,manohar pandey,gkSsc,GK
79,,https://i.imgur.com/EM1yvIW.png,3.1,c,Hindi,A,B,C,D,84,manohar pandey,gkSsc,GK
80,,https://i.imgur.com/pVRRd76.png,3.1,b,Hindi,A,B,C,D,85,manohar pandey,gkSsc,GK
81,,https://i.imgur.com/6DaFRlj.png,3.1,b,Hindi,A,B,C,D,86,manohar pandey,gkSsc,GK
82,,https://i.imgur.com/ujFdOWZ.png,3.1,b,Hindi,A,B,C,D,87,manohar pandey,gkSsc,GK
83,,https://i.imgur.com/9or6Epl.png,3.1,a,Hindi,A,B,C,D,88,manohar pandey,gkSsc,GK
84,,https://i.imgur.com/hfIK2Mu.png,3.1,c,Hindi,A,B,C,D,89,manohar pandey,gkSsc,GK
85,,https://i.imgur.com/iSCYnr3.png,3.1,c,Hindi,A,B,C,D,90,manohar pandey,gkSsc,GK
86,,https://i.imgur.com/2hTPHCO.png,3.1,b,Hindi,A,B,C,D,91,manohar pandey,gkSsc,GK
87,,https://i.imgur.com/5TVTsrZ.png,3.1,a,Hindi,A,B,C,D,92,manohar pandey,gkSsc,GK
88,,https://i.imgur.com/RDjWzY3.png,3.1,d,Hindi,A,B,C,D,93,manohar pandey,gkSsc,GK
89,,https://i.imgur.com/7oQim09.png,3.1,b,Hindi,A,B,C,D,94,manohar pandey,gkSsc,GK
90,,https://i.imgur.com/NfW4Wn0.png,3.1,a,Hindi,A,B,C,D,95,manohar pandey,gkSsc,GK
91,,https://i.imgur.com/TgB2xCc.png,3.1,a,Hindi,A,B,C,D,96,manohar pandey,gkSsc,GK
92,,https://i.imgur.com/gXTf1Bz.png,3.1,b,Hindi,A,B,C,D,97,manohar pandey,gkSsc,GK
93,,https://i.imgur.com/Rh7IpbS.png,3.1,b,Hindi,A,B,C,D,99,manohar pandey,gkSsc,GK
94,,https://i.imgur.com/ttpWOBH.png,3.1,b,Hindi,A,B,C,D,100,manohar pandey,gkSsc,GK
95,,https://i.imgur.com/rVfloFM.png,3.1,c,Hindi,A,B,C,D,101,manohar pandey,gkSsc,GK
96,,https://i.imgur.com/lEjhmBO.png,3.1,c,Hindi,A,B,C,D,102,manohar pandey,gkSsc,GK
97,,https://i.imgur.com/NMP8Vpk.png,3.1,a,Hindi,A,B,C,D,103,manohar pandey,gkSsc,GK
98,,https://i.imgur.com/TrdFvu0.png,3.1,b,Hindi,A,B,C,D,105,manohar pandey,gkSsc,GK
99,,https://i.imgur.com/koEllLo.png,3.1,a,Hindi,A,B,C,D,106,manohar pandey,gkSsc,GK
100,,https://i.imgur.com/eRCiCu4.png,3.1,d,Hindi,A,B,C,D,107,manohar pandey,gkSsc,GK
101,,https://i.imgur.com/rDhPvMZ.png,3.1,a,Hindi,A,B,C,D,108,manohar pandey,gkSsc,GK
0,,https://i.imgur.com/V68cbWz.png,1.4,c,Hindi,A,B,C,D,1,manohar pandey,gkSsc,GK
1,,https://i.imgur.com/XuSUc1G.png,1.4,d,Hindi,A,B,C,D,2,manohar pandey,gkSsc,GK
2,,https://i.imgur.com/qrsEnE0.png,1.4,d,Hindi,A,B,C,D,3,manohar pandey,gkSsc,GK
3,,https://i.imgur.com/ucDKRVk.png,1.4,d,Hindi,A,B,C,D,4,manohar pandey,gkSsc,GK
4,,https://i.imgur.com/FC6lCZV.png,1.4,a,Hindi,A,B,C,D,5,manohar pandey,gkSsc,GK
5,,https://i.imgur.com/AzMDANC.png,1.4,a,Hindi,A,B,C,D,6,manohar pandey,gkSsc,GK
6,,https://i.imgur.com/Lu6j4WM.png,1.4,b,Hindi,A,B,C,D,7,manohar pandey,gkSsc,GK
7,,https://i.imgur.com/Liza5Oc.png,1.4,b,Hindi,A,B,C,D,8,manohar pandey,gkSsc,GK
8,,https://i.imgur.com/17hjTz9.png,1.4,d,Hindi,A,B,C,D,9,manohar pandey,gkSsc,GK
9,,https://i.imgur.com/BzZowf1.png,1.4,b,Hindi,A,B,C,D,10,manohar pandey,gkSsc,GK
10,,https://i.imgur.com/LqD2cYt.png,1.4,c,Hindi,A,B,C,D,11,manohar pandey,gkSsc,GK
11,,https://i.imgur.com/Q0ZZEg9.png,1.4,b,Hindi,A,B,C,D,12,manohar pandey,gkSsc,GK
12,,https://i.imgur.com/iAzzGny.png,1.4,b,Hindi,A,B,C,D,13,manohar pandey,gkSsc,GK
13,,https://i.imgur.com/c3LnINK.png,1.4,b,Hindi,A,B,C,D,14,manohar pandey,gkSsc,GK
14,,https://i.imgur.com/3Nomrv1.png,1.4,d,Hindi,A,B,C,D,15,manohar pandey,gkSsc,GK
15,,https://i.imgur.com/SWUScyk.png,1.4,c,Hindi,A,B,C,D,16,manohar pandey,gkSsc,GK
16,,https://i.imgur.com/lfmUAMW.png,1.4,c,Hindi,A,B,C,D,17,manohar pandey,gkSsc,GK
17,,https://i.imgur.com/9vy1g3S.png,1.4,c,Hindi,A,B,C,D,18,manohar pandey,gkSsc,GK
18,,https://i.imgur.com/96X0XXO.png,1.4,c,Hindi,A,B,C,D,19,manohar pandey,gkSsc,GK
19,,https://i.imgur.com/IVZKZBC.png,1.4,a,Hindi,A,B,C,D,20,manohar pandey,gkSsc,GK
20,,https://i.imgur.com/Z0RxNj8.png,1.4,a,Hindi,A,B,C,D,21,manohar pandey,gkSsc,GK
21,,https://i.imgur.com/FVL5SZY.png,1.4,d,Hindi,A,B,C,D,22,manohar pandey,gkSsc,GK
22,,https://i.imgur.com/AIcvlfX.png,1.4,d,Hindi,A,B,C,D,23,manohar pandey,gkSsc,GK
23,,https://i.imgur.com/JuBA29y.png,1.4,b,Hindi,A,B,C,D,24,manohar pandey,gkSsc,GK
24,,https://i.imgur.com/I89gpn2.png,1.4,c,Hindi,A,B,C,D,25,manohar pandey,gkSsc,GK
25,,https://i.imgur.com/ORll52w.png,1.4,a,Hindi,A,B,C,D,26,manohar pandey,gkSsc,GK
26,,https://i.imgur.com/xtILT1d.png,1.4,b,Hindi,A,B,C,D,27,manohar pandey,gkSsc,GK
27,,https://i.imgur.com/ot5L2TY.png,1.4,c,Hindi,A,B,C,D,29,manohar pandey,gkSsc,GK
28,,https://i.imgur.com/eGmMLbB.png,1.4,c,Hindi,A,B,C,D,30,manohar pandey,gkSsc,GK
29,,https://i.imgur.com/lRH1jXA.png,1.4,b,Hindi,A,B,C,D,31,manohar pandey,gkSsc,GK
30,,https://i.imgur.com/OAHfbDs.png,1.4,c,Hindi,A,B,C,D,32,manohar pandey,gkSsc,GK
31,,https://i.imgur.com/Xjiy35r.png,1.4,a,Hindi,A,B,C,D,33,manohar pandey,gkSsc,GK
32,,https://i.imgur.com/zFMnkSq.png,1.4,d,Hindi,A,B,C,D,34,manohar pandey,gkSsc,GK
33,,https://i.imgur.com/L3QxatX.png,1.4,a,Hindi,A,B,C,D,36,manohar pandey,gkSsc,GK
34,,https://i.imgur.com/45Hftd0.png,1.4,a,Hindi,A,B,C,D,37,manohar pandey,gkSsc,GK
35,,https://i.imgur.com/s7O9DL9.png,1.4,c,Hindi,A,B,C,D,38,manohar pandey,gkSsc,GK
36,,https://i.imgur.com/wtP2id9.png,1.4,a,Hindi,A,B,C,D,39,manohar pandey,gkSsc,GK
37,,https://i.imgur.com/6BWYaWa.png,1.4,a,Hindi,A,B,C,D,40,manohar pandey,gkSsc,GK
38,,https://i.imgur.com/E1I54Rt.png,1.4,c,Hindi,A,B,C,D,41,manohar pandey,gkSsc,GK
39,,https://i.imgur.com/sm5es1l.png,1.4,d,Hindi,A,B,C,D,42,manohar pandey,gkSsc,GK
40,,https://i.imgur.com/RhG6NqG.png,1.4,b,Hindi,A,B,C,D,43,manohar pandey,gkSsc,GK
41,,https://i.imgur.com/eI8gfIx.png,1.4,d,Hindi,A,B,C,D,44,manohar pandey,gkSsc,GK
42,,https://i.imgur.com/ncNOLAs.png,1.4,d,Hindi,A,B,C,D,45,manohar pandey,gkSsc,GK
43,,https://i.imgur.com/n42FEhv.png,1.4,a,Hindi,A,B,C,D,46,manohar pandey,gkSsc,GK
44,,https://i.imgur.com/DrH5EYS.png,1.4,c,Hindi,A,B,C,D,47,manohar pandey,gkSsc,GK
45,,https://i.imgur.com/iJMEb42.png,1.4,a,Hindi,A,B,C,D,48,manohar pandey,gkSsc,GK
46,,https://i.imgur.com/dB695zL.png,1.4,b,Hindi,A,B,C,D,49,manohar pandey,gkSsc,GK
47,,https://i.imgur.com/jFgX4zO.png,1.4,a,Hindi,A,B,C,D,50,manohar pandey,gkSsc,GK
48,,https://i.imgur.com/UHXxlg4.png,1.4,a,Hindi,A,B,C,D,51,manohar pandey,gkSsc,GK
49,,https://i.imgur.com/BIbXcOg.png,1.4,a,Hindi,A,B,C,D,52,manohar pandey,gkSsc,GK
50,,https://i.imgur.com/aAKoUE3.png,1.4,c,Hindi,A,B,C,D,53,manohar pandey,gkSsc,GK
51,,https://i.imgur.com/YvMSffi.png,1.4,a,Hindi,A,B,C,D,54,manohar pandey,gkSsc,GK
52,,https://i.imgur.com/kv8FXDZ.png,1.4,a,Hindi,A,B,C,D,55,manohar pandey,gkSsc,GK
53,,https://i.imgur.com/z0mgEYv.png,1.4,a,Hindi,A,B,C,D,56,manohar pandey,gkSsc,GK
54,,https://i.imgur.com/ecYUKkh.png,1.4,c,Hindi,A,B,C,D,57,manohar pandey,gkSsc,GK
55,,https://i.imgur.com/SWrKi7b.png,1.4,a,Hindi,A,B,C,D,58,manohar pandey,gkSsc,GK
56,,https://i.imgur.com/AHZlgSs.png,1.4,b,Hindi,A,B,C,D,59,manohar pandey,gkSsc,GK
57,,https://i.imgur.com/UO2DwYX.png,1.4,a,Hindi,A,B,C,D,60,manohar pandey,gkSsc,GK
58,,https://i.imgur.com/XPWooiM.png,1.4,d,Hindi,A,B,C,D,61,manohar pandey,gkSsc,GK
59,,https://i.imgur.com/490bE43.png,1.4,d,Hindi,A,B,C,D,62,manohar pandey,gkSsc,GK
60,,https://i.imgur.com/u7uCI6f.png,1.4,b,Hindi,A,B,C,D,63,manohar pandey,gkSsc,GK
61,,https://i.imgur.com/i9KHvOp.png,1.4,d,Hindi,A,B,C,D,64,manohar pandey,gkSsc,GK
62,,https://i.imgur.com/WJdVjFL.png,1.4,b,Hindi,A,B,C,D,65,manohar pandey,gkSsc,GK
63,,https://i.imgur.com/TDUxLz1.png,1.4,b,Hindi,A,B,C,D,66,manohar pandey,gkSsc,GK
64,,https://i.imgur.com/KsauYGd.png,1.4,a,Hindi,A,B,C,D,67,manohar pandey,gkSsc,GK
65,,https://i.imgur.com/Y1bQqDM.png,1.4,c,Hindi,A,B,C,D,68,manohar pandey,gkSsc,GK
66,,https://i.imgur.com/XKajRtw.png,1.4,b,Hindi,A,B,C,D,69,manohar pandey,gkSsc,GK
67,,https://i.imgur.com/HFUQPkL.png,1.4,d,Hindi,A,B,C,D,70,manohar pandey,gkSsc,GK
68,,https://i.imgur.com/5Z5vhWD.png,1.4,d,Hindi,A,B,C,D,71,manohar pandey,gkSsc,GK
69,,https://i.imgur.com/nmwJuJz.png,1.4,b,Hindi,A,B,C,D,72,manohar pandey,gkSsc,GK
70,,https://i.imgur.com/AmmORT5.png,1.4,a,Hindi,A,B,C,D,73,manohar pandey,gkSsc,GK
71,,https://i.imgur.com/NVPD3ZU.png,1.4,d,Hindi,A,B,C,D,74,manohar pandey,gkSsc,GK
72,,https://i.imgur.com/Yy0ECs4.png,1.4,c,Hindi,A,B,C,D,75,manohar pandey,gkSsc,GK
73,,https://i.imgur.com/kfv2YsL.png,1.4,c,Hindi,A,B,C,D,76,manohar pandey,gkSsc,GK
74,,https://i.imgur.com/CJSeNMi.png,1.4,d,Hindi,A,B,C,D,77,manohar pandey,gkSsc,GK
75,,https://i.imgur.com/u5QarkV.png,1.4,c,Hindi,A,B,C,D,78,manohar pandey,gkSsc,GK
76,,https://i.imgur.com/qXmTpJs.png,1.4,a,Hindi,A,B,C,D,79,manohar pandey,gkSsc,GK
77,https://i.imgur.com/dLv0C5A.png,https://i.imgur.com/JBGLCB2.png,1.4,b,Hindi,A,B,C,D,80,manohar pandey,gkSsc,GK
78,https://i.imgur.com/dLv0C5A.png,https://i.imgur.com/Xe37qW0.png,1.4,d,Hindi,A,B,C,D,81,manohar pandey,gkSsc,GK
79,https://i.imgur.com/dLv0C5A.png,https://i.imgur.com/clz3c1M.png,1.4,c,Hindi,A,B,C,D,82,manohar pandey,gkSsc,GK
80,,https://i.imgur.com/iKYtnnc.png,1.4,c,Hindi,A,B,C,D,83,manohar pandey,gkSsc,GK
81,,https://i.imgur.com/KL4V0Gi.png,1.4,a,Hindi,A,B,C,D,84,manohar pandey,gkSsc,GK
82,,https://i.imgur.com/FZVKlSq.png,1.4,c,Hindi,A,B,C,D,85,manohar pandey,gkSsc,GK
83,,https://i.imgur.com/f2yqpXs.png,1.4,b,Hindi,A,B,C,D,86,manohar pandey,gkSsc,GK
84,,https://i.imgur.com/Y2aTnsm.png,1.4,b,Hindi,A,B,C,D,87,manohar pandey,gkSsc,GK
85,,https://i.imgur.com/iSShpk5.png,1.4,a,Hindi,A,B,C,D,88,manohar pandey,gkSsc,GK
86,,https://i.imgur.com/CE8XhDu.png,1.4,d,Hindi,A,B,C,D,89,manohar pandey,gkSsc,GK
87,,https://i.imgur.com/TXP8v97.png,1.4,a,Hindi,A,B,C,D,90,manohar pandey,gkSsc,GK
88,,https://i.imgur.com/8MRaEXq.png,1.4,b,Hindi,A,B,C,D,91,manohar pandey,gkSsc,GK
89,,https://i.imgur.com/ExErs7Q.png,1.4,d,Hindi,A,B,C,D,92,manohar pandey,gkSsc,GK
90,,https://i.imgur.com/JPJcjfh.png,1.4,c,Hindi,A,B,C,D,93,manohar pandey,gkSsc,GK
91,,https://i.imgur.com/DsJBjmC.png,1.4,d,Hindi,A,B,C,D,94,manohar pandey,gkSsc,GK
92,,https://i.imgur.com/BGaoc7D.png,1.4,d,Hindi,A,B,C,D,95,manohar pandey,gkSsc,GK
93,,https://i.imgur.com/TZb6Jdg.png,1.4,c,Hindi,A,B,C,D,96,manohar pandey,gkSsc,GK
94,,https://i.imgur.com/TAdpAJs.png,1.4,b,Hindi,A,B,C,D,97,manohar pandey,gkSsc,GK
95,,https://i.imgur.com/cVwYO1K.png,1.4,c,Hindi,A,B,C,D,98,manohar pandey,gkSsc,GK
96,,https://i.imgur.com/EoDT16M.png,1.4,d,Hindi,A,B,C,D,99,manohar pandey,gkSsc,GK
97,,https://i.imgur.com/kN31bDw.png,1.4,d,Hindi,A,B,C,D,101,manohar pandey,gkSsc,GK
98,,https://i.imgur.com/Y559dst.png,1.4,a,Hindi,A,B,C,D,102,manohar pandey,gkSsc,GK
99,,https://i.imgur.com/sjMXS8s.png,1.4,b,Hindi,A,B,C,D,103,manohar pandey,gkSsc,GK
100,,https://i.imgur.com/DHTEyPe.png,1.4,d,Hindi,A,B,C,D,104,manohar pandey,gkSsc,GK
0,,https://i.imgur.com/UdZyXb7.png,3.9,d,Hindi,A,B,C,D,1,manohar pandey,gkSsc ,GK
1,,https://i.imgur.com/IOwtc3t.png,3.9,b,Hindi,A,B,C,D,2,manohar pandey,gkSsc ,GK
2,,https://i.imgur.com/jplk2rr.png,3.9,b,Hindi,A,B,C,D,3,manohar pandey,gkSsc ,GK
3,,https://i.imgur.com/zFEGSN5.png,3.9,a,Hindi,A,B,C,D,4,manohar pandey,gkSsc ,GK
4,,https://i.imgur.com/wlimpSF.png,3.9,d,Hindi,A,B,C,D,6,manohar pandey,gkSsc ,GK
5,,https://i.imgur.com/ifsStRF.png,3.9,b,Hindi,A,B,C,D,7,manohar pandey,gkSsc ,GK
6,,https://i.imgur.com/jRQ4bMq.png,3.9,a,Hindi,A,B,C,D,8,manohar pandey,gkSsc ,GK
7,,https://i.imgur.com/p5ZCRaK.png,3.9,d,Hindi,A,B,C,D,9,manohar pandey,gkSsc ,GK
8,,https://i.imgur.com/TfzGyVC.png,3.9,b,Hindi,A,B,C,D,11,manohar pandey,gkSsc ,GK
9,,https://i.imgur.com/PCeLH56.png,3.9,d,Hindi,A,B,C,D,12,manohar pandey,gkSsc ,GK
10,,https://i.imgur.com/YOaQViv.png,3.9,a,Hindi,A,B,C,D,14,manohar pandey,gkSsc ,GK
11,,https://i.imgur.com/69Y1Avj.png,3.9,a,Hindi,A,B,C,D,15,manohar pandey,gkSsc ,GK
12,,https://i.imgur.com/XOAk9sH.png,3.9,b,Hindi,A,B,C,D,16,manohar pandey,gkSsc ,GK
13,,https://i.imgur.com/St3u3md.png,3.9,c,Hindi,A,B,C,D,17,manohar pandey,gkSsc ,GK
14,,https://i.imgur.com/9JFV2DV.png,3.9,c,Hindi,A,B,C,D,18,manohar pandey,gkSsc ,GK
15,,https://i.imgur.com/xkbcm1v.png,3.9,b,Hindi,A,B,C,D,19,manohar pandey,gkSsc ,GK
16,,https://i.imgur.com/xLBxDkT.png,3.9,c,Hindi,A,B,C,D,20,manohar pandey,gkSsc ,GK
17,,https://i.imgur.com/Rk3shjm.png,3.9,b,Hindi,A,B,C,D,21,manohar pandey,gkSsc ,GK
18,,https://i.imgur.com/61qKmmw.png,3.9,b,Hindi,A,B,C,D,23,manohar pandey,gkSsc ,GK
19,,https://i.imgur.com/6FDOBQi.png,3.9,c,Hindi,A,B,C,D,24,manohar pandey,gkSsc ,GK
20,,https://i.imgur.com/fizcJFo.png,3.9,b,Hindi,A,B,C,D,25,manohar pandey,gkSsc ,GK
21,,https://i.imgur.com/zrlKOSf.png,3.9,c,Hindi,A,B,C,D,26,manohar pandey,gkSsc ,GK
22,,https://i.imgur.com/wduz2h6.png,3.9,b,Hindi,A,B,C,D,27,manohar pandey,gkSsc ,GK
23,,https://i.imgur.com/TEy3id0.png,3.9,c,Hindi,A,B,C,D,28,manohar pandey,gkSsc ,GK
24,,https://i.imgur.com/5y2vKN4.png,3.9,d,Hindi,A,B,C,D,29,manohar pandey,gkSsc ,GK
25,,https://i.imgur.com/q1cXjlP.png,3.9,c,Hindi,A,B,C,D,30,manohar pandey,gkSsc ,GK
26,,https://i.imgur.com/U5fF5a0.png,3.9,b,Hindi,A,B,C,D,31,manohar pandey,gkSsc ,GK
27,,https://i.imgur.com/BSHrIom.png,3.9,a,Hindi,A,B,C,D,33,manohar pandey,gkSsc ,GK
