sl.no.,correct,Question_link,direction,explanation,section_type,chp_category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
11,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(11).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
12,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(12).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
13,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(13).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
14,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(14).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
15,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(15).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
16,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(16).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
17,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(17).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
18,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(18).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(18).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
19,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(19).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
20,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(20).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(20).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
21,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(21).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(21).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
22,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(22).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(22).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
23,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(23).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(23).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
24,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(24).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(24).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
25,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(25).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(25).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
26,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(26).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(26).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
27,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(27).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(27).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
28,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(28).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(28).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
29,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(29).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(29).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
30,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(30).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(30).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
31,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(31).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(31).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
32,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(32).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(32).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
33,b,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(33).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(33).png,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
34,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(34).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(34).png,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
35,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(35).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(35).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
36,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinquestionnn/1(36).png,,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14sinanswer/1(36).png,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
1,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(01).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
2,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(02).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
3,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(03).png,,,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
4,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(04).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(05).png,,,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
6,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14objques/1(06).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
1,c,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(01).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
2,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(02).png,,,inorganic_chem_JEE,14.1,1,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
3,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(03).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
4,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(04).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(05).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
6,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/1(06).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
7,d,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/2(01).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
8,"a,b,c",https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/2(02).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/2(03).png,,,inorganic_chem_JEE,14.1,1,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
10,a,https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/3(01).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
11,"a,b",https://s3.amazonaws.com/inorganicchemcengagepart1grp13n14paraquestion/3(02).png,,,inorganic_chem_JEE,14.1,1,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
1,d,https://i.imgur.com/uk9DJoj.png,,https://i.imgur.com/3bHuSkK.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
2,b,https://i.imgur.com/PXrhVmb.png,,https://i.imgur.com/SfBRo9j.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
3,c,https://i.imgur.com/fi5Z0PN.png,,https://i.imgur.com/J0gJ9Nw.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
4,b,https://i.imgur.com/tvmjAE5.png,,https://i.imgur.com/PAnikHL.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
5,b,https://i.imgur.com/hDLb3QA.png,,https://i.imgur.com/cJh2wNm.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
6,d,https://i.imgur.com/79gwulh.png,,https://i.imgur.com/0g3CZPm.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
7,b,https://i.imgur.com/TWfcRzI.png,,https://i.imgur.com/NrQX4qW.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
8,a,https://i.imgur.com/WBw6Pnq.png,,https://i.imgur.com/xORw12J.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
9,d,https://i.imgur.com/LlSP3Ao.png,,https://i.imgur.com/5y0dxOp.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
10,d,https://i.imgur.com/5JcwqpM.png,,https://i.imgur.com/43T6qsk.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
11,c,https://i.imgur.com/dBoKXFd.png,,https://i.imgur.com/NlpwsT8.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
12,c,https://i.imgur.com/9nlvmkO.png,,https://i.imgur.com/ZoFipy3.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
13,c,https://i.imgur.com/qwGwKiW.png,,https://i.imgur.com/kS6Vefd.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
14,b,https://i.imgur.com/e0DwpH9.png,,https://i.imgur.com/UKGn5wC.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
15,a,https://i.imgur.com/rDkA59m.png,,https://i.imgur.com/wYaipiz.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
16,b,https://i.imgur.com/OD9JVVf.png,,https://i.imgur.com/PPh6SFt.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
17,b,https://i.imgur.com/orxaXu3.png,,https://i.imgur.com/S4uwRHp.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
18,b,https://i.imgur.com/1D9UxPB.png,,https://i.imgur.com/UPqsFQa.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
19,b,https://i.imgur.com/FMQQaak.png,,https://i.imgur.com/mzD3gVa.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
20,a,https://i.imgur.com/6DVzKcK.png,,https://i.imgur.com/a8qdfhC.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
21,c,https://i.imgur.com/WOCvMAR.png,,https://i.imgur.com/MsqWxpN.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
22,c,https://i.imgur.com/WPQ0Ypd.png,,https://i.imgur.com/aKgYIVm.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
23,c,https://i.imgur.com/I18NC5E.png,,https://i.imgur.com/Pu4Ab66.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
24,c,https://i.imgur.com/s5Qm59A.png,,https://i.imgur.com/YTbmYU3.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
25,d,https://i.imgur.com/DDlJ7xp.png,,https://i.imgur.com/skgbCcA.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
26,a,https://i.imgur.com/o5jDhJR.png,,https://i.imgur.com/STJvixZ.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
27,d,https://i.imgur.com/5fbt1vo.png,,https://i.imgur.com/DZnQQ2L.png,inorganic_chem_JEE,14.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
28,c,https://i.imgur.com/L5lYZoy.png,,https://i.imgur.com/5N8aFxZ.png,inorganic_chem_JEE,14.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
29,c,https://i.imgur.com/ZICxuPc.png,,https://i.imgur.com/75XGhSv.png,inorganic_chem_JEE,14.1,2,N,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
30,a,https://i.imgur.com/ffgyVVA.png,,https://i.imgur.com/xrh3P4r.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
31,d,https://i.imgur.com/E8ZGocQ.png,,https://i.imgur.com/hgJZYwH.png,inorganic_chem_JEE,14.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,Group 13 And 14 Elements,,,,,,
