,Unnamed: 0,QuestionLink,category,chp_name,correct,difficulty_level,direction,explanation,lang,optA,optB,optC,optD,optE,sectionType,sl.no.,sources,topic_category,usedFor,,,,,,
22,22,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(23).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(23).png,Eng,A,B,C,D,E,chemistry_iit,23,Cengage,2,JEE,,,,,,
23,23,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(24).png,12.1,Chemical Bonding,a,D,,,Eng,A,B,C,D,E,chemistry_iit,24,Cengage,2,JEE,,,,,,
24,24,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(25).png,12.1,Chemical Bonding,b,M,,,Eng,A,B,C,D,E,chemistry_iit,25,Cengage,5,JEE,,,,,,
25,25,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(26).png,12.1,Chemical Bonding,b,M,,,Eng,A,B,C,D,E,chemistry_iit,26,Cengage,5,JEE,,,,,,
26,26,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(27).png,12.1,Chemical Bonding,a,D,,,Eng,A,B,C,D,E,chemistry_iit,27,Cengage,5,JEE,,,,,,
27,27,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(28).png,12.1,Chemical Bonding,b,E,,,Eng,A,B,C,D,E,chemistry_iit,28,Cengage,5,JEE,,,,,,
28,28,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(29).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(29).png,Eng,A,B,C,D,E,chemistry_iit,29,Cengage,5,JEE,,,,,,
29,29,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(30).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(30).png,Eng,A,B,C,D,E,chemistry_iit,30,Cengage,5,JEE,,,,,,
30,30,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(31).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(31).png,Eng,A,B,C,D,E,chemistry_iit,31,Cengage,2,JEE,,,,,,
31,31,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(32).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(32).png,Eng,A,B,C,D,E,chemistry_iit,32,Cengage,3,JEE,,,,,,
32,32,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(33).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(33).png,Eng,A,B,C,D,E,chemistry_iit,33,Cengage,5,JEE,,,,,,
33,33,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(34).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(34).png,Eng,A,B,C,D,E,chemistry_iit,34,Cengage,5,JEE,,,,,,
34,34,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(35).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(35).png,Eng,A,B,C,D,E,chemistry_iit,35,Cengage,5,JEE,,,,,,
35,35,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(36).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(36).png,Eng,A,B,C,D,E,chemistry_iit,36,Cengage,3,JEE,,,,,,
36,36,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(37).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(37).png,Eng,A,B,C,D,E,chemistry_iit,37,Cengage,3,JEE,,,,,,
37,37,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(38).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(38).png,Eng,A,B,C,D,E,chemistry_iit,38,Cengage,2,JEE,,,,,,
38,38,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(39).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(39).png,Eng,A,B,C,D,E,chemistry_iit,39,Cengage,3,JEE,,,,,,
39,39,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(40).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(40).png,Eng,A,B,C,D,E,chemistry_iit,40,Cengage,2,JEE,,,,,,
40,40,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(41).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(41).png,Eng,A,B,C,D,E,chemistry_iit,41,Cengage,3,JEE,,,,,,
41,41,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(42).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(42).png,Eng,A,B,C,D,E,chemistry_iit,42,Cengage,2,JEE,,,,,,
42,42,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(43).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(43).png,Eng,A,B,C,D,E,chemistry_iit,43,Cengage,2,JEE,,,,,,
43,43,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(44).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(44).png,Eng,A,B,C,D,E,chemistry_iit,44,Cengage,2,JEE,,,,,,
44,44,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(45).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(45).png,Eng,A,B,C,D,E,chemistry_iit,45,Cengage,2,JEE,,,,,,
45,45,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(46).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(46).png,Eng,A,B,C,D,E,chemistry_iit,46,Cengage,3,JEE,,,,,,
46,46,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(47).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(47).png,Eng,A,B,C,D,E,chemistry_iit,47,Cengage,3,JEE,,,,,,
47,47,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(48).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(48).png,Eng,A,B,C,D,E,chemistry_iit,48,Cengage,2,JEE,,,,,,
48,48,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(49).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(49).png,Eng,A,B,C,D,E,chemistry_iit,49,Cengage,3,JEE,,,,,,
49,49,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(50).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(50).png,Eng,A,B,C,D,E,chemistry_iit,50,Cengage,3,JEE,,,,,,
50,50,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(51).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(51).png,Eng,A,B,C,D,E,chemistry_iit,51,Cengage,2,JEE,,,,,,
51,51,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(52).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(52).png,Eng,A,B,C,D,E,chemistry_iit,52,Cengage,5,JEE,,,,,,
52,52,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(53).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(53).png,Eng,A,B,C,D,E,chemistry_iit,53,Cengage,5,JEE,,,,,,
53,53,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(54).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(54).png,Eng,A,B,C,D,E,chemistry_iit,54,Cengage,5,JEE,,,,,,
54,54,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(55).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(55).png,Eng,A,B,C,D,E,chemistry_iit,55,Cengage,3,JEE,,,,,,
55,55,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(56).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(56).png,Eng,A,B,C,D,E,chemistry_iit,56,Cengage,3,JEE,,,,,,
56,56,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(57).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(57).png,Eng,A,B,C,D,E,chemistry_iit,57,Cengage,3,JEE,,,,,,
57,57,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(58).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(58).png,Eng,A,B,C,D,E,chemistry_iit,58,Cengage,3,JEE,,,,,,
58,58,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(59).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(59).png,Eng,A,B,C,D,E,chemistry_iit,59,Cengage,5,JEE,,,,,,
59,59,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(60).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(60).png,Eng,A,B,C,D,E,chemistry_iit,60,Cengage,5,JEE,,,,,,
60,60,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(61).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(61).png,Eng,A,B,C,D,E,chemistry_iit,61,Cengage,5,JEE,,,,,,
61,61,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(62).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(62).png,Eng,A,B,C,D,E,chemistry_iit,62,Cengage,5,JEE,,,,,,
62,62,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(63).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(63).png,Eng,A,B,C,D,E,chemistry_iit,63,Cengage,5,JEE,,,,,,
63,63,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(64).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(64).png,Eng,A,B,C,D,E,chemistry_iit,64,Cengage,5,JEE,,,,,,
64,64,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(65).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(65).png,Eng,A,B,C,D,E,chemistry_iit,65,Cengage,5,JEE,,,,,,
65,65,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(66).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(66).png,Eng,A,B,C,D,E,chemistry_iit,66,Cengage,4,JEE,,,,,,
66,66,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(67).png,12.1,Chemical Bonding,c,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(67).png,Eng,A,B,C,D,E,chemistry_iit,67,Cengage,4,JEE,,,,,,
67,67,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(68).png,12.1,Chemical Bonding,b,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(68).png,Eng,A,B,C,D,E,chemistry_iit,68,Cengage,4,JEE,,,,,,
68,68,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(69).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(69).png,Eng,A,B,C,D,E,chemistry_iit,69,Cengage,4,JEE,,,,,,
69,69,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/1(70).png,12.1,Chemical Bonding,a,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/1(70).png,Eng,A,B,C,D,E,chemistry_iit,70,Cengage,4,JEE,,,,,,
70,70,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(01).png,12.1,Chemical Bonding,d,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(01).png,Eng,A,B,C,D,E,chemistry_iit,71,Cengage,5,JEE,,,,,,
71,71,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(02).png,12.1,Chemical Bonding,b,,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(02).png,Eng,A,B,C,D,E,chemistry_iit,72,Cengage,,JEE,,,,,,
72,72,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(03).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(03).png,Eng,A,B,C,D,E,chemistry_iit,73,Cengage,2,JEE,,,,,,
73,73,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(04).png,12.1,Chemical Bonding,c,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(04).png,Eng,A,B,C,D,E,chemistry_iit,74,Cengage,5,JEE,,,,,,
74,74,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(05).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(05).png,Eng,A,B,C,D,E,chemistry_iit,75,Cengage,3,JEE,,,,,,
75,75,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(06).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(06).png,Eng,A,B,C,D,E,chemistry_iit,76,Cengage,3,JEE,,,,,,
76,76,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(07).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(07).png,Eng,A,B,C,D,E,chemistry_iit,77,Cengage,4,JEE,,,,,,
77,77,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(08).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(08).png,Eng,A,B,C,D,E,chemistry_iit,78,Cengage,2,JEE,,,,,,
78,78,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(09).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(09).png,Eng,A,B,C,D,E,chemistry_iit,79,Cengage,5,JEE,,,,,,
79,79,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(10).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(10).png,Eng,A,B,C,D,E,chemistry_iit,80,Cengage,5,JEE,,,,,,
80,80,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(11).png,12.1,Chemical Bonding,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(11).png,Eng,A,B,C,D,E,chemistry_iit,81,Cengage,5,JEE,,,,,,
81,81,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(12).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(12).png,Eng,A,B,C,D,E,chemistry_iit,82,Cengage,3,JEE,,,,,,
82,82,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(13).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(13).png,Eng,A,B,C,D,E,chemistry_iit,83,Cengage,2,JEE,,,,,,
83,83,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(14).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(14).png,Eng,A,B,C,D,E,chemistry_iit,84,Cengage,2,JEE,,,,,,
84,84,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(15).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(15).png,Eng,A,B,C,D,E,chemistry_iit,85,Cengage,4,JEE,,,,,,
85,85,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(16).png,12.1,Chemical Bonding,c,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(16).png,Eng,A,B,C,D,E,chemistry_iit,86,Cengage,4,JEE,,,,,,
86,86,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(17).png,12.1,Chemical Bonding,b,D,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(17).png,Eng,A,B,C,D,E,chemistry_iit,87,Cengage,2,JEE,,,,,,
87,87,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(18).png,12.1,Chemical Bonding,b,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(18).PNG,Eng,A,B,C,D,E,chemistry_iit,88,Cengage,2,JEE,,,,,,
88,88,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(19).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(19).png,Eng,A,B,C,D,E,chemistry_iit,89,Cengage,2,JEE,,,,,,
89,89,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(20).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(20).png,Eng,A,B,C,D,E,chemistry_iit,90,Cengage,4,JEE,,,,,,
90,90,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(21).png,12.1,Chemical Bonding,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(21).png,Eng,A,B,C,D,E,chemistry_iit,91,Cengage,4,JEE,,,,,,
91,91,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(22).png,12.1,Chemical Bonding,d,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(22).png,Eng,A,B,C,D,E,chemistry_iit,92,Cengage,3,JEE,,,,,,
92,92,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingquestion/2(23).png,12.1,Chemical Bonding,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1chemicalbondingans/2(23).png,Eng,A,B,C,D,E,chemistry_iit,93,Cengage,1,JEE,,,,,,
93,0,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(01).png,11.1,Periodic Clasifications Of Elements,a,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(01).png,Eng,A,B,C,D,E,chemistry_iit,1,Cengage,1,JEE,,,,,,
94,1,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(02).png,11.1,Periodic Clasifications Of Elements,a,M,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(02).png,Eng,A,B,C,D,E,chemistry_iit,2,Cengage,1,JEE,,,,,,
95,2,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoeques/1(03).png,11.1,Periodic Clasifications Of Elements,d,E,,https://s3.amazonaws.com/inorganicchemcengagepart1periodicclassoesol/1(03).png,Eng,A,B,C,D,E,chemistry_iit,3,Cengage,1,JEE,,,,,,
