,QuestionLink,category,correct,lang,optA,optB,optC,optD,sectionType,sl.no,source,usedFor
16,https://i.imgur.com/UsFQC8L.png,5.1,d,Hindi,A,B,C,D,GK,20,manohar pandey,GROUP_D
17,https://i.imgur.com/5fhdcy8.png,5.1,d,Hindi,A,B,C,D,GK,21,manohar pandey,GROUP_D
18,https://i.imgur.com/v8bRvDa.png,5.1,a,Hindi,A,B,C,D,GK,22,manohar pandey,GROUP_D
19,https://i.imgur.com/XXup6LD.png,5.1,c,Hindi,A,B,C,D,GK,23,manohar pandey,GROUP_D
20,https://i.imgur.com/TsS1Xjt.png,5.1,d,Hindi,A,B,C,D,GK,24,manohar pandey,GROUP_D
21,https://i.imgur.com/jvRh1Xb.png,5.1,d,Hindi,A,B,C,D,GK,25,manohar pandey,GROUP_D
22,https://i.imgur.com/wNRG5c7.png,5.1,c,Hindi,A,B,C,D,GK,27,manohar pandey,GROUP_D
23,https://i.imgur.com/pSmfGDg.png,5.1,d,Hindi,A,B,C,D,GK,28,manohar pandey,GROUP_D
24,https://i.imgur.com/VhAb3YL.png,5.1,d,Hindi,A,B,C,D,GK,29,manohar pandey,GROUP_D
25,https://i.imgur.com/Rd3EUwU.png,5.1,c,Hindi,A,B,C,D,GK,30,manohar pandey,GROUP_D
26,https://i.imgur.com/neBbqJx.png,5.1,d,Hindi,A,B,C,D,GK,31,manohar pandey,GROUP_D
27,https://i.imgur.com/6wPEXTJ.png,5.1,d,Hindi,A,B,C,D,GK,32,manohar pandey,GROUP_D
28,https://i.imgur.com/JgmSSIt.png,5.1,c,Hindi,A,B,C,D,GK,33,manohar pandey,GROUP_D
29,https://i.imgur.com/REWkAJP.png,5.1,a,Hindi,A,B,C,D,GK,34,manohar pandey,GROUP_D
30,https://i.imgur.com/Wcasatd.png,5.1,c,Hindi,A,B,C,D,GK,35,manohar pandey,GROUP_D
31,https://i.imgur.com/ZrDuJU8.png,5.1,c,Hindi,A,B,C,D,GK,36,manohar pandey,GROUP_D
32,https://i.imgur.com/6UVpp02.png,5.1,b,Hindi,A,B,C,D,GK,37,manohar pandey,GROUP_D
33,https://i.imgur.com/8XupQoF.png,5.1,a,Hindi,A,B,C,D,GK,38,manohar pandey,GROUP_D
34,https://i.imgur.com/tpW0snP.png,5.1,c,Hindi,A,B,C,D,GK,39,manohar pandey,GROUP_D
35,https://i.imgur.com/6mEwMA3.png,5.1,c,Hindi,A,B,C,D,GK,40,manohar pandey,GROUP_D
36,https://i.imgur.com/szMt1aY.png,5.1,b,Hindi,A,B,C,D,GK,41,manohar pandey,GROUP_D
37,https://i.imgur.com/3EYi5Q9.png,5.1,a,Hindi,A,B,C,D,GK,42,manohar pandey,GROUP_D
38,https://i.imgur.com/8D32vEY.png,5.1,d,Hindi,A,B,C,D,GK,43,manohar pandey,GROUP_D
39,https://i.imgur.com/colXkH8.png,5.1,d,Hindi,A,B,C,D,GK,44,manohar pandey,GROUP_D
40,https://i.imgur.com/8KuSdIe.png,5.1,b,Hindi,A,B,C,D,GK,45,manohar pandey,GROUP_D
41,https://i.imgur.com/YcxUJls.png,5.1,c,Hindi,A,B,C,D,GK,46,manohar pandey,GROUP_D
42,https://i.imgur.com/Ty1fPsy.png,5.1,a,Hindi,A,B,C,D,GK,48,manohar pandey,GROUP_D
43,https://i.imgur.com/8s4Xb0n.png,5.1,b,Hindi,A,B,C,D,GK,49,manohar pandey,GROUP_D
44,https://i.imgur.com/dXDEOW8.png,5.1,d,Hindi,A,B,C,D,GK,50,manohar pandey,GROUP_D
45,https://i.imgur.com/n3oRPyp.png,5.1,b,Hindi,A,B,C,D,GK,51,manohar pandey,GROUP_D
46,https://i.imgur.com/bRC4R5A.png,5.1,a,Hindi,A,B,C,D,GK,52,manohar pandey,GROUP_D
47,https://i.imgur.com/x2zMG3M.png,5.1,b,Hindi,A,B,C,D,GK,53,manohar pandey,GROUP_D
48,https://i.imgur.com/jluLuHt.png,5.1,a,Hindi,A,B,C,D,GK,54,manohar pandey,GROUP_D
49,https://i.imgur.com/mN0S3KV.png,5.1,a,Hindi,A,B,C,D,GK,55,manohar pandey,GROUP_D
50,https://i.imgur.com/k3bfOFn.png,5.1,b,Hindi,A,B,C,D,GK,56,manohar pandey,GROUP_D
51,https://i.imgur.com/5z9rylM.png,5.1,d,Hindi,A,B,C,D,GK,57,manohar pandey,GROUP_D
52,https://i.imgur.com/aLZJm97.png,5.1,b,Hindi,A,B,C,D,GK,58,manohar pandey,GROUP_D
53,https://i.imgur.com/u3ys12C.png,5.1,b,Hindi,A,B,C,D,GK,59,manohar pandey,GROUP_D
54,https://i.imgur.com/vtQvpAN.png,5.1,b,Hindi,A,B,C,D,GK,61,manohar pandey,GROUP_D
55,https://i.imgur.com/n3ruM28.png,5.1,d,Hindi,A,B,C,D,GK,62,manohar pandey,GROUP_D
56,https://i.imgur.com/euuGe5m.png,5.1,d,Hindi,A,B,C,D,GK,63,manohar pandey,GROUP_D
57,https://i.imgur.com/JlCSJ9N.png,5.1,d,Hindi,A,B,C,D,GK,64,manohar pandey,GROUP_D
58,https://i.imgur.com/hnyD6Gk.png,5.1,c,Hindi,A,B,C,D,GK,65,manohar pandey,GROUP_D
59,https://i.imgur.com/w37X8xT.png,5.1,c,Hindi,A,B,C,D,GK,66,manohar pandey,GROUP_D
60,https://i.imgur.com/YMINbxB.png,5.1,b,Hindi,A,B,C,D,GK,67,manohar pandey,GROUP_D
61,https://i.imgur.com/kwpBwQc.png,5.1,c,Hindi,A,B,C,D,GK,68,manohar pandey,GROUP_D
62,https://i.imgur.com/nPzqygp.png,5.1,d,Hindi,A,B,C,D,GK,69,manohar pandey,GROUP_D
63,https://i.imgur.com/ETqAxOi.png,5.1,a,Hindi,A,B,C,D,GK,70,manohar pandey,GROUP_D
64,https://i.imgur.com/Q2VY2qX.png,5.1,a,Hindi,A,B,C,D,GK,71,manohar pandey,GROUP_D
65,https://i.imgur.com/VogNFDe.png,5.1,c,Hindi,A,B,C,D,GK,72,manohar pandey,GROUP_D
66,https://i.imgur.com/0MbEfIh.png,5.1,c,Hindi,A,B,C,D,GK,73,manohar pandey,GROUP_D
67,https://i.imgur.com/Tpa7EaF.png,5.1,a,Hindi,A,B,C,D,GK,74,manohar pandey,GROUP_D
68,https://i.imgur.com/lAMB0fQ.png,5.1,d,Hindi,A,B,C,D,GK,75,manohar pandey,GROUP_D
69,https://i.imgur.com/WDPV3t9.png,5.1,a,Hindi,A,B,C,D,GK,76,manohar pandey,GROUP_D
70,https://i.imgur.com/AIhSsEe.png,5.1,d,Hindi,A,B,C,D,GK,78,manohar pandey,GROUP_D
71,https://i.imgur.com/aJVlelK.png,5.1,b,Hindi,A,B,C,D,GK,79,manohar pandey,GROUP_D
72,https://i.imgur.com/3MN5347.png,5.1,d,Hindi,A,B,C,D,GK,80,manohar pandey,GROUP_D
73,https://i.imgur.com/XgF9uMV.png,5.1,b,Hindi,A,B,C,D,GK,81,manohar pandey,GROUP_D
74,https://i.imgur.com/UgHX83q.png,5.1,b,Hindi,A,B,C,D,GK,83,manohar pandey,GROUP_D
75,https://i.imgur.com/zIyOWSe.png,5.1,b,Hindi,A,B,C,D,GK,84,manohar pandey,GROUP_D
76,https://i.imgur.com/srdL4Jy.png,5.1,b,Hindi,A,B,C,D,GK,85,manohar pandey,GROUP_D
77,https://i.imgur.com/NdMfGE3.png,5.1,d,Hindi,A,B,C,D,GK,86,manohar pandey,GROUP_D
78,https://i.imgur.com/cri0MKk.png,5.1,d,Hindi,A,B,C,D,GK,87,manohar pandey,GROUP_D
79,https://i.imgur.com/ubtvinc.png,5.1,d,Hindi,A,B,C,D,GK,88,manohar pandey,GROUP_D
80,https://i.imgur.com/Pbq8Otl.png,5.1,b,Hindi,A,B,C,D,GK,89,manohar pandey,GROUP_D
81,https://i.imgur.com/6qMAt08.png,5.1,c,Hindi,A,B,C,D,GK,90,manohar pandey,GROUP_D
82,https://i.imgur.com/tVmVYRx.png,5.1,c,Hindi,A,B,C,D,GK,91,manohar pandey,GROUP_D
83,https://i.imgur.com/4DU9ZTi.png,5.1,d,Hindi,A,B,C,D,GK,92,manohar pandey,GROUP_D
84,https://i.imgur.com/4ag35uo.png,5.1,c,Hindi,A,B,C,D,GK,93,manohar pandey,GROUP_D
85,https://i.imgur.com/ZiwzULl.png,5.1,a,Hindi,A,B,C,D,GK,94,manohar pandey,GROUP_D
86,https://i.imgur.com/iU8N76A.png,5.1,c,Hindi,A,B,C,D,GK,95,manohar pandey,GROUP_D
87,https://i.imgur.com/IdoyZ3r.png,5.1,c,Hindi,A,B,C,D,GK,96,manohar pandey,GROUP_D
88,https://i.imgur.com/Mg4FuAZ.png,5.1,d,Hindi,A,B,C,D,GK,97,manohar pandey,GROUP_D
89,https://i.imgur.com/q87BtJ1.png,5.1,c,Hindi,A,B,C,D,GK,99,manohar pandey,GROUP_D
90,https://i.imgur.com/DMKikkp.png,5.1,d,Hindi,A,B,C,D,GK,100,manohar pandey,GROUP_D
91,https://i.imgur.com/9YM1Xep.png,5.1,c,Hindi,A,B,C,D,GK,101,manohar pandey,GROUP_D
92,https://i.imgur.com/KUiBwG7.png,5.1,a,Hindi,A,B,C,D,GK,102,manohar pandey,GROUP_D
93,https://i.imgur.com/Z09AHIJ.png,5.1,a,Hindi,A,B,C,D,GK,103,manohar pandey,GROUP_D
94,https://i.imgur.com/3iaEc6C.png,5.1,a,Hindi,A,B,C,D,GK,104,manohar pandey,GROUP_D
95,https://i.imgur.com/Ofjb1ff.png,5.1,c,Hindi,A,B,C,D,GK,105,manohar pandey,GROUP_D
96,https://i.imgur.com/b0TfNYk.png,5.1,c,Hindi,A,B,C,D,GK,106,manohar pandey,GROUP_D
97,https://i.imgur.com/qLhxYee.png,5.1,c,Hindi,A,B,C,D,GK,107,manohar pandey,GROUP_D
98,https://i.imgur.com/riiDMaJ.png,5.1,d,Hindi,A,B,C,D,GK,108,manohar pandey,GROUP_D
99,https://i.imgur.com/AQE70v2.png,5.1,a,Hindi,A,B,C,D,GK,109,manohar pandey,GROUP_D
100,https://i.imgur.com/vawnyKW.png,5.1,b,Hindi,A,B,C,D,GK,110,manohar pandey,GROUP_D
101,https://i.imgur.com/YF5aZn7.png,5.1,a,Hindi,A,B,C,D,GK,111,manohar pandey,GROUP_D
102,https://i.imgur.com/dnvGDQx.png,5.1,c,Hindi,A,B,C,D,GK,112,manohar pandey,GROUP_D
103,https://i.imgur.com/Al8KipQ.png,5.1,b,Hindi,A,B,C,D,GK,113,manohar pandey,GROUP_D
104,https://i.imgur.com/vqK0P8P.png,5.1,b,Hindi,A,B,C,D,GK,114,manohar pandey,GROUP_D
105,https://i.imgur.com/qF7DPjO.png,5.1,b,Hindi,A,B,C,D,GK,115,manohar pandey,GROUP_D
106,https://i.imgur.com/4lou7M5.png,5.1,a,Hindi,A,B,C,D,GK,116,manohar pandey,GROUP_D
107,https://i.imgur.com/hE8shUm.png,5.1,c,Hindi,A,B,C,D,GK,117,manohar pandey,GROUP_D
108,https://i.imgur.com/8MWjBUT.png,5.1,b,Hindi,A,B,C,D,GK,118,manohar pandey,GROUP_D
109,https://i.imgur.com/CTRBfUL.png,5.1,c,Hindi,A,B,C,D,GK,119,manohar pandey,GROUP_D
110,https://i.imgur.com/RmeRQI0.png,5.1,a,Hindi,A,B,C,D,GK,120,manohar pandey,GROUP_D
111,https://i.imgur.com/5GnTzDZ.png,5.1,d,Hindi,A,B,C,D,GK,121,manohar pandey,GROUP_D
112,https://i.imgur.com/shgFap5.png,5.1,c,Hindi,A,B,C,D,GK,122,manohar pandey,GROUP_D
113,https://i.imgur.com/KTGQ12w.png,5.1,b,Hindi,A,B,C,D,GK,124,manohar pandey,GROUP_D
114,https://i.imgur.com/q1Br9Tg.png,5.1,b,Hindi,A,B,C,D,GK,125,manohar pandey,GROUP_D
115,https://i.imgur.com/0QYn2XT.png,5.1,d,Hindi,A,B,C,D,GK,126,manohar pandey,GROUP_D
116,https://i.imgur.com/PfDYWd8.png,5.1,b,Hindi,A,B,C,D,GK,127,manohar pandey,GROUP_D
117,https://i.imgur.com/gq98AKM.png,5.1,b,Hindi,A,B,C,D,GK,128,manohar pandey,GROUP_D
118,https://i.imgur.com/5AWrEdI.png,5.1,c,Hindi,A,B,C,D,GK,129,manohar pandey,GROUP_D
0,https://i.imgur.com/SM1rBmN.png,7.1,c,Hindi,A,B,C,D,GK,1,manohar pandey,GROUP_D
1,https://i.imgur.com/ez1TuNc.png,7.1,a,Hindi,A,B,C,D,GK,2,manohar pandey,GROUP_D
2,https://i.imgur.com/EfLhnm0.png,7.1,b,Hindi,A,B,C,D,GK,3,manohar pandey,GROUP_D
3,https://i.imgur.com/bcJ4nSZ.png,7.1,c,Hindi,A,B,C,D,GK,4,manohar pandey,GROUP_D
4,https://i.imgur.com/Vz091Ko.png,7.1,c,Hindi,A,B,C,D,GK,6,manohar pandey,GROUP_D
5,https://i.imgur.com/Shvhi29.png,7.1,a,Hindi,A,B,C,D,GK,7,manohar pandey,GROUP_D
6,https://i.imgur.com/yJCXnCY.png,7.1,a,Hindi,A,B,C,D,GK,8,manohar pandey,GROUP_D
7,https://i.imgur.com/mkLjNrz.png,7.1,a,Hindi,A,B,C,D,GK,10,manohar pandey,GROUP_D
8,https://i.imgur.com/UMnpclN.png,7.1,c,Hindi,A,B,C,D,GK,11,manohar pandey,GROUP_D
9,https://i.imgur.com/RIXZnHT.png,7.1,d,Hindi,A,B,C,D,GK,12,manohar pandey,GROUP_D
10,https://i.imgur.com/ebXyIm2.png,7.1,c,Hindi,A,B,C,D,GK,13,manohar pandey,GROUP_D
11,https://i.imgur.com/vVKFUtQ.png,7.1,c,Hindi,A,B,C,D,GK,14,manohar pandey,GROUP_D
12,https://i.imgur.com/obmbqlm.png,7.1,c,Hindi,A,B,C,D,GK,15,manohar pandey,GROUP_D
13,https://i.imgur.com/LLRInh9.png,7.1,b,Hindi,A,B,C,D,GK,16,manohar pandey,GROUP_D
14,https://i.imgur.com/sOp8uTl.png,7.1,b,Hindi,A,B,C,D,GK,17,manohar pandey,GROUP_D
15,https://i.imgur.com/BKnyIBa.png,7.1,a,Hindi,A,B,C,D,GK,18,manohar pandey,GROUP_D
16,https://i.imgur.com/reilUgq.png,7.1,c,Hindi,A,B,C,D,GK,19,manohar pandey,GROUP_D
17,https://i.imgur.com/Db7poSr.png,7.1,c,Hindi,A,B,C,D,GK,20,manohar pandey,GROUP_D
18,https://i.imgur.com/qyjYlEo.png,7.1,b,Hindi,A,B,C,D,GK,21,manohar pandey,GROUP_D
19,https://i.imgur.com/ZVXGzxV.png,7.1,b,Hindi,A,B,C,D,GK,22,manohar pandey,GROUP_D
20,https://i.imgur.com/QQ5WwI4.png,7.1,a,Hindi,A,B,C,D,GK,23,manohar pandey,GROUP_D
21,https://i.imgur.com/yS2yqO5.png,7.1,d,Hindi,A,B,C,D,GK,24,manohar pandey,GROUP_D
22,https://i.imgur.com/W2MNYQb.png,7.1,b,Hindi,A,B,C,D,GK,25,manohar pandey,GROUP_D
23,https://i.imgur.com/xZscNho.png,7.1,d,Hindi,A,B,C,D,GK,26,manohar pandey,GROUP_D
24,https://i.imgur.com/hJ2WpYu.png,7.1,c,Hindi,A,B,C,D,GK,27,manohar pandey,GROUP_D
25,https://i.imgur.com/QA374yH.png,7.1,c,Hindi,A,B,C,D,GK,28,manohar pandey,GROUP_D
26,https://i.imgur.com/rh4gjg1.png,7.1,b,Hindi,A,B,C,D,GK,29,manohar pandey,GROUP_D
27,https://i.imgur.com/eJZ47JD.png,7.1,a,Hindi,A,B,C,D,GK,30,manohar pandey,GROUP_D
28,https://i.imgur.com/orPoTOk.png,7.1,a,Hindi,A,B,C,D,GK,31,manohar pandey,GROUP_D
29,https://i.imgur.com/j7VxlS9.png,7.1,a,Hindi,A,B,C,D,GK,32,manohar pandey,GROUP_D
30,https://i.imgur.com/golAN1W.png,7.1,d,Hindi,A,B,C,D,GK,33,manohar pandey,GROUP_D
31,https://i.imgur.com/nKNItpv.png,7.1,d,Hindi,A,B,C,D,GK,34,manohar pandey,GROUP_D
32,https://i.imgur.com/DVDi1t8.png,7.1,b,Hindi,A,B,C,D,GK,35,manohar pandey,GROUP_D
33,https://i.imgur.com/09dOhMg.png,7.1,a,Hindi,A,B,C,D,GK,36,manohar pandey,GROUP_D
34,https://i.imgur.com/tofrdSd.png,7.1,c,Hindi,A,B,C,D,GK,37,manohar pandey,GROUP_D
35,https://i.imgur.com/76SyQLW.png,7.1,c,Hindi,A,B,C,D,GK,38,manohar pandey,GROUP_D
36,https://i.imgur.com/BiNxKIW.png,7.1,a,Hindi,A,B,C,D,GK,39,manohar pandey,GROUP_D
37,https://i.imgur.com/GAFdi9n.png,7.1,d,Hindi,A,B,C,D,GK,40,manohar pandey,GROUP_D
38,https://i.imgur.com/2bKNjcQ.png,7.1,b,Hindi,A,B,C,D,GK,42,manohar pandey,GROUP_D
39,https://i.imgur.com/IBpflVO.png,7.1,b,Hindi,A,B,C,D,GK,43,manohar pandey,GROUP_D
40,https://i.imgur.com/PnGvSq9.png,7.1,b,Hindi,A,B,C,D,GK,44,manohar pandey,GROUP_D
41,https://i.imgur.com/n56eFCT.png,7.1,d,Hindi,A,B,C,D,GK,45,manohar pandey,GROUP_D
42,https://i.imgur.com/VfEPGls.png,7.1,c,Hindi,A,B,C,D,GK,46,manohar pandey,GROUP_D
43,https://i.imgur.com/t0cNRbT.png,7.1,b,Hindi,A,B,C,D,GK,47,manohar pandey,GROUP_D
44,https://i.imgur.com/qoAH4HD.png,7.1,b,Hindi,A,B,C,D,GK,48,manohar pandey,GROUP_D
45,https://i.imgur.com/SgzwA2A.png,7.1,a,Hindi,A,B,C,D,GK,49,manohar pandey,GROUP_D
46,https://i.imgur.com/V72yMkx.png,7.1,d,Hindi,A,B,C,D,GK,50,manohar pandey,GROUP_D
47,https://i.imgur.com/rqZgZSW.png,7.1,c,Hindi,A,B,C,D,GK,51,manohar pandey,GROUP_D
48,https://i.imgur.com/URfEeS2.png,7.1,d,Hindi,A,B,C,D,GK,52,manohar pandey,GROUP_D
49,https://i.imgur.com/lAS3YFH.png,7.1,d,Hindi,A,B,C,D,GK,53,manohar pandey,GROUP_D
50,https://i.imgur.com/R1j2yWL.png,7.1,c,Hindi,A,B,C,D,GK,54,manohar pandey,GROUP_D
51,https://i.imgur.com/qmqN82R.png,7.1,b,Hindi,A,B,C,D,GK,55,manohar pandey,GROUP_D
52,https://i.imgur.com/pAxjG40.png,7.1,b,Hindi,A,B,C,D,GK,56,manohar pandey,GROUP_D
53,https://i.imgur.com/JzbQRCe.png,7.1,c,Hindi,A,B,C,D,GK,57,manohar pandey,GROUP_D
54,https://i.imgur.com/0Qv7wM6.png,7.1,b,Hindi,A,B,C,D,GK,58,manohar pandey,GROUP_D
55,https://i.imgur.com/Ugf4YA8.png,7.1,b,Hindi,A,B,C,D,GK,59,manohar pandey,GROUP_D
56,https://i.imgur.com/HsYpBYr.png,7.1,b,Hindi,A,B,C,D,GK,61,manohar pandey,GROUP_D
57,https://i.imgur.com/qGVqqnN.png,7.1,a,Hindi,A,B,C,D,GK,62,manohar pandey,GROUP_D
58,https://i.imgur.com/eFQW6Hc.png,7.1,a,Hindi,A,B,C,D,GK,63,manohar pandey,GROUP_D
59,https://i.imgur.com/lNSx3gp.png,7.1,b,Hindi,A,B,C,D,GK,64,manohar pandey,GROUP_D
60,https://i.imgur.com/HJYru4m.png,7.1,d,Hindi,A,B,C,D,GK,65,manohar pandey,GROUP_D
61,https://i.imgur.com/IVPNGcV.png,7.1,a,Hindi,A,B,C,D,GK,66,manohar pandey,GROUP_D
62,https://i.imgur.com/9tigvQn.png,7.1,a,Hindi,A,B,C,D,GK,67,manohar pandey,GROUP_D
63,https://i.imgur.com/v0q7she.png,7.1,a,Hindi,A,B,C,D,GK,68,manohar pandey,GROUP_D
64,https://i.imgur.com/ITKfvqN.png,7.1,b,Hindi,A,B,C,D,GK,69,manohar pandey,GROUP_D
65,https://i.imgur.com/ZBCsIWv.png,7.1,a,Hindi,A,B,C,D,GK,70,manohar pandey,GROUP_D
66,https://i.imgur.com/j2FWpnC.png,7.1,c,Hindi,A,B,C,D,GK,71,manohar pandey,GROUP_D
67,https://i.imgur.com/LJs75yx.png,7.1,c,Hindi,A,B,C,D,GK,72,manohar pandey,GROUP_D
68,https://i.imgur.com/vp1bOei.png,7.1,a,Hindi,A,B,C,D,GK,73,manohar pandey,GROUP_D
69,https://i.imgur.com/bYnqPya.png,7.1,a,Hindi,A,B,C,D,GK,74,manohar pandey,GROUP_D
70,https://i.imgur.com/avuj8ig.png,7.1,d,Hindi,A,B,C,D,GK,75,manohar pandey,GROUP_D
71,https://i.imgur.com/WyLujzc.png,7.1,c,Hindi,A,B,C,D,GK,76,manohar pandey,GROUP_D
72,https://i.imgur.com/LDFHIoJ.png,7.1,c,Hindi,A,B,C,D,GK,77,manohar pandey,GROUP_D
73,https://i.imgur.com/3Q1Bydv.png,7.1,a,Hindi,A,B,C,D,GK,78,manohar pandey,GROUP_D
74,https://i.imgur.com/VOJBdOb.png,7.1,c,Hindi,A,B,C,D,GK,79,manohar pandey,GROUP_D
75,https://i.imgur.com/YjZvtCf.png,7.1,b,Hindi,A,B,C,D,GK,80,manohar pandey,GROUP_D
76,https://i.imgur.com/ucusBoX.png,7.1,a,Hindi,A,B,C,D,GK,81,manohar pandey,GROUP_D
77,https://i.imgur.com/Io6YsvL.png,7.1,c,Hindi,A,B,C,D,GK,82,manohar pandey,GROUP_D
78,https://i.imgur.com/D2Cro0s.png,7.1,a,Hindi,A,B,C,D,GK,83,manohar pandey,GROUP_D
79,https://i.imgur.com/AxLndhH.png,7.1,d,Hindi,A,B,C,D,GK,84,manohar pandey,GROUP_D
80,https://i.imgur.com/Ttq2CBo.png,7.1,d,Hindi,A,B,C,D,GK,85,manohar pandey,GROUP_D
81,https://i.imgur.com/0upPwe1.png,7.1,b,Hindi,A,B,C,D,GK,86,manohar pandey,GROUP_D
82,https://i.imgur.com/5EdeCHm.png,7.1,c,Hindi,A,B,C,D,GK,87,manohar pandey,GROUP_D
83,https://i.imgur.com/20TYmBC.png,7.1,b,Hindi,A,B,C,D,GK,89,manohar pandey,GROUP_D
84,https://i.imgur.com/88f78Ix.png,7.1,c,Hindi,A,B,C,D,GK,90,manohar pandey,GROUP_D
85,https://i.imgur.com/d2Da4HN.png,7.1,d,Hindi,A,B,C,D,GK,91,manohar pandey,GROUP_D
86,https://i.imgur.com/0O6VbXS.png,7.1,c,Hindi,A,B,C,D,GK,92,manohar pandey,GROUP_D
87,https://i.imgur.com/SW9cDaW.png,7.1,b,Hindi,A,B,C,D,GK,93,manohar pandey,GROUP_D
88,https://i.imgur.com/EEZWaFY.png,7.1,d,Hindi,A,B,C,D,GK,94,manohar pandey,GROUP_D
89,https://i.imgur.com/0HxF1RW.png,7.1,c,Hindi,A,B,C,D,GK,95,manohar pandey,GROUP_D
90,https://i.imgur.com/A39k0KW.png,7.1,a,Hindi,A,B,C,D,GK,96,manohar pandey,GROUP_D
91,https://i.imgur.com/EwItOCr.png,7.1,a,Hindi,A,B,C,D,GK,97,manohar pandey,GROUP_D
92,https://i.imgur.com/e7ehr34.png,7.1,c,Hindi,A,B,C,D,GK,98,manohar pandey,GROUP_D
93,https://i.imgur.com/W7QHVyH.png,7.1,c,Hindi,A,B,C,D,GK,99,manohar pandey,GROUP_D
94,https://i.imgur.com/Gp1eoBA.png,7.1,b,Hindi,A,B,C,D,GK,101,manohar pandey,GROUP_D
95,https://i.imgur.com/6I2Djww.png,7.1,d,Hindi,A,B,C,D,GK,102,manohar pandey,GROUP_D
96,https://i.imgur.com/Q8derPs.png,7.1,d,Hindi,A,B,C,D,GK,103,manohar pandey,GROUP_D
97,https://i.imgur.com/bI1f8Ga.png,7.1,a,Hindi,A,B,C,D,GK,104,manohar pandey,GROUP_D
98,https://i.imgur.com/hYwzRiH.png,7.1,a,Hindi,A,B,C,D,GK,105,manohar pandey,GROUP_D
99,https://i.imgur.com/GrSsVk6.png,7.1,b,Hindi,A,B,C,D,GK,106,manohar pandey,GROUP_D
100,https://i.imgur.com/ysjxrOu.png,7.1,a,Hindi,A,B,C,D,GK,107,manohar pandey,GROUP_D
101,https://i.imgur.com/PP8gkCl.png,7.1,c,Hindi,A,B,C,D,GK,108,manohar pandey,GROUP_D
102,https://i.imgur.com/ipgp0kR.png,7.1,c,Hindi,A,B,C,D,GK,109,manohar pandey,GROUP_D
103,https://i.imgur.com/k4jPcXq.png,7.1,c,Hindi,A,B,C,D,GK,110,manohar pandey,GROUP_D
104,https://i.imgur.com/yCelab6.png,7.1,c,Hindi,A,B,C,D,GK,111,manohar pandey,GROUP_D
105,https://i.imgur.com/xPsFfwh.png,7.1,d,Hindi,A,B,C,D,GK,112,manohar pandey,GROUP_D
106,https://i.imgur.com/pFI53ho.png,7.1,c,Hindi,A,B,C,D,GK,113,manohar pandey,GROUP_D
107,https://i.imgur.com/Ea7hadY.png,7.1,c,Hindi,A,B,C,D,GK,114,manohar pandey,GROUP_D
108,https://i.imgur.com/9CWcKoC.png,7.1,b,Hindi,A,B,C,D,GK,115,manohar pandey,GROUP_D
109,https://i.imgur.com/XdxvVTI.png,7.1,c,Hindi,A,B,C,D,GK,116,manohar pandey,GROUP_D
110,https://i.imgur.com/jw2n4o8.png,7.1,c,Hindi,A,B,C,D,GK,117,manohar pandey,GROUP_D
111,https://i.imgur.com/ptrGbP8.png,7.1,b,Hindi,A,B,C,D,GK,118,manohar pandey,GROUP_D
112,https://i.imgur.com/rwIhbjY.png,7.1,d,Hindi,A,B,C,D,GK,119,manohar pandey,GROUP_D
