sl.no.,correct,Question_link,direction,explanation,section_type,chp_category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,,,,,,
4,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(04).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
5,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(05).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
6,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(06).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
7,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(07).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
8,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(08).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(09).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
10,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(10).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
11,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(11).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
12,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(12).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
13,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(13).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
14,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(14).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
15,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(15).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
16,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(16).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
17,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(17).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
18,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(18).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(18).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
19,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(19).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
20,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(20).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(20).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
21,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(21).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(21).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
22,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(22).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(22).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
23,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(23).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(23).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
24,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(24).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(24).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
25,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(25).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(25).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
26,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1question/2(26).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1solution/2(26).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
1,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/1(01).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/1(01).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
2,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/1(02).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/1(02).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
3,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/1(03).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/1(03).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
4,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/1(04).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/1(04).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
5,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/2(01).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/2.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/2(01).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
6,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/2(02).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/2.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/2(02).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
7,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/2(03).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/2.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/2(03).png,inorganic_chem_JEE,13.1,2,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
8,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/2(04).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/2.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/2(04).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
9,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/3(01).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/3.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/3(01).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
10,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/3(02).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/3.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/3(02).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
11,"a,b",https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/3(03).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/3.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/3(03).png,inorganic_chem_JEE,13.1,2,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
12,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paraqustion/3(04).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1paradir/3.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup1parasol/3(04).png,inorganic_chem_JEE,13.1,2,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
1,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(01).png,,,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
2,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(02).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(02).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
3,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(03).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(03).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
4,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(04).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(04).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
5,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(05).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(05).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
6,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(06).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(06).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
7,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(07).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(07).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
8,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(08).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(08).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
9,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(09).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(09).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
10,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(10).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(10).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
11,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(11).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(11).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
12,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(12).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(12).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
13,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(13).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(13).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
14,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(14).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(14).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
15,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(15).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(15).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
16,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(16).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(16).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
17,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(17).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(17).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
18,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(18).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(18).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
19,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(19).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(19).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
20,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(20).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(20).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
21,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(21).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(21).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
22,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(22).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(22).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
23,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(23).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(23).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
24,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(24).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(24).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
25,d,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(25).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(25).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
26,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(26).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(26).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
27,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(27).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(27).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
28,c,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(28).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(28).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
29,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2question/3(29).png,,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2sol/3(29).png,inorganic_chem_JEE,13.1,3,D,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
1,b,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paraques/1(01).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paradirl/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2parasol/1(01).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
2,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paraques/1(02).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paradirl/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2parasol/1(02).png,inorganic_chem_JEE,13.1,3,M,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
3,a,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paraques/1(03).png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2paradirl/1.png,https://s3.amazonaws.com/inorganicchemcengagepart1sblockgroup2parasol/1(03).png,inorganic_chem_JEE,13.1,3,E,A,B,C,D,E,JEE,Eng,Cengage,S-Block Element And Hydrogen,,,,,,
