,QuestionLink,category,concepts,correct,direction,explanation,lang,name,optA,optB,optC,optD,sectionType,sl.no,sources,usedFor
11,https://i.imgur.com/IH0quvt.png,8.1,5(b),2,,https://i.imgur.com/RqNJZsV.png,Bi ,LCM And HCF,A,B,C,D,Maths,3,Kiran Maths,ssc
12,https://i.imgur.com/e2IiyrS.png,8.1,1,3,,https://i.imgur.com/73FzkZz.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
13,https://i.imgur.com/S26HeL9.png,8.1,1,2,,https://i.imgur.com/baTRZHQ.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
14,https://i.imgur.com/Mhwn473.png,8.1,7,2,,https://i.imgur.com/1XZRbHu.png,Bi ,LCM And HCF,A,B,C,D,Maths,6,Kiran Maths,ssc
15,https://i.imgur.com/AAuJUaK.png,8.1,1,4,,https://i.imgur.com/wbn5t8N.png,Bi ,LCM And HCF,A,B,C,D,Maths,7,Kiran Maths,ssc
16,https://i.imgur.com/STSJBgF.png,8.1,1,4,,https://i.imgur.com/OXHmaXw.png,Bi ,LCM And HCF,A,B,C,D,Maths,8,Kiran Maths,ssc
17,https://i.imgur.com/1cdXpHM.png,8.1,5(d),2,,https://i.imgur.com/vHYkWG4.png,Bi ,LCM And HCF,A,B,C,D,Maths,9,Kiran Maths,ssc
18,https://i.imgur.com/RdnPXjr.png,8.1,1,3,,https://i.imgur.com/wyJhpwE.png,Bi ,LCM And HCF,A,B,C,D,Maths,10,Kiran Maths,ssc
19,https://i.imgur.com/rEgesTf.png,8.1,1,1,,https://i.imgur.com/nuBlytK.png,Bi ,LCM And HCF,A,B,C,D,Maths,11,Kiran Maths,ssc
20,https://i.imgur.com/NGyUqvy.png,8.1,8,2,,https://i.imgur.com/K4mJzz6.png,Bi ,LCM And HCF,A,B,C,D,Maths,12,Kiran Maths,ssc
21,https://i.imgur.com/YdSWi1u.png,8.1,10,3,,https://i.imgur.com/MYAilxz.png,Bi ,LCM And HCF,A,B,C,D,Maths,13,Kiran Maths,ssc
22,https://i.imgur.com/fgMKY9h.png,8.1,5(d),2,,https://i.imgur.com/xEWOtaX.png,Bi ,LCM And HCF,A,B,C,D,Maths,14,Kiran Maths,ssc
23,https://i.imgur.com/1R2dChC.png,8.1,1,3,,https://i.imgur.com/hpIYdAf.png,Bi ,LCM And HCF,A,B,C,D,Maths,15,Kiran Maths,ssc
24,https://i.imgur.com/OSxzbSN.png,8.1,7(b),1,,https://i.imgur.com/DOFKqcS.png,Bi ,LCM And HCF,A,B,C,D,Maths,16,Kiran Maths,ssc
25,https://i.imgur.com/nPDtMm3.png,8.1,6,3,,https://i.imgur.com/HhfnaN3.png,Bi ,LCM And HCF,A,B,C,D,Maths,17,Kiran Maths,ssc
26,https://i.imgur.com/hUEbGuN.png,8.1,9,2,,https://i.imgur.com/coWtdYu.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
27,https://i.imgur.com/lYBSqUz.png,8.1,2,1,,https://i.imgur.com/969y50C.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
28,https://i.imgur.com/ewI4C42.png,8.1,11(a),3,,https://i.imgur.com/mWcTcGQ.png,Bi ,LCM And HCF,A,B,C,D,Maths,3,Kiran Maths,ssc
29,https://i.imgur.com/FZtRrUG.png,8.1,11(b),1,,https://i.imgur.com/RnKCay0.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
30,https://i.imgur.com/9AgRgUr.png,8.1,11(b),1,,https://i.imgur.com/VXCDjl7.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
31,https://i.imgur.com/Ft6W0Ug.png,8.1,2,2,,https://i.imgur.com/F9KZjQg.png,Bi ,LCM And HCF,A,B,C,D,Maths,7,Kiran Maths,ssc
32,https://i.imgur.com/E9JM6D4.png,8.1,"3, 4",2,,https://i.imgur.com/QTEXsu1.png,Bi ,LCM And HCF,A,B,C,D,Maths,8,Kiran Maths,ssc
33,https://i.imgur.com/eYXS1O0.png,8.1,from options,4,,https://i.imgur.com/fgu950V.png,Bi ,LCM And HCF,A,B,C,D,Maths,9,Kiran Maths,ssc
34,https://i.imgur.com/cHFFHAX.png,8.1,2,2,,https://i.imgur.com/8aCl7Gt.png,Bi ,LCM And HCF,A,B,C,D,Maths,10,Kiran Maths,ssc
35,https://i.imgur.com/sGn6W8W.png,8.1,2,3,,https://i.imgur.com/BlUBtkj.png,Bi ,LCM And HCF,A,B,C,D,Maths,11,Kiran Maths,ssc
36,https://i.imgur.com/TbxkzXa.png,8.1,2,1,,https://i.imgur.com/SvVpbcy.png,Bi ,LCM And HCF,A,B,C,D,Maths,12,Kiran Maths,ssc
37,https://i.imgur.com/LS9jB05.png,8.1,"4, 1",1,,https://i.imgur.com/JOEkywS.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
38,https://i.imgur.com/z87JD3h.png,8.1,"4, 3",4,,https://i.imgur.com/zrxq1md.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
39,https://i.imgur.com/c4YMsox.png,8.1,"4, 3",3,,https://i.imgur.com/Ds5kZSO.png,Bi ,LCM And HCF,A,B,C,D,Maths,3,Kiran Maths,ssc
40,https://i.imgur.com/pGPh53a.png,8.1,"4, 3",3,,https://i.imgur.com/ri3VgW2.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
41,https://i.imgur.com/ohIevfN.png,8.1,"4, 3",1,,https://i.imgur.com/GLsp1lY.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
42,https://i.imgur.com/JqxBkZn.png,8.1,"4, 3",2,,https://i.imgur.com/T1WfbCE.png,Bi ,LCM And HCF,A,B,C,D,Maths,6,Kiran Maths,ssc
43,https://i.imgur.com/zXhNhmQ.png,8.1,"4, 3",4,,https://i.imgur.com/EzTexyy.png,Bi ,LCM And HCF,A,B,C,D,Maths,7,Kiran Maths,ssc
44,https://i.imgur.com/KjEplCM.png,8.1,3,4,,https://i.imgur.com/Hkqr3QI.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
45,https://i.imgur.com/RDwib1L.png,8.1,"4, 3",2,,https://i.imgur.com/4RHCqZh.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
46,https://i.imgur.com/axP3WiO.png,8.1,3,1,,https://i.imgur.com/ENC0GuZ.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
47,https://i.imgur.com/XAV4Uwk.png,8.1,"4, 3",3,,https://i.imgur.com/18YGhyK.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
48,https://i.imgur.com/CTVI6AL.png,8.1,3,2,,https://i.imgur.com/9RaeC2a.png,Bi ,LCM And HCF,A,B,C,D,Maths,6,Kiran Maths,ssc
49,https://i.imgur.com/pK1JNUU.png,8.1,"4, 3",3,,https://i.imgur.com/9BiKTkB.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
50,https://i.imgur.com/T4xVnRe.png,8.1,solve equations,2,,https://i.imgur.com/FS29xJ4.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
51,https://i.imgur.com/MQK0MHl.png,8.1,"4, 3",2,,https://i.imgur.com/h3PuSEV.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
52,https://i.imgur.com/UxOkfGO.png,8.1,3,3,,https://i.imgur.com/6vAcq72.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
53,https://i.imgur.com/Q27Jz7l.png,8.1,3,3,,https://i.imgur.com/hpnupGy.png,Bi ,LCM And HCF,A,B,C,D,Maths,1,Kiran Maths,ssc
54,https://i.imgur.com/HEBEFPn.png,8.1,3,1,,https://i.imgur.com/f5rc9Fs.png,Bi ,LCM And HCF,A,B,C,D,Maths,2,Kiran Maths,ssc
55,https://i.imgur.com/k7qlUwt.png,8.1,"4, 3",4,,https://i.imgur.com/wheQsrq.png,Bi ,LCM And HCF,A,B,C,D,Maths,3,Kiran Maths,ssc
56,https://i.imgur.com/tn9b1q5.png,8.1,3,2,,https://i.imgur.com/HTOrRzO.png,Bi ,LCM And HCF,A,B,C,D,Maths,4,Kiran Maths,ssc
57,https://i.imgur.com/h9pMwX0.png,8.1,1,1,,https://i.imgur.com/jfXsrhc.png,Bi ,LCM And HCF,A,B,C,D,Maths,5,Kiran Maths,ssc
58,https://i.imgur.com/FxgNgdr.png,8.1,5(b),2,,https://i.imgur.com/DZob6Oi.png,Bi ,LCM And HCF,A,B,C,D,Maths,6,Kiran Maths,ssc
59,https://i.imgur.com/xXBdXfJ.png,8.1,1,3,,https://i.imgur.com/7VidhV8.png,Bi ,LCM And HCF,A,B,C,D,Maths,7,Kiran Maths,ssc
60,https://i.imgur.com/gpQNTtz.png,8.1,"4, 1",1,,https://i.imgur.com/2pu6KPN.png,Bi ,LCM And HCF,A,B,C,D,Maths,9,Kiran Maths,ssc
61,https://i.imgur.com/PD2zl0X.png,8.1,"4, 3",1,,https://i.imgur.com/4Dsx1Ft.png,Bi ,LCM And HCF,A,B,C,D,Maths,10,Kiran Maths,ssc
62,https://i.imgur.com/t4eyPxI.png,8.1,"4, 3",3,,https://i.imgur.com/L0VWtzV.png,Bi ,LCM And HCF,A,B,C,D,Maths,11,Kiran Maths,ssc
63,https://i.imgur.com/35h0or2.png,8.1,4,1,,https://i.imgur.com/9mH83nQ.png,Bi ,LCM And HCF,A,B,C,D,Maths,12,Kiran Maths,ssc
64,https://i.imgur.com/gL3K0t3.png,8.1,4,4,,https://i.imgur.com/EFMuOQj.png,Bi ,LCM And HCF,A,B,C,D,Maths,13,Kiran Maths,ssc
65,https://i.imgur.com/WYlSC5J.png,8.1,from options,4,,https://i.imgur.com/qqSGWem.png,Bi ,LCM And HCF,A,B,C,D,Maths,14,Kiran Maths,ssc
66,https://i.imgur.com/UyGNrKr.png,8.1,4,3,,https://i.imgur.com/AlesPJG.png,Bi ,LCM And HCF,A,B,C,D,Maths,16,Kiran Maths,ssc
67,https://i.imgur.com/uJgD0OJ.png,8.1,1,1,,https://i.imgur.com/GlvI7IB.png,Bi ,LCM And HCF,A,B,C,D,Maths,17,Kiran Maths,ssc
68,https://i.imgur.com/Z55DAoM.png,8.1,2,3,,https://i.imgur.com/0X8QU93.png,Bi ,LCM And HCF,A,B,C,D,Maths,18,Kiran Maths,ssc
69,https://i.imgur.com/vBDklkG.png,8.1,1,1,,https://i.imgur.com/sKCsyYk.png,Bi ,LCM And HCF,A,B,C,D,Maths,19,Kiran Maths,ssc
70,https://i.imgur.com/RbCWom5.png,8.1,1,2,,https://i.imgur.com/xSwKZMs.png,Bi ,LCM And HCF,A,B,C,D,Maths,20,Kiran Maths,ssc
0,https://i.imgur.com/Mg61Kao.png,16.1,1,2,,https://i.imgur.com/JlcMeCU.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
1,https://i.imgur.com/YbrPOtE.png,16.1,1,4,,https://i.imgur.com/MJpCRcG.png,Bi,Speed & Distance,A,B,C,D,Maths,2,Kiran Maths,ssc
2,https://i.imgur.com/zMJUth4.png,16.1,3,2,,https://i.imgur.com/MLTPfB8.png,Bi,Speed & Distance,A,B,C,D,Maths,3,Kiran Maths,ssc
3,https://i.imgur.com/BK6R8O8.png,16.1,1,3,,https://i.imgur.com/hagcd7W.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
4,https://i.imgur.com/TQ7h1du.png,16.1,1,3,,https://i.imgur.com/Tq72t7x.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
5,https://i.imgur.com/XgC6OXB.png,16.1,1,2,,https://i.imgur.com/zM8VjrY.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
6,https://i.imgur.com/2TT730o.png,16.1,1,2,,https://i.imgur.com/gZOtr5l.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
7,https://i.imgur.com/rQJdRii.png,16.1,1,1,,https://i.imgur.com/DJ9z5LT.png,Bi,Speed & Distance,A,B,C,D,Maths,8,Kiran Maths,ssc
8,https://i.imgur.com/qLQoiH1.png,16.1,1,2,,https://i.imgur.com/gwdZteI.png,Bi,Speed & Distance,A,B,C,D,Maths,9,Kiran Maths,ssc
9,https://i.imgur.com/ctijM1Q.png,16.1,1,1,,https://i.imgur.com/c3PkSlu.png,Bi,Speed & Distance,A,B,C,D,Maths,10,Kiran Maths,ssc
10,https://i.imgur.com/QfB6bVL.png,16.1,1,3,,https://i.imgur.com/O5yuw9u.png,Bi,Speed & Distance,A,B,C,D,Maths,11,Kiran Maths,ssc
11,https://i.imgur.com/1lxb20w.png,16.1,1,4,,https://i.imgur.com/NkugulQ.png,Bi,Speed & Distance,A,B,C,D,Maths,12,Kiran Maths,ssc
12,https://i.imgur.com/hy5fTVs.png,16.1,1,2,,https://i.imgur.com/dCD5vMI.png,Bi,Speed & Distance,A,B,C,D,Maths,13,Kiran Maths,ssc
13,https://i.imgur.com/7O341zm.png,16.1,1,3,,https://i.imgur.com/ag5HcSL.png,Bi,Speed & Distance,A,B,C,D,Maths,14,Kiran Maths,ssc
14,https://i.imgur.com/MdiZyYr.png,16.1,1,4,,https://i.imgur.com/uYK9fU6.png,Bi,Speed & Distance,A,B,C,D,Maths,15,Kiran Maths,ssc
15,https://i.imgur.com/y5WfpXo.png,16.1,1,3,,https://i.imgur.com/xNorhAG.png,Bi,Speed & Distance,A,B,C,D,Maths,16,Kiran Maths,ssc
16,https://i.imgur.com/Kg75G17.png,16.1,1,2,,https://i.imgur.com/Ldwm13T.png,Bi,Speed & Distance,A,B,C,D,Maths,17,Kiran Maths,ssc
17,https://i.imgur.com/VGQdoIW.png,16.1,1,2,,https://i.imgur.com/bi2i57M.png,Bi,Speed & Distance,A,B,C,D,Maths,18,Kiran Maths,ssc
18,https://i.imgur.com/BdufyJQ.png,16.1,3,3,,https://i.imgur.com/O5ATP5J.png,Bi,Speed & Distance,A,B,C,D,Maths,19,Kiran Maths,ssc
19,https://i.imgur.com/JhXoJ3u.png,16.1,4,1,,https://i.imgur.com/gwBtssu.png,Bi,Speed & Distance,A,B,C,D,Maths,20,Kiran Maths,ssc
20,https://i.imgur.com/chV3r5J.png,16.1,1,2,,https://i.imgur.com/waRocyn.png,Bi,Speed & Distance,A,B,C,D,Maths,21,Kiran Maths,ssc
21,https://i.imgur.com/vNbcekf.png,16.1,1,3,,https://i.imgur.com/LguEF6U.png,Bi,Speed & Distance,A,B,C,D,Maths,22,Kiran Maths,ssc
22,https://i.imgur.com/9kqf7Lo.png,16.1,1,4,,https://i.imgur.com/MBvZh4A.png,Bi,Speed & Distance,A,B,C,D,Maths,24,Kiran Maths,ssc
23,https://i.imgur.com/xH8I3AC.png,16.1,"1,2,5",3,,https://i.imgur.com/kI3ONR9.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
24,https://i.imgur.com/YBmpTx3.png,16.1,"1,5",3,,https://i.imgur.com/RCPkBAK.png,Bi,Speed & Distance,A,B,C,D,Maths,2,Kiran Maths,ssc
25,https://i.imgur.com/aMKslzu.png,16.1,"1,5",2,,https://i.imgur.com/1xF3e83.png,Bi,Speed & Distance,A,B,C,D,Maths,3,Kiran Maths,ssc
26,https://i.imgur.com/nIH0H6h.png,16.1,"1,5",4,,https://i.imgur.com/Tt33uks.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
27,https://i.imgur.com/MQUX5qB.png,16.1,"1,5",4,,https://i.imgur.com/jBSWTvE.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
28,https://i.imgur.com/tpfmyMq.png,16.1,"1,5",4,,https://i.imgur.com/bAhDeFv.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
29,https://i.imgur.com/ceQKiBS.png,16.1,"1,5",1,,https://i.imgur.com/2rbboLH.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
30,https://i.imgur.com/1YhVyuT.png,16.1,"1,5",2,,https://i.imgur.com/U71266c.png,Bi,Speed & Distance,A,B,C,D,Maths,8,Kiran Maths,ssc
31,https://i.imgur.com/ErKYf8p.png,16.1,"1,2,5",1,,https://i.imgur.com/I9vyJQb.png,Bi,Speed & Distance,A,B,C,D,Maths,10,Kiran Maths,ssc
32,https://i.imgur.com/JN7jLQ6.png,16.1,"1,2,5",4,,https://i.imgur.com/99ZUUY8.png,Bi,Speed & Distance,A,B,C,D,Maths,11,Kiran Maths,ssc
33,https://i.imgur.com/CRt0O1G.png,16.1,"1,2,5",1,,https://i.imgur.com/fPwbTeW.png,Bi,Speed & Distance,A,B,C,D,Maths,12,Kiran Maths,ssc
34,https://i.imgur.com/y3UaBAY.png,16.1,"1,2,5",2,,https://i.imgur.com/RBUDN9N.png,Bi,Speed & Distance,A,B,C,D,Maths,13,Kiran Maths,ssc
35,https://i.imgur.com/fAqe7wb.png,16.1,"1,2,6",3,,https://i.imgur.com/RCaO3uB.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
36,https://i.imgur.com/FkMjLf4.png,16.1,"1,3,6",2,,https://i.imgur.com/lfXQz0a.png,Bi,Speed & Distance,A,B,C,D,Maths,2,Kiran Maths,ssc
37,https://i.imgur.com/eEBQW8f.png,16.1,"1,6",1,,https://i.imgur.com/VEMX7my.png,Bi,Speed & Distance,A,B,C,D,Maths,3,Kiran Maths,ssc
38,https://i.imgur.com/mWPz5xB.png,16.1,"1,2,6",1,,https://i.imgur.com/12JCCRq.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
39,https://i.imgur.com/3lonc0R.png,16.1,"1,2,6",2,,https://i.imgur.com/vsvqRt4.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
40,https://i.imgur.com/7GUMNOG.png,16.1,"1,2,6",4,,https://i.imgur.com/PSQ2xFQ.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
41,https://i.imgur.com/DPOPpZi.png,16.1,"1,3,6",4,,https://i.imgur.com/An2EJhy.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
42,https://i.imgur.com/82N8FMa.png,16.1,"1,7",2,,https://i.imgur.com/vanNmMU.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
43,https://i.imgur.com/QTY59bn.png,16.1,"1,7",3,,https://i.imgur.com/qjKjjCF.png,Bi,Speed & Distance,A,B,C,D,Maths,2,Kiran Maths,ssc
44,https://i.imgur.com/zBt37Mm.png,16.1,"1,5,7",2,,https://i.imgur.com/7nPN4I7.png,Bi,Speed & Distance,A,B,C,D,Maths,3,Kiran Maths,ssc
45,https://i.imgur.com/D3b7g6n.png,16.1,"1,5,7",3,,https://i.imgur.com/1aEjT07.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
46,https://i.imgur.com/ZbJAgf5.png,16.1,"1,5,7",2,,https://i.imgur.com/uLp2VKf.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
47,https://i.imgur.com/Woascip.png,16.1,"1,6",4,,https://i.imgur.com/coPu0XE.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
48,https://i.imgur.com/Sb9FFIC.png,16.1,"1,7",3,,https://i.imgur.com/7uhVehZ.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
49,https://i.imgur.com/zzBzQS0.png,16.1,"1,6,7",3,,https://i.imgur.com/Tku7wvq.png,Bi,Speed & Distance,A,B,C,D,Maths,8,Kiran Maths,ssc
50,https://i.imgur.com/RbNsQVD.png,16.1,"1,5,7",1,,https://i.imgur.com/yn4WDYf.png,Bi,Speed & Distance,A,B,C,D,Maths,9,Kiran Maths,ssc
51,https://i.imgur.com/SKWq6NV.png,16.1,"1,7",3,,https://i.imgur.com/CiSbeXA.png,Bi,Speed & Distance,A,B,C,D,Maths,10,Kiran Maths,ssc
52,https://i.imgur.com/NiUaScf.png,16.1,"1,6,7",1,,https://i.imgur.com/WmI1aS1.png,Bi,Speed & Distance,A,B,C,D,Maths,12,Kiran Maths,ssc
53,https://i.imgur.com/2VU0Qux.png,16.1,"1,5,7",2,,https://i.imgur.com/5sXuVrS.png,Bi,Speed & Distance,A,B,C,D,Maths,13,Kiran Maths,ssc
54,https://i.imgur.com/Mvm501R.png,16.1,"1,5,7",2,,https://i.imgur.com/0wCgn1J.png,Bi,Speed & Distance,A,B,C,D,Maths,14,Kiran Maths,ssc
55,https://i.imgur.com/k0xf54m.png,16.1,"1,7",1,,https://i.imgur.com/8a6QPMK.png,Bi,Speed & Distance,A,B,C,D,Maths,15,Kiran Maths,ssc
56,https://i.imgur.com/MeyZfNP.png,16.1,"1,7",1,,https://i.imgur.com/fREjLjA.png,Bi,Speed & Distance,A,B,C,D,Maths,17,Kiran Maths,ssc
57,https://i.imgur.com/PKNtNHq.png,16.1,"1,7",4,,https://i.imgur.com/35fhC9A.png,Bi,Speed & Distance,A,B,C,D,Maths,18,Kiran Maths,ssc
58,https://i.imgur.com/XPNz6qz.png,16.1,"1,7",3,,https://i.imgur.com/CRaYWKQ.png,Bi,Speed & Distance,A,B,C,D,Maths,19,Kiran Maths,ssc
59,https://i.imgur.com/iPnHcBM.png,16.1,"1,7",3,,https://i.imgur.com/5yVjo4E.png,Bi,Speed & Distance,A,B,C,D,Maths,21,Kiran Maths,ssc
60,https://i.imgur.com/GZ9CxSy.png,16.1,"1,7",3,,https://i.imgur.com/mF2Sif6.png,Bi,Speed & Distance,A,B,C,D,Maths,22,Kiran Maths,ssc
61,https://i.imgur.com/xSuoiIR.png,16.1,"1,7",1,,https://i.imgur.com/r0lbRAL.png,Bi,Speed & Distance,A,B,C,D,Maths,23,Kiran Maths,ssc
62,https://i.imgur.com/rZhroRn.png,16.1,"1,5,6,7",1,,https://i.imgur.com/3ZZK0UV.png,Bi,Speed & Distance,A,B,C,D,Maths,24,Kiran Maths,ssc
63,https://i.imgur.com/tgRj0rL.png,16.1,1,3,,https://i.imgur.com/QvqMgYw.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
64,https://i.imgur.com/ynZDEE4.png,16.1,1,4,,https://i.imgur.com/9TE9u4A.png,Bi,Speed & Distance,A,B,C,D,Maths,2,Kiran Maths,ssc
65,https://i.imgur.com/c31xzvf.png,16.1,1,3,,https://i.imgur.com/K7HIFft.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
66,https://i.imgur.com/Sghlqav.png,16.1,"1,7",2,,https://i.imgur.com/9b11sSo.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
67,https://i.imgur.com/R2lBoWT.png,16.1,1,2,,https://i.imgur.com/Nz3eV5g.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
68,https://i.imgur.com/2fQPZ9G.png,16.1,1,1,,https://i.imgur.com/BkSLaeM.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
69,https://i.imgur.com/7eIM2qB.png,16.1,1,2,,https://i.imgur.com/XqPfZfz.png,Bi,Speed & Distance,A,B,C,D,Maths,8,Kiran Maths,ssc
70,https://i.imgur.com/HB7g3xk.png,16.1,"1,8",2,,https://i.imgur.com/M6R44dp.png,Bi,Speed & Distance,A,B,C,D,Maths,9,Kiran Maths,ssc
71,https://i.imgur.com/SFzP203.png,16.1,"1,9",2,,https://i.imgur.com/XiXVxjL.png,Bi,Speed & Distance,A,B,C,D,Maths,1,Kiran Maths,ssc
72,https://i.imgur.com/zpihXs6.png,16.1,"1,9",1,,https://i.imgur.com/Pgw4rPH.png,Bi,Speed & Distance,A,B,C,D,Maths,3,Kiran Maths,ssc
73,https://i.imgur.com/EySFfy4.png,16.1,"1,9",2,,https://i.imgur.com/JfKx9jx.png,Bi,Speed & Distance,A,B,C,D,Maths,4,Kiran Maths,ssc
74,https://i.imgur.com/2m4Bbp5.png,16.1,"1,9",1,,https://i.imgur.com/p00uu5v.png,Bi,Speed & Distance,A,B,C,D,Maths,5,Kiran Maths,ssc
75,https://i.imgur.com/oZL2pbZ.png,16.1,"1,9",2,,https://i.imgur.com/osR6WTP.png,Bi,Speed & Distance,A,B,C,D,Maths,6,Kiran Maths,ssc
76,https://i.imgur.com/dGSLT2Q.png,16.1,"1,9",3,,https://i.imgur.com/R8RJpR5.png,Bi,Speed & Distance,A,B,C,D,Maths,7,Kiran Maths,ssc
77,https://i.imgur.com/QzQZnuJ.png,16.1,"1,9",1,,https://i.imgur.com/PgENVlD.png,Bi,Speed & Distance,A,B,C,D,Maths,8,Kiran Maths,ssc
78,https://i.imgur.com/X7xtunt.png,16.1,"1,9",2,,https://i.imgur.com/kARG6qN.png,Bi,Speed & Distance,A,B,C,D,Maths,9,Kiran Maths,ssc
79,https://i.imgur.com/VOj80w1.png,16.1,"1,9",3,,https://i.imgur.com/fBjnSvo.png,Bi,Speed & Distance,A,B,C,D,Maths,10,Kiran Maths,ssc
80,https://i.imgur.com/yP49EBt.png,16.1,"1,9",2,,https://i.imgur.com/ceOnM8d.png,Bi,Speed & Distance,A,B,C,D,Maths,11,Kiran Maths,ssc
